,id,label_class,text,label
0,9A15F9F6B1E0ECDA2EBC24203BFC9759,Auszubildende,"ANPACKER. DURCHSTARTER. MÖGLICHMACHER.

ABITURIENTENPROGRAMM

Die Schule liegt hinter dir ¿ und jetzt? Wie wäre es mit einer Ausbildung bei einem starken Partner, der dir Sicherheit, Perspektiven und viel Abwechslung bieten kann ¿ und das nicht irgendwo, sondern bei einem der erfolgreichsten Unternehmen im Lebensmitteleinzelhandel? Herzlich willkommen bei Lidl! Je nachdem, was dir liegt, machen wir dich während deiner Ausbildung fit für deine Zukunft bei uns. Erlebe, dass sich deine Ausbildung lohnt ¿ in einer unserer Regionalgesellschaften bei dir vor Ort! Ausbildungsbeginn ist am 1. August 2018.

DEINE AUSBILDUNG

¿ Die interessante Welt des Handels lernst du im Abiturientenprogramm von der Pike auf kennen.
¿ Dein theoretisch vermitteltes Fachwissen verknüpfst du mit praktischen Elementen des Filialalltags, z. B. die Warenverräumung und -präsentation, die Durchführung von Disposition, die Gewährleistung von Frische, Qualität und Sauberkeit oder das Erlernen von Personalführungselementen.
¿ In drei Jahren erhältst du drei Abschlüsse: Nach der Ausbildung zum Kaufmann (w/m) im Einzelhandel (18 bzw. 24 Monate, unterschiedliche Regelungen je nach Bildungsträger möglich), folgt die Weiterbildung zum geprüften Handelsfachwirt (w/m) in weiteren 18 Monaten, inkl. der Weiterbildung zum Ausbilder (w/m).
¿ Als zukünftige Führungskraft leitest du eine Filiale mit rund 15 Mitarbeitern und hast darüber hinaus ausgezeichnete Entwicklungsmöglichkeiten, z. B. zum Verkaufsleiter (w/m).

DEIN PROFIL

¿ Allgemeine Hochschulreife oder Fachhochschulreife
¿ Begeisterungsfähigkeit, Zielstrebigkeit, Zuverlässigkeit
¿ Freundlichkeit und Teamfähigkeit

DEIN MEHRWERT

Wir legen Wert darauf, dass sich dein Einstieg nach dem Abitur bei uns lohnt! Deshalb kannst du mit der Kombination aus Aus- und Weiterbildung gleich drei Abschlüsse in drei Jahren machen. Dabei wirst du intensiv betreut ¿ von der Personalabteilung in unserer Gesellschaft, deinem Fachbereich und einem persönlichen Paten. Durch einen Mix aus praktischer Ausbildung und anspruchsvollen Seminar-Blöcken gehst du fachlich und persönlich schnell auf Wachstumskurs. Auch deine Vergütung kann sich sehen lassen (1. ¿ 6. Monat: 1.050 ¤, 7. ¿ 18. bzw. 24. Monat: 1.200 ¤). Danach profitierst du von einer übertariflichen Vergütung. Du siehst: Das Abiturientenprogramm bietet dir beste Voraussetzungen für eine berufliche Zukunft mit Perspektiven.

Informiere und bewerbe dich jetzt auf jobs.lidl.de/abi",0
1,,Azubi,"
  Ausbildung zum Bachelor of Science (m/w) Fachrichtung Wirtschaftsinformatik


  Auszug der Stellenbeschreibung

  Ausbildung zum Bachelor of Science (m/w) Fachrichtung Wirtschaftsinformatik ifm-Unternehmensgruppe Tettnang Referenz- nummer:
  YF726385 Bitte beziehen Sie sich in Ihrem Anschreiben auf diese Referenznummer.

  Unternehmen

  ifm-Unternehmensgruppe

  Orte

  * Tettnang 1 freie Stelle

  Benötigter Abschluss

  Abitur / Fachabitur

  Art der Ausbildung

  Duales Studium
  Zur Original-Stellenanzeige

  Ähnliche Ausbildungsplätze

  Ausbildung Fachverkäufer/-in im Lebensmittelhandwerk (Fleischwaren)
  Überlingen
  Ausbildung Kaufmann/-frau im Einzelhandel (m/w)
  Konstanz
  August 2017
  Ausbildung zum Verkäufer und Kaufmann im Einzelhandel (m/w)",0
2,,Azubi,"  Dobler

  Auszubildende als Rohrleitungsbauer (m/w)

  * Kempten
  * Duale Ausbildung

  Zur Original-Stellenanzeige

  Auszug der Stellenbeschreibung

  Dobler 2018-10-12 Wir suchen Auszubildende als Rohrleitungsbauer (m/w) für unsere Zweigstelle in Kempten (Ausbildungsbeginn 05.08.2019) Starten Sie mit uns ins Berufsleben - Eine Ausbildung bei uns ist Ihr Einstieg zum Aufstieg. Gerne können Sie als Schnupperlehrling eine Woche lang den Beruf des Rohrleitungsbauers kennenlernen. Wir bieten Ihnen eine interessante, abwechslungsreiche Ausbildung mit innerbetrieblichen Qualifikations- und Aufstiegsmöglichkeiten. Herr Daniel Blaubach (Zentraler Ausbildungsleiter) freut sich auf Ihre aussagefähige Bewerbung. Dobler GmbH & Co. KG Baunternehmung Innovapark 20 87600 Kaufbeuren Tel. 0 83 41 / 90 34 - 47 Gerne auch per E-Mail (Bitte Anlagen nur als PDF, keine Office-Formate) an:
  Druck-/Einzelansicht
  Zur Original-Stellenanzeige

  Standort

  Dobler Kempten
  https://www.azubi.de/ausbildungsplatz/389045-b-auszubildende-als-rohrleitungsbauer-m-w",0
3,9A1658B263DB25FA0F4CD8CCA848F52F,Auszubildende,"In unserer Kanzlei bieten wir unserer Mandantschaft Fachanwaltskompetenz in den unterschiedlichsten Bereichen.;;Wir bieten zum 01.08.2016 drei Ausbildungsplätze zum/zur Rechtsanwalts- und Notarfachangestellte/n an. ;;Anforderungen:;- mindestens Realschulabschluss mit guten Noten in den Fächern Deutsch und Mathematik;- strukturierte Arbeitsweise;- motiviert und freundlich.;;zum Beruf:;Rechtsanwalts- und Notarfachangestellte unterstützen Anwaltsnotare und -notarinnen bei rechtlichen Dienstleistungen. Daneben führen sie allgemeine organisatorische und kaufmännische Arbeiten aus.;;Die Berufsschule befindet sich in Pinneberg.;;Bei Interesse freuen wir uns auf Ihre aussagekräftige, schriftliche Bewerbung z.Hd. Frau Keuchen.",0
4,,Azubi,"  * Position: Ausbildung
  * Beruf: Handelsfachwirt/in (Abi-Ausbildung)
  * Ort: Leinfelden-Echterdingen
  * Beginn: 01.07.2017
  * Referenz-Nr: AZY-001161-2014-005312
  * (in der Bewerbung bitte angeben)

  + Position: Ausbildung
  + Beruf: Handelsfachwirt/in (Abi-Ausbildung)
  + Ort: Leinfelden-Echterdingen
  + Beginn: 01.07.2017
  + Referenz-Nr: AZY-001161-2014-005312
  + (in der Bewerbung bitte angeben)",0
5,,Azubi,"  Vermessungstechniker/in - Vermessung

  Arbeitsort: D-12555 Berlin · Berlin
  Firmenname:
  Bezirksamt Treptow-Köpenick Serviceeinheit Personal und Finanzen
  Alter der Anzeige:
  21.10.2015 (98 Tage alt)
  Stellenbeschreibung
  Stellenbezeichnung
  Vermessungstechniker/in - Vermessung
  Jobbeschreibung
  Das Bezirksamt Treptow-Köpenick von Berlin, Abteilung Bauen, Stadtentwicklung und Umwelt, Fachbereich Vermessung bietet einen Ausbildungsplatz als Vermessungstechniker/in ab 01.09.2016 an.

  Zu den Aufgaben von Vermessungstechniker/innen gehören u.a. die Durchführung von Lage- und Höhenvermessungen, das Anfertigen von Karten, Plänen und Rissen, das Ausführen von vermessungstechnischen Berechnungen sowie deren Auswertung mit Hilfe von Computern bzw. per Hand.
  Vermessungstechniker/innen arbeiten sowohl im Innen-als auch Außendienst.

  Interessiert Dich dieser Beruf, dann sollten auch folgende Interessen oder Neigungen vorhanden sein:
  - Interesse an Mathematik und Physik
  - Interesse an der Arbeit mit Karten und Plänen
  - Interesse am Umgang mit Computern
  - gutes Seh- und Farbunterscheidungsvermögen
  - gutes räumliches Vorstellungsvermögen
  - Genauigkeit, Sorgfalt
  - Teamgeist

  Die Ausbildung umfasst einen Zeitraum von 3 Jahren. Die Ausbildung gliedert sich in
  a) die theoretische Ausbildung,
  die an der Knobelsdorff-Schule,
  Oberstufenzentrum Bautechnik I
  Nonnendammallee 140-143 in 13599 Berlin-Spandau erfolgt.

  und
  b) eine berufspraktische Ausbildung, die im Fachbereich Vermessung des Bezirksamtes Treptow-Köpenick von Berlin durchgeführt wird.

  Mit dem erfolgreichen Abschluss der Ausbildung kann gleichzeitig die Fachhochschulreife erworben werden.

  Derzeit ist nach dem Ende der Ausbildung keine Übernahme in ein Beschäftigungsverhältnis möglich.

  Ausbildungsbeginn: 1. September 2016

  Frist: Bewerbungsschluss ist der 31. Dezember 2015

  Wir erwarten mindestens den erfolgreichen Mittleren Schulabschluss oder den Nachweis eines als gleichwertig anerkannten Bildungsstandes. Weiterhin erwarten wir in den Fächern Deutsch und Mathematik mindestens die Note 3.
  Unentschuldigte Fehlzeiten während der Schulzeit stellen ein Ausschlusskriterium dar.
  Unsere Ausbildungsplätze richten sich vornehmlich an Bewerberinnen und Bewerber, die erstmalig eine Ausbildung anstreben.
  Wir erwarten von unseren Bewerberinnen und Bewerbern ein starkes Interesse und Engagement, die Ausbildung bestmöglich abzuschließen.

  Arbeitsort:
  Alt-Köpenick 21
  12555 Berlin, DE

  Art der Anstellung: Ausbildungsplatz
  Arbeitszeitmodell:
  * Vollzeit
  Mo. - Fr.

  Kontakt:

  Herr
  12414 Berlin

  Tel: +49 30 902973841

  E-Mail-Adresse: vermessung@ba-tk.berlin.de
  Webseite: http://www.berlin.de/ba-treptow-koepenick/organisationseinheiten/personal/ausbildung-vmt.html

  Gewünschte Form der Bewerbung: per E-Mail, schriftlich, mit firmeneigenen Unterlagen
  Geforderte Anlagen: Lebenslauf, Zeugnisse, evtl. Beurteilung Praktika, sonstige Referenzen
  Inhalte: © BUNDESAGENTUR FÜR ARBEIT, 2016
  Darstellung: © NETZMARKT INTERNETSERVICE GMBH & CO. KG, 2016
  Arbeitsort
  Ort
  Berlin
  PLZ
  D-12555
  Bundesland
  Berlin
  Land
  Deutschland",0
6,9A1531E8CB5D1FA23E6F159AEAD09E03,Auszubildende,"In unserem Handwerksbetrieb bieten wir für den Ausbildungsbeginn 2018 einen Ausbildungsplatz als Fleischer/in.

Die Ausbildung im Überblick:
Fleischer/innen stellen Fleisch- und Wurstwaren, Feinkosterzeugnisse, Gerichte und Konserven her. In Fleischerläden präsentieren und verkaufen sie die Produkte und beraten Kunden.

Wir freuen uns auf Ihre Bewerbung! Sehr gerne kann vorab ein Praktikum absolviert werden.",0
7,,Azubi,"  Wir suchen eine(n) Auszubildende(n) zum/zur Kaufmann/-frau für Büromanagement für den weiteren Ausbau unserer Aktivitäten.

  Zu Ihren Aufgaben gehören u.a.:
  * Sekretariats- und Assistenzaufgaben, sowie kaufmännisch verwaltende Tätigkeiten
  * Vorbereiten von Meetings und Reisen
  * Bearbeitung von Postein-/ausgang
  * Assistenz bei Tagungen und Seminaren
  * Aufgaben des Rechnungswesens

  Was wir erwarten:
  * Begeisterungsfähigkeit
  * Pünktlichkeit und Zuverlässigkeit
  * organisatorische Fähigkeiten
  * freundliches Wesen und standesgemäßes Auftreten
  * gutes mündliches und schriftliches Ausdrucksvermögen
  * mathematisches Verständnis
  * Teamfähigkeit und Leistungsbereitschaft

  Was wir bieten:
  * Ausbildungsstart: 01.08.2016
  * ein attraktives Arbeitsumfeld
  * eine breitgefächerte Ausbildung
  * ein engagiertes Team
  * hervorragende berufliche Perspektiven

  Sie finden sich und Ihre Qualifikationen in diesem Stellenprofil wieder? Dann senden Sie Ihre aussagekräftigen Bewerbungsunterlagen, gerne in elektronischer Form (PDF-Datei), zu Händen Frau Eichhorn an Diese E-Mail-Adresse ist vor Spambots geschützt! Zur Anzeige muss JavaScript eingeschaltet sein!.
  Bitte beachten Sie, dass die Rücksendung Ihrer schriftlichen Bewerbungsunterlagen nur gegen Vorlage eines frankierten Rückumschlags erfolgt.",0
8,,Azubi,"
  Ausbildung zum Bachelor of Science (m/w) Fachrichtung Wirtschaftsinformatik


  Auszug der Stellenbeschreibung

  Ausbildung zum Bachelor of Science (m/w) Fachrichtung Wirtschaftsinformatik ifm-Unternehmensgruppe Tettnang Referenz- nummer:
  YF726385 Bitte beziehen Sie sich in Ihrem Anschreiben auf diese Referenznummer.

  Unternehmen

  ifm-Unternehmensgruppe

  Orte

  * Tettnang 1 freie Stelle

  Benötigter Abschluss

  Abitur / Fachabitur

  Art der Ausbildung

  Duales Studium
  Zur Original-Stellenanzeige

  Ähnliche Ausbildungsplätze

  Ausbildung Fachverkäufer/-in im Lebensmittelhandwerk (Fleischwaren)
  Überlingen
  Ausbildung Kaufmann/-frau im Einzelhandel (m/w)
  Konstanz
  August 2017
  Ausbildung zum Verkäufer und Kaufmann im Einzelhandel (m/w)",0
9,9A15648162248A8768848DE6433CD1A8,Auszubildende,"Gegenbauer erbringt seit 1925 Dienstleistungen für Immobilien. Und für die Menschen, die sich darin bewegen. Mit diesem reichen Erfahrungsschatz sind wir zu einem der führenden Facility-Management-Anbieter Deutschlands geworden, der heute mehr als 18.000 Menschen bundesweit in einer vielfältigen, wachstumsstarken und zukunftsorientierten Branche beschäftigt. Unser Fokus ist auf die partnerschaftliche Umsetzung von Service- und Managementkonzepten gerichtet, wobei hohe Qualität, reibungslose Abläufe sowie innovative und nachhaltige Lösungen im Mittelpunkt stehen.

Die Gebäudereinigung ist das beschäftigungsstärkste Handwerk Deutschlands. Wer hier arbeitet, hat es mit der Reinigung, Pflege und dem Schutz von Bauwerken, Gebäudeeinrichtungen, Verkehrsmitteln und technischen Anlagen zu tun. Durch den Einsatz modernster Technik, die
Anwendung aktuellsten Know-hows und qualitativ hochwertige Handarbeit tragen Gebäudereiniger zum dauerhaften Werterhalt von Immobilien und Anlagen bei. Teil der dualen Ausbildung ist auch der regelmäßige Unterricht in der Berufsschule.


Zum Ausbildungsstart im Herbst 2020 bieten wir freie Ausbildungsplätze an. Werden Sie Teil eines deutschlandweit tätigen Dienstleistungsunternehmens!


Das erwartet Sie:

Reinigen von Glasflächen, Außenanlagen, elektrotechnischen Ausstattungsgegenständen, Verkehrsmitteln und Industrieanlagen
Behandeln von Fassaden, Fußböden, Flächen, Sanitärbereichen und Gesundheitseinrichtungen
Einsatz modernster Arbeitsmittel und Reinigungstechnik wie z. B. Reinigungsmaschinen, Leitern, Gerüsten, Hubarbeitsbühnen und
Fassadenbefahrungsanlagen
Anwenden von Reinigungschemie bei der Ausführung von Reinigungs-, Desinfektions-, Pflege- und Konservierungsarbeiten
Auftragsübernahme, Planen und Vorbereiten von Aufgaben


Das zeichnet Sie aus:

Berufsbildungsreife (BBR) oder höherer Schulabschluss
Freude an körperlicher Betätigung
Spaß an der Arbeit im Team und im Freien
Zuverlässigkeit und Pünktlichkeit


Das bieten wir Ihnen:

Professionelle, 3-jährige duale Ausbildung nach einem strukturierten Ausbildungskonzept mit guter Berufsperspektive
Vielseitiges und abwechslungsreiches Tätigkeitsfeld
Kontinuierliche und professionelle Betreuung durch Mentoren und Ausbildungsleitung
Gute Übernahmechancen nach erfolgreicher Ausbildung


Das sollten Sie noch wissen:

Bitte bewerben Sie sich über unser Karriereportal.
Ansprechpartner
Gegenbauer Holding SE & Co. KG
Dirk Block
Paul-Robeson-Str. 37
10439 Berlin
Tel: +49 30 44670 0",0
