,id,label_class,text,label
0,,Azubi,"  * Block Gruppe

  Ausbildung zum Fachmann für Systemgastronomie (m/w)

  * Hannover, DE

  *


  Georgstraße 35
  30159 Hannover
  Deutschland
  Auf Karte anzeigen

  * Alle Jobs Block
  * Gastronomie
  * Kaufmännische Berufe (Sonstige)
  * Ausbildung

  BE A JB - sei dabei mit einer

  Ausbildung zum Fachmann für Systemgastronomie (m/w)

  Ausbildungsstart: 01.08.2019
  Standort: Hannover

  Burger statt Büro. Locker im Team statt strenger Hierarchie. Komm zu JB, der Better Burger Marke der Block Gruppe. Bei uns hast Du Spaß und Zukunft zugleich, denn Du trägst von Anfang an Verantwortung und gehörst zu unserem Nachwuchs für das Management.

  Deine Ausbildungsinhalte:

  * Betreuung und Beratung von Gästen
  * Personalplanung und erste Führungs-Verantwortung
  * Koordination von Arbeitsabläufen
  * Betriebswirtschaftliche Organisation eines Restaurants
  * Einhaltung von Hygiene-und Sicherheitsvorschriften

  Wir bieten Dir:

  * Eine qualifizierte Ausbildung begleitet durch Fachseminare unserer Schulungsakademie
  * Flache Hierarchien und schnelle Entscheidungswege
  * Ein erstklassiges Betriebsklima
  * Kostenloses Mittagessen
  * Eine Monatskarte für den ÖPNV
  * Eine Führungsposition als Perspektive
  * Sehr gute Übernahme-Chancen

  Wenn dir die Atmosphäre in einem Restaurant gefällt, Du aufgeschlossen, motiviert und begeisterungsfähig bist und Freude am Umgang mit Gästen hast, freuen wir uns auf Deine aussagekräftigen Bewerbungsunterlagen (gerne auch per E-Mail).

  Jim Block Restaurantbetriebe GmbH
  Block Head College GmbH, Joana Kommerowski
  Lademannbogen 127, 22339 Hamburg, Deutschland
  info@head-college.de | 040 / 538 007 654
  www.jim-block.de",0
1,,NoAz,"  Montagehelfer (m/w/d)

  Stellenbeschreibung

  04.12.2018 Jetzt bewerben!

  Herzlich willkommen im Geschäftsbereich Industrie der pluss-Unternehmensgruppe, dem Spezialisten im Personalmanagement für die Industrie. Als mittelständisches Unternehmen sind wir nun seit über 30 Jahren mit unseren Personallösungen für Menschen und Unternehmen an über 30 Standorten am Markt etabliert.

  Seit 2007 unterhält die PLUSS Personal Service GmbH bei dem renommierten Lübecker Unternehmen STOREBEST GmbH & Co. KGein ON-Site Management (Büro vor Ort).Je nach Eignung bieten wir verschiedene Tätigkeiten in der Produktion bei STOREBEST an.Wir suchen Sie als

  Montagehelfer (m/w)

  Aufgabengebiete:
  * Montagearbeiten
  * Durchführung von Qualitätskontrollen
  * Nacharbeit

  Sie bringen folgende Kompetenzen mit:
  * Schnelle Auffassungsgabe
  * Belastbarkeit
  * Flexibilität
  * Teamfähigkeit
  * Handwerkliches Geschick

  Wir bieten Ihnen:
  * einen unbefristeten Arbeitsplatz mit allen gesetzlichen und tariflichen Sozialleistungen (inkl. Urlaubs- und Weihnachtsgeld)
  * Bezahlung nach iGZ-Tarifvertrag; ggf. übertarifliche Bezahlung und Branchenzuschläge
  * hochwertige persönliche Schutzausrüstung und Arbeitskleidung (z.B. Engelbert Strauss)
  * persönliche Betreuung und Einsatzbegleitung
  * Mitarbeiterangebote (z. B. adidas, Zalando, Sony, Sky u. v. m.)
  * einen festen Einsatzort sowie ggf. Übernahmeoption durch Kundenbetrieb

  Haben wir Sie neugierig gemacht?

  Dann zögern Sie nicht und nehmen mit uns Kontakt auf. Bitte bewerben Sie sich vorzugsweise über unsere /Onlinebewerbung/ auf www.pluss.de/kontakt/onlinebewerbung/.

  Sie haben die Gelegenheit, diese in Form einer Kurzbewerbung (2 Minuten) oder in Form eines ausführlichen Bewerbungsverfahrens (12 Minuten) durchzuführen. Alternativ bewerben Sie sich gerne per E-Mail.

  Übrigens: Bewerber 50+ sind bei uns herzlich willkommen!

  Wir freuen uns, Sie kennenzulernen!

  Es wird zur besseren Lesbarkeit im Text nur die männliche Sprachform verwandt. Der Text gilt unter Berücksichtigung des AGG für alle Geschlechter.
  __________________________________________________

  Kontakt

  PLUSS Personal Service GmbH - Projekt Storebest -
  Alexander Jahnke
  Malmöstraße 1
  23560 Lübeck

  Tel.: +49(451)53044384
  Fax: +49(451)53044263
  E-Mail: bewerbung-storebest@pluss.de
  Arbeitsort(e)     23560 Lübeck
  Arbeitsbeginn     15.12.18
  Arbeitszeitmodell Vollzeit
  Stunden/Woche     35
  Vergütung         Tarifvertrag BAP/DGB + Branchenzuschläge Metall- und Elektroindustrie (TV BZ ME)",3
2,,NoAz,"  * Startseite
  * Karriere
  * Offene Stellen
  * Qualitätsmanager (m/w)

  Qualitätsmanager (m/w)

  Die Umsetzung von Qualitätsprozessen zur Produktion hochwertiger Industrie- und Schwerarmaturen bietet jeden Tag neue, spannende Erlebnisse und ist eine Basis unseres Erfolges. Mit unseren Armaturen helfen wir das Leben unserer Kunden angenehmer und sicherer zu gestalten. Wir sehen uns als solides, mittelständisches Unternehmen und uns liegen die Wünsche unserer Kunden besonders am Herzen.
  Für unser Team am Standort in Schloß Holte-Stukenbrock suchen wir eine(n) Qualitätsmanager (m/w).

  Datum: ab sofort | Art: Vollzeit | Ort: Schloß Holte-Stukenbrock
  __________________________________________________

  Ihre Aufgabenschwerpunkte

  * Sie entwickeln und begleiten Maßnahmen zur Qualitätsplanung und Qualitätslenkung.
  * Sie koordinieren und überwachen Präventivmaßnahmen zur Sicherstellung hoher Qualitätsstandards.
  * Sie kommunizieren und koordinieren die Qualitätsgrundsätze zur Förderung des Qualitätsbewusstseins in der Unternehmensgruppe.
  * Sie wirken bei der Planung und Umsetzung der Qualitätspolitik mit.
  * Sie sind interner Auditor und Berater in der Wertschöpfungskette.
  __________________________________________________

  Unsere Anforderungen

  * Sie verfügen über eine Berufsausbildung im Metallbereich und eine Weiterbildung zum Techniker oder zum Ingenieur.
  * Sie sind mit Methoden und Tools im Projekt-, Prozess- und Qualitätsmanagement vertraut.
  * Sie können erste Erfahrungen im Qualitätswesen und Kenntnisse in der Mess- und Prüftechnik vorweisen.
  * Sie besitzen sehr gute Kenntnisse der deutschen und englischen Sprache in Wort und Schrift.
  * Vorhandene internationale Reisebereitschaft und eine ausgeprägte technische Fachkompetenz runden Ihr Profil ab.
  __________________________________________________

  Hinweise zur Bewerbung

  Wir freuen uns, wenn Sie die Möglichkeit zur Online-Bewerbung wahrnehmen, da wir Ihre Bewerbung auf diese Weise am einfachsten bearbeiten können. Selbstverständlich können Sie uns Ihre Bewerbung auch per Post oder E-Mail zukommen lassen. Bitte nutzen Sie dazu die folgenden Kontaktdaten:

  ARI-Armaturen
  Albert Richter GmbH & Co. KG
  Personalabteilung
  Mergelheide 56-60
  D-33758 Schloß Holte-Stukenbrock
  Telefon: +49 5207 994-0
  E-Mail: personal@ari-armaturen.com

  Jetzt bewerben!

  Zur Durchführung von Bewerbungsverfahren verarbeiten wir die von Ihnen gemachten Angaben nach geltendem Datenschutzrecht. Weitere Informationen zum Umgang mit personenbezogenen Daten erhalten Sie in unserer Datenschutzerklärung.",3
3,,NoAz,"  ++REGIONALE Einsatzgebiete! KEINE Montage! TOP Verdienst!++ (Elektroniker/in - Betriebstechnik (Schalt- und Steueranl.))

  directhire

  Stellenangebotsbeschreibung:
  Stellenportal 24 gehört zu den führenden privaten Arbeitsvermittlungen in Deutschland und vermittelt Arbeitsplätze kleiner, mittelständischer und großer Unternehmen in ihrer Region.

  Führendes Unternehmen sucht erfahrene und verantwortungsbewusste Elektroniker (m/w)!

  Ihr Aufgabenfeld:
  - Wartung & Instandhaltung von Produktionsanlagen
  - installieren elektronischer Anlagen (Schaltschrankverdrahtungen)
  - Betriebstests durchführen, ggf. Störungsbeseitigung
  - Arbeitsdokumentation am PC

  Unser Angebot:
  - sehr gutes Betriebsklima
  - verantwortungsvolle Tätigkeit
  - unbefristete Vollzeitstelle
  - geregelte Arbeitszeiten von Montag - Freitag
  - Verdienst ab min. 15? brutto / Std.

  So bewerben Sie sich auf diese Stelle:
  - Nutzen Sie unser übersichtliches Bewerberportal unter: www.stellenportal24.de
  - Dadurch kann Ihre Bewerbung innerhalb weniger Minuten von uns bearbeitet werden

  Bitte entschuldigen Sie, dass wir aufgrund der hohen Anzahl an Bewerbungen leider nur Unterlagen mit frankiertem Rückumschlag zurücksenden können.

  fulltime

  Gewünschte Bewerbungsarten: über Internet Internetadresse: https://ssl.stellenportal24.de/bewerbung Geforderte Anlagen: http://www.stellenportal24.de Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1167150406-S

  10000-1167150406-S",3
4,,NoAz,"  Erzieher/in

  directhire

  Stellenangebotsbeschreibung: Gruppenleiter m/w/d für eine Kindergartengruppe im Kindergarten Bündheim Bei der Stadt Bad Harzburg ist im Kindergarten Bündheim ab 01. März 2019 eine Stelle als Gruppenleitung m/w/d für eine Kindergartengruppe auf Dauer zu besetzen. Voraussetzung für die Besetzung der Stelle ist eine abgeschlossene Ausbildung zum staatlich anerkannten Erzieher m/w/d. Wir suchen eine Persönlichkeit, die * mehrjährige Berufserfahrung mitbringt; * das Einbringen eigener pädagogischer Ideen und Vorstellungen selbstverständlich findet; * qualifizierte pädagogische Kenntnisse besitzt; * konflikt- und kritikfähig ist; * Engagement für innovative Prozesse mitbringt; * offen und flexibel ist; * Offenheit und Toleranz gegenüber Kindern und Eltern sowie deren Lebenssituation zeigt. Die Bereitschaft zu Weiterbildungen und Fortbildungen wird vorausgesetzt. Die durchschnittliche regelmäßige Arbeitszeit beträgt 35 Stunden. Die Eingruppierung erfolgt nach Entgeltgruppe S 8a TVöD
  Sozial- und Erziehungsdienst. Für weitere Informationen steht Ihnen Frau Rieger (Tel.: 05322/74-501) gern zur Verfügung. Aussagekräftige Bewerbungsunterlagen erbitten wir bis zum 26.Oktober 2018 an die: Stadt Bad Harzburg - Amt für Personal- und Bildungswesen - Forstwiese 5 38667 Bad Harzburg Ergänzende Informationen: Anforderungen an den Bewerber: Erweiterte Kenntnisse: Erziehung

  parttime

  Gewünschte Bewerbungsarten: schriftlich Geforderte Anlagen: Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1165946798-S

  10000-1165946798-S",3
5,,NoAz,"  Schnell Arbeit finden! Für unseren Kunden suchen wir Verstärkung im Rahmen der Zeitarbeit:

  Tischler (m/w) mit Übernahmeoption in Berlin-Mitte

  Job-ID: B-H-60496-TH-10115

  Ihre Aufgaben

  * Einsetzen von Fenstern, Treppen und Türen
  * Verlegen von Parkettböden
  * Montage von Einbaumöbeln oder Wandverkleidungen
  * Behandlung von Holzoberflächen
  * Werkstattfertigung sowie Arbeiten vor Ort (Sanierungsobjekte)

  Ihr Profil

  * Abgeschlossene Berufsausbildung zum Tischler (m/w) oder Zimmerer (m/w)
  * Gern auch Berufseinsteiger (m/w)
  * Pkw wünschenswert
  * Zuverlässigkeit, Motivation und Flexibilität

  Ihre Perspektiven

  * Professionelle Beratung und individuelle Auswahl der passgenauen Positionen
  * Neue Herausforderungen und anspruchsvolle Projekte
  * Attraktive Vergütungsmodelle und betriebliche Altersvorsorge
  * Mitarbeitervergünstigungen bei über 200 namhaften Anbietern
  * Qualitativ hochwertige Arbeitsschutzkleidung von Engelbert Strauss

  Über ZAG

  ZAG Personal & Perspektiven zählt mit über 10.000 Mitarbeitern in über 110 Geschäftsstellen zu den führenden Personaldienstleistern in Deutschland. Seit 1984 sind wir Experte für Arbeitswelten und Spezialist für mehr Perspektiven. Mit Zeitarbeit und Personalvermittlung bieten wir gerade auch qualifizierten Bewerberinnen und Bewerbern hervorragende Einstiegswege und Karrierechancen auf dem sich wandelnden Arbeitsmarkt.

  Haben wir Ihr Interesse geweckt?

  Dann bewerben Sie sich jetzt über unsere Online-Bewerbung oder per E-Mail.
  Jetzt bewerben

  Ihr Ansprechpartner

  * Kontakt
  * Bild

  Herr Patrick Tartsch

  ZAG Personal & Perspektiven
  Kompetenzbereich Handwerk
  Richard-Wagner-Platz 3
  10585 Berlin-Charlottenburg

  E-Mail: [protected email address]

  Telefon: 0 30 / 3 47 92 90

  Zur Standortseite
  *
  * Empfehlen:
  *
  *
  *
  *
  *
  *

  Stelle gemerkt
  Zurück

  Zum Seitenanfang

  * Impressum
  * Haftungsausschluss
  * Datenschutzerklärung

  * Öffentliches Verfahrensverzeichnis
  * Allgemeine Geschäftsbedingungen

  © 2018 ZAG Zeitarbeits-Gesellschaft GmbH",3
6,,NoAz,"  Mitarbeiter Personalabteilung gesucht, m/w

  Ursula Mairinger Private Arbeitsvermittlung Berlin
  + Posted on 28 Feb 2018
  + Job type: Full time
  + Career level: Professional/Experienced
  + Industry: Other industries
  Wir suchen im Auftrag für unseren Kunden mit Schwerpunkt Dienstleistung in Berlin Mitarbeiter für die Personalabteilung, m/w

  Ihre Aufgaben beinhalten:
  Betreuung der Mitarbeiter, Mitarbeiterführung, Bearbeiten von Einsatzplänen, Prüfen und Weiterleiten der Ausgangspost, Erstellen von Informationsschreiben, enge Zusammenarbeiter mit Dienstleistern,

  Sie bringen mit:
  eine abgeschlossene kfm. Ausbildung oder vergleichbare Qualifikation, sehr gutes Zahlenverständnis, hohes Verantwortungsbewusstsein, kommunikative und organisatorische Fähigkeiten, sehr gute Excel-Kenntnisse, Teamfähigkeit und Zuverlässigkeit,
  Gehalt: nach Vereinbarung Arbeitszeit: Vollzeit oder Teilzeit sind möglich.

  Was tun wir für Sie:
  Wir begleiten Sie in der Bewerbungsphase, stellen den Kontakt zum Arbeitgeber her und geben unsere Empfehlung für Sie ab!
  Gerne per Mail an: bewerbung@pav-mairinger.de",3
7,,NoAz,"  Mitarbeiter für den technischen Vertrieb im Innendienst und Außendienst (m/w) - Ketten Branscheid GmbH

  Ennepetal, Nordrhein-Westfalen 58256

  Ketten Branscheid GmbH

  DA-289-4085323-12

  *
  *
  *
  *
  *

  Wir sind ein international ausgerichtetes, innovatives und mittelständisches familiengeführtes Unternehmen. Als Hersteller von hochwertigen gesenkgeschmiedeten Förderketten und Plattenbänder sowie spanend gefertigten Zubehörteilen für Kettenförderer sind wir weltweit erfolgreich tätig. Der Einsatzbereich der BRANSCHEID-Ketten ist sehr umfangreich und umfasst folgende Branchen: Müllverbrennungsanlagen, Kohlekraftwerke, Klärwerke, Zementindustrie, Futtermittelindustrie, Holzindustrie, Stahlwerke, Recyclingindustrie etc.

  Zur sofortigen Verstärkung unseres Vertriebsteams suchen wir eine/n

  Mitarbeiter für den technischen Vertrieb im Innendienst und Außendienst (m/w)

  Die Aufgaben dieser Position reichen von der Akquisition von Neukunden über die Betreuung unseres bestehenden Kundenstamms bis zur Auftragsbearbeitung. Wir suchen eine begeisternde und vertriebs­starke Persönlichkeit, die sowohl technisches Verständnis als auch ein gutes Auftreten gegenüber Kunden mitbringt.

  Ihre Hauptaufgaben:

  * selbständige Akquise von Neukunden und Betreuung der Bestandskunden
  * technische Beratung unserer Kunden vor Ort
  * Außendienst inkl. Fachmessen-Besuche
  * Sie planen Ihre Vertriebsaktivitäten systematisch, steuern die Angebotsverfolgung und pflegen das CRM-System mit Ihren Kundendaten. Unterstützt werden Sie dabei von einem bestens eingespielten technischen und kaufmännischen Back Office

  Ihre Qualifikation:

  * erfolgreich abgeschlossene kaufmännische Ausbildung (zum Industriekaufmann/frau) oder alternativ eine technische Ausbildung mit kaufmännischer Erfahrung
  * technisches Verständnis und Leidenschaft für den Vertrieb
  * Berufserfahrung im Vertrieb sowie Erfahrungen auf dem Gebiet des Maschinenbaus wären von Vorteil
  * Bereitschaft zur Reisetätigkeit im In- und Ausland
  * sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift, weitere Sprachkenntnisse von Vorteil
  * fundierte MS-Office Kenntnisse
  * Sie sind teamfähig, belastbar, selbständig und verfügen über gute kommunikative Fähigkeiten sowie eine hohe Kundenorientierung

  Unser Angebot:

  * Ein sicheres und nachhaltiges Arbeitsverhältnis bei einem dynamischen, leistungsstarken Familienunternehmen
  * Ein sehr hohes Maß an Selbständigkeit und Eigenverantwortung
  * Eine leistungsgerechte Vergütung
  * Eine interessante Aufgabenstellung in einem kollegialen Klima
  * Einen Firmenwagen, auch zur privaten Nutzung
  * Ein modernes und innovatives Arbeitsumfeld
  * Umfangreiche Sozialleistungen
  * 30 Tage Urlaub

  Wenn Sie Interesse an dieser Aufgabe haben, nehmen Sie bitte Kontakt mit uns auf und senden uns Ihre aussagefähige Bewerbung (gerne Online).


  Ketten Branscheid GmbH
  Frau Meike Werthmann
  Egerstraße 6, 58256 Ennepetal
  E-Mail: werthmann@branscheid.com
  Sie finden uns im Internet unter www.branscheid.com",3
8,,NoAz,"  Jobs per E-Mail

  HCL GREAT BRITAIN LIMITED

  Cluster Manager@ Bremen, Germany

  * Bremen
  * Feste Anstellung
  * Vollzeit
  *

  HCL Technologies is the fastest growing IT services company (Brand Finance Global 500, 2017) in the world; a $6.9 Bn global company operating out of 33 countries that specializes in transformation of IT and engineering services.

  HCL provides an integrated portfolio of services underlined by its Mode 1 - 2 - 3 growth strategy. Mode 1 encompasses core services in the areas of Applications, Infrastructure, BPO and Engineering & R&D services. Mode 2 focuses on experience -centric and outcome -oriented services such as Digital and Analytics Services, cybersecurity, cloud and AI. Mode 3 is ecosystem-driven, creating innovative IP -partnerships to build products and platforms business. With this in mind, HCL has invested heavily in building solutions and partnerships that cater to businesses of the 21st century.

  Our success is built on our core engineering strength and strong domain competency, spanning retail & corporate banking, capital markets and insurance sectors and catering to the IT and operational needs of leading financial services companies. HCL focuses on creating real value for customers by taking - Relationships Beyond the Contract; a philosophy which places our customers at the heart of every digital transformation, pushing the envelope and being pioneers in the FinTech industry.

  Your tasks

  Job Description

  German Fluency is mandatroy for the role

  Governance
  Manage the Governance and act as single point of contact for the regional governance.
  Drive the Monthly/Quarterly/Half-Yearly and Annual Meetings for the BU
  Do regular checks on Customer Satisfaction via Audits and other methods and take steps to improve services and satisfaction levels to agreed levels
  Single point of contact for escalations
  Establish and manage relationships with Regions (BU) ICS

  Day to Day Operations
  Get gap analysis done for the Region and flag any risk and issues and dealt with amicably as agreed with both HCL and TNT stakeholders
  Represent Change Management in the CAB meetings
  Reflect and maintain an in depth understanding of IT infrastructure in the region
  Ensure that technical system support services are delivered consistently to all the sites in the region.
  Ensure the deliver a consistent support service for all locations/remote sites inside the BU
  Ensure overall services being delivered adhere to the agreed SLA and KPI
  Do monthly capacity management report specific to the BU for internal HCL management, in case there is urgent requirements quickly escalate the same with HCL.
  Make sure the identified Service improvement Plans are executed and observed to give the expected results.
  Manage / Mentor the onsite HCL staff and make sure they are comfortable in delivering agreed services. Manage Attrition, Training for the regional staff
  Responsible for the Infra Service Towers assigned by the line manager.
  Interact with BU PPM and understand the demand pipeline. Take suitable actions to make sure the operations teams are ready for the demand.
  Make sure various projects have the right handover criteria for acceptance into operations.
  Discuss/Agree and accept various projects into operations based on the Acceptance criteria agreed earlier and make sure the initial hand hold is done for a seamless introduction of new services

  The Skill required
  Candidates should have a level of technical lead experience commensurate with the role, and must include at least 6-8 years post graduate hands-on technical experience, which should include technical lead roles.

  Years of Experience
  6 to 8 years

  Your profile

  Technical / Professional Skills
  Â· GOOD to HAVE
  Â· Must Speak Native German
  Â· Experience working with and applying Design patterns to solve problems.
  Â· Demonstrate strong written and oral communication skills.
  Â· Hands on experience in Tomcat and Weblogic/Websphere servers
  Â· Non-Technical / Soft Skills
  Â· Sound communication skills.
  Â· Sound time management skills.
  Â· Good ability to anticipate issues and formulate remedial actions.
  Â· Sound interpersonal and team working skills.
  Â· Sound ability to take on multiple assignments.
  Â· ITIL certification
  Â· Good problem-solving skills.
  Â· Easily adoptable to company culture.
  Â· /Leadership & Management
  Â· Stakeholder Management
  Â· Account Management
  Â· Financial, Commercial & Contract Management
  Â· Service Improvement & Value Creation
  Â· Performance Management
  Â· Reporting & Governance
  Â· Operational Contract Management
  Â· Excellent written and verbal communication skills
  Â· Stakeholder management skills
  Â· Ability to influence key stakeholders in Customer Accounts
  Â· Ability to translate and communicate business requirements and service requirements/specifications to varying levels of audience
  Â· Understanding of ITIL process and structure
  Â· Good Word, PowerPoint and Excel skills, with a demonstrable ability to build well-presented and logical documents and presentations.
  Â

  We offer

  Salary as per the Market Standards and Benefits are prer Company Policy

  Contact

  Swati Dhingra
  Show on map

  Location


  HCL GREAT BRITAIN LIMITED
  Bremen, Deutschland

  Apply Now
  Merken
  Sie möchten sich dieses Stellenangebot per Email senden?",3
9,,NoAz,"  Buchhalter Bilanzen (m/w)

  Jetzt bewerben

  Zum nächstmöglichen Zeitpunkt suchen wir einen Buchhalter für Bilanzen (m/w) für den Einsatzort Berlin.

  Ihre Aufgaben liegen im Wesentlichen in der Erstellung von Bilanzen und Abschlüssen sowie im eigenständigen und verantwortlichen Organisieren und Koordinieren von Abläufen in der Buchhaltungsabteilung eines Unternehmens oder Betriebes.

  Das bieten wir Ihnen:
  * internes Personal, das sich engagiert um Sie kümmert
  * ehrliche und offene Mitarbeiterbetreuung
  * interessante Einsätze bei namhaften Unternehmen
  * hohe Übernahmequote
  * bis 30 Tage Urlaub (je nach Betriebszugehörigkeit)
  * eine attraktive und leistungsorientierte Vergütung (gem. geltendem Tarifvertrag)
  * Mitarbeitervorteilsprogramm (wie z. B. Vergünstigungen in Onlineshops)
  * Weihnachts- und Urlaubsgeld
  * unbefristeter Arbeitsvertrag
  * Zuschuss zur betrieblichen Altersvorsorge
  * kostenfreie arbeitsmedizinische Vorsorgeuntersuchung

  Das bringen Sie mit:
  * abgeschlossene Ausbildung im Steuerwesen, im verwaltenden oder kaufmännischen Bereich
  * mehrjährige Berufserfahrung und Weiterbildung bzw. Qualifikation als Bilanzbuchhalter/in (IHK) o. ä.
  * ausgezeichnete EDV-Kenntnisse in Microsoft Office und auch in buchhaltungsrelevanter Software wie z. B. SAP FI
  * Sorgfalt, Zuverlässigkeit und Teamfähigkeit
  * hohe Zahlenaffinität und selbstständige, verantwortungsbewusste Arbeitsweise

  Sie erkennen sich wieder? Dann freuen wir uns auf Ihre Bewerbung oder Ihren Anruf!

  In einem Bewerbungsgespräch besprechen wir bei einer Tasse Kaffee oder einem Erfrischungsgetränk ganz unverbindlich die weiteren Schritte. Alternativ können Sie sich auch gerne auf unserer Homepage www.tempton.de über das Online-Formular bewerben oder uns Ihre Bewerbung postalisch einreichen.
  Jetzt bewerben Ähnliche Jobs

  TEMPTON überzeugt Kunden und Mitarbeiter! Top-Bewertungen bestätigen erstklassige Leistungen.

  Bewerben Sie sich gerne mit Ihrem Online-Profil:

  Gute Arbeit hat ihren Preis. Das wissen wir! Sie denken dabei sofort an faire Bezahlung, Festanstellung und Teamgeist? Kein Problem, wenn Sie sich für einen JOB bei TEMPTON entscheiden. TEMPTON ist bundesweit anerkannter TOP-Arbeitgeber und an mehr als 80 Standorten ansässig. Als führender Personaldienstleister für den Mittelstand verfügt das Unternehmen mit seiner 30-jährigen Erfahrung am Markt über eine ausgezeichnete Expertise im Bereich der Arbeitnehmerüberlassung und Personalvermittlung. Die Zusammenarbeit mit mehr als 10.000 Kundenunternehmen verschiedenster Fachrichtungen und die Nachfrage nach Mitarbeitern aller Qualifikationsstufen macht TEMPTON zu einem spannenden Arbeitgeber.

  Weitere Stellenanzeigen für Sie:

  * 10245 Berlin
  * ab sofort
  * unbefristet
  * Vollzeit

  Interesse? Sprechen Sie uns an!

  Frau Martina Hennig
  +49 30 23634060
  business.berlin@tempton.de

  Postanschrift
  TEMPTON Personaldienstleistungen GmbH - Fachbereich Business
  Frau Martina Hennig
  Revaler Straße 100
  10245 Berlin",3
