,id,label_class,text,label
0,F45A07277DA156B32B80C8E13018033D,Auszubildende,"Das boni Center ist ein Supermarkt im Herzen von Witten und bietet den Menschen in Witten und Umgebung seit fast 40 Jahren eine große Auswahl an Lebensmitteln. Die einzigartige Kombination aus Qualität, Service, Frische und Vielfalt schafft ein mehrfach ausgezeichnetes Einkaufserlebnis. 

Werde auch ein Teil vom boni Center. Wir freuen uns auf deine Bewerbung! :-)

Voraussetzungen für den Beruf
 _____________________________

 ¿Du isst gerne Fleisch, Wurst und Käse?
 ¿Du möchtest gerne mehr darüber wissen? Das boni Center ist ein Supermarkt im Herzen von Witten und bietet den Menschen in Witten und Umgebung seit fast 40 Jahren eine große Auswahl an Lebensmitteln. Die einzigartige Kombination aus Qualität, Service, Frische und Vielfalt schafft ein mehrfach ausgezeichnetes Einkaufserlebnis. 

Werde auch ein Teil vom boni Center. Wir freuen uns auf deine Bewerbung! :-)

 ¿Du bist gerne unter Menschen und möchtest im Team arbeiten?
 ¿Du bist körperlich belastbar?
 ¿Du hast Spaß daran, Kunden stets freundlich und geduldig zu bedienen und zu beraten?
 ¿Du hast einen guten Hauptschulabschluss?
 
Wenn du diese Fragen mit Ja beantworten kannst, dann erfüllst du bereits die Grundvoraussetzungen für eine Ausbildung in unserem Boni center.

Das erwartet dich
_____________________________

Du arbeitest abwechselnd an den unterschiedlichen Bedienungstheken.
 
Neben unserer großen Auswahl (350 Wurst- und Schinkenspezialitäten, ca. 500 Käsesorten) haben wir sehr hohe Qualitätsansprüche. Die Qualität der Produkte muss erstklassig sein, aber auch an die Beratungsfähigkeit unserer Mitarbeiter stellen wir höchste Anforderungen.
 
Die wichtigsten Säulen Ihrer Ausbildung sind daher Warenkunde, Kundenberatung und Warenpräsentation.

Zusätzlich finden regelmäßig Seminare, Warenkundeschulungen und Betriebsbesichtigungen statt

Warum Boni?
_____________________________

¿ Familiäres Arbeitsklima
¿ Garantierte Übernahme bei guten Leistungen 
¿ Korrekte Zeiterfassung
¿ Urlaubs- und Weihnachtsgeld, Mitarbeiterrabatt

Vergütung
_____________________________

750 EUR brutto im 1. Lehrjahr
850 EUR brutto im 2. Lehrjahr
900 EUR brutto im 3. Lehrjahr
Besondere Leistungen belohnen wir am Ende der Ausbildung mit einer Prämie.

Dauer der Ausbildung 
_____________________________

Die Ausbildung zum/zur Fachverkäufer/in (m/w/d) dauert insgesamt drei Jahre. 

_______________________________________________________________________________

Mehr Infos unter  		https://www.boni-center.com/
_______________________________________________________________________________",0
1,F45A9F0659FE56AC7A5AB3DCE7689BF9,Auszubildende,"Wir sind seit über 40 Jahren zuverlässiger Partner für Gebäudetechnik. Unser Leistungsspektrum umfasst den gesamten Bereich der Gebäudetechnik. Gegründet wurde unsere Firma im Jahr 1973 von Elmar Bey und wird aktuell vom Inhaber und Geschäftsführer Thorsten Bey geleitet. Durch unsere langjährige Erfahrung und unser gut geschultes Personal (ca. 50 Mitarbeiter) bieten wir höchste Standards in den Bereichen Klima, Kälte, Lüftung, Heizung, Sanitär und Elektro.

Wir suchen zum 01.08.2017 drei Auszubildende zum/zur Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik.

Tätigkeitsbereiche: 
- Voll- und Teilklimaanlagen 
- Be- und Entlüftungsanlagen 
- Raumkühlanlagen mit Kaltwassererzeugern 
- Raumkühlanlagen mit Multi-Split-VRF-Systemen 
- Raumkühlanlagen mit Multi-Split-Systemen 
- Raumkühlanlagen mit Single-Split-Systemen 
- Heizungsanlagen 
- Kundendienst 
- Bäder zum Wohlfühlen 
- Sanitäranlagen 
- Gebäudeautomation für Heizungs- und Lüftungsanlagen 
- 24 h Notdienst 

Zwingend erforderlich ist mind. ein Hauptschulabschluss oder höherwertiger Abschluss mit guten Leistungen in Mathematik.

Gute deutsche Sprachkenntnisse in Wort und Schrift werden vorausgesetzt.

Bei Interesse freuen wir uns auf Ihre Bewerbung!",0
2,,Azubi,"  Ausbildungsplatzangebot

  Angebots-Nr. 107-128893-761663

  Label Content
  Ausbildungsberuf Kaufmann/-frau im Einzelhandel
  (zum Berufe-Steckbrief )
  Schulabschluss wünschenswert Mittlerer Abschluss oder vergleichbar
  Beginn 01. August 2018
  Angebotene Plätze 8
  Stellenbeschreibung

  Ausbildung zum Kaufmann im Einzelhandel (m/w)

  Wir sind ein inhabergeführtes Familienunternehmen mit Sitz in Berlin. Die Aktiv-Schuh Handelsgesellschaft mbH blickt auf über 115 erfolgreiche Jahre im Schuh-Einzelhandel zurück und ist der Marktführer in Berlin. Zu unserer Firmengruppe gehören die Konzepte Aktiv-Schuh, Shoe City, Tivola, Hammer Schuh sowie verschiedene Monolabelstores mit internationalen Marken in über 60 Stores bundesweit. Unsere Fachkompetenz wird durch unser freundliches, motiviertes und qualifiziertes Team in allen Bereichen an unsere Kunden weitergegeben.

  Wir wachsen stetig und richten unseren Blick kontinuierlich nach vorn. Entsprechend unserer Expansionspolitik eröffnen wir stets neue Stores und verfolgen unsere Digitalisierungsstrategie. Und dafür suchen wir Sie! Unsere abwechslungsreiche Ausbildung bereitet Sie optimal auf einen Beruf mit Perspektiven und Aufstiegsmöglichkeiten in einem erfolgreichen Unternehmen vor.

  Werde Teil unseres Teams und lerne unser Business von der Pike an:

  Ihre Ausbildung:
  * Kennenlernen unterschiedlicher Vertriebskonzepte anhand eines detaillierten Ausbildungsplans
  * Erlernen vielfältiger Verkaufstechniken und aktive Anwendung bei der Kundenberatung
  * Praxisbegleitende und innerbetriebliche Produktschulungen
  * Mitarbeit an Projekten und Aktionen, bspw. Teilnahme Sonderverkaufsflächen oder Inventuren
  * Kennenlernen und Umsetzung von Warenpräsentationsgrundsätzen in den Verkaufsräumen
  * Kundenorientiertes Arbeiten

  Ihr Profil:
  * Realschulabschluss oder vergleichbare Ausbildung
  * Serviceorientierte Einstellung und Spaß am Verkauf
  * Interesse und Gespür für Mode und Trends
  * Hohes Maß an Eigeninitiative, Engagement und Spaß an der Arbeit im Team
  * Stilvolles Erscheinungsbild, eine positive Ausstrahlung und kommunikatives Auftreten
  * Gute Englischkenntnisse von Vorteil

  Unser Angebot:
  * Eine abwechslungsreiche und systemische Ausbildung, die Theorie und Praxis miteinander verknüpft
  * Persönliche Begleitung durch Ihre Ausbilder und regelmäßiges Feedback zu Ihrer Entwicklung
  * Möglichkeit zur weiterführenden Ausbildung zum Handelsfachwirt (m/w)
  * Ein innovatives und expandierendes Unternehmen
  * Eine offene und angenehme Arbeitsatmosphäre
  * Marktgerechte- und leistungsorientierte Ausbildungsvergütung

  Standort: Alle Standorte - Sollten Sie sich für mehrere Standorte interessieren, genügt eine Bewerbung mit der Angabe Ihres Favoriten. In unserem persönlichen Kennenlernen besprechen wir Ihre konkreten Wünsche.

  Möchten Sie Ihre Karriere bei uns starten?

  Dann freuen wir uns auf Ihre vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, aktuelle Schulzeugnisse, Praktikumsnachweise) an jobs@aktiv-schuh.de.
  Dokumente Ausbildung Kaufmann.pdf (2.48 MB )
  www.ihk-lehrstellenboerse.de

  Unternehmen

  Aktiv-Schuh Handelsgesellschaft mbH

  Georg-Schendel-Str. 2
  12489 Berlin

  Kontakt

  Aktiv-Schuh Handelsgesellschaft mbH

  Georg-Schendel-Straße 2
  12489 Berlin

  Zur Homepage
  Kontakt aufnehmen

  Auf Deine Bewerbung freut sich:

  Julia Fahrenkrug

  Weitere Ausbildungsplatzangebote des Unternehmens (4)

  * Fachlagerist/-in (2)
  * Verkäufer/-in (8)
  * Kaufmann/Kauffrau im E-Commerce (2)",0
3,F45D893616706655CBEABD75FA3F06FE,Auszubildende,"Besser mit Herzblut.
BAUHAUS baut vor allem auf eines: Den Einsatz aller Mitarbeiterinnen und Mitarbeiter ¿ füreinander und für jeden einzelnen Kunden. Denn nur mit Respekt, Zusammenhalt und Leidenschaft macht es Spaß, jeden Tag aufs Neue alles zu geben. Engagierte Mitarbeiterinnen und Mitarbeiter sind das wertvollste Gut des Unternehmens ¿ und der beste Beweis dafür ist der Erfolg: Mit über 260 Fachcentren in 19 Ländern gehört BAUHAUS zu den erfolgreichsten Unternehmen Europas. Und freut sich darauf, mit dir noch besser zu werden!

Bei BAUHAUS gefragt:
Beraten und Verkaufen liegt dir im Blut. Du möchtest dich während deiner Ausbildung in einem Sortimentsbereich spezialisieren, dir fundiertes Fachwissen aneignen und nach und nach mehr Verantwortung übernehmen. Du willst Kunden bestmöglich weiterhelfen und dich mit deinen Ideen für guten Service einbringen. Kurz: Du suchst eine Ausbildung mit viel Abwechslung und sehr guten Perspektiven für deine Zukunft.

Das bietet dir BAUHAUS:
¿ Eine fachlich fundierte und abwechslungsreiche Ausbildung
¿ Eine besonders attraktive Vergütung: 1. Ausbildungsjahr 850¤, 2. Ausbildungsjahr 950¤ und im 3. Ausbildungsjahr 1.100¤
¿ Viele Schulungsangebote und individuelle Förderungen
¿ Umfassende Betreuung und viele Teamevents
¿ Sehr gute Übernahmechance nach der Ausbildung

Das bringst du mit:
¿ Guter Haupt- bzw. guter Realschulabschluss oder vergleichbare Qualifikation
¿ Interesse am Einzelhandel und dem BAUHAUS Sortiment
¿ Eigeninitiative, Einsatz- und Lernbereitschaft
¿ Freundlichkeit und ausgeprägte Kommunikationsfähigkeit
¿ Teamgeist und Verantwortungsbewusstsein


Interesse? Dann freuen wir uns auf deine aussagekräftige Bewerbung. Ein vertraulicher Umgang mit deinrn Unterlagen ist selbstverständlich.",0
4,F45B224007C32C4796EE53E88BE12B38,Auszubildende,"Bereit für den Sprung in die Arbeitswelt? 
Der Oldenburgisch-Ostfriesische Wasserverband (OOWV) bildet in vielen spannenden Berufen aus. Wir bieten dir einen tollen Start für deine berufliche Karriere. Als modernes Verund Entsorgungsunternehmen mit rund 700 engagierten Mitarbeiterinnen und Mitarbeitern beliefern wir fast 1 Million Menschen in der Region mit Trinkwasser und übernehmen die fachgerechte Abwasserentsorgung für etwa 500 000 Einwohner in 38 Kommunen. 
Der OOWV steht für Innovationen und Nachhaltigkeit. Dabei haben wir immer den Umweltschutz im Blick. Das bedeutet auch, sich ständig Herausforderungen zu stellen.

Dafür brauchen wir dich!

Wir suchen zum 1. August 2018 für unsere Hauptverwaltung in Brake mehrere
Auszubildende zum/zur Industriekaufmann/-frau

Ausbildungsschwerpunkte
Du absolvierst deine Ausbildung in unserer Hauptverwaltung in Brake und wirst sowohl in den kaufmännischen als auch in den technischen Bereichen eingesetzt. Dabei lernst du u.a. folgende Aufgaben kennen:
¿ Erlernen von Geschäftsprozessen u.a. in den Bereichen Finanz- und Rechnungswesen, Einkauf und Logistik, Personal, Öffentlichkeitsarbeit sowie Kundenservice und Abrechnung
¿ Kennenlernen der betrieblichen Organisation und übergreifenden Funktionszusammenhänge
¿ Korrespondieren und Kommunizieren mit Kunden und Lieferanten
¿ Arbeiten mit Informations- und Kommunikationsmitteln

Das bringst du mit:
¿ guter Realschulabschluss oder Abitur
¿ organisatorisches Geschick
¿ Aufgeschlossenheit, Kontaktfreude und gute Umgangsformen
¿ Anpassungs- und Kooperationsbereitschaft
¿ Teamfähigkeit und Engagement

Wir bieten dir
eine zukunftsorientierte Ausbildung in einem engagierten und erfolgreichen Dienstleistungsunternehmen. Als zuverlässiger Arbeitgeber im öffentlichen Dienst bieten wir dir eine angemessene Vergütung nach Tarif und sehr gute Perspektiven für deine berufliche Zukunft. Es erwarten dich qualifizierte Ausbilder, die mit Leidenschaft dabei sind und dich beim Start in das Berufsleben unterstützen.

Werde Teil unseres Teams!
Du hast Interesse am genannten Ausbildungsberuf, bist motiviert und zielstrebig? Dann freuen wir uns auf deine Bewerbung mit den letzten beiden Schulzeugnissen unter Angabe der Kennziffer 17000485.

Bitte sende uns deine vollständigen Bewerbungsunterlagen, vorzugsweise per E-Mail mit einer zusammenhängenden PDF-Datei an:

ausbildung@oowv.de
OOWV
Personalentwicklung und BGM
Georgstraße 4, 26919 Brake
Schwerbehinderte Bewerber/innen werden bei gleicher Eignung
bevorzugt.
www.oowv.de",0
5,,Azubi,"  ALLNET GmbH
  präsentiert von

  Job 2016 ? Ausbildung bei ALLNET!

  Wir bilden in folgenden Berufen aus:
  Kaufleute für Büromanagement mit folgenden Schwerpunkten:

  * Auftragssteuerung undkoordination
  * Kaufmännische Steuerung und Kontrolle
  * Kaufmännische Abläufe in KMU
  * Einkauf und Logistik
  * Personalwirtschaft
  * Marketing und Vertrieb
  * Assistenz und Sekretariat
  * Öffentlichkeitsarbeit und Veranstaltungsmanagement

  * Informatikkaufleute

  * Informations- und Telekommunikationskaufleute

  * Fachinformatiker

  * Kaufleute im Groß- und Außenhandel mit Schwerpunkt Außenhandel

  * Kaufleute im Groß- und Außenhandel mit Schwerpunkt Großhandel

  * Kaufleute für Marketingkommunikation

  * Mediengestalter

  * Fachkraft für Lagerlogistik

  Wir sind einer der führenden Distributoren aus dem Bereich IT und Kommunikation und bieten Dir einen Ausbildungsplatz mit Zukunft und internationaler Perspektive! Bei uns wirst Du von Anfang an in wichtige betriebliche Abläufe integriert. So bekommst
  Du einen detaillierten Einblick in die Abläufe eines der führenden europäischen Distributionsunternehmen.

  Weitere Fragen beantwortet Dir Frau Monika Schuster unter der Telefonnummer 089 894 22 79 oder per Mail unter mschuster@allnet.de
  Jetzt bewerben Zur Jobsuche
  ALLNET GmbH
  10435 Berlin
  //www.jobcluster.de/
  Ähnliche Jobs per
  E-Mail erhalten
  __________________________________________________

  Einsatzort:
  Berlin

  Position:
  Ausbildung

  Bildungsgrad Mindestvoraussetzung:
  nicht relevant

  Ähnliche Jobs
  __________________________________________________

  Lacklaborant (m/w)
  GEHOLIT+WIEMER Lack- und Kunststoff-Chemie GmbH

  Industriekaufmann (m/w)
  GEHOLIT+WIEMER Lack- und Kunststoff-Chemie GmbH

  Ausbildung Chemielaborant/in 2016
  Biologische Heilmittel Heel GmbH

  Ausbildung zum Chemikant (m/w)
  BASF Coatings GmbH

  Ausbildung zum Chemikant (m/w)
  BASF Coatings GmbH",0
6,F45D73866CFCADC258D578A42E603A04,Auszubildende,"Wir suchen zum 01.09.2021 eine/n Auszubildende zum

Konstruktionsmechaniker (m/w/d).

Konstruktionsmechaniker/innen stellen Metallbaukonstruktionen her. Mit Hilfe manueller und maschineller Verfahren fertigen sie einzelne Bauteile aus Blechen, Profilen sowie Rohren und montieren diese. 

Wir erwarten:
¿ guter Hauptschul- oder Realschulabschluss
¿ Interesse und Verständnis für technische Zusammenhänge
¿ Sorgfalt, Ausdauer und handwerkliches Geschick

Berufsschule: befindet sich in Friedrichshafen.

Die Ausbildung dauert 3,5 Jahre.
 
Wir bieten:
¿ Eine fundierte Ausbildung in einem motivierten Ausbilderteam
¿ Ein spannendes Tätigkeitsumfeld
¿ Sehr gute Übernahmechancen

Unser Angebot
Eine effektive Einarbeitung sowie laufende Aus- und Weiterbildungsmaßnahmen schaffen die Grundlage für Ihre anspruchsvolle Tätigkeit bei HSM. Wir bieten eine leistungsgerechte Bezahlung und ein abwechslungsreiches, herausforderndes Aufgabengebiet und eine breite Produktpalette.

Interessiert?
Dann freuen wir uns auf Ihre aussagekräftige Bewerbung (gerne auch online) mit Lebenslauf und Zeugniskopien an unsere Personalabteilung.",0
7,,Azubi,"  Ausbildung 2016 Berufskraftfah

  in Fahrer-Jobs.net (Anywhere)

  ALBA Logistik GmbH - Berlin - Geeignete Berufe: Der Arbeitgeber Alba Logistik in Berlin sucht für Berlin ab 01.09.2016 sechs Auszubildende als Berufskraftfahrer/in. Berufskraftfahrer/innen im Güterverkehr sind sie hauptsächlich mit dem Lkw unterwegs. Sie verbringen viel Zeit hinter dem Steuer und kennen... ist, und kontrollieren die mitzuführenden Papiere und die je nach Fracht evtl. erforderliche Beschilderung des Fahrzeugs. Tätigkeitsbeschreibung: - Sie erhalten eine Interessante und praxisnahe Ausbildung mit vielen technischen Möglichkeiten. - Nach Abschluss des Führerscheins werden Sie selbstständig Güter......lesen Sie hier die gesamte Anzeige",0
8,F458E7BC04E360F42FBBE8848EC446E9,Auszubildende,"Wie bieten zum Ausbildungsbeginn Oktober 2018 Ausbildungsstellen zum/r


Altenpflegehelfer/in


Voraussetzung:

-Hauptschulabschluss




Wir freuen uns auf Ihre Bewerbung !",0
9,F458C934575535F1581F4E88A08999D5,Auszubildende,"Für unsere Praxis im Herzen von Behringersdorf suchen wir ab 1. August 2018 eine freundliche, motivierte und teamfähige Auszubildende.
Wir freuen uns auf Ihre vollständigen und aussagekräftigen Bewerbungsunterlagen. Gerne auch per E-Mail an info@dr-dassler.de.
Für Rückfragen stehen wir gern zu Verfügung unter 0911/3752060.",0
