,id,label_class,text,label
0,32EC1E205480D0990D0496CC0016DBA2,nur Helfer,"Die Peterhoff Personaldienste GmbH unterstützen Ihre Kunden im Rahmen von Personaldienstleistungen mit Arbeitnehmern. Arbeitnehmerüberlassung, Personal-vermittlung und Personalberatung sind Unternehmensschwerpunkte der Peterhoff Personaldienste GmbH.;;Wir suchen für unseren Kunden mit Firmensitz in Stolberg-Mausbach mehrere Helfer m/w für einfache Tätigkeiten;in Vollzeit. ;;Eine spätere Übernahme in das Kundenunternehmen ist möglich. ;;Ihre Aufgaben:;¿ Verpacken;¿ Einfache Montagetätigkeiten;¿ Konfektionieren;¿ Reinigen;¿ Maschinenführung, Anlagenführung, -bedienung;¿ Qualitätskontrolle (einfache Kontrolltätigkeit);;Für die Ausübung der Tätigkeit sind Deutschgrundkenntnisse erforderlich. ;;Aufgrund der schlechten Anbindung an das ÖPNV-Netz ist eine eigene Mobilität zum Erreichen des Arbeitsplatzes zwingend erforderlich.;;;;Wenn alle diese Punkte auf Sie zutreffen, sollten wir uns schnellstmöglich unterhalten und gemeinsam einen positiven Weg in die Zukunft einschlagen. ;;Wie bieten Ihnen:;¿ Eine Chance auf einen beruflichen Neuanfang;¿ Bindung an einen Arbeitgeber, der Ihnen alle Möglichkeiten des Tarifvertrags bietet;¿ Soziale Sicherheit;¿ Urlaubs- und Weihnachtsgeld;¿ Zulagen;¿ Persönliche Betreuung;¿ Immer ein offenes Ohr für Ihre Belange und Wünsche;;Sonstiges:;Sie sind interessiert an einem nie langweilig werdenden Arbeitstag, Sie möchten immer wieder etwas Neues erleben. Der Kontakt zu Menschen liegt in Ihrem Naturell.;Dann bewerben Sie sich auf dieses Stellenangebot. Wir freuen uns auf Ihre Bewerbung vorzugsweise per eMai und unter Angabe einer Rufnummer, unter der wir sie zu den üblichen Geschäftszeiten erreichen können..;;Die Peterhoff Personaldienste GmbH gehört zu der Peterhoff Gruppe mit Sitz in Merzenich bei Düren",1
1,33051C8C78AE4641CFF02F51B74E0929,nur Helfer,"Zur Unterstützung des Teams wird dringend ein Zimmererhelfer,",1
2,33253C03A09171C94B58325C69E9DADC,nur Helfer,"""Der Mensch ist die bedeutendste Ressource des Unternehmens""

Die time Company versteht sich seit der Gründung 1998 als Bindeglied zwischen Mitarbeitern und Kunden. Daraus leiten sich die Ansprüche eines serviceorientierten Personaldienstleisters ab.

Unsere Erfahrung und unser Know-how ermöglichen unserem Kunden eine flexible, zeitnahe und qualitativ hochwertige Reaktion auf veränderte Anforderungen an seine Personalpolitik.

Ihr Partner, wenn`s um Zeitarbeit geht!

Wir suchen für unseren Kunden in Amberg:

Reinigungskraft

Tätigkeitsbereich:
Reinigen von Hotelzimmern

Was wir erwarten:
- Zuverlässigkeit
- Leistungsbereitschaft

Was Sie erwartet:
- Langfristiger Einsatz

Falls dieses Profil auf Sie zutrifft und wir Ihr Interesse geweckt haben sollten, dann lassen Sie uns einfach Ihre Bewerbungsunterlagen zukommen, damit wir ein Vorstellungsgespräch vereinbaren können. 
Wir freuen uns auf Sie.",1
3,4020B7D1B464B5D17574A5708D0892DB,- nur Fachkräfte,"Die Ambulante Intensiv Pflege Saar GmbH ist ein gut frequentierter, modern geführter ambulanter Intensivpflegedienst. 
Wir versorgen mit unseren bestens ausgebildeten Teams im Großraum Saar-Pfalz-Kreis bis Saarbrücken die uns anvertrauten Klienten, je nach medizinischer Notwendigkeit Tag und Nacht bis zu 24 Stunden in deren Häuslichkeit.

Die ambulante Intensivpflege bietet für examinierte Pflegekräfte ein spannendes Tätigkeitsfeld. Anders als im Krankenhaus, Pflegeheim oder Pflegedienst steht für die umfassende und individuelle Versorgung der Patienten viel Zeit zur Verfügung.

Die uns anvertrauten Menschen sind keine ¿Auftragsnummern¿, sondern allesamt Individuen, die unseren ganzen Respekt und unsere Aufmerksamkeit verdienen.
Wir sorgen dafür, dass die oder der Betroffene ihre bzw. seine Biografie bei einer Erkrankung nicht in fortwährender Melancholie fortsetzt, sondern die höchstmögliche Lebensqualität und damit Lebensfreude erfährt.

Als innovativer Pflegedienst mit engagierten und aktiven Teams steht für uns der Kunde im Mittelpunkt. Eine 100%ige Fachkraftquote ist selbstverständlich!

Zur Verstärkung unserer Teams bzw. zur Befriedigung unserer Warteliste suchen wir

Gesundheits- u. Krankenpfleger/Innen, Krankenpfleger/Schwestern,
Altenpfleger/-Innen

Gerne mit einer Fachweiterbildung zur außerklinischen Intensivpflege!
Der Einsatz kann in Vollzeit oder Teilzeit erfolgen.

Unsere Mitarbeiter sind unser höchstes Gut, weshalb es bei uns keine Zeitverträge oder Patienten-bezogene Verträge gibt. Viele Sonder- und Zusatzleistungen, betrieblich geförderte Weiterbildungen u.v.m. runden Ihr Engagement bei uns ab!

Wiedereinsteiger und Berufsanfänger werden eingehend eingearbeitet und an die Tätigkeiten herangeführt.

Wir freuen uns auf Ihre Bewerbung!",1
4,402149C424E112FAC65CAC8C497EC56D,- nur Fachkräfte,"Tätigkeitsbeschreibung:

Im Umfeld der Automobilzulieferindustrie sind Sie mitverantwortlich für die Instandhaltung und Neufertigung von Umformwerkzeugen insbesondere im Transfer. Desweiteren wirken Sie beim Bau von Stanz,-Umform-,Transfer-und Folgeverbundwerkzeugen mit und sind zuständig für die Wartung und Instandhaltung von Werkzeugen sowie für die Anpassung und Optimierung von Vorrichtungen. 

Qualifikation:

Sie haben eine abgeschlossene Ausbildung als  Werkzeugmacher/in oder Feinwerkmechaniker /in -Stanztechnik. Sie bringen eine einschlägige Berufserfahrung im Bereich, Bau von Stanz-, Umform-,Transfer-und Folgeverbundwerkzeugen mit und haben grundlegende Kenntnisse im Bereich der Wartung und Instandsetzung von Werkzeugen.

Persönliche Eigenschaften:

Sie sind zeitlich flexibel und das Arbeiten in Schichten gewöhnt. Teamfähigkeit und eine selbstständige sowie präzise Arbeitsweise runden Ihr Profil ab.",1
5,40240E56F73BFA1F2AB967F1894C2F80,- nur Fachkräfte,"Stellennummer: MAURER00184
Standort: Hamburg

Machen Sie mit uns die Zukunft sicher! Sind Sie begeisterungsfähig und auf der Suche nach einem spannenden und herausfordernden Job? Dann sind Sie bei uns genau richtig: 
Als unser Mitarbeiter sind Sie Teil eines interdisziplinären Teams, das innovative und ganzheitliche IT-Sicherheitslösungen für Behörden und Unternehmen entwickelt.
 
Ihr Aufgabenbereich
- lösungsorientierte Mitarbeit bei der operativen Leitung, Planung und Steuerung von Projekten
- Zusammenarbeit mit den Leitungen verschiedenster Hard- und Softwarenentwicklungsprojekte
- Erarbeitung von Status Reports, Präsentationen, CTAs und MTAs für das Reporting der Bereichsleitung und Geschäftsführung
- Erstellung von Auswertungen zu Projektkosten
- Unterstützung bei der Erstellung von Risikoanalysen, Entscheidungsvorlagen und Eskalationsmeldungen
- Management der Schnittstelle zu internen Stakeholdern, wie Controlling und Einkauf
- Erarbeitung von projektübergreifenden Vorgaben, Anleitungen und Best-Practice-Lösungen
 
Ihr Profil
- abgeschlossenes Studium der Betriebswirtschaftslehre, Wirtschafts- oder Ingenieurwissenschaften, oder einer vergleichbaren Berufsausbildung
- Erfahrung im technischen Projektmanagement sowie im Umgang mit den relevanten Prozessen und Methoden des Risikomanagements, Projektcontrollings und ¿ reportings (Kenntnisse in agilen Methoden von Vorteil)
- versierter Umgang mit MS Office, speziell Excel und Project sowie Erfahrung im Umgang mit SAP
- selbstständige, proaktive und zielorientierte Denk-und Arbeitsweise
- Durchsetzungsvermögen sowie ausgeprägte Kommunikationsfähigkeit
- Engagement und Teamgeist
 
Ihre Vorteile
- einzigartige, nationale sowie internationale Projekte
- moderne und agile Entwicklungsmethoden
- vielfältige Möglichkeiten zur Weiterentwicklung
- exzellente Rahmenbedingungen zur Vereinbarkeit von Lebenssituation und Beruf
- marktorientierte Vergütung und betriebliche Altersvorsorge
- attraktive Lage am Hamburger Binnenhafen mit guter Verkehrsanbindung
 
Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Bewerbung. Bitte nennen Sie in Ihrer Bewerbung Ihre Gehaltsvorstellung und den frühestmöglichen Eintrittstermin.

Für weitere Fragen stehen wir Ihnen unter der Tel. (030) 2598¿3428 zur Verfügung. 
BITTE BEWERBEN SIE SICH AUSSCHLIESSLICH ONLINE. Sie finden den entsprechenden Link unten in diesem Stellenangebot, oder auf www.bundesdruckerei.de unter Karriere - Aktuelle Stellenangebote.
 

Über die Bundesdruckerei
Die Bundesdruckerei ist eines der weltweit führenden Unternehmen der Hochsicherheitstechnologie.
Wir entwickeln maßgeschneiderte Lösungen rund um Sichere Identitäten und Datensicherheit für Bürger, Behörden und Unternehmen. Weil wir ganzheitlich denken, unterstützen wir unsere Auftraggeber entlang des gesamten Prozesses - von der Datenerfassung bis zur sicheren Nutzung persönlicher Daten im Internet. Die Bundesdruckerei steht dabei für technologische Forschung und Entwicklung auf höchstem Niveau. Um Identitäten in Zukunft noch effektiver zu schützen, setzen wir auf das Engagement und Know-how jedes einzelnen Mitarbeiters. Sie sind der Schlüssel für unseren Erfolg.
 
Weitere Informationen zur Bundesdruckerei und unseren Lösungen erhalten Sie unter
www.bundesdruckerei.de

Online Bewerbung
https://emea3.recruitmentplatform.com/syndicated/private/syd_apply.cfm?ID=Q5UFK026203F3VBQB8MV48NJ0&nPostingTargetId=9098&nPostingId=3606",1
6,32E107DF9349B2819A3151C8DC87DC2E,nur Helfer,"Randstad Referenznummer: R_17747; ;Sie suchen zum nächstmöglichen Zeitpunkt eine neue Herausforderung und können sich eine Tätigkeit im Lager gut vorstellen? Sie möchten langfristig bei einem Kunden mit guten Übernahmechancen tätig sein? Dann sind Sie bei uns richtig! ; ;Wir suchen Sie für die Kommissionierung von Drogerieartikeln in Burgwedel!  ; ;Ihr Profil: ;- Bereitschaft zur Schichtarbeit (2- und 3-Schicht-System) ;- Mobilität und Flexibilität ;- Körperliche Fitness ;- Zuverlässigkeit und Teamfähigkeit ; ;Wir bieten: ;- eine interessante und abwechslungsreiche Tätigkeit ;- ein festes und pünktliches Einkommen (übertarifliche Bezahlung von 9,23 ¤) ;- eine persönliche Betreuung und Beratung durch unsere Disponenten vor Ort ;- Vertretung durch einen  flächendeckenden Betriebsrat ;- Sozialleistungen inklusive Weihnachts- und Urlaubsgeld ;- kostenfreie Arbeitssicherheitskleidung und regelmäßige Vorsorgeuntersuchungen ;- Weiterbildungs- und Qualifizierungsmöglichkeiten ;- Chancen auf Übernahme beim Kunden ; ;Kein Auto? Kein Problem. Ihr Einsatzort verfügt über gute öffentliche Verkehrsanbindungen. ; ;Kommen Sie zu Randstad. Mehr Informationen zum Unternehmen finden Sie auch unter www.randstad.de ; ;Bewerben Sie sich jetzt direkt online. Wir freuen uns auf Sie!",1
7,3324A05128330EC719311FB4C21C8AAB,nur Helfer,"Wir suchen für einen Auftraggeber in Stuhr 3 Helfer/innen in Vollzeit:

Aufgaben:

- kommissionieren, verpacken, entladen von Containern

Körperliche Fitness ist erforderlich.
 
Mobilität zur Erreichung des Arbeitsortes muss gegeben sein. 
",1
8,4024752ECF6421FD99AC55633350BC6B,- nur Fachkräfte,"Wir, die Kath. Kirchengemeinde St. Ewaldi Dortmund, Egbertstr. 15, 44287 Dortmund,

suchen zum nächstmöglichen Zeitpunkt
eine pädagogische Fachkraft (m/w) 

für unseren 3-gruppigen Kindergarten St. Bonifatius Do.-Schüren. Es handelt sich um eine unbefristete Stelle, die vorerst auf einen Beschäftigungsumfang von 39 Stunden festgelegt ist. Zurzeit werden in unserer Einrichtung Kinder in der Gruppenform I und III betreut. 

Wir erwarten eine(n)  katholische(n) Mitarbeiter/in mit
-       der Ausbildung zur /zum staatlich anerkannten Erzieher/in
-	der Fähigkeit, sich mit umfangreichen erzieherischen und religionspädagogischen Kenntnissen zum Wohle der Kinder positiv einzubringen
-	der Fähigkeit, das Selbstverständnis eines kirchlichen Kindergartens mitzutragen und dessen Konzeption mit zu entwickeln und fortzuschreiben
-	hohem Maß an Kooperationsfähigkeit und Flexibilität
-	der Bereitschaft und Fähigkeit zur Teamarbeit
-	einschlägigen PC-Kenntnissen (Word/ Excel/ Powerpoint/ Bildungsdokumentation)

Wir wünschen, dass Sie
-	die Tageseinrichtung als Lebensraum für Kinder in den Altersgruppen von 2 Jahren bis zum Beginn der Schulpflicht betrachten und Ihnen das Zusammenleben mit den Kindern Freude bereitet
-	Freude am kirchlichen Leben ausstrahlen und engagiert im Leben der Gemeinde mitwirken
-        den Kindergartenalltag selbständig im Rahmen der Betreuungs-, Erziehungs- und Bildungsrichtlinien organisieren 
-        situationsorientiert arbeiten

Wir bieten Ihnen:
-	eine verantwortungsvolle und vielfältige Aufgabe in einem engagierten Team
-	selbstständiges Arbeiten mit fachlicher Begleitung
-	regelmäßige Fortbildungen
-	eine leistungsgerechte Vergütung und Sozialleistungen nach der kirchlichen Arbeits- und Vergütungsordnung (KAVO)
-	eine zusätzliche Altersversorgung durch die kirchliche Zusatzversorgungskasse
Schwerbehinderte werden bei gleicher Eignung entsprechend berücksichtigt. Ihre aussagekräftige Bewerbung richten Sie bitte an 
Kirchenvorstand St. Ewaldi Dortmund, zu Hd. Herrn Pfr. L. Hojenski, Egbertstraße 15, 44287 Dortmund",1
9,4024F950DF2D01556015F455980057A4,- nur Fachkräfte,"Für unseren Stammsitz in Crailsheim suchen wir zum nächstmöglichen Termin eine

Projektleitung IT (m/w)

Ihre Aufgaben:
¿ Leitung von mittel- und langfristigen IT-Projekten im Applikations- und Infrastrukturumfeld, von der Anforderungsanalyse bis hin zum 
  erfolgreichen Rollout.
¿ Durchführung von Migrationsprojekten.
¿ Konzepterstellung und Entwicklung von Architekturen innerhalb des Produktdaten-Managementsystems zur Unterstützung allgemeingültiger
  Geschäftsprozesse.
¿ Erweiterung und Anpassung der Systemlandschaft im Zuge des digitalen Wandels.
¿ Koordination von übergreifenden IT-Projektaufgaben im nationalen und internationalen Umfeld.

Ihr persönliches Profil:
¿ Sie bringen ein abgeschlossenes Studium der (Wirtschafts-)Informatik oder einen vergleichbaren Abschluss mit.
¿ Sie verfügen über eine mehrjährige Berufserfahrung im IT-Bereich eines produzierenden Unternehmens mit internationaler Ausrichtung oder
  der IT-Beratung für mittelständische Produktionsunternehmen.
¿ Sie können fundierte Kenntnisse in den Bereichen Produkt-Life-Cycle-Management und Produktdaten-Managementsysteme im
  Zusammenspiel mit IT-Geschäftsprozessen vorweisen.
¿ Zertifizierungen im Bereich Projektleitungsstandards (PMI, GPM, Prince2) sind von Vorteil.
¿ Sie haben eine ausgeprägte Kommunikations-, Moderations- und Präsentationsfähigkeit sowie sehr gute analytische und konzeptionelle
  Fähigkeiten.
¿ Sie beherrschen die deutsche und englische Sprache verhandlungssicher in Wort und Schrift.
¿ Sie besitzen eine hohe Teamfähigkeit und Leistungsbereitschaft sowie eine eigenständige Arbeitsweise, um die termingerechte Umsetzung
  von Zielvorgaben im Rahmen definierter Projektabläufe zu gewährleisten.
¿ Eine Bereitschaft zu Reisen im In- und Ausland ist für Sie selbstverständlich.

Möchten auch Sie ""drahtlos viel bewegen""? 
Dann freuen wir uns über Ihre Bewerbung über das Online-Formular auf unserer Homepage. Oder Sie schicken uns Ihre Bewerbungsunterlagen inklusive Gehaltsvorstellung und frühestmöglichem Eintrittsdatum per E-Mail an: bewerbung@radiomatic.com.

HBC-radiomatic steht seit 70 Jahren für Spitzentechnologie ¿made in Crailsheim¿. Als technologisch führender Anbieter von drahtlosen Steuerungen für Krane und Maschinen sind wir stolz auf unsere enorme Fertigungstiefe. Wir sind ein gesundes, familiengeführtes Unternehmen mit kurzen Entscheidungswegen und jeder einzelne unserer 380 Mitarbeiter genießt bei uns eine hohe Wertschätzung. 

Ein wesentlicher Grundstein für unseren Erfolg ist unsere internationale Ausrichtung. Mit Niederlassungen in Frankreich, der Schweiz, Spanien, Tschechien, den USA und Indien sowie über 40 Partnerunternehmen von Australien bis Kanada kümmern wir uns um den Vertrieb unserer Produkte, den After-Sales-Service und die persönliche Betreuung unserer Kunden rund um den Globus.",1
