,id,label_class,text,label
0,5CA85628F530E761A026E7BD340DB223,nur Führungskräfte,"Die ZAV MANAGEMENTVERMITTLUNG (ZAV-MV) ist die erfolgreiche Führungskräftevermittlung der Bundesagentur für Arbeit. 

Für unseren Kunden, ein Großunternehmen der Gemeinschaftsverpflegung, suchen wir im Rahmen der weiteren Firmen-Expansion für den Raum Südbaden/eine/n

Jr. Betriebsküchenleiter/in für den Bereich Betriebsverpflegung. 

Die Aufgabe: 

¿  Einsatz in der Betriebsverpflegung und Mitbetreuung von Zusatzleistungen im Bereich Veranstaltungsorganisation und Konferenzverpflegung. 
¿  Sie sind Ansprechpartner des Kunden und verantworten zusammen mit dem Betriebsleiter den Verpflegungsbetrieb unter Einhaltung hoher Qualitätsstandards 
¿  Sie stehen für die Herstellung einer gesundheitsbewussten und an modernen Ernährungsgrundsätzen orientierten Verpflegung. 
¿  Gleichzeitig haben Sie die Kostenkontrolle und Einhaltung der Budgetvorgaben im Blick 
¿  Durchführung von Veranstaltungen in unterschiedlicher Größenordnung einschl. Konferenzservice


Ihr Profil: 

¿  Sie sind Koch und haben nach einer fundierten Ausbildung Berufspraxis in der gehobenen Hotellerie oder Gastronomie erworben. 
¿  Darüber hinaus haben Sie eine betriebswirtschaftliche Weiterbildung, bspw. Hotelbetriebswirt/in.
¿  Sie möchten nach dieser Fortbildung erste Führungsaufgaben im GV Bereich/Betriebsverpflegung übernehmen;
¿  Sie sind kreativ, dynamisch und stark in der Gästeansprache.
¿  Ein hoher Anspruch an die Umgangsformen und Ihre Kommunikationsfähigkeiten wird seitens des Auftraggebers gesondert gewünscht.
¿  Ihre Stärken liegen neben einer hohen gastronomischen Kompetenz im Organisationsbereich, der Kostenkalkulation und -kontrolle 
¿  Sie arbeiten gerne ziel- und ergebnisorientiert 
¿  Bereitschaft in unterschiedlichen Objekten zum Einsatz zu kommen. 


Fühlen Sie sich angesprochen? Streben Sie den nächsten Karriereschritt im Raum Baden Württemberg an?
Auch Bewerber aus ""2. Reihe"" haben hier Ihre Chance!

Dann melden Sie sich bitte umgehend - das Auswahlverfahren soll kurzfristig beginnen.

Bitte senden Sie uns Ihre Bewerbungsunterlagen unter Angabe der o.a. Referenznummer am besten direkt per Email (bevorzugt als Word oder PDF Datei bis zu ca. 3 MBs) an:

zav-bonn.mv-ags@arbeitsagentur.de

oder per Post an:

ZAV Managementvermittlung
Margarete Arquisola
Postfach
53107 Bonn

Wir freuen uns auf Ihre Bewerbung!!!
",1
1,5CB13576ADFE461B26D50678F1FFCEBF,nur Führungskräfte,"Die LWL-Kliniken in Lippstadt und Warstein suchen zum nächstmöglichen Zeitpunkt:
an den Standorten Lippstadt und Warstein je eine/-n

***Oberärztin/-arzt für die Abteilung Suchtmedizin***

für insgesamt 6 Stationen mit unterschiedlichen Behandlungsangeboten im offenen und geschlossenen Drogenentzug sowohl für Paare, Jungerwachsene und Behandlungserfahrene sowie für Migranten aus dem russischen Sprachraum; aber auch die Behandlung von Sucht und Angst, Sucht und Depression.

sowie am Standort Lippstadt eine/-n

***Oberärztin/-arzt für die Abteilung Allgemeinpsychiatrie***

für insgesamt 3 Stationen mit Behandlungsangeboten für psychotische Störungen, spezifische Lebenskrisen junger Erwachsener, Notfälle und Kriseninterventionen



Die LWL-Kliniken Lippstadt und Warstein bilden zusammen mit den LWL-Pflegezentren und LWL-Wohnverbünden den LWL-PsychiatrieVerbund im Kreis Soest. Die Kliniken sind KTQ-zertifiziert und ihnen wurde ¿ als energiesparendes Krankenhaus ¿ das BUND-Gütesiegel und das Zertifikat ¿auditberufundfamilie¿ verliehen.

Wir erwarten:

¿Anerkennung als Facharzt/-ärztin für Psychiatrie und Psychotherapie
¿Erfahrung in Suchtmedizin bzw. Allgemeinpsychiatrie und Unterstützung des jeweiligen Chefarztes
¿Erfahrung in der Leitung von Gruppen
¿Führungsqualität und Übernahme von Organisationsverantwortung
¿Interesse an der (Weiter-) Entwicklung innovativer Behandlungskonzepte
¿Freude an der Anleitung von Weiterbildungs-Assistenten/ -innen
¿Die Bereitschaft zur Teilnahme am ärztlichen Bereitschaftsdienst
¿Interesse an wissenschaftlicher Arbeit

Wir bieten:

¿Ein vielseitiges Tätigkeitsfeld im klinischen Versorgungs-/ Behandlungs-Alltag
¿Ein gutes und sehr kollegiales Betriebsklima
¿Einen Arbeitsplatz in einer qualitätsorientierten Klinik (KTQ-zertifiziert)
¿Sehr gute Fort- und Weiterbildungsförderung
¿Vergütung nach TV-Ärzte/VKA und zusätzlicher betrieblicher Altersvorsorge
¿Geregelte Arbeitszeit im Rahmen einer 5-Tage-Woche unter Gleitzeitbedingungen
¿Möglichkeit der Nebentätigkeit
¿Ein betriebliches Gesundheitsmanagement, Personalentwicklungsmaßnahmen
¿Unterstützung bei der Wohnraumbeschaffung und ggfl. notwendiger Kinderbetreuung                                  

Sie haben Interesse, aber Zweifel? Hospitieren Sie bei uns! 

Bewerbungen von Frauen sind ausdrücklich erwünscht; Frauen werden gemäß Landesgleichstellungsgesetz NRW bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen. Bewerbungen geeigneter schwerbehinderter Frauen und Männer sind ebenfalls ausdrücklich erwünscht. Die Stelle ist grundsätzlich auch für Teilzeitkräfte geeignet.

Für nähere telefonische Auskünfte steht Ihnen der Ärztliche Direktor, Herr Dr. Josef Leßmann unter 02902 82-1000 oder 0151 40637400, zur Verfügung. Wenn Sie interessiert sind, mit uns zu arbeiten, freuen wir uns auf Ihre schriftliche Bewerbung bis zum 27. September 2015 an die

LWL-Gesundheitseinrichtungen im Kreis Soest
Abteilung Personal und Recht
Im Hofholz 6
59556 Lippstadt",1
2,5CEAE36246F77586035D9D11A86CD6B8,nur Führungskräfte,"Unser Unternehmen wächst - weil die Menschen in unserem
Unternehmen über sich hinauswachsen. 

Die Begeisterung und das Können unserer Mitarbeiterinnen und
Mitarbeiter machen uns zu einem erfolgreichen Unternehmen. Als
Premiumanbieter für Spezialisierte Personaldienstleistungen haben
wir uns ehrgeizige Ziele gesetzt. Dabei wollen wir den Blick für
das Wesentliche nicht verlieren und den Menschen nicht vergessen. Wenn
Sie Spaß an einer langfristigen Herausforderung in einem
motivierten und partnerschaftlichen Umfeld haben, freuen wir uns auf
Ihre Unterstützung als:

Als unser neuer Manager Service Center (Niederlassungsleiter/-in)
tragen Sie die Verantwortung unsere spezialisierten
kaufmännischen Dienstleistungen, insbesondere in der
Überlassung kaufmännischer Fach- und
Führungskräfte, in der Personalvermittlung und im Executive
Search. 

Der Job 

 - Kundenbetreuung und -gewinnung/ Ausbau der Marktpräsenz
 - Personalführung und -gewinnung/ Ausbau des Personalstamms
 - Führung und Anleitung des Management-Teams
 - Auf- und Ausbau von Netzwerken
 - Kalkulation und Vertragsgestaltung
 - Weiterentwicklung des Dienstleistungsportfolios

Ihr Profil 

 - wirtschaftliches Studium oder Ausbildung
 - mehrjährige Berufserfahrung im Bereich Personalberatung oder
Personaldienstleistungen
 - nachweisbare Erfolge im Vertrieb
 - Motivationstalent und Erfahrung in der Personalführung
 - Organisationstalent und strukturierte Arbeitsweise
 - analytisches und praktisches Denken

Unser Angebot 

 - eigenverantwortliches Arbeiten mit viel Freiraum
 - motivierende, überdurchschnittliche Bezahlung
 - Firmen-PKW zur Privatnutzung
 - vielfältige Weiterbildungsmöglichkeiten
 - ausgezeichnete Entwicklungsmöglichkeiten
 - ein Team mit Herz und Verstand 

Wenn Sie ein positiver, grundoptimistischer Mensch sind, und sich Ihre
Motivation sich auch in Ihrem Engagement zeigt, wenn Ihnen die
persönliche Wertschätzung und Anerkennung Ihrer Leistungen
wichtig sind und wenn Sie sich weiterentwickeln wollen, dann nutzen
Sie Ihre Chance. 

Lassen Sie sich von unserer Begeisterung anstecken. Wir freuen uns auf
Ihre aussagefähigen Bewerbungsunterlagen, mit frühestem
Eintrittstermin und Gehaltsvorstellung. 

Für Ihre Rückfragen steht Ihnen Herr Jens Küttner gern
telefonisch zur Verfügung:",1
3,5CD591A23CEC9EFB410656951163579D,nur Führungskräfte,"Wir suchen baldmöglichst eine sehr zuverlässige Reinigungskraft (m/w), die auf Grund ihrer Vorerfahrung sowie vorhandener in der Person liegender Führungsqualitäten die Position eines Vorarbeiters (m/w) ausfüllen kann. Sie sind gegenüber den ihnen unterstellten Mitarbeitern befugt, im Rahmen der Arbeitsausübung Weisungen zu erteilen. Zu Ihren allgemeinen Pflichten in dieser Stellung zählen dabei die Bereitschaft zur Übernahme von Vertretungen und die Durchführung von Sondereinsätzen (zusätzlich zur berufsüblichen manuellen Mitarbeit).

Zu Ihren Aufgaben im Detail gehören:

- die Sicherstellung einer fristgerechten und qualitativ einwandfreien Leistungserbringung im Objekt auf der Grundlage der im Rahmen der übertragenen Arbeiten anfallenden Leistungsvorgaben
- die Beaufsichtigung des Arbeitsablaufes im Rahmen dieser Vorgaben
- die Bereitschaft und Fähigkeit, Vorschläge zur Verbesserung von Arbeitsabläufen einzubringen
- die unmittelbare manuelle Mitarbeit bei der Leistungserbringung
- die Kontrolle des Arbeitserfolges
- der Kontakt zu den Vertretern des Auftraggebers zum Zweck einer ordnungsgemäßen Leistungserbringung
- die Anforderung von Arbeitskräften
- die Anwesenheitskontrolle des Reinigungspersonals sowie die Überwachung der Arbeitszeiteinteilung und die Einhaltung der Zeitvorgaben
- die Mitwirkung bei der Erstellung von Arbeitsstundennachweisen
- die Meldung von Arbeitsunfällen und Sachschäden
- die Einhaltung der Sicherheitsvorschriften, die aktive Unfallverhütung durch Beseitigung von Unfallquellen und die Überprüfung der Arbeitsabläufe
- die Maschinen- und Geräteüberprüfung auf erkennbare Mängel an Funktion, Sicherheit und Sauberkeit
- die Vornahme kleinerer Reparaturen (nicht Elektrotechnik!)
- die Materialmengenanforderung und - austeilung
- die Zustandsüberwachung der Arbeitskleidung und deren Anforderung
- die Erhaltung der Betriebsfähigkeit und der Ordnung in den Materiallagern und Aufenthaltsräumen

Unsere Anforderungen:

1. ) Sie verfügen zwingend über eine fundierte Berufserfahrung in der Gebäudereinigung (Unterhaltsreinigung) sowie über Erfahrung in anleitenden Tätigkeiten
2. ) Sie sollten sich durch einen hohen Grad an Zuverlässigkeit, ein gutes Organisationstalent, den souveränen Umgang mit unseren Kunden sowie die Fähigkeit zur Anleitung von Mitarbeitern (inklusive Durchsetzungsvermögen) auszeichnen.
3. ) Wünschenswert wären zudem eine abgeschlossene Ausbildung als Gebäudereiniger/in und der FS Klasse B.

Ihr Einsatz erfolgt in einer Berufsschule in Berlin-Weißensee. Arbeitsbeginn ist ab 15:30 Uhr.
Bei Interesse bewerben Sie sich bitte vorzugsweise per Mail. In der Zeit von Montag bis Freitag können Sie mit Ihren aussagefähigen Bewerbungsunterlagen auch persönlich in unserer Geschäftsstelle in der Wolfener Str. in der Zeit von jeweils 10:00 - 13:00 Uhr vorsprechen.",1
4,5CEA2581689D472A2B44390728A3A310,nur Führungskräfte,"Wir suchen Sie als: Leiter  (m/w) Instandhaltung / Energieversorgung 

Ihre zukünftigen Aufgaben 
- Sichern und Optimieren der Maschinenverfügbarkeit sowie der Energieversorgung am Produktionsstandort 
- Koordinierung aller  Montage- u. Reparaturarbeiten sowie Erstellen von      
Instandhaltungsplänen für den gesamten Maschinenpark und alle Energieversorgungssysteme 
- Erarbeiten von Investitionsplänen  
- Zusammenarbeit mit Behörden, Ämtern, Institutionen 
- Überwachung der Einhaltung aller gültigen Vorschriften zu Arbeits-, Umwelt und Brandschutz 
- disziplinarische und fachliche Führung eines 21köpfigen Teams 
               

Ihr Profil: 
- Meister,  Ingenieurtechnische Ausbildung  oder vergleichbare Ausbildung mit langjähriger Berufs- und Führungserfahrung 
- starkes Durchsetzungs- und Überzeugungsvermögen verbunden mit Flexibilität und Eigeninitiative
- Teamfähigkeit, Führungserfahrung
- hohe Belastbarkeit",1
5,5CE345BD966E4531022F7AEB9C50BB8E,nur Führungskräfte,"Der Textilfilialist NKD zählt mit Filialen in Deutschland, Österreich, Italien, Slowenien und Kroatien zu den größten Unternehmen im Textileinzelhandel. In den nahezu 2.000 Filialen umfasst das Sortiment neben hochwertiger, angesagter Mode für Groß und Klein unter anderem auch Accessoires zur Verschönerung des Zuhauses. Und das alles zu einem optimalen Preis-Leistungsverhältnis. Derzeit beschäftigt NKD insgesamt über 8.000 Mitarbeiter.;;Zum nächstmöglichen Zeitpunkt suchen wir eine/n;;Filialteamleiter/in mit Sinn für Modethemen und Trends.;;Anforderungsprofil:;- abgeschlossene Berufsausbildung als Verkäufer/in bzw. Kaufmann/-frau im Einzelhandel;- Gepflegtes Erscheinungsbild;- Spaß am Umgang mit Menschen;- Eigeninitiative;- Freude an der Arbeit im Team;- Führungserfahrung;- Erfahrung in der Warenpräsentation;- Flexibilität;- Textilerfahrung;;Wir bieten ein Arbeitsumfeld in einem stark wachsenden Unternehmen, das geprägt ist von Engagement und Teamgeist. Bei uns zählt Persönlichkeit genauso wie Qualifikation.;;Wenn Sie sich in diesem Profil wiederfinden, dann zögern Sie nicht. Senden Sie Ihre aussagekräftigen Bewerbungsunterlagen mit Angabe Ihrer Gehaltsvorstellungen und Ihres möglichen Eintritttermins.",1
6,679F3A116D5AD1274B4F8535740E2CB1,- nur Fachkräfte,"Gehen Sie neue Karrierewege: Entdecken Sie die berufliche Vielfalt. ZAG Personal & Perspektiven bietet Fach- und Führungskräften interessante Karriereperspektiven. Sie suchen eine neue berufliche Herausforderung? 
Bewerben Sie sich bei einem der größten Personaldienstleister Deutschlands.

Für einen unserer namhaften Kunden suchen wir im Rahmen der Arbeitnehmerüberlassung eine Lagerfachkraft (m/w) in Bremen. Bei Eignung besteht die Option auf Übernahme.

Ihre Aufgaben: 
¿ Bearbeitung des Wareneingang und -ausgang
¿ Kommissionieren und Verpacken von Waren
¿ Bedienung von Flurförderfahrzeugen (Hubameisen, Gabelstapler)

Ihr Profil: 
¿ Abgeschlossene Berufsausbildung oder entsprechende Berufserfahrung im Lager / in der Logistik
¿ Erste Berufserfahrung wünschenswert
¿ Erfahrung im Umgang mit Flurförderfahrzeugen
¿ Staplerschein von Vorteil
¿ Einsatzbereitschaft, Zuverlässigkeit und körperliche Belastbarkeit

Ihre Perspektiven: 
¿ Professionelle Beratung und individuelle Auswahl   
  passgenauer Positionen. 
¿ Netzwerkerweiterung mit interessanten   
  Unternehmen.
¿ Beste Jobchancen. 
¿ Neue Herausforderungen und anspruchsvolle 
   Projekte. 
¿ Dauerhafte Einsätze, langfristige Perspektiven, 
   unbefristetes Arbeitsverhältnis. 
¿ Attraktive Vergütungsmodelle und betriebliche 
   Altersvorsorge. 

Wer wir sind: 
ZAG Personal & Perspektiven zählt mit über 10.000 Mitarbeitern in 100 Geschäftsstellen zu den führenden Personaldienstleistern in Deutschland. Seit 1984 sind wir Experte für Arbeitswelten und Spezialist für mehr Perspektiven. Mit Zeitarbeit und Personalvermittlung bieten wir gerade auch qualifizierten Bewerberinnen und Bewerbern hervorragende Einstiegswege und Karrierechancen auf dem sich wandelnden Arbeitsmarkt. 
Wir sind für Sie da!

Haben wir Ihr Interesse geweckt? Dann bewerben Sie sich jetzt über unsere Online-Bewerbung oder per E-Mail. 
Bei Fragen sind wir gern für Sie da. 

Wir freuen uns auf Sie!",1
7,679F929DB844A6F1845CC6F056027B68,- nur Fachkräfte,"Im Bereich Arbeitsvermittlung suchen wir Sie für unseren Kunden.

Ein traditionell mittelständisches Unternehmen in Apolda sucht für die Produktion einen Mitarbeiter aus dem Metallbereich zum baldmöglichsten Einsatz:

Ihre Arbeitsaufgabe:
- Tätigkeit als Anlagenbediener in der Druckprüfung/Sandstrahlung
- Bedienung/ Überwachung computergestützter Maschinen/Anlagen
- Arbeit nach Zeichnung
- Messen und Prüfen
- Toleranzen u. Passungen

Ihre Erfahrungen/Voraussetzungen:
- Abgeschlossene Berufsausbildung  in einem üblichen Metallberuf 
- oder mehrjährige Berufserfahrungen im genannten Tätigkeitsbereich 
- selbstständiges und gewissenhaftes Arbeiten
- Schichtbereitschaft, rollende Woche, Arbeit am Wochenende

Vergütung: 
- ab 11,00 ¤ (je nach Berufserfahrung und Kenntnissen

Jetzt bewerben!",1
8,5CCD26DD50F03C4434134AB8E19EF262,nur Führungskräfte,"Als familiengeführtes Traditionsunternehmen mit Sitz in Steinau an der Straße sind wir stets an weiteren zuverlässigen und erfahrenen Fachkräften interessiert, um unsere Position als zertifizierter Markenhersteller für Reinigungsmittel und Kosmetikprodukten auch in Zukunft sicherzustellen.

Wir suchen zum nächstmöglichen Zeitpunkt einen 

 Leiter des Qualitätsmanagements (m/w)

und damit verbunden des Unternehmensbereichs Qualitätssicherung Wareneingang Kosmetik und Reinigungsmittel.

Nach einer intensiven Einarbeitungsphase gehört zu Ihrer Kernaufgabe die Überwachung und die Weiterentwicklung des bestehenden QS-Systems nach GMP. Sie leiten interne und externe Audits, erstellen und dokumentieren deren Ergebnisse und setzen diese gemeinsam mit Ihrem Team um. Auch sind Sie eigenverantwortlich zuständig für die Erstellung und Pflege von Arbeitsplänen und Konfektionierungsanweisungen mittels der EDV. 
Darüberhinaus leiten und lenken Sie fehlerhafte Packmittel und koordinieren die Arbeit der in der Fertigung tätigen Mitarbeiter im Bereich Inprozeßkontrolle. 

Voraussetzung für die Besetzung der Stelle ist eine abgeschlossene Berufsausbildung mit langjähriger einschlägiger Berufserfahrung in der Qualitätssicherung und/oder der Qualitätskontrolle. Idealerweise besitzen Sie bereits Erfahrung in der Führung von Mitarbeitern. 

Haben Sie Interesse an dieser höchst interessanten Stelle mit Perspektive, so senden Sie uns bitte Ihre aussagekräftigen Bewerbungsunterlagen mit Hinweis auf das frühestmögliche Eintrittsdatum sowie Ihre Gehaltsvorstellung zu.

Weitere Informationen über uns unter: www.dreiturm.de",1
9,5CDF981B3B8C9C759BB46D6B7B1C2CD0,nur Führungskräfte,"denn's Biomarkt ist ein großes Einzelhandelsunternehmen im modernen Biohandel. Wir sind ein stark expandierendes Unternehmen und betreiben Bio-Supermärkte mit über 5.000 Artikeln im Sortiment. denn's Biomarkt ist die Heimat für engagierte Mitarbeiter mit Erfahrung und Interesse an biologischen Lebensmitteln.

Zum nächstmöglichen Zeitpunkt suchen wir eine/n

Bezirksleiter/in.

denn's Aufgabengebiet ¿ natürlich vielseitig
¿ ergebnisorientierte Führung von bis zu 6 Märkten durch fachliche und persönliche Mitarbeiterbetreuung und -führung ¿ kooperativ, der Situation angemessen, mit Verstand und Empathie
¿ teamorientierte Mitarbeit bei der Weiterentwicklung des Unternehmens durch professionelle Unterstützung ihrer Marktleiter in Fach- und Führungsfragen
¿ Analyse und Auswertung interner Kennzahlen und Arbeitsabläufe um Verbesserungspotenziale mit selbst abgeleiteten Maßnahmen zu erheben

Ihr Profil für denn's ¿ natürlich qualifiziert
¿ erfolgreich abgeschlossene Ausbildung im Lebensmitteleinzelhandel oder idealerweise einen betriebswirtschaftlichen Studienabschluss
¿ mehrjährige Vertriebs- und Führungserfahrung im LEH sowie Praxis-Know-how im Umgang mit Kennzahlen
¿ starkes Interesse an Naturkost und Naturprodukten
¿ sicherer Umgang mit modernen Kommunikationsmitteln und MS-Office-Anwendungen

Wir freuen uns auf eine zielorientierte und kommunikationsstarke Persönlichkeit, die gerne eigenständig und ergebnisorientiert arbeitet. Darüber hinaus überzeugen Sie mit unternehmerischem Denken, hohem Verantwortungsbewusstsein und Führungskompetenz. Wenn Sie gerne in einem modernen und dynamischen Unternehmen arbeiten möchten, von der Philosophie hinter Bio überzeugt sind und Ihre hohe Leistungsbereitschaft mit Teamgeist kombinieren, passen Sie perfekt zu uns!

denn's Angebot ¿ natürlich reizvoll
Wir bieten Ihnen die einzigartige Möglichkeit, in einem Team in Aufbruchstimmung in einem interes­santen und vielseitigen Arbeitsfeld gemeinsam als Marktführer den Erfolg bei den Kunden weiter auszubauen. Eine umfassende Einarbeitung durch Ihre Kollegen, attraktive Entwicklungsmöglichkeiten und ein faires Gehalt, neben weiteren interessanten Zusatzleistungen, sind bei uns ebenso selbstver­ständlich wie die Bereitstellung eines Firmenfahrzeugs ¿ auch zur privaten Nutzung!

Wir freuen uns auf Ihre Bewerbung - bevorzugt per E-Mail.",1
