,id,label_class,text,label
0,,NoAz,"  Sie sind hier: Marktplatz >> Stellenangebote >> ErgotherapeutIn in diversen Berliner Standorten gesucht

  ErgotherapeutIn in diversen Berliner Standorten gesucht

  Einrichtung: Mediplus TUR GmbH
  Anschrift: Turmstr. 21, 10559 Berlin
  Stellenumfang: Vollzeit, Teilzeit
  Mitarbeiterinnen und Mitarbeiter unserer Mediplus Praxen für Ergotherapie & Logopädie in Berlin betreuen Patienten in diversen Berliner Pflegeeinrichtungen, in Hausbesuchen sowie gelegentlich auch in unseren Praxisräumen. Wir verstehen uns als Therapielotsen, indem wir unsere Patienten und deren Angehörige im Behandlungsprozess begleiten, relevante Informationen im fachübergreifenden Team verbreiten und den Informationsaustausch moderieren. Dabei verfolgen wir im Sinne der ICF ein interprofessionelles, alltagsorientiertes Therapiekonzept, welches stets individuell auf die Bedürfnisse unserer Patienten abgestimmt wird. In unserem therapeutischen Alltag arbeiten wir eng mit Physiotherapeuten, Logopäden, Ehrenamtsmitarbeitern, dem Pflegepersonal, Servicekräften sowie diversen Haus- und Fachärzten zusammen. So können wir den uns anvertrauten Patienten eine möglichst umfassende Versorgung bieten. Zur Unterstützung unserer Arbeit steht uns ein nettes, kleines Verwaltungsteam in unserer
  Mediplus-Zentrale (Berlin-Moabit) zur Seite. So können wir uns sehr gut auf unsere therapeutischen Aufgaben am Patienten konzentrieren.

  Aktuell suchen wir zum Aufbau neuer Therapielotsen-Teams sowie zur Unterstützung in bestehenden Teams Verstärkung durch Sie. Nach Wunsch können Sie sich bei uns in Teil- oder Vollzeit an diversen Standorten in Berlin mit Ihren persönlichen Stärken und Interessen einbringen: z.B. Moabit, Marzahn, Wedding und einige mehr. Sprechen Sie uns an und teilen Sie uns Ihre individuellen Einsatzwünsche mit. Sicherlich haben wir ein passendes Angebot für Sie.

  Weitere Informationen finden Sie auf unserer Internetseite: www.mediplus-therapie.de

  Herzlichst
  Ihr Mediplus Therapielotsen-Team Berlin

  Das bieten wir Ihnen:
  - selbstverantwortliche Tätigkeit mit familienfreundlichen Arbeitszeiten (Teilzeit oder Vollzeit), die zum Leben passen
  - nach Absprache stehen Ihnen für Ihre Tätigkeit diverse Einsatzorte in Berlin zur Verfügung, sodass Sie möglichst wohnortnah Ihren Einsatz finden können
  - Zusammenarbeit und Austausch in einem dynamischen, wachsenden und aufgeschlossenen Team
  - dankbare Patienten, Angehörige und Kollegen
  - sehr viel Wertschätzung für die therapeutische Arbeit und Ihr Engagement als Therapielotse/in
  - sehr gutes Festgehalt
  - sehr attraktives Firmenfitnessangebot
  - innovatives Versorgungskonzept (Therapielotse/in)
  - intensive und individuelle Einarbeitung
  - Teilnahme an ärztlichen Visiten und fachübergreifende Zusammenarbeit mit regelmäßigen Teamsitzungen
  - regelmäßiges Angebot an externen und internen Fortbildungen sowie Supervisionen
  - Zeit für Dokumentation, Vor- und Nachbereitungen
  - ständige Unterstützung im Bereich Verwaltung durch kompetente Kolleginnen in unserer Zentrale

  Das wünschen wir uns von Ihnen:
  - abgeschlossene/s Ausbildung/Studium im Bereich Ergotherapie
  - Freude an der interprofessionellen Arbeit im neurologisch-geriatrischen Bereich
  - Mut, Motivation und Talent für selbstverantwortliches Planen und Arbeiten
  Kontakt:
  Telefon:  030 - 26 30 46 40
  E-Mail:   zentrale@mediplus-therapie.de
  Internet: www.mediplus-therapie.de
  Veröffentlicht am 01.03.2018 von Mediplus TUR GmbH",1
1,,NoAz,"  Immobilienassistent/in

  AVART Personal GmbH Berlin
  4.50
  Rated by 40 employees Kununu
  + Posted on 03 Mar 2018
  + Job type: Full time
  + Career level: Professional/Experienced
  + Industry: Real Estate

  IHR PROFIL
  + Sie sind Kauffrau/-mann für Bürokommunikation, Bürokaufmann/-frau oder Assistent/-in der Immobilienverwaltung und haben Spaß an der Büroorganisation in der Immobilienbranche
  + Sie verfügen über eine käufmännische Ausbildung
  + Sie haben bereits 1-2 Jahre Berufserfahrung als Assistenz
  + Ihre MS Office Anwenderkenntnisse sind gefestigt
  + Sie verfügen über verhandlungssichere Deutsch- und gute Englischkenntnisse
  Unser Kunde, ein Immobilienunternehmen mit Sitz in Berlin, bietet Ihnen neben einer Festanstellung einen spannenden Arbeitsplatz mit guter Arbeitsatmosphäre.
  Werden Sie Teil eines netten Teams und profitieren Sie von individuellen Weiterentwicklungsmöglichkeiten.

  IHRE AUFGABEN
  + Koordination und Betreuung der angestellten Hauswarte
  + Betreuung von Rahmenverträgen für immobilienwirtschaftliche Dienstleistungen
  + Überwachung der Leistungserbringung
  + Erteilen von Aufträgen
  + Rechnungskontrolle

  IHRE BENEFITS
  + Sie profitieren von Fortbildungs- und Entwicklungsmöglichkeiten
  + Sie erhalten eine leistungsgerechte Bezahlung
  + Sie haben die Möglichkeit, sich Ihre Arbeitszeit eigenverantwortlich einzuteilen
  Als erfahrener Personalberater sind wir exklusiv für namenhafte Unternehmen in Berlin tätig, die ihre Positionen ausschließlich über AVART besetzen.
  Dies bedeutet für Sie, dass sich Ihnen durch AVART attraktive Jobchancen bieten, welche nicht auf den Stellenportalen ausgeschrieben sind.",1
2,,NoAz,"  Kontakt:

  adelphi
  Alt Moabit 91 10559 Berlin
  __________________________________________________

  Weitere Jobs im Unternehmen:

  SENIOR PROJEKTMANAGER (M/W) im Bereich Sustainable Energy Financing (Vollzeit) - Berlin Studentische Projektassistenz (m/w) im Bereich Klimadiplomatie und Klimapolitik (20 Std/ Woche)
  __________________________________________________

  MITARBEITER (M/W) BUCHHALTUNG in Vollzeit - Berlin

  adelphi

  Veröffentlicht: 29.08.2017

  Ihr Wirkungsfeld

  Unser Gesellschaftsmodell sowie die (inter-)nationale Ausrichtung unseres Projektgeschäftes bieten ein abwechslungsreiches Betätigungsfeld, das durch verschiedene Schnittstellen zu unserer Controlling-Abteilung einen Blick über den Tellerrand ermöglicht. Als Team leisten Sie so einen wichtigen Beitrag zur reibungslosen Abwicklung unserer vielfältigen Projekte.

  Ihre Aufgaben
  * Eigenständige Bearbeitung der Buchhaltung und des Zahlungsverkehrs über DATEV
  * Bearbeitung der Debitoren- und Kreditorenbuchhaltung inklusive Kostenstellenrechnung
  * Unterstützung bei der Erstellung von Monats-, Quartals- und Jahresabschlüssen
  * Verantwortung für die Konto- und Kassenführung
  * AnsprechpartnerIn für Kunden, Banken und Steuerberater
  * Übernahme der Kontenabstimmungen mit der Lohnbuchhaltung
  * Mitwirkung bei Projektabrechnungen

  Das wünschen wir uns von Ihnen
  * Sie haben eine Ausbildung zum/zur Bürokaufmann/frau mit einschlägiger Buchhaltungserfahrung beziehungsweise einen vergleichbaren kaufmännischen Hintergrund
  * Sie arbeiten gerne im Team und bringen bereits einige Erfahrung in der Buchhaltung mit ihren unterschiedlichen Facetten mit
  * Sie verfügen über gute steuerrechtliche Kenntnisse, gern auch im gemeinnützigen Bereich
  * Sie arbeiten sicher mit Buchhaltungsprogrammen, idealerweise mit DATEV
  * Eigenverantwortliches, organisiertes und strukturiertes Arbeiten sind für Sie selbstverständlich
  * Sie zeichnen sich durch eine hohe Zahlenaffinität aus und bringen idealerweise gute Englischkenntnisse mit

  Das bieten wir Ihnen
  * Die Möglichkeit zum Einstieg in ein nachhaltiges Unternehmen mit einem spannenden, ungezwungenen, flexiblen und multikulturellen Arbeitsumfeld
  * Gestaltungsmöglichkeiten und die Gelegenheit, verantwortungsvolle, vielseitige und teamorientierte Aufgaben zu übernehmen
  * Ein attraktiver und zentral gelegener Arbeitsplatz an der Spree, welcher ein ideales Umfeld für kreatives Arbeiten bietet und leicht per Rad, U-Bahn oder Bus zu erreichen ist
  * Flexible Arbeitszeiten
  * Beteiligung an der betrieblichen Altersvorsorge

  Das klingt spannend für Sie? Dann freuen wir uns auf Ihre Bewerbung. Übersenden Sie uns baldmöglichst Ihre vollständigen Unterlagen (inkl. Lebenslauf, Zeugniskopien, Gehaltsvorstellungen und Angaben zu Ihrer Verfügbarkeit). Bitte verwenden Sie hierfür den Weg über unsere Online-Bewerbung.
  __________________________________________________

  Benefits
  Homeoffice
  flex. Arbeitszeiten
  Wohlfühl-Atmosphäre
  Mitarbeiter-Events
  betr. Altersvorsorge
  kreatives Arbeiten
  flache Hierarchien
  freundschaftliches Arbeitsklima
  kostenlos Tee/Kaffee
  __________________________________________________

  Einsatzorte
  Berlin
  __________________________________________________

  Berufsfeld(er)
  * Administration & Sekretariat
  * Kaufmännische Berufe
  * Finanzen
  __________________________________________________

  Branche(n)
  * NGO & NPO
  __________________________________________________

  Anstellungsart & Berufserfahrung
  mit Berufserfahrung
  Vollzeit
  __________________________________________________

  Vertragsart
  befristeter Vertrag
  __________________________________________________

  Frei ab
  ab sofort",1
3,,NoAz,"  Stellenangebot - Produktionshelfer/in (Maschinen- und Anlagenführer/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1155344532-S
  Titel des Stellenangebots

  Produktionshelfer/in (Maschinen- und Anlagenführer/in)
  Alternativberufe
  Abfüller/in
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  Naissance GmbH

  Branche: Sonstiger Versand- und Internet-Einzelhandel, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Die Naissance GmbH ist seit 2005 ein Online-Versandhändler im Bereich Natürlich Gesundheits- & Schönheitsbranche.

  Wir suchen zum 01.09.2017

  Produktionshelfer/in

  Aufgaben:

  - Fachliche Bedienung von Anlagen im Bereich unserer maschinellen Abfüllung und Kartonierung
  - Ständige Kontrolle des Produktionsablaufs nach definierten Qualitätsstandards
  - Durchführung von Ver- und Umpackarbeiten - Hohe Selbstständigkeit und Eigeninitative
  - Prüfung und Qualitätskontrolle
  - Bereitschaft zur Einhaltung des Arbeitsschutzes
  - Dokumentation der Produktionsergebnisse und einpflegen in unser Warenwirtschaftssystem
  - Sichtungskontrollen der produzierten Produkte

  Wir erwarten:

  - erste Erfahrungen im Bereich Produktion
  - Führerschein ist wünschenswert

  Wir freuen uns auf Ihre Bewerbung.
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Lahnstr. 25, 12055 Berlin, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Ab 01.09.2017
  Anzahl offener Stellen

  1 von ursprünglich 1 gemeldeten Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Mo-Fr
  7:30 - 16.00 Uhr
  8:30 - 17.00 Uhr
  Vergütung und Zusatzleistungen

  Bei der Besetzung des Stellenangebotes findet kein Tarifvertrag Anwendung.
  Befristung

  Befristetes Arbeitsverhältnis bis 01.09.2018

  Anforderungen an den Bewerber

  Berufserfahrung

  Mit Berufserfahrung
  Produktion, Verarbeitung, Technik

  Erweiterte Kenntnisse
  Maschinenführung, Anlagenführung, -bedienung

  Transport, Verkehr

  Erweiterte Kenntnisse
  Verpacken

  Sprachkenntnisse

  Erweiterte Kenntnisse
  Deutsch, Englisch

  Persönliche Stärken
  Auffassungsfähigkeit/-gabe, Belastbarkeit, Organisationsfähigkeit, Sorgfalt/Genauigkeit, Teamfähigkeit
  Führerscheine

  Wünschenswert
  Fahrerlaubnis B PKW/Kleinbusse (alt: FS 3)

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Naissance GmbH
  Herr Fischbach
  Lahnstr. 25
  12055 Berlin
  Berlin
  Deutschland
  E-Mail
  Mathias.Fischbach@enaissance.de
  Gewünschte Bewerbungsarten

  Per E-Mail, schriftlich
  Bewerbungszeitraum

  01.08.2017 - 01.09.2017
  Angaben zur Bewerbung

  Lebenslauf, Zeugnisse
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",1
4,,NoAz,"  Jetzt bewerben!

  Interessanter Studentenjob als Kundenbetreuer für ein Online-Möbelhaus (m/w)

  Berlin | Verwaltung Stellenangebote | Kundenservice Stellenangebote | Teilzeitjob | Nebenjob/Wochenendjob | Werkstudentenstelle | Hochschule/Universität

  Unser Kunde ist ein Dienstleister im Bereich Kundenservice. Für ein Projekt im Bereich Möbel, Einrichten und Accessoires werden Mitarbeiter gesucht. Der perfekte Studentenjob in Berlin, starten kannst du zum nächstmöglichen Zeitpunkt!

  Funktion

  Zu den Aufgaben gehören:
  * Beratung von Kundenanfragen und Berücksichtigung von Kundenwünschen
  * Bei Bedarf Erstellung von Rechnungen und Kundengutschriften
  * Dokumentation von Kundenwünschen sowie der Lösungen

  Was wir bieten:

  * Attraktive Vergütung
  * Flexible Arbeitszeiten
  * Angenehme Arbeitsatmosphäre in einem dynamischen Team
  * Eigenverantwortliche und abwechslungsreiche Tätigkeit

  Was wir erwarten:

  *  Affinität zum Thema Wohnen und Einrichten
  * Zuverlässigkeit und Teamgeist
  * Sehr gute Deutschkenntnisse in Wort und Schrift
  * Schichtbereitschaft

  Bist du neugierig geworden? Dann freuen wir uns - vorzugsweise per E-Mail - auf deine Bewerbung!

  Mehr Informationen

  Einsatzort
  Berlin

  Jobart
  Teilzeitjob, Nebenjob/Wochenendjob, Werkstudentenstelle

  Tätigkeitsbereich
  Administration / Verwaltung, Kundenservice

  Ausbildungsniveau
  Hochschule/Universität

  Führerschein erforderlich?
  Nein

  Auto erforderlich?
  Nein

  Anschreiben
  Nein

  Sprachkenntnisse
  Deutsch

  Jetzt bewerben!

  Zeitgeist PS GmbH

  Dieses Jobangebot teilen

  Erhalte ähnliche Stellenangebote per E-Mail

  Bitte gebe hier an in welcher Region du nach vergleichbaren Jobs suchst und empfange neue relevante Stellenangebote per Email",1
5,,NoAz,"  Stellenangebot - Hausmeister (m/w) gesucht (Hausmeister/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1155325124-S
  Titel des Stellenangebots

  Hausmeister (m/w) gesucht (Hausmeister/in)
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  Adlatus GmbH

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: zwischen 6 und 50
  Stellenbeschreibung

  Für den Einsatz im Berliner Raum suchen wir Hausmeister (m/w)

  Handwerkliches Geschick und ein Führerschein der Klasse B, sind zwingend notwendig.
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Ab 15.08.2017
  Anzahl offener Stellen

  3 Stellen
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  40 Wochenstunden
  Vergütung und Zusatzleistungen

  11,00 ?/Std.
  Bei der Besetzung des Stellenangebotes findet ein Tarifvertrag Anwendung.
  Tarifvertrag: ja
  Befristung

  Unbefristetes Arbeitsverhältnis

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Adlatus GmbH
  Frau Hinz
  Weißenseer Weg 37
  13055 Berlin
  Hohenschönhausen
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 54 98 49 68
  E-Mail
  j.hinz.adlatus@googlemail.com
  Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch
  Bewerbungszeitraum

  Seit 31.07.2017
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",1
6,,NoAz,"  Der Förderverein sucht ab September 2017 eine/n neue/n Assistent/in zur Unterstützung des Vorst...

  Förderverein der Quentin Blake Europaschule e. V. Berlin
  + Posted on 10 Mar 2017
  + Job type: Full time
  + Career level: Entry Level
  + Industry: Medical services
  Der Förderverein sucht ab September 2017 eine/n neue/n Assistent/in zur Unterstützung des Vorstandes auf Mini- oder Midijob Basis.
  Die wesentlichen Tätigkeiten sind:
  - Mitglieder - und Beitragsverwaltung, inklusive Ausstellung der Spendenbescheinigungen
  - Aktenverwaltung
  - Durchführung der Buchhaltung
  - Organisatorische Unterstützung der externen AGs, sowie des Englischunterrichtes für den Regelschulzweig
  - Organisation des Schulkleidungsverkaufs
  Gesuchtes Profil:
  - Gute IT - Anwenderkenntnisse der gängigen Officeprodukte , idealerweise Kenntnisse des Buchhaltungsprogrammes Wiso
  - Gute Kenntnisse der englischen Sprache
  - Kommunikationsfähigkeit und Freude am Umgang mit Menschen
  - Ideal wäre eine Ausbildung als Europasekretärin, Büroassistenten, o.ä.
  Wir bieten ein freundliches Umfeld, ein nettes Team und flexible Arbeitszeiten.",1
7,,NoAz,"  Jobs per E-Mail

  Presented by HOTELCAREER

  Bereichsleiter (m/w)

  * Baden-Württemberg
  * Feste Anstellung
  *

  Kontakt

  Wir freuen uns auf Ihre aussagekräftige Bewerbung unter Angaben Ihrer Gehaltsvorstellung an:

  info@zingsheimgmbh.de
  02449 911 073
  www.zingsheimgmbh.de

  Standort


  Presented by HOTELCAREER

  Jetzt bewerben
  Merken
  Sie möchten sich dieses Stellenangebot per Email senden?",1
8,,NoAz,"  Helfer/in-Kurier-, Zustell- und Postdienstleistungen 450,-

  WKC Hamburg GmbH Hamburg

  * Posted on 16 Oct 2018
  * Job type: Part time
  * Career level: Professional/Experienced
  * Industry: Transport and logistics

  * Sign up and apply
  * Create search alert

  Helfer/in-Kurier-, Zustell- und Postdienstleistungen 450,-
  (geringfügige Beschäftigung) ab dem 02.01.2019 gesucht! Wissen, das trägt!

  WK Consult ist seit mehr als 76 Jahren ein Inhabergeführtes Traditionsunternehmen des Bauingenieurwesens.

  Das breit gefächerte Leistungsspektrum erstreckt sich von der Objekt- und Tragwerksplanung im Hochbau, Industrie- und Kraftwerksbau, Ingenieur- und Wasserbau über die bautechnische Prüfung, Bauen im Bestand, Betoninstandsetzung, Bauwerksprüfung sowie Örtliche Bauüberwachung und Bauoberleitung bis hin zur Kampfmitteluntersuchung, Bodenmanagement und hauseigenen Ingenieurtauchern.

  Rund 125 engagierte Mitarbeiterinnen und Mitarbeiter an den Standorten Hamburg und Rostock, arbeiten bei WK Consult gemeinsam an spannenden Projekten in ganz Norddeutschland. Wir brauchen genau Sie!

  Ihre Aufgaben:

  * Bearbeitung der Ein- und Ausgangspost
  * Kurierfahrten und Botengänge mit unserem Poolfahrzeug
  * In Ausnahmefällen Paketannahme,- Verteilung
  Paketversand
  * Erfassen von Eingangssendungen
  * Elektronische Dokumentation des Versandes
  * Entgegennahme von Brief- und Kuriersendungen
  * Sortieren der Sendungen nach Geschäftsbereichen
  * Kontaktperson für Kurier- und Eilsendungen
  * Versandvorbereitungen der Ausgangspost
  * Kuriersendungen bis hin zum Versandabschluss
  * Bearbeitung von Einschreiben, Kuriersendungen sowie Frankieren der zu versendenden Dokumententägliche Transport der Post und Päckchen (ca. 30 kg) schwer.
  * Packen von Touren und Transportbehältnissen
  * sowie leichte administrative Aufgaben, eine umfangreiche Einarbeitung wird gewährleistet.

  Wir bieten Ihnen:

  * ein nettes und kollegiales Team
  * eigenständiges, selbstverantwortliches Arbeiten
  * Kontinuierliches Lernen im Job, z. B. durch unser internes Trainingsangebot
  * Flexible Arbeitszeiten
  * Überstundenvergütungsmodell
  * Betriebliches Gesundheitsmanagement
  * Freie Getränke, Obst und Kuchen
  * Nutzung der Poolfahrzeuge
  * Leistungsgerechte Vergütung und Sozialleistungen

  Das sollten Sie mitbringen:

  * Berufseinsteiger sowie Berufserfahrende 50+ sind willkommen, gerne auch Senio-ren
  * Ausgeprägtes Verantwortungsbewusstsein und ein hohes Maß an Engagement
  * Genauigkeit und Sorgfalt
  * Versiert im Umgang mit den gängigen MS Office Programmen
  * Kommunikations- und Teamfähigkeit
  * Hohe Serviceorientierung
  * Diskretion und ein gepflegtes Erscheinungsbild
  * Sehr gutes Deutsch in Wort und Schrift

  Sie haben bereits Erfahrungen im direkten Kundenkontakt sammeln können und zeichnen sich auch bei einem hohen Arbeitsaufkommen durch Freundlichkeit, Servicebereitschaft und Professionalität aus. Schwierige Situation meistern Sie mit einem Lächeln.
  Sie sind mit Technik wie PC, Druckern und gängigen MS Office Produkten vertraut. Sie arbeiten gern selbstständig und Ihre Arbeitsweise zeichnet sich durch ein hohes Maß an Team- und Kundenorientierung aus. Sie verfügen über sehr gute Deutschkenntnisse und sind im Besitz einer Fahrerlaubnis B PKW/Kleinbusse (alt: FS 3).

  Ihr Wohnort sollte in Hamburg Harburg sein, sodass Sie keine langen Wege zum Arbeitsort vor sich haben.

  Mit dem Einsenden Ihrer Bewerbungsunterlagen erklären Sie sich einverstanden, dass Ihre Daten im Rahmen unserer Bearbeitungsstätigkeit elektronisch verarbeitet und gespeichert werden.

  Wir freuen uns bereits auf Ihre Bewerbung.

  Jobs to match your lifestyle:

  Enter a job title or keyword
  Location
  Radius
  For recruiters: Post a job",1
9,,NoAz,"  Sales Manager (w/m) mit Berufserfahrung im adtech Bereich

  Standort

  Berlin

  Zur Verstärkung unseres Teams suchen wir am Standort Berlin zum nächstmöglichen Zeitpunkt eine/n Sales Manager (w/m) für die Akquise, Betreuung und Onboarding unserer neuen Kunden. Als Sales Manager (w/m) bearbeitest Du Anfragen von interessierten Kunden und begleitest diese in der Testphase bis Vertragsabschluss und Übergabe an die Kundenbetreuung. Du bist die rechte Hands des Chief Sales Officer und arbeitest sehr eigenständig. Du triffst den Kunden innerhalb Deutschlands sowie im Ausland, um unsere Produkte vor Ort zu präsentieren. Außerdem identifizierst Du potenzielle Kunden und sprichst diese aus unserem Büro sowie persönlich (bei Veranstaltungen, Messen, Kongressen, etc.) an.

  Deine Aufgaben

  * Bearbeitung der Anfragen per Email sowie telefonisch
  * Durchführung von Demos und Trainings zu unserer Platform
  * Erstellung von kundenspezifischen Angeboten und Vertragsabschluss
  * Selbständige Follow - ups
  * Onboarding in Zusammenarbeit mit dem Kundensupport-Team
  * Identifizierung und Gewinnung neuer Kunden

  Das bringst Du mit

  * 2-3 Jahre Berufserfahrung als Sales Manager im SaaS-Bereich
  * Sehr gute Kenntnisse der Online Advertising Branche
  * Kommunikationsstärke, sodass Du schnell einen Draht zu unseren internen Schnittstellen sowie unseren Kunden aufbaust
  * Sehr gutes Präsentationsvermögen und Begeisterungsfähigkeit für neue Ideen
  * Eine eigenständige und kundenorientierte Arbeitsweise um die Bedürfnisse der Kunden zu erkennen
  * Deutsch auf Muttersprachler Niveau und verhandlungssichere, englische Sprachkenntnisse in Wort und Schrift. Weitere Sprachkenntnisse sind von Vorteil.
  * Sicherer Umgang mit den MS-Office-Programmen
  * Spaß am Reisen

  Was wir Dir bieten

  * Eine spannende Herausforderung im Bereich Big Data Management und DMP und Entwicklungsmöglichkeiten in einem Unternehmen geprägt von adtech und DMP Experten
  * Langfristige Kundenbeziehungen zu namhaften nationalen und internationalen Medienunternehmen (u.a. Telefonica, Orange, mobile.de, ProSiebenSat.1, Otto Group Media)
  * /Startup Spirit/ bei gleichzeitiger Sicherheit durch Anbindung an den ProSiebenSat.1 Konzern
  * Reisemöglichkeiten: innerhalb Deutschlands sowie in Ausland
  * Kurze Entscheidungswege und Eigenverantwortliches Arbeiten
  * Arbeitsmittel deiner Wahl

  Haben wir Dein Interesse geweckt?

  Dann freuen wir uns auf Deine Bewerbung! Bitte sende uns dafür die relevanten Bewerbungsunterlagen (Motivationsschreiben, Lebenslauf, inkl. möglichem Eintrittsdatum & Gehaltsvorstellung und Zeugnisse). Für Rückfragen steht Dir Elena Leon unter der Rufnummer 030/555 731 314 gern zur Verfügung.",1
