,id,label_class,text,label
0,,Azubi,"  Gärtner/in - Baumschule 2017

  Auszug der Stellenbeschreibung

  Die Gartenbaumschule Lieven sucht für das Ausbildungsjahr 2017 eine/-n Auszubildende/-n

  Gärtner/in der Fachrichtung Baumschule.

  Gärtner/innen der Fachrichtung Baumschule vermehren Laub- und Nadelgehölze art- und fachgerecht, kultivieren sie umweltschonend bis zur Verkaufsreife und vermarkten sie.

  Anforderungen:
  - Freude am Umgang mit Pflanzen und die Vorliebe am Arbeiten im Freien
  - Hauptschulabschluss

  Wenn Sie Interesse haben, bewerben Sie sich mit einer Kurzbewerbung und Lebenslauf gerne per Mail oder schriftlich an die angegebenen Adressen:

  Gartenbaumschule Lieven
  Michaela Hofer
  Baumschulenweg 1
  38442 Wolfsburg
  Niedersachsen

  info@garten-baumschule-lieven.de

  Weitere Informationen über den Betrieb erhalten Sie unter:
  www.garten-baumschule-lieven.de/

  Unternehmen

  Michaela Hofer GartenBaumschule Lieven

  Orte

  * Wolfsburg 1 freie Stelle

  Art der Ausbildung

  Duale Ausbildung
  Jetzt bewerben",0
1,,Azubi,"  Gärtner/in - Baumschule 2017

  Auszug der Stellenbeschreibung

  Die Gartenbaumschule Lieven sucht für das Ausbildungsjahr 2017 eine/-n Auszubildende/-n

  Gärtner/in der Fachrichtung Baumschule.

  Gärtner/innen der Fachrichtung Baumschule vermehren Laub- und Nadelgehölze art- und fachgerecht, kultivieren sie umweltschonend bis zur Verkaufsreife und vermarkten sie.

  Anforderungen:
  - Freude am Umgang mit Pflanzen und die Vorliebe am Arbeiten im Freien
  - Hauptschulabschluss

  Wenn Sie Interesse haben, bewerben Sie sich mit einer Kurzbewerbung und Lebenslauf gerne per Mail oder schriftlich an die angegebenen Adressen:

  Gartenbaumschule Lieven
  Michaela Hofer
  Baumschulenweg 1
  38442 Wolfsburg
  Niedersachsen

  info@garten-baumschule-lieven.de

  Weitere Informationen über den Betrieb erhalten Sie unter:
  www.garten-baumschule-lieven.de/

  Unternehmen

  Michaela Hofer GartenBaumschule Lieven

  Orte

  * Wolfsburg 1 freie Stelle

  Art der Ausbildung

  Duale Ausbildung
  Jetzt bewerben",0
2,492F227D76EB2BCB6D84CCE7EAB213B4,Auszubildende,"Einfach wohlfühlen: Was für unsere Kunden gilt, können auch Sie im Rahmen Ihrer Ausbildung bei Richter+Frenzel Tag für Tag erleben. Mit über 3.500 engagierten Mitarbeitern an rund 170 Standorten sind wir eines der führenden Großhandelsunternehmen Deutschlands und bieten erstklassige Badausstattungen, nachhaltige Haustechnik und Top-Dienstleistungen rund um das moderne Zuhause. Dabei schätzen Kunden besonders unsere kompetente und freundliche Beratung bei der Planung und Gestaltung von Bädern ebenso wie bei der Realisierung von umweltfreundlichen Heizsystemen.

Für den Ausbau unserer Marktposition suchen wir engagierte Auszubildende für den Beruf

Fachkraft für Lagerlogistik

Abwechslungsreich, umfassend, zukunftsorientiert: Die intensive Ausbildung bei Richter+Frenzel bietet Ihnen hervorragende Chancen für den erfolgreichen Start in Ihr Berufsleben.

Ihre Aufgabe: 
Im Lager ist kein Platz für Ungefähr und Vielleicht ¿ deshalb brauchen wir mitdenkende und auch zupackende Logistiker(innen). Sie planen und organisieren die logistischen Prozesse unter Anwendung unseres modernen Warenwirtschaftssystems. Außerdem sind Sie für die Warenannahme, die Lagerung, das Kommissionieren und das Verpacken von Gütern zuständig und sorgen für jederzeit termingerechte Lieferungen an unsere Kunden.

Ihre Qualifikation: 
Sie verfügen mindestens über einen qualifizierenden Hauptschulabschluss und haben Freude daran, Teil eines leistungsstarken Teams zu sein. Hilfsbereit und zuverlässig unterstützen Sie alle Arbeitsabläufe und stellen sich den interessanten Herausforderungen der modernen Logistik.

Unser Angebot: 
Eine ausgezeichnete dreijährige Ausbildung, in der Sie alle ausbildungsrelevanten Abteilungen durchlaufen und einen umfassenden Einblick in die Aufgabenbereiche der Lagerlogistik erhalten, mit sehr guten Übernahmechancen. In internen Seminaren vermitteln Ihnen Fachreferenten Materialkenntnisse und logistische Prozesse. Bei guten schulischen und betrieblichen Leistungen können Sie die Ausbildungszeit um ein halbes Jahr verkürzen.

Wir freuen uns auf Ihre Bewerbung.

Sonstiges:
Ein Praktikum ist möglich.",0
3,,Azubi,"  Auszubildende Hotelfachmann / Hotelfachfrau
  in Berlin
  __________________________________________________

  Details
  Branche           Hotellerie
  Bereich           Ausbildungsplätze
  Rang              Ausbildung
  Anstellung        Ausbildung
  Region            Berlin (Bundesland)
  Land              Deutschland
  Einstellungsdatum 11.01.2016
  __________________________________________________

  Jobbeschreibung
  Wir suchen für unser Haus in Berlin eine / einen
  Auszubildende Hotelfachmann / Hotelfachfrau
  Sie erwartet:
  * ein innovatives Hotelkonzept
  * geregelte Arbeitszeiten (wenig Nachtarbeit und nur selten Wochenenddienst)
  * ein freundliches und junges Team mit hoher Kompetenz und Kollegialität
  * volle Einbindung in den Beruf und Verantwortung
  * auf Wunsch interessante Wechselmöglichkeiten ? auf Zeit ? an andere Standorte
  * Option auf Übernahme und Aufstieg
  * kompetenter Ansprechpartner in allen Belangen

  Ihr Profil:
  * Sie sind kein Durchschnittstyp, haben Ihren eigenen Stil und wollen sich verwirklichen in einem seriösen und organisierten Beruf?
  * Sie arbeiten gern eigenverantwortlich und sind gut organisiert
  * Sie haben bereits eine Ausbildung abgeschlossen oder möchten vom Studium in die Ausbildung wechseln oder haben gerade die Schule abgeschlossen
  * Sie arbeiten gern mit Menschen und haben ein freundliches, serviceorientiertes Wesen
  * Sie mögen die Abwechslung ebenso, wie Ordnung und Verlässlichkeit
  * Sie suchen ein freundliches Team, dass Ihnen viel vermittelt und Ihre Leistung schätzt

  Sie erwartet:
  * ein gut funktionierenden Betrieb mit einem hohen Organisationsgrad und starker Produktausgestaltung
  * eine verantwortungsvolle Aufgabenbereich in einen sympathischen Team, dass sich auf Ihre Unterstützung freut
  * ein hohes Maß an Selbstständigkeit und Eigenverantwortung

  Ihre Gäste freuen sich auf Sie!
  Bewerben Sie sich noch heute per e-mail an:
  __________________________________________________

  Wir freuen uns auf Ihre Bewerbung
  Aparion Berlin
  Berlin",0
4,,Azubi,"  Auszubildende Hotelfachmann / Hotelfachfrau
  in Berlin
  __________________________________________________

  Details
  Branche           Hotellerie
  Bereich           Ausbildungsplätze
  Rang              Ausbildung
  Anstellung        Ausbildung
  Region            Berlin (Bundesland)
  Land              Deutschland
  Einstellungsdatum 11.01.2016
  __________________________________________________

  Jobbeschreibung
  Wir suchen für unser Haus in Berlin eine / einen
  Auszubildende Hotelfachmann / Hotelfachfrau
  Sie erwartet:
  * ein innovatives Hotelkonzept
  * geregelte Arbeitszeiten (wenig Nachtarbeit und nur selten Wochenenddienst)
  * ein freundliches und junges Team mit hoher Kompetenz und Kollegialität
  * volle Einbindung in den Beruf und Verantwortung
  * auf Wunsch interessante Wechselmöglichkeiten ? auf Zeit ? an andere Standorte
  * Option auf Übernahme und Aufstieg
  * kompetenter Ansprechpartner in allen Belangen

  Ihr Profil:
  * Sie sind kein Durchschnittstyp, haben Ihren eigenen Stil und wollen sich verwirklichen in einem seriösen und organisierten Beruf?
  * Sie arbeiten gern eigenverantwortlich und sind gut organisiert
  * Sie haben bereits eine Ausbildung abgeschlossen oder möchten vom Studium in die Ausbildung wechseln oder haben gerade die Schule abgeschlossen
  * Sie arbeiten gern mit Menschen und haben ein freundliches, serviceorientiertes Wesen
  * Sie mögen die Abwechslung ebenso, wie Ordnung und Verlässlichkeit
  * Sie suchen ein freundliches Team, dass Ihnen viel vermittelt und Ihre Leistung schätzt

  Sie erwartet:
  * ein gut funktionierenden Betrieb mit einem hohen Organisationsgrad und starker Produktausgestaltung
  * eine verantwortungsvolle Aufgabenbereich in einen sympathischen Team, dass sich auf Ihre Unterstützung freut
  * ein hohes Maß an Selbstständigkeit und Eigenverantwortung

  Ihre Gäste freuen sich auf Sie!
  Bewerben Sie sich noch heute per e-mail an:
  __________________________________________________

  Wir freuen uns auf Ihre Bewerbung
  Aparion Berlin
  Berlin",0
5,492F5079DC2BE9843AA6E44B5F8EBEB2,Auszubildende,"Die FACHKLINIK SONNENHOF gehört zu einem modernen, privat geführten Klinikkonzern und;wird geführt wie ein Hotel, verbindet so eine Wohlfühlatmosphäre mit hervorragender medizinischer Leistung. Dadurch wird dem Patienten bzw. Gast erstklassige Dienstleistung in allen gewünschten Bereichen geboten.;;Wir suchen ab sofort oder nach Vereinbarung;;Auszubildende Hotelfachleute (m/w);;Hotelfachleute können in allen Abteilungen eines Hotels mitarbeiten. Sie schenken Getränke aus, bedienen im Restaurant, richten Zimmer her oder bereiten Veranstaltungen vor. Auch in der Verwaltung werden sie eingesetzt. Dort kümmern sie sich z.B. um die Buchhaltung, die Lagerhaltung oder das Personalwesen.;;Die Berufsschule ist im ersten Jahr in Freudenstadt, das zweite und dritte Jahr findet in Calw statt.;;Unterkunft kann auf Wunsch gestellt werden.",0
6,,Azubi,"  Auszubildende Restaurantfach (m/w)
  in Berlin
  __________________________________________________

  Details
  Branche           Hotellerie
  Bereich           Ausbildungsplätze
  Rang              Ausbildung
  Anstellung        Ausbildung
  Region            Berlin (Bundesland)
  Land              Deutschland
  Einstellungsdatum 22.01.2016
  __________________________________________________

  Jobbeschreibung

  Ein zufriedener Gast? Ist das, was Sie daraus machen! Mit Persönlichkeit, Kreativität und herausragender Serviceorientierung sind Sie bei der Steigenberger Hotel Group deshalb an der richtigen Adresse, wenn es darum geht, Menschen zum Strahlen zu bringen. Warum Ihnen das leichtfallen wird? Weil wir seit mehr als 80 Jahren europäische Spitzenhotellerie für unvergleichliche Gastlichkeit und exquisiten Service bieten. So wie in unserem Steigenberger Hotel Am Kanzleramt, das nicht nur durch seine unmittelbare Nähe zum Reichstag und zum Hauptbahnhof überzeugt, sondern vor allem mit seinem großzügigen Veranstaltungsbereich und zertifizierter Nachhaltigkeit. Wir freuen uns schon auf Ihre Unterstützung als
  Auszubildende Restaurantfach (m/w) ab Februar 2016 oder nach Vereinbarung im Steigenberger Hotel Am Kanzleramt

  Ausbildungsinhalte:

  Sie wollen die Hotelwelt für sich entdecken?

  Der /Gäste-begeistern/-Virus hat Sie bereits infiziert? Dann starten Sie Ihre Ausbildung bei uns. Warum? Weil die Namen Steigenberger und InterCityHotel seit jeher für eine tolle Ausbildungsqualität stehen. Und weil wir Ihnen die Wertschätzung entgegenbringen, die Ihr Talent verdient. Als Restaurantfachmann (m/w) von morgen lernen Sie drei Jahre lang sämtliche Abläufe im Restaurant kennen: ob es darum geht, Gäste zu empfangen und zu betreuen, den Gastraum herzurichten, Veranstaltungen und Festlichkeiten auszurichten, Speisen und Getränke zu servieren oder Beratungsgespräche mit den Gästen zu führen oder neue Angebote zu gestalten.

  Das lernen Sie in der Berufsschule:
  * Speisen-, Getränke- und Menükunde
  * Betriebslehre, Wirtschaftskunde, Mathematik
  * Allgemeinbildende Fächer (z.B. Deutsch, Politik, Religion)
  * Hygiene, Warenkunde
  * Fremdsprachen (fachbezogen)

  Ausbildungsvoraussetzungen:
  * Für diese spannende Ausbildung bringen Sie einen erfolgreichen Schulabschluss mit
  * Idealerweise haben Sie bereits ein erstes Praktikum in der Gastronomie absolviert
  * Ganz wichtig ist, dass Sie Spaß am Umgang mit Menschen haben
  * Eine teamorientierte Arbeitsweise zeichnet Sie aus
  * Sie sind ein Organisations- und Verkaufstalent
  * Gute Umgangsformen, ein angenehmes Erscheinungsbild und eine natürliche Herzlichkeit runden Ihr Profil ab

  Steigenberger Hotel Am Kanzleramt, Frau Sandel Schulze, 030 740 743 - 913

  Das klingt ganz nach Ihnen? Dann freuen Sie sich auf die Faszination Hotellerie zwischen Tradition und Moderne, auf ein faires Miteinander und vielfältige Aus-, Weiterbildungs- und Entwicklungsmöglichkeiten. Neben einem Tarifgehalt bieten wir Ihnen je nach Erfahrung und Leistung übertarifliche Zulagen, umfangreiche Sozialleistungen, vielfältige Transfermöglichkeiten sowie Vergünstigungen in unseren Hotels (nach Verfügbarkeit).

  Am besten senden Sie uns Ihre aussagekräftigen Unterlagen noch heute über unser Online-Bewerbungsportal. Aufgrund unseres Konzepts der Nachhaltigkeit, können wir lediglich Onlinebewerbungen berücksichtigen. Wir freuen uns auf Sie!
  __________________________________________________

  Wir freuen uns auf Ihre Bewerbung
  Steigenberger Hotel Am Kanzleramt
  Berlin",0
7,492F24001F9A8B8ED631927D15647D20,Auszubildende,"Hier dreht sich alles darum, kaiserlich gut auszusehen!

In unserem hochwertigen Friseursalon Charlemagne Barbershop auf 150 qm bieten unsere Barbiere exquisite Haarschnitte sowie optimale Bartrasuren und Bartpflege. Kundenorientierter Service, kompetente Beratung und typengerechte, sowie trendorientierte Arbeit leisten wir täglich im Herzen der Aachener Innenstadt.  

Wir bieten für dieses Jahr noch eine Ausbildungsstelle zum/zur

Friseur/in (m/w/d) an.

Das bringst du mit:
- Begeisterung für den Beruf, Kreativität und Trendbewusstsein
- ein modernes, gepflegtes äußeres Erscheinungsbild und freundliches Auftreten 
- gute Deutschkenntnisse

Wer ein Faible für Haare, Bartformung, Rasur sowie Lifestyle hat, der kann bei uns im Team Karriere machen.

Wir legen viel Wert auf eine ausgezeichnete Fachlichkeit, die wir durch Weiterbildungen unserer Mitarbeiter/innen in regelmäßigen Abständen ausbauen und weiterentwickeln.

Zudem bieten wir einen abwechslungsreichen Arbeitsplatz, faire Arbeitszeiten sowie eine überdurchschnittliche Vergütung, ein hervorragendes Betriebsklima in einem der schönsten Barbershops und eine Zusammenarbeit mit langfristiger Perspektive in einem jungen, dynamischen Team.

Bitte sende Deine Bewerbungsunterlagen per Email an: info@charlemagne-premium.com oder füll das Formular auf unserer Website aus. 

Wir freuen uns darauf, Dich kennenzulernen!",0
8,492F608BDD40460CBC8255F668877DC9,Auszubildende,"Für ein Unternehmen aus Wernigerode suchen wir für das Ausbildungsjahr 2016 drei Auszubildende, welche den Beruf des/der Gießereimechaniker/in - Druck- und Kokillenguss erlernen möchten.;;Gießereimechaniker/innen der Fachrichtung Druck- und Kokillenguss stellen mithilfe von Dauerformen Gussstücke im Druck-, Kokillen- oder Stranggussverfahren her.;;Die nachfolgend genannten Voraussetzungen bilden die Grundbausteine für eine erfolgreiche Bewerbung:;;1.) Realschulabschluss oder höherer Bildungsabschluss,;2.) Deutsch/Mathematik/Physik/Chemie: mindestens Note 3,;3.) handwerkliches Geschick, Verantwortungsbewusstsein und Teamfähigkeit.;;Es handelt sich um eine 3 1/2-jährige, duale Ausbildung, der schulische Teil der Ausbildung findet in Wernigerode statt (Blockunterricht).;Bei erfolgreichem Abschluss der Ausbildung ist eine Übernahme in ein Arbeitsverhältnis vorgesehen.;;Sie bringen diese Bausteine mit? Dann überzeugen Sie uns mit einer aussagekräftigen Bewerbung!;;Bei Interesse an diesem Ausbildungsstellenangebot wenden Sie sich bitte an den Arbeitgeberservice der Agentur für Arbeit Halberstadt, Frau Richter, Tel.: 03941 / 40892.",0
9,492F41BF70D389826FFF6A676DA002D9,Auszubildende,"Zum Ausbildungsbeginn 01.08.2021 haben wir zwei Ausbildungsstellen zum Gerüstbauer (m/w/d) zu vergeben.

Im Ausbildungsbetrieb lernen die Auszubildenden beispielsweise:

¿ wie man Gerüstbauteile entsprechend den Anforderungen auswählt und beim Aufbau, Umbau und Abbau von Arbeits- und Schutzgerüsten einsetzt
¿ wie Zugänge und Treppen auf-, um- und abgebaut werden
¿ wie Skizzen, Zeichnungen und Pläne gelesen und angewendet werden
¿ was beim Verankern von Gerüsten zu beachten ist
¿ wie sich Umweltbelastungen möglichst vermeiden lassen
¿ die Belastungsfähigkeit von Traggründen für Gerüste zu beurteilen und geeignete Unterkonstruktionen herzustellen
¿ wie Leitergerüste, Schutzwände, Hängegerüste, Wetterschutzhallen und Einhausungen hergestellt werden
¿ wie man Geräte, Maschinen und technische Einrichtungen bedient und instand hält
¿ wie beim Brennschneiden und Schweißen von Profilstahl vorzugehen ist
¿ was bei der Kontrolle von Gerüsten auf Arbeitssicherheit wichtig ist

Darüber hinaus werden während der gesamten Ausbildung Kenntnisse über Themen wie Rechte und Pflichten während der Ausbildung, Organisation des Ausbildungsbetriebs und Umweltschutz vermittelt.


Zugangsvoraussetzungen:

- Min. erweiterter Hauptschulabschluss
- Höhentauglichkeit
- Motivation und Zuverlässigkeit


Interessiert?
Dann bewirb Dich bitte schriftlich per Post oder Mail. Ihr Ansprechpartner ist Herr Noack.",0
