,id,label_class,text,label
0,BA444A04987191592CE68CCFEF413DB3,Auszubildende,"Im Ausbildungsbetrieb lernen die Auszubildenden beispielsweise:


 worauf man bei der Prüfung von Werkstücken mit Winkeln, Grenz- und Gewindelehren  achten muss 
 wie man technische Unterlagen, z.B. Betriebsanleitungen, Kataloge, Stücklisten, liest und anwendet 
 wie unterschiedliche Werkstoffe durch Schrauben und Nieten verbunden werden 
 wie man Bauteile und Baugruppen heftet und Bleche und Profile geschweißt werden 
 was bei der thermischen Trennung von Blechen und Profilen aus legiertem Stahl und Aluminium zu beachten ist 
 wie Oberflächen behandelt und geschützt werden 
 was bei der Herstellung von Metall- oder Stahlkonstruktionen zu beachten ist 
 wie man Fassaden, Wände, Decken und Dächer montiert und demontiert 
 wie Prüfprotokolle angefertigt, technische Sachverhalte dokumentiert und ausgewertet werden 
 was bei der Abstimmung mit Kunden zu beachten ist, wie man Änderungswünsche dokumentiert und umsetzt 

Darüber hinaus werden während der gesamten Ausbildung Kenntnisse über Themen wie Rechte und Pflichten während der Ausbildung, Organisation des Ausbildungsbetriebs und Umweltschutz vermittelt.

In der Berufsschule erwirbt man weitere Kenntnisse in berufsspezifischen Lernfeldern (z.B. Fertigen von Bauelementen mit Maschinen, Herstellen von Blechbauteilen) sowie in allgemeinbildenden Fächern wie Deutsch und Wirtschafts- und Sozialkunde.",0
1,,Azubi,"
  Auszubildende Hotelfachmann / Hotelfachfrau

  Auszug der Stellenbeschreibung

  Auszubildende Hotelfachmann / Hotelfachfrau in Nürnberg Details Branche Hotellerie Bereich Ausbildung / Praktikum / Trainee, Food & Beverage, Rooms & weiteres Rang Ausbildung Anstellung Vollzeit, Ausbildung Region Bayern Land Deutschland Einstellungsdatum 16.01.2017 Jobbeschreibung LE MERIDIEN gehört seit dem Zusammenschluss von MARRIOTT & STARWOOD zu einem Unternehmen, das weltweit mit ca. 5.700 Häusern vertreten ist. Dies bietet interessante Chancen für die berufliche Zukunft. Das LE MERIDIEN GRAND HOTEL NÜRNBERG leistet seit 120 Jahren Service mit Stil. Um das Wohl der Gäste sorgen wir uns mit Eleganz und zeitgemäßer Professionalität. Wir schaffen eine angenehme Atmosphäre für Gäste und Mitarbeiter. Unser Arbeitspensum ist groß und es ist nicht immer einfach - aber wir haben auch Spaß. Wir lernen schnell, Verantwortung zu übernehmen und das ist wahrscheinlich der Grund, warum wir nach unserer Ausbildung so erfolgreich unseren Weg gehen. 2 bzw. 3 Jahre sind schnell vorbei und die
  Welt steht uns danach offen! Wer hat den Mut, ab September 2017 (oder evtl. früher) einzusteigen? Aber noch einmal möchten wir betonen - wir wollen nur von denjenigen eine Bewerbung, die bereit sind, ihre Ausbildung mit Leidenschaft zu absolvieren. Wenn das auf Sie zutrifft, dann bewerben Sie sich bei uns als Auszubildende Hotelfachmann / Hotelfachfrau ab September 2017 oder evtl. früher Wichtig ist noch, dass unsere zukünftigen Azubis gutes Deutsch sprechen, über Englischkenntnisse verfügen und stets darauf achten, dass sie gepflegt auftreten. Sie sollten eine positive Lebenseinstellung besitzen und den Umgang mit Menschen aller Nationen zu schätzen wissen. Als Schulabschluss setzen wir das Abitur oder eine bereits abgeschlossene Berufsausbildung voraus. Haben Sie Interesse an einer vielseitigen und spannenden Ausbildung? Gerne dürfen Sie auch mal bei uns /reinschnuppern/. Rufen Sie an oder schicken Sie eine email. Wir freuen uns darauf. Wir freuen uns auf Ihre Bewerbung LE MÉRIDIEN
  GRAND HOTEL NÜRNBERG Nürnberg

  Unternehmen

  LE MÉRIDIEN GRAND HOTEL NÜRNBERG

  Orte

  * Nürnberg 1 freie Stelle

  Benötigter Abschluss

  Abitur / Fachabitur

  Art der Ausbildung

  Duale Ausbildung
  Zur Original-Stellenanzeige

  Ähnliche Ausbildungsplätze

  Auszubildende Fachfrau / Fachmann für Systemgastronomie
  Nürnberg
  August 2017
  Ausbildung zum Stylisten und Hair & Beauty Artist (m/w)
  Nürnberg
  Tourismuskauffrau/-mann (für Privat- und Geschäftsreisen) mit Schwerpunkt Reisevermittlung",0
2,,Azubi,"  Omexom GA Nord GmbH

  * Position: Ausbildung
  * Beruf: Rohrleitungsbauer/in
  * Ort: Hermsdorf
  * Beginn: 01.08.2016
  * Anzahl Plätze: 1
  * Referenz-Nr: AZY-C73BFA9B
  * (in der Bewerbung bitte angeben)

  * Merken
  * Mail

  Um alle Funktionen nutzen zu können, musst du dich einloggen.

  Noch nicht angemeldet? Hier Profil anlegen!
  STELLENANZEIGE EIGNUNGS-CHECK JETZT BEWERBEN!
  * Drucken
  * Merken
  Um alle Funktionen nutzen zu können, musst du dich einloggen.
  Noch nicht angemeldet? Hier Profil anlegen!
  * Mail

  Diese Seite empfehlen:
  * Teilen
  * Twittern

  Technische Ausbildung - Rohrleitungsbauer m/w

  ?% Eignung für diese Ausbildung Eignungs-Check
  __________________________________________________

  Deine Aufgaben:

  Deine Aufgaben umfassen das Verlegen und Montieren von Druckleitungen. Du stellst Rohrleitungssysteme für Wasser, Gas und Fernwärme her und wartest diese.
  Die Ausbildungsdauer beträgt ca. 3 Jahre. Neben der Berufsschule, erfolgt die Grund- und Fachausbildung in einer Ausbildungswerkstatt bei unserem Kooperationspartner. Zur Erweiterung und Vertiefung der erworbenen Qualifikationen wird die Ausbildung auf unseren Einsatz- und Montagestellen fortgesetzt.

  Deine Qualifikationen:

  Bist du flexibel, teamfähig, kommunikativ und hast gute Umgangsformen?
  Verfügst du über einen (evtl. zukünftigen) guten Haupt- oder Realschulabschluss?
  Vielleicht hast du bereits erste technische und handwerkliche Erfahrungen in einem Praktikum gesammelt?
  Hast du die meisten Fragen mit Ja beantwortet, dann sollten wir uns unbedingt kennenlernen!!!

  Gemeinsame Wünsche:

  Nach der Ausbildung stehen dir viele Türen offen. Du bist in der Lage qualifizierte Funktionen zu übernehmen. Eine Übernahme von unserer Seite wäre wünschenswert, ist aber grundsätzlich von der gezeigten Leistung während der Ausbildung sowie von Ihrer Mobilität und Flexibilität abhängig.

  Bewirb dich und schon kann es losgehen: mit einer Ausbildung die Erfolg verspricht.

  Arbeitsbedingungen

  * Arbeitsumfeld: Werkstatt, Fertigungshalle, Handwerksbetrieb, Baustelle, im Freien
  * Arbeitszeiten: feste Zeiten
  * Reisetätigkeit: mehrtägige Dienstreisen
  * Besondere Arbeitsumstände:
  - Möglichkeit, später zwischen Arbeitsorten zu wechseln
  - Unternehmen hat über 500 Mitarbeiter
  - Möglichkeit, später im Ausland zu arbeiten

  Stärken

  Besonders wichtige Stärken:
  * Handwerklich-technisches Geschick
  * Verantwortungs- und Gefahrenbewusstsein
  * Sorgfalt / Genauigkeit

  Schulleistungen (Mindestanforderungen)

  * Schulabschluss: beliebig
  * Notendurchschnitt: gut
  * Mathe: gut
  * Deutsch: gut
  * Englisch: gut
  * Hilfreiche schulische Interessen: Naturwissenschaften, IT, Technik (MINT)

  Informationen zur Bewerbung

  Ansprechpartner:
  Frau Franziska Biallas
  Telefon: 03564/377-7961

  Bewerbungszeitraum:
  von 01.01.2016 bis 31.07.2016

  Bewerbungsunterlagen:
  vollständig

  Bewerbungsart:
  per E-Mail
  JETZT BEWERBEN! Referenz-Nr: AZY-C73BFA9B (in der Bewerbung bitte angeben)
  Stelle zuschicken und später gleich bewerben!",0
3,,Azubi,"  Ausbildung Hotelfachfrau/-mann


  MünchenAusbildung26.11.2018
  Unternehmensprofil Gemerkt Merken
  /popup.php?sei_id=266&ang_id=2261124
  Jetzt bewerben

  Herzlich Willkommen im Holiday Inn Munich - City Centre!
  Wir suchen freundliche, professionelle und authentische Mitarbeiter, denen das Hotel am Herzen liegt und die sich deshalb besonders ins Zeug legen, um unseren Gästen ein unvergessliches Erlebnis zu bieten - und dabei immer sie selbst bleiben - STAY REAL - BE YOU!

  Zur Verstärkung unseres Teams im Holiday Inn Munich City - Centre suchen wir engagierte Persönlichkeiten für eine
  Ausbildung Hotelfachfrau/-mann
  Beginn: 01. Februar 2019 und 01. August 2019

  Wir bieten:
  * Eine abwechslungsreiche und anspruchsvolle Ausbildung - Zertifiziert als TopAusbildungsbetrieb des DEHOGA Bayern
  * Eigenverantwortliches Arbeiten in einem internationalen Ambiente
  * verschiedene Aktivitäten, wie z.B. Mitarbeiterfeier, Azubiausflug
  * interne Schulungen, wie z.B. Reklamationstraining, Kaffeeschulung
  * weltweite Vergünstigungen in allen Hotels der Intercontinental Hotels Group

  Wir erwarten:
  * Team - und Kommunikationsfähigkeit
  * Flexibilität und Belastbarkeit
  * Motivation und Ehrgeiz
  * Spaß am Umgang mit Menschen
  * Gute Umgangsformen und ein angenehmes Erscheinungsbild
  * sehr gute Deutsch- und Englischkenntnisse

  Darüber hinaus werden Sie Teil eines fantastischen Teams, in dem die Arbeit Spass macht und Sie sich stets auf die Herausforderungen des nächsten Tages freuen können.

  Wenn diese Ausbildungsstelle genau das ist, wonach Sie gesucht haben, freuen wir uns auf Ihre Bewerbung. Um mehr zu erfahren, besuchen Sie uns auf www.munich-meeting-centre.de oder kontaktieren Sie uns telefonisch.

  Holiday Inn Munich - City Centre
  Hochstraße 3
  81669 München
  Deutschland

  Telefon: 0049- (0)89-4803-6401
  Telefax: 0049- (0)89-4803 6420

  E-Mail: Human.Resources@muchb.holidayinn.com
  Internet: www.munich-meeting-centre.de

  Ansprechpartner: Frau Barbara Pfeiffer
  Position/Abteilung: Human Resources Manager",0
4,,Azubi,"  Mit uns werden Sie zum Steuerexperten!
  * 2-jährige duale Ausbildung, davon insgesamt 16 Monate berufspraktische Ausbildung im Finanzamt und insgesamt 8 Monate Blockunterricht an der Landesfinanzschule NRW
  * vom ersten Ausbildungstag an monatlich rund 1.200 Euro Gehalt
  * nach erfolgreicher Ausbildung sichere Anstellung und gute Berufsentwicklungs- und Karrieremöglichkeiten in der Finanzverwaltung NRW
  __________________________________________________

  Finanzamt - berufspraktische Ausbildung
  * wechselnd praktische Ausbildung im Finanzamt und Theorieunterricht an der Landesfinanzschule
  * Schwerpunkt der praktischen Ausbildung im sogenannten Veranlagungsbereich - Bearbeitung von Steuererklärungen der Bürger und Unternehmer
  * intensive Betreuung in den extra für die Ausbildung eingerichteten Lehrbezirken
  * organisierte Arbeitsgemeinschaften, die in der Theorie gelernte Inhalte mit der Berufspraxis verknüpfen
  __________________________________________________

  Landesfinanzschule- Blockunterricht
  * Verteilung des Unterrichts auf 3 Blöcke über die gesamte Ausbildungsdauer
  * während dieser Zeit Unterbringung auf dem Campus in möblierten Einzelzimmern mit eigenem Bad und Vollverpflegung gegen ein geringes Entgelt
  * Unterricht in Klassenverbänden von bis zu maximal 25 Personen
  * überwiegend vormittags Unterricht nach einem fest vorgegebenen Stundenplan
  * durch Dozenten betreute Nacharbeit am Nachmittag
  * Unterrichtsfächer (Auszug): Allgemeines Abgabenrecht, Steuern vom Einkommen und Ertrag, Umsatzsteuer, Buchführung und Bilanzwesen, Steuererhebung (Kassen- und Rechnungswesen sowie Vollstreckungswesen)
  __________________________________________________

  Perspektive

  Nach erfolgreich abgeschlossener Ausbildung erwarten Sie ein sicherer Arbeitsplatz, sowie gute Einsatz- und Entwicklungsmöglichkeiten im Innendienst (Finanzamt, Oberfinanzdirektion) oder im Außendienst (Lohnsteueraußenprüfung, Vollziehungstätigkeit) der Finanzverwaltung NRW. Flexible Arbeitszeiten, Teilzeittätigkeit und Homeoffice-Plätze sorgen für eine optimale Work-Life-Balance.

  Besonderheiten
  __________________________________________________

  Erwünscht sind auch Bewerbungen von geeigneten Menschen mit Schwerbehinderung und ihnen gleichgestellten Menschen.

  Diese Ausschreibung wendet sich ebenfalls ausdrücklich an Menschen mit Migrationshintergrund. Sie sollten im Zeitpunkt der Einstellung eine Staatsangehörigkeit eines EU-Staates bzw. eines Staats mit einem EU-Rechtsabkommen besitzen.

  Weitere Informationen zum Beruf
  __________________________________________________

  Alle Infos zum Beruf: Finanzwirt (m/w/d)
  ©Finanzverwaltung Nordrhein-Westfalen

  Kernaufgaben

  Finanzwirte haben ein umfangreiches Wissen im Bereich des Steuerrechts.

  Schwerpunkte der Tätigkeit bilden die Steuerfestsetzungs- und Steuererhebungsaufgaben, dazu zählen:
  * Ermitteln und Festsetzen von Steuern durch die Bearbeitung der Steuererklärungen
  * Abstimmen von Zahlungs-, Forderungs- und Schuldnervorgängen
  * Prüfen der festgesetzten Lohnsteuern im Außendienst
  * Revisorin oder Revisor in den Spielcasinos des Landes Nordrhein-Westfalen zum Beispiel in Aachen, Bad Oeynhausen, Dortmund und Duisburg.

  zur Bewerbung

  Bewerbung
  __________________________________________________

  Jetzt bewerben https://www.ausbildung-im-finanzamt.de
  __________________________________________________

  Wichtiger Bestandteil deines Bewerbungsanschreibens ist die Angabe der Quelle des Angebotes - beziehe dich auf das Ausbildungsportal AUBI-plus.
  __________________________________________________

  Unser Tipp: Bewirb dich mit einer professionellen Bewerbungs­homepage - ganz einfach per Smartphone.

  Unterlagen",0
5,BA459BE6DC95E13900ABF8BA9AD03E60,Auszubildende,"K-CNS - Das Systemhaus

wurde 1996 als Einzelunternehmen in Bochum - Wattenscheid gegründet und hat sich bis heute zu einem deutschlandweit agierenden Dienstleister, zu einem Lieferant für Hard- und Software, Netzwerk-, Medizin- und Präsentationprodukten entwickelt.
Durch Kooperationen mit führenden Herstellern und Großdistributoren, für Hard- und Software, können wir den EDV-Bedarf komplett abdecken.
Zu unseren besonderen Spezialitäten gehören unter anderem Bildbetrachtungssoftware, Medizinische Bildschirme, Archivsysteme, Abrechnungsysteme und Kassensysteme, Halterungen für Bildschirme und Fernseher.
Zu unseren Kunden zählen Industrie, Einzelhandel, Versicherungen, Banken, die Automobilindustrie, kleine und mittelständische Betriebe, Krankenhäuser, Arztpraxen, MVZ, Klinische Ambulanzen.


Wir bieten aktuell einen Ausbildungsbeginn eine/n einen Ausbildungsplatz zum/r 

Fachinformatiker/in - Systemintegration / Netzwerkadministrator/in an.

Der Einstieg ist laufend möglich.

Folgende Voraussetzung werden benötigt:

- PKW Führerschein
- Abitur

Gerne kann bei uns ein Praktikum vor Ausbildungsbeginn absolviert werden.

Bei Interesse bewerben Sie sich bitte ausschließlich per Mail unter vertrieb@k-cns.de

Postalisch zugesandte Bewerbungsmappen werden nicht zurückgeschickt.",0
6,,Azubi,"  Gärtner/-in Fachrichtung Garten- und Landschaftsbau Gärtner/-in - Garten- und Landschaftsbau

  Landkreis Neunkirchen

  Ausbildungsplatz für 2016 als Gärtner/-in Fachrichtung Garten- und Landschaftsbau Gärtner/-in - Garten- und Landschaftsbau in Ottweiler bei Landkreis Neunkirchen. Aussagekräftige Bewerbung bitte direkt über den Bewerben-Button versenden.
  Ausbildungsdetails
  Standort: Wilhelm-Heinrich-Straße 36
  66564 Ottweiler
  Fachrichtungen: Andere
  Angeboten als: duale Ausbildung
  Ausbildungsstart: 01.08.2016
  Anzeige melden
  Anschrift

  Wilhelm-Heinrich-Straße 36
  66564 Ottweiler

  Sie suchen eine spannende und vielseitige Ausbildung in 2016?

  Gesucht werden zuverlässige und motivierte Gärtner/-in Fachrichtung Garten- und Landschaftsbau Gärtner/-in - Garten- und Landschaftsbau die den nächsten Schritt gehen wollen und mit unserem Unternehmen erfolgreich in die Zukunft starten.

  Wir freuen uns auf Ihr Bewerbungsschreiben - schicken Sie uns Ihre aussagekräftigen Bewerbungsunterlagen für eine Ausbildung direkt mit nur einem Klick über den Button /Bewerben/.
  Dieser Text wurde automatisch generiert und stammt nicht vom Unternehmen selbst.",0
7,,Azubi,"  Auszubildende Hotelfachmann / Hotelfachfrau

  Auszug der Stellenbeschreibung

  Weitere Bilder / Informationen WELTHAFEN - TREFFPUNKT ZWISCHEN TRENDS UND TRADITIONEN In bester Lage von Hamburg - dem Tor zur Welt, zwischen dem Hamburger Michel, der lebendigen HafenCity, der berühmten Speicherstadt und den beeindruckenden St.-Pauli-Landungsbrücken, liegt das leger-elegante Lindner Hotel Am Michel. Eine exklusive Geschäftsadresse mit modernster Ausstattung, geschmackvolles CityHotel für Städtebummler und ein charmanter WeltHafen inmitten von internationalen Trends und hanseatischen Traditionen. Wir verfügen über 259 klimatisierte, komfortable, großzügige und multimedial ausgestattete Doppel- und Twin-bed-Zimmer sowie eine Wellness-Suite sowie 7 klimatisierte Tagungs- und Veranstaltungsräume für bis zu 150 Personen, teilweise miteinander kombinierbar und ausgestattet mit modernster Konferenz-, Informations- und Medientechnik. Das großzügige Restaurant SONNIN offeriert eine leichte, internationale Küche mit regionalen und überregionalen Einflüssen. In unserer Bar LACOON
  wird eine große Auswahl an Cocktails, Weinen und Kaffeespezialitäten angeboten. Unser modernes Lindner fit & well -Center mit professionellem Fitnessraum, Dampfbad, Sauna und Solarium vervollständigen unser Angebot. Die familiengeführte Hotelgruppe betreibt 34 Hotels in sieben europäischen Ländern. Sie zählt damit zu den führenden deutschen Hotelgesellschaften. Neben modernen Businesshotels in Großstätten gehören zum Portfolio hochwertige Spa- und Sport-Resorts. Unsere Mitarbeiter haben uns auf Kununu (Deutschlands größtem Arbeitgeberbewertungsportal) auf Platz 3 der bestbewertesten Hotelgruppen gewählt. Lindner Hotels. Nicht besser. Anders. Wir suchen aufgeschlossene, zuverlässige und engagierte junge Menschen, die Freude am Umgang mit Gästen haben und ihrem Traumberuf in der gehobenen Hotellerie einen Schritt näher kommen möchten. Machen Sie Ihren ersten Schritt auf der Karriereleiter bei uns als Auszubildende Hotelfachmann / Hotelfachfrau Ihr Profil:

  * Sie verfügen über eine abgeschlossene Schulausbildung, gute Umgangsformen und gute Englischkenntnisse
  * Sie haben Freude daran Gästewünsche zu erkennen und zu erfüllen
  * Hohe Einsatzbereitschaft und Flexibilität
  * Freude am eigenständigen Arbeiten
  * Hohe Lernbereitschaft und Interesse an Ausbildungsinhalten
  * Eigeninitiative und Teamgeist Wir bieten:

  * Qualifizierte Ausbildung in den verschiedenen Abteilungen des Hotels
  * Interessante Weiterbildungsmöglichkeiten
  * Bezuschussung des HVV Tickets
  * Freie Anwesenheitskost
  * Eine Übernahmegarantie nach erfolgreicher Ausbildung 2015:
  2.Platz Focus-Award /Bester Arbeitgeber/ 2014:
  2. Platz Focus-Award /Bester Arbeitgeber/, 1. Platz e-learning Journal Award / Kategorie /Beste Lernplattform/. 1. Platz Hospitality Award / Kategorie /Mitarbeiterbindung/ 2013:
  3. Platz HR Hospitality Award Kategorie /Personalförderung/ Auf Ihre aussagekräftige Bewerbung freuen wir uns. Diese können Sie selbstverständlich auch per E-Mail an uns senden. Lindner Hotel Am Michel Neanderstraße 20, 20459 Hamburg, Deutschland Telefon:
  040 30 70 67 751 E-Mail:
  julia.albrecht@lindner.de Internet:
  www.lindner.de/de/about/karriere Ansprechpartner:
  Frau Julia Albrecht Position/Abteilung:
  Direktionsassistentin",0
8,BA45C74E094FEAD26A81E932213CDFC3,Auszubildende,"Unsere Traditionsbäckerei, Konditorei mit Café in Brannenburg biete Dir für das Ausbildungsjahr 2018 einen Ausbildungsplatz zum/zur


*** Fachverkäufer/in - Lebensmittelhandwerk ***


Der Beruf im Überblick:

Fachverkäufer/innen im Lebensmittelhandwerk mit dem Schwerpunkt Bäckerei übernehmen den Verkauf von Brot und Backwaren, zum Teil auch kleiner Gerichte. Sie beraten und informieren ihre Kunden auch über Inhaltsstoffe und Bestandteile der Bäckereierzeugnisse. 

Zudem präsentieren und verpacken sie Backwaren, dekorieren Auslagen und sorgen für Ordnung und Sauberkeit im Verkaufsraum.



Darüber hinaus schneiden sie Brote und Kuchen auf, belegen und garnieren Brötchen und bereiten Snacks oder kleine Mahlzeiten zu.
Dein Notenbild bzw. Dein Schulabschluss ist für uns zweitrangig, wichtiger ist uns Deine Motivation und Interesse an dem Beruf!


Ein umfassendes Bild kannst Du Dir unter www.cafe-daier.de machen.


Interessiert?
Dann freuen wir uns auf Ihre Bewerbung!",0
9,,Azubi,"  Auszubildende Hotelfachmann / Hotelfachfrau

  Auszug der Stellenbeschreibung

  Auszubildende Hotelfachmann / Hotelfachfrau in München Details Branche Hotellerie Bereich Ausbildung / Praktikum / Trainee, Food & Beverage, Rooms & weiteres Rang Ausbildung Anstellung Ausbildung Region Bayern Land Deutschland Einstellungsdatum 16.01.2017 Jobbeschreibung Wir suchen zum 01.09.2017 Einsendeschluss:
  30.04.2017 Auszubildende Hotelfachmann / Hotelfachfrau Sie sind auf der Suche nach einem abwechslungsreichen Beruf, der Ihnen den Weg für eine internationale Karriere ebnen kann und lieben den Umgang mit Menschen? Dann ist eine Ausbildung im Hotelfach genau das richtige für Sie! Voraussetzungen:

  * Eine erfolgreich abgeschlossene Schulausbildung mit mind. Mittlerer Reife
  * Sie sind flexibel und arbeiten gerne im Team;
  * Der Umgang mit unseren, zum größten Teil ausländischen Gästen bereitet Ihnen große Freude;
  * Sehr gute Deutsch- und Englischkenntnisse, weitere Fremdsprachenkenntnisse von Vorteil;
  * Gute Umgangsformen und ein gepflegtes Erscheinungsbild; Wir bieten Ihnen:

  * Familiäres Betriebsklima
  * Abwechslungsreichen Arbeitsplatz
  * Gute Erreichbarkeit mit den öffentlichen Verkehrsmitteln
  * Bei erfolgreich beendeter Ausbildung Möglichkeit zur Übernahme
  * Möglichkeit zur Verkürzung bei gegebenen schulischen Leistungen Wenn Sie sich angesprochen fühlen, schicken Sie uns gerne Ihre aussagekräftige Bewerbung per E-Mail oder Post an:
  Wir freuen uns auf Ihre Bewerbung Hotel Germania München",0
