,id,label_class,text,label
0,,Azubi,"  Ausbildungsplatz als Metallbauer, Fachrichtung Konstruktionstechnik (m/w)

  Auszug der Stellenbeschreibung

  Ausbildungsplatz als Metallbauer, Fachrichtung Konstruktionstechnik (m/w) Ausbildung bei der hbk metallbearbeitung Gemeinsam Zukunft bauen? In der hbk metallbearbeitung trifft Tradition auf die Moderne. Mit Technologie auf neuestem Stand und der Sorgfalt eines handwerklichen Traditionsbetriebes avancieren wir zu einem der modernsten Unternehmen der nordbayerischen Metallbearbeitungsindustrie. Seien Sie dabei als? Metallbauer Fachrichtung Konstruktionstechnik (m/w) Ansprechpartner:
  Corina Hartwich Markgrafenstraße 9 - 95497 Goldkronach - Tel.:
  09273 5010 141 Jetzt bewerben Bitte beziehen Sie sich bei Ihrer Bewerbung auf mittelfrankenjobs.de - vielen Dank! Empfehlen Kontaktinformationen Firma hbk metallbearbeitung gmbh c.hartwich@hbk-metall.com 09273-5010-141 Kontaktperson Corina Hartwich c.hartwich@hbk-metall.com veröffentlicht am 27.04.2017 Einsatzort Markgrafenstraße 9, 95497 Goldkronach, DE Branche Handwerk Firmenprofil Karte nicht verfügbar

  Unternehmen

  Metallbearbeitung Trifft

  Orte

  * Goldkronach 1 freie Stelle

  Art der Ausbildung

  Duale Ausbildung
  Zur Original-Stellenanzeige
  Bewerben / Weiterempfehlen
  Jetzt bewerben
  Ausbildungsplatz empfehlen
  Drucken",0
1,,Azubi,"  1. Startseite

  Suchergebnisse

  Ausbildungsangebot - RTL Radio Deutschland GmbH - Kaufmann für Büromanagement (m/w)
  __________________________________________________

  Ausbildung Kaufmann für Büromanagement (m/w)

  RTL Radio Deutschland GmbH
  Berlin
  http://www.rtlradiodeutschland.de/
  Unternehmensprofil

  Ausbildungsbeginn
  01.09.2016
  Empfohlener Schulabschluss
  Fachhochschulreife
  Bildungsweg
  Duale Ausbildung
  Ausbildungsplätze
  1 freier Ausbildungsplatz
  Ausbildungsdauer
  3 Jahre
  Bewerbungsfrist
  offen

  Ausbildungsinhalte
  __________________________________________________

  Deine Aufgaben:

  Während der Ausbildung lernst du die Inhalte der allgemeinen Verwaltung, des Personalwesens und der Finanzbuchhaltung kennen:

  Du unterstützt das Sekretariat der Geschäftsführung in dem du Büroabläufe organisierst, Termine koordinierst, Telefonate führst, Auskünfte erteilst, Terminkalender pflegst, Post bearbeitest und Reisen planst.

  Dabei erlernst du den Umgang mit modernen Bürokommunikationsmitteln und bekommst das nötige Know-how um eigenständig Sekretariatsabläufe sicherzustellen.

  Du arbeitest im bereichsbezogenen Personal- und Rechnungswesen mit, assistierst bei vorbereitenden Gehaltsabrechnungen, hilfst bei der Koordination des Bewerbermanagements, der allgemeinen Personalverwaltung und lernst den Umgang mit SAP kennen.

  Du arbeitest dabei von Anfang an selbstständig und eigenverantwortlich in verschiedenen Aufgabenbereichen mit und lernst den spannenden Arbeitsalltag eines Medienunternehmens kennen.

  Was wir erwarten:
  * sehr gute bis gute Noten in den Fächern Deutsch, Mathematik und Englisch
  * gutes mündliches und schriftliches Ausdrucksvermögen
  * Lern- und Leistungsbereitschaft
  * Teamfähigkeit
  * ein freundliches und sicheres Auftreten
  * Zuverlässigkeit und Loyalität
  * Interesse für Medien (Radio, Fernsehen, Internet...)

  Besonderheiten
  __________________________________________________

  Was dich erwartet:

  * ein nettes Team
  * ein super Arbeitsklima
  * regelmäßiges Feedback zum Ausbildungsstand
  * eine anforderungsgerechte Ausbildungsvergütung
  * die Möglichkeit aktiv mitzugestalten und dich schon währen deiner Ausbildung selbst einzubringen!

  Bewerbung an
  __________________________________________________

  jobs@rtlradio.de
  __________________________________________________

  Tipp: Wichtiger Bestandteil deines Bewerbungsanschreibens ist die Angabe der Quelle des Angebotes - beziehe dich auf das Karriereportal AUBI-plus.

  Unterlagen
  __________________________________________________

  * vollständige Bewerbungsunterlagen
  * Anschreiben
  * tabellarischer Lebenslauf

  Kontakt
  __________________________________________________

  Saskia Widmann
  E-Mail schreiben
  030 88484105",0
2,,NoAz,"  Full_Time
  Speditionskaufmann / -frau in Herborn, Hessen (m/w)

  Im Auftrag eines namhaften Kunden aus der Region Herborn suchen wir genau Sie (m/w/d/d).
  Das dürfen Sie von uns erwarten:

  * Sicherer Arbeitsplatz
  * attraktives Gehaltspaket nach IGZ-Tarif
  * Ggf. attraktive Zulagen
  * Urlaubs- und Weihnachtsgeld
  * Langfristige Einsätze in renommierten Unternehmen der Region
  * Persönliche Betreuung durch kompetente Personalberater
  * Ggf. mit Übernahme im Kundenbetrieb

  Ihre Aufgaben:
  * Prüfung von Eingangsrechnungen und Zollabrechnungen
  * Bestimmung der Warentarifnummern für neue Artikel
  * Führen von Dokumentationen für Fracht- u. Verzollungsdokumente (Import)
  * Ansprechpartner bei Zollprüfungen
  * Ausschreiben und verhandeln von Frachtkosten mit unseren Logistikpartnern
  * Planung und Überwachung von Kostenbudgets und Lagerkennzahlen
  * Bedarfsplanung in Abstimmung mit dem Vertrieb und monatliche Meldungen an unsere Produktionsfirmen
  * Optimierung der Lager- und Logistikstruktur

  Ihr Profil:
  * Abgeschlossene Ausbildung zum/zur Kaufmann/-frau für Spedition und Logistikdienstleistung oder durch entsprechende Berufserfahrung erworbene Kenntnisse
  * Deutsch- und Englischkenntnisse in Wort und Schrift, weitere Fremdsprachen von Vorteil
  * Erfahrung mit den Arbeiten in der Abteilung Einkauf von Vorteil
  * Erfahrung im Erstellen von Exportdokumenten von Vorteil
  * Kundenorientiertes Denken und entsprechende Einsatzbereitschaft inklusive der Bereitschaft zu Überstunden
  * Kommunikationsfähigkeit und Telefonkompetenz
  * PC-Kenntnisse (Windows, Textverarbeitung, Tabellenkalkulation, PPS)
  * Fähigkeit zur selbständigen und konzeptionellen Arbeitsweise, gute Auffassungsgabe mit einem hohen Maß an Verantwortungsbewusstsein und Interesse an schneller Übernahme von Verantwortung, Organisationsgeschick
  * Teamfähigkeit

  Bewerben Sie sich jetzt gleich per E-Mail oder kommen Sie mit Ihren Bewerbungsunterlagen direkt zu uns in die Niederlassung Gießen.
  Wir freuen uns auf Sie!

  Werden Sie eine/r von konzernweit 6.500 zufriedenen Mitarbeitern bei AB Zeitpersonal (ein Unternehmen der ACTIEF Gruppe). Ihre Erfahrungen, Ihre Fähigkeiten und Ihre Stärken zählen bei uns und unseren Kundenunternehmen. Deshalb freuen wir uns über Ihre Bewerbung. Sicher finden wir auch für Sie die passende Stelle Selbstverständlich nach Ihren Wünschen und Vorstellungen.
  Wir stehen bei AB Zeitpersonal außerdem für ein faires Gehalt mindestens nach Tarif (IGZ), ggf. attraktiven Zulagen und Sonderleistungen wie Weihnachts- und Urlaubsgeld.
  Ihr Berater begleitet Ihre persönliche Weiterentwicklung, sei es durch verschiedene Einsätze bei unseren namhaften Kundenunternehmen oder durch gezielte Maßnahmen Das macht die Arbeit bei AB Zeitpersonal so besonders wertvoll.

  Stellendetails

  Unternehmen: AB Zeitpersonal GmbH
  Einsatzort: Herborn
  HerbornDE Arbeitszeit: Vollzeit
  Angebot vom: 19.10.2018
  __________________________________________________

  Kontakt

  AB Zeitpersonal GmbH
  Gießen Andreas Jung Steinstraße 90 35390 Gießen
  +49 641/ 7979610
  giessen@ab-zeitpersonal.de
  Jetzt bewerben per:
  * Ergebnisliste

  Ähnliche Stellenanzeigen
  Ähnliche Jobs
  * Speditionskaufmann / -frau in Herborn
  * Jobs von AB Zeitpersonal GmbH in Herborn
  * Speditionskaufmann / -frau Jobs bei AB Zeitpersonal GmbH

  Aktuelle Top-Jobs

  Folgen Sie Timeworkers
  Tools für ihre Jobsuche
  Jobs per RSS-Feed Jobs per Browser-Suche",1
3,,NoAz,"  Buchhalter (m/w) in Teilzeit - BIJ_ 2008

  aventa personalservice e. K. Berlin
  4.67
  Rated by 43 employees Kununu
  + Posted on 28 Feb 2018
  + Job type: Part time
  + Career level: Professional/Experienced
  + Industry: Other industries
  merken

  Buchhalter (m/w) in Teilzeit - BIJ_ 2008
  Wir suchen in unbefristeter Festanstellung und Teilzeit für eine international tätige Anwaltskanzlei einen Buchhalter (m/w) zur Verstärkung des Teams. Neben einer lebendigen Unternehmenskultur bietet unser Kunde Weiterbildungsmöglichkeiten und ein flexibles Arbeitszeitmodell. Sie sind ein Zahlenjongleur und Ihnen ist auch das HGB nicht fremd? Dann bewerben Sie sich bei aventa.

  Aufgaben
  + Bearbeitung sämtlicher buchhalterischer Aufgaben (Kreditoren, Debitoren, Anlagebuchhaltung)
  + Erledigung der vorbereitenden Gehaltsabrechnungen
  + Buchung der laufenden Geschäftsvorfälle, Bank- und Kassenbelege
  + Erstellung von Reports und Statistiken
  + Erledigung der Reisekostenabrechnungen
  + Vorbereitung des Jahresabschlusses nach HGB
  Wir bieten
  + Direkte Festanstellung bei unserem namhaften Kunden
  + Sehr sympathisches Arbeitsumfeld mit guten Perspektiven
  + Möglichkeiten der flexiblen Arbeitszeitgestaltung
  + Betriebliche Altersvorsorge, Essengutscheine und Zuschuss zum BVG-Ticket
  + Möglichkeiten zur Weiterbildung
  + Zentrale Lage mit sehr guter Verkehrsanbindung

  Anforderungen
  + Eine erfolgreich abgeschlossene Ausbildung als Buchhalter/in, Steuerfachangestellte/r oder vergleichbaren kaufm. Ausbildung
  + Qualifizierte Erfahrung in der Buchhaltung, gerne mit Kenntnissen in der Lohn- und Gehaltsabrechnung
  + Kenntnisse in DATEV sowie gute Englischkenntnisse sind von Vorteil
  + Eine selbstständige, engagierte und genaue Arbeitsweise
  + Teamfähigkeit
  Job-Informationen:
  + Einsatzort: Berlin-West
  + Branche: Recht
  + Beginn: ab sofort
  + Arbeitszeit: Teilzeit
  + Art der Anstellung: Personalvermittlung
  + Referenznummer: 200209/ BIJ_ 2008
  Ansprechpartner: Janine Boenke
  Haben wir Ihr Interesse geweckt?
  Dann freuen wir uns auf Ihre aussagekräftige Bewerbung inkl. aktueller Zeugnisse. Wir prüfen Ihre Unterlagen grundsätzlich auf Eignung hinsichtlich aller für Ihre Qualifikation in Frage kommenden Einsatzmöglichkeiten bei unseren Kunden.
  Sollte die ausgeschriebene Stelle bereits einmal besetzt sein, so nehmen wir Sie bei fachlicher Eignung gern in unser Kandidatennetzwerk auf. Bitte geben Sie bei Ihrer Bewerbung unbedingt die Referenznummer sowie Ihre Gehaltsvorstellungen und den nächstmöglichen Eintrittstermin an.
  Einzelheiten zum Job Stellenart: Teilzeit
  Anzahl Stellen: 1
  Beginn: ab sofort
  Dauer: unbefristet
  Letzte Änderung: 24.11.2017
  Arbeitsort aventa Personalmanagement GmbH
  10627 Berlin
  Bewerbung Bitte bewerben Sie sich
  per E-Mail
  bewerbung@aventa-berlin.de",1
4,,Azubi,"  Wir sind das führende Chemieunternehmen der Welt, weil bei uns die besten Teams intelligente Lösungen bieten - für unsere Kunden und für eine nachhaltige Zukunft. Dazu vernetzen und fördern wir Menschen mit den unterschiedlichsten Talenten und Qualifikationen - weltweit. Das eröffnet auch Ihnen vielfältige Berufsperspektiven

  Lacke der BASF Coatings GmbH geben Oberflächen Schutz, Farbe und Glanz. Bei Auto-, Reparaturlacken, Bautenanstrichmitteln und Beschichtungen für industrielle Anwendungen sind wir der Global Player der Industrie.

  Ausbildung zum Chemikant (m/w)

  Das bieten wir:

  Starten Sie in Ihre berufliche Zukunft mit uns. So unterschiedlich unsere einzelnen

  Berufe auch sein mögen, ist ihnen allen eines gemeinsam - die hohe Qualität unserer

  Ausbildung:

  * Erlernen der industriellen Herstellung unterschiedlicher chemischer Erzeugniss und Produkte
  * Steuern und Überwachen des Produktionsablaufes
  * Mitwirken bei der Verfahrensentwicklung zur Herstellung chemischer Produkte
  * Durchführen von Wartungsarbeiten
  * Einhaltung der hohen Standards bei Umweltschutz und Arbeitssicherheit

  Das erwarten wir

  Wollen Sie zu unserem Team gehören? Dann sollten Sie Folgendes mitbringen:

  * mind. eine gute Berufsreife/einen guten Hauptschulabschluss
  * Interesse an Chemie und Technik
  * Verantwortungsbewusstsein, Genauigkeit und Sorgfalt
  * Bereitschaft zur Schichtarbeit nach der Ausbildung

  Ausbildung geschafft - was dann?

  Sie überzeugen mit Ihren Leistungen und sind bestens für Ihren weiteren Karriereweg

  vorbereitet. Wir übernehmen gerne erfolgreiche Auszubildende und bieten

  anspruchsvolle Aufgaben und professionelles Arbeiten im Team. Es erwarten Sie

  interessante Herausforderungen, Entwicklungs- und Aufstiegschancen.

  Großes bewegen. Erfolge erleben. Mit einer Ausbildung bei BASF.

  Unternehmen:

  BASF Coatings GmbH

  Standort:

  Oldenburg

  Ausbildungsdauer:

  3,5 Jahre

  Ausbildungsbeginn:
  01.09.2016

  Referenzcode:
  DE55054312_ONLE_1_BCD_OLD_CK

  Ihre Bewerbung erreicht uns online über
  www.basf.com/ausbildung

  oder schriftlich an
  BASF Services Europe GmbH
  Recruiting Services Europe
  Postfach 11 02 48, 10832 Berlin,
  Deutschland

  Ihre Fragen beantworten wir gern:
  Tel.: 00800 33 0000 33
  E-Mail: ausbildung@basf.com",0
5,,NoAz,"  Küchenhilfe (m/w)

  PAV - GmbH Berlin
  + Posted on 01 Mar 2018
  + Job type: Full time
  + Career level: Professional/Experienced
  + Industry: Tourism and food service
  Küchenhilfe (m/w)!
  Küchenhelfer (m/w)
  Sie helfen bei der Essensvorbereitung, in der Spülküche, beim Portionieren am Band sowie bei allen anfallenden Reinigungsarbeiten.
  Das bringen Sie mit:
  * Flexibilität, Teamfähigkeit und Organisationsgeschick
  * Bereitschaft zur Arbeit in Schicht- und Wochenenddiensten
  Das sind Ihre Aufgaben:
  * Unterstützen bei der Herstellung und Zubereitung aller benötigten Speisen
  * Reinigen der Küchengeräte und Spezialräume unter Beachtung der hygienischen Erfordernisse
  * Fachgerechtes Entsorgen der Speisereste
  Das bieten wir Ihnen:
  * Herzliche Arbeitsatmosphäre
  * Offene, lebendige Kommunikation
  * Sicherer Arbeitsplatz in einem etablierten Unternehmen
  * Vielfältige Entwicklungs- und Aufstiegsmöglichkeiten
  Wenn Sie tatkräftig in einem innovativen Team mitarbeiten und sich gerne persönlich weiterentwickeln wollen, sind Sie bei uns richtig! Dann bewerben Sie sich schnell gern per Mail bewerber@pav-gmbh.de oder telefonisch unter: 030/97896240 Mobil: 0170/72 112 04.
  Die PAV arbeitet seit 2004 erfolgreich als private Arbeitsvermittlung. Die Vermittlung ist grundsätzlich kostenlos für Sie. Sie brauchen auch keinen Vermittlungsgutschein. Ihre Bewerbungsunterlagen werden nicht weitergeleitet! Ihren Arbeitsvertrag schließen Sie mit Ihrem zukünftigen Arbeitgeber ab und verhandeln die Konditionen selbstständig.
  Mit diesem Stellenangebot sprechen wir Frauen und Männer gleichermaßen an. Die PAV hält sich bei der Personalauswahl an den Allgemeinen Gleichbehandlungsgrundsatz.",1
6,,NoAz,"  Reinigungskräfte (m/w/i) gefunden bei Klinikverbund Südwest GmbH / Kliniken Sindelfingen

  Calw, Baden-Württemberg

  Klinikverbund Südwest GmbH / Kliniken Sindelfingen

  236490904

  Die Service GmbH Schwarzwald ist ein kommunales Dienstleistungsunternehmen, das mit über 600 Servicekräften in den Bereichen Versorgungszentrum (Großküche), Gastronomie, Hauswirtschaft und Zentralsterilisation der Servicedienstleister des Klinikverbundes Südwest ist. Die Service GmbH Schwarzwald sucht zum flexiblen Einsatz im Landratsamt Calw zum nächstmöglichen Zeitpunkt, zunächst befristet, mehrere Reinigungskräfte (m/w/i) in Teilzeit (30%) Kennziffer: SE 3669 Unser Angebot Wir bieten Ihnen abwechslungsreiche Aufgaben und eine leistungsgerechte Vergütung. Wir legen Wert auf eine gezielte Einführung und Einarbeitung sowie ein angenehmes Arbeitsklima. Außerdem haben unsere Mitarbeiter/innen die Möglichkeit, attraktive Zusatzleistungen (Kinästhetikkurse, vergünstigtes Speisen- und Sportangebot, kostenlose Parkplätze) in Anspruch zu nehmen. Ihre Aufgaben Reinigungsarbeiten unter Beachtung gängiger Hygienevorschriften Arbeitszeiten: Montag bis Donnerstag von 16:00 bis 18:30 Uhr, zusätzlich
  14-tägig Freitag von 11:30 bis 13:00 Uhr Ihr Profil Zeitliche Flexibilität, da evtl. Einsätze außerhalb der genannten Zeiten anfallen können Deutschkenntnisse Teamfähigkeit und Belastbarkeit Führerschein Klasse 3 ist von Vorteil, aber nicht zwingend erforderlich Für fachliche Fragen steht Ihnen die Hauswirtschaftsleitung, Frau Kraft (Tel: 07051 14-41530), gerne zur Verfügung. Wir freuen uns auf Ihre Bewerbung. Bitte senden Sie uns diese bevorzugt online oder unter Nennung der angegebenen Kennziffer postalisch (Krankenhaus Service GmbH Schwarzwald, Personalmanagement, Herr Klotz, Arthur-Gruber-Straße 70, 71065 Sindelfingen). Ihre Ansprechpartner Das Team der Abteilung Personalmarketing und -gewinnung (von links nach rechts): Katharina Hörnlein Kerstin Franz, Leiterin Anton Unterholzner, Stv. Leiter Marina Iakovou Teresa Hansmann So erreichen Sie uns: Telefon: 07031 98-12344 WhatsApp: 07031 98-12344",1
7,,NoAz,"  Verkaufsberater (m/w/d) im Bereich Energie und Telekommunikation

  Oldenburg (Oldenburg)

  FULL_TIME

  EWE VERTRIEB GmbH

  2018-10-18

  Stell mit uns die Energiewelt auf den Kopf. Über die Energiewende wurde viel geredet. Bei EWE entwickeln wir aus unseren Kernbereichen Strom, Telekommunikation und IT heraus die Lösung für eine nachhaltige und wirtschaftliche Energieversorgung. Werden Sie Teil unserer Mission und wachsen Sie mit uns, als Verkaufsberater (m/w/d) im Bereich Energie und Telekommunikation Sie geben Vollgas - beraten und begeistern unsere Kunden von unserer EWE-Produktwelt im Bereich Energie und Telekommunikation bis hin zum Vertragsabschluss Sie bereiten Vertriebs- und Marketingaktionen vor und führen diese inn...",1
8,,NoAz,"  Manager Consulting Delivery IoT DACH (m/w)

  Software AG
  64283 Darmstadt, 90403 Nürnberg, Stuttgart - West, Stuttgart - Mitte, Stuttgart - Nord, 80331 München, 40212 Düsseldorf, Stuttgart - Süd, 20095 Hamburg, 66111 Saarbrücken
  18.10.2018

  Weiterleiten:

  Daten dieser Anzeige

  Job-ID: 008980021
  Manager Consulting Delivery IoT DACH (m/w)
  Software AG
  Kontakt

  Software AG

  Germany

  https://jobs.softwareag.com/job/Darmstadt-Manager-Consulting-Delivery-IoT-DACH-%28mw%29-HE-64297/497356801/
  Positionsbeschreibung
  Disziplinarische Führung und Entwicklung des IoT-Consulting-Teams Konzeption und Durchführung von Personalentwicklungsplänen Coaching der Teammitglieder in verschiedenen Arbeits- und Kundensituationen Optimierung der Teamauslastung sowie aktives Ressourcenmanagement Mitarbeit bei der Entwicklung und Umsetzung von Projekten im Rahmen des Delivery-Managements im Bereich GCS DACH Mitarbeit in Kundenprojekten (ca. 50 Prozent, abhängig von der Teamgröße), um Ihr eigenes Wissen und den Praxisbezug zu erhalten Mitwirkung im Recruitment-Prozess
  Anzeigeninhalt

  Manager Consulting Delivery IoT DACH (m/w) Standort: Darmstadt, Düsseldorf, Hamburg, München, Stuttgart, Nürnberg, Saarbrücken Mit unserer Digital Business Plattform ermöglichen wir es Unternehmen, auf das hohe Tempo, aber auch auf die großen Geschäftschancen zu reagieren, die mit der Digitalisierung und dem schnell wachsenden Internet of Things (IoT) einhergehen. Mit unserer Lösung Cumulocity IoT implementieren wir IoT-Anwendungsszenarien bei unseren Kunden und erweitern sie stetig. Für unseren Bereich Global Consulting Services (GCS) suchen wir einen Manager (m/w), der unsere IoT-Beratungskompetenz in der Region DACH in einem neuen Team bündelt und ausbaut. Ihre Perspektiven Sie berichten an den Vice President Consulting Delivery DACH Sie etablieren ein neues Consulting-Team mit Schwerpunkt IoT und entwickeln es weiter Sie unterstützen den Ausbau des IoT-Projektgeschäfts in der Region DACH Im Rahmen von Kundenprojekten beteiligen Sie sich maßgeblich an der Gestaltung von Lösungen Sie sind
  Ansprechpartner für Projektfragestellungen zur IoT-Plattform der Software AG Ihr Aufgabengebiet Disziplinarische Führung und Entwicklung des IoT-Consulting-Teams Konzeption und Durchführung von Personalentwicklungsplänen Coaching der Teammitglieder in verschiedenen Arbeits- und Kundensituationen Optimierung der Teamauslastung sowie aktives Ressourcenmanagement Mitarbeit bei der Entwicklung und Umsetzung von Projekten im Rahmen des Delivery-Managements im Bereich GCS DACH Mitarbeit in Kundenprojekten (ca. 50 Prozent, abhängig von der Teamgröße), um Ihr eigenes Wissen und den Praxisbezug zu erhalten Mitwirkung im Recruitment-Prozess Ihr Profil Abgeschlossenes Hochschulstudium mit technischem bzw. kaufmännischem Schwerpunkt Praktische Erfahrung als IT-Projektmanager, Architekt, Business-Analyst oder System-Engineer Mindestens zehn Jahre Berufserfahrung im IT-Umfeld Erfahrung im Führen eines Teams von mindestens zehn Mitarbeitern Gutes Verständnis von IoT-Geschäftsmodellen und Use-Cases sowie
  Erfahrung in deren technischer Umsetzung auf der Basis von Integrationsplattformen, beispielweise Cumulocity IoT Ausgeprägte Kunden- und Serviceorientierung verbunden mit unternehmerischem Denken Ausgezeichnete Teamfähigkeit und hohes Durchsetzungsvermögen Selbstständige und eigenverantwortliche Arbeitsweise Sehr gute Kommunikationsfähigkeiten Fließende Deutschkenntnisse in Wort und Schrift Englischkenntnisse auf gehobenem Konversationsniveau Interessiert? Wir freuen uns auf Ihre aussagekräftige Online-Bewerbung inkl. Anschreiben, Lebenslauf und relevanten Zeugnissen. Jetzt bewerben! Kontakt: Yvonne Exeler Telefon +49-(0)681-210-3727 E-Mail: yvonne.exeler@softwareag.com Erfahren Sie mehr über die Software AG: www.SoftwareAG.com
  Berufsfeld

  Projekt- und Produktmanagement/ Qualitätsmanagement

  Consulting/ Beratung

  IT/ Softwareentwicklung
  Branche

  IT/ Software
  Position

  Bereichs-/ Abteilungs-/ Gruppenleitung

  Projektleitung/ Stabstelle/ Spezialist
  Art der Anstellung

  Vollzeit
  Dienstsitz

  66111 Saarbrücken

  Stuttgart - Mitte

  Stuttgart - Nord

  Stuttgart - Süd

  90403 Nürnberg

  64283 Darmstadt

  Stuttgart - West

  20095 Hamburg

  40212 Düsseldorf

  80331 München
  OK

  Diese Website verwendet Cookies zur Verbesserung des Angebots und Bereitstellung von lokalen Funktionen. Mit der Nutzung unserer Dienste erklären Sie sich damit einverstanden. Weitere Informationen",1
9,,NoAz,"  Eisenflechter /in - Wohnungsneubau

  perZukunft Arbeitsvermittlung GmbH & Co. KG Berlin Marzahn Berlin
  + Posted on 02 Mar 2018
  + Job type: Full time
  + Career level: Professional/Experienced
  + Industry: Architecture and planning
  Wir suchen einen Eisenflechter (m/w) für den Berliner Wohnungsneubau in Mitte! Sie werden in Vollzeit eingesetzt und erhalten ein hohes Gehalt.
  Eisenflechter /in - Wohnungsneubau (Allgemein)

  Ihre Aufgaben
  + Sie erlernen den Einsatz computergesteuerter Eisenbiegemaschinen (finanziert durch den Betrieb)
  + Sie verankern Bewehrungen maßgenau nach Plan
  + Sie flechten den Stahlbeton

  Unsere Anforderungen
  + Abgeschlossene Berufsausbildung zum Eisenflechter (m/w) oder Betonstahlbieger (m/w) wünschenswert, aber nicht zwingend erforderlich
  + Grundkenntnisse in der Herstellung von Systemschalungen
  + Sorgfältige Arbeitsweise nach Planvorlagen
  Wir suchen Sie? Dann freuen wir uns auf Ihre Bewerbung!
  Bewerben Sie sich am besten noch heute telefonisch bei Herrn Richter unter 030 54 98 78 50 oder per Email unter bew-ba-mz@perzukunft.de.
  Für Bewerber/innen mit gültigem Aktivierungs- und Vermittlungsgutschein der Agentur für Arbeit /des Jobcenters ist unsere Dienstleistung in jedem Fall kostenlos.
  Die PerZukunft Arbeitsvermittlung Gmbh & Co. KG ist ein von der DEKRA Certification GmbH geprüfter und zugelassener Träger nach AZAV mit der Zertifikats Registrier-Nr.: 31T1112195.
  Bitte beachten Sie, dass die Bewerbungsunterlagen nur zurück gesandt werden, wenn ein entsprechend ausreichend frankierter Rückumschlag beigefügt wird. Des Weiteren beachten Sie bitte, dass im Falle eines Vorstellungsgespräches Fahrtkosten nicht übernommen werden.
  Bitte beachten Sie die folgenden Anforderungen:
  + Kompetenzen:
  Eisenflechten, Bewehrungen herstellen: Grundkenntnisse Stahlbetonbau: Grundkenntnisse Trommelmischer, Betonmischer: Grundkenntnisse",1
