,id,label_class,text,label
0,,Azubi,"  Ausbildung zum Kaufmann im Einzelhandel (m/w/x)
  - Bereich Logistik

  für in 79713 Bad Säckingen
  Beschäftigungsart
  Ausbildung Vertragslaufzeit
  befristet Eintrittstermin
  01.09.2019 Bewirb dich jetzt

  - Lord of Lager -

  Für den Ausbildungsstart zum 01.09.2019 suchen wir dich als zukünftigen/-e Superhelden/-in für unseren toom Baumarkt in 79713 Bad Säckingen.

  In unserem Team von Superhelden kannst du mit deinen besonderen Fähigkeiten glänzen. Du musst auch keine übernatürlichen Fähigkeiten besitzen, um bei uns Respekt und Wertschätzung zu genießen, denn darin ist toom der Held unter den Baumärkten. Als Mitglied der REWE Group setzt sich toom täglich für glückliche Mitarbeiter und begeisterte Kunden ein.

  Der Lord of Lager (m/w/x) ist ordnungsliebend, einfallsreich und ein Organisationstalent. Er lernt nicht nur den richtigen Umgang mit Kunden, sondern ist durch seine Aufgaben hinter den Kulissen unverzichtbar für einen reibungslosen Ablauf im Markt. Er bestellt die Ware, organisiert die Warenannahme und Warenprüfung und sorgt dafür, dass die Ware schnell ihren Weg in den Verkauf findet. Er zeigt Verantwortung in eigenen Projekten und durch unsere Azubi-Seminare und Fachtrainings entwickelt er sich stetig weiter. So ist er bestens auf seine Prüfung vorbereitet.

  Du bist unser/-e Held/-in mit:
  * offener und kommunikativer Art
  * Lust am /Anpacken/
  * Spaß an organisierten Abläufen
  * großem Interesse an unseren Produkten im Baumarkt
  * einem guten Haupt- oder Realschulabschluss oder sogar Abitur

  Unsere toom Superhelden begegnen jedem Kunden und Kollegen ohne Vorurteile, immer mit einem Lächeln und mit viel Hilfsbereitschaft und Toleranz. Sie haben keine Angst vor großem Trubel oder Fehlern, denn bei uns sind Fehler erlaubt, weil sie Lernchancen bieten. Wir finden gemeinsam Lösungen, stehen füreinander ein und haben Spaß daran, Kunden wirklich zu begeistern.

  Werde auch du eine unserer Superkräfte und bewirb dich über den Bewerbungslink: toom.de/karriere.

  Bei Rückfragen stehen dir gerne Jennifer Bär unter 0221 149-6397 oder Margitta Stöcker unter 0221 149-6034 zur Verfügung.

  Wir freuen uns schon sehr auf deine Bewerbung!

  PS: Übrigens findet die Ausbildung zur Superkraft natürlich im Rahmen unserer Ladenöffnungszeiten statt. (Mo-Do bis 20:00 Uhr; Freitag bis 22:00 Uhr; Samstag bis 20:00 Uhr)",0
1,795FFDE9F2EA1AA360AE11CE2DCDDACE,Auszubildende,"Die Rösner Backstube steht als traditioneller Meisterbetrieb für eine Vielfalt täglich ofenfrischer Backwaren und höchste Ansprüche an Qualität und Service. Dabei vereinen wir alte Handwerkskunst mit moderner Technik und bieten neben traditionellen Brot- und Gebäcksorten immer wieder neue Erlebnisse für Gaumen und Augen.

Für unsere Produktionsstätte in Würzburg suchen wir für das Ausbildungsjahr 2018

eine/n Auszubildende/n  zum/r Konditor/in

Was wir erwarten:
- Freundliches Wesen
- Du hast gerne Kontakt mit anderen Menschen
- Hohe Leistungsbereitschaft
- Du bist bereit, dich in einem engagierten Team einzubringen
- Hauptschulabschluss, Quali oder Mittlere Reife

Was dich bei Rösner erwartet:
- Professionelle Ausbildung
- Gutes Betriebsklima
- Gute Entwicklungsmöglichkeiten
- Erhöhte Vergütung
- Übernahme nach erfolgreicher Ausbildung
- Geregelte Arbeitszeiten
- Unterstützung duch Nachhilfe und Schulungen
- Zuschuss zum Führerschein von 200 Euro

Schriftliche Bewerbungen sind erbeten an:

Rösner Backstube
Hertzstraße 10
97076 Würzburg
info@bb-roesner-backstube.de

Erster Kontakt:
Christine Rösner  - Tel. 0179/6910588",0
2,796032BA3175FD3D41857F2F75493F27,Auszubildende,"Einsatzort: 85368 Moosburg
Job ID: RE-54081507A
Beschäftigungsart: Vollzeit
Abiturientenprogramm zur Führungskraft im Einzelhandel


REWE gehört zur REWE Group mit Sitz in Köln. Gegründet 1927, ist die REWE Group heute mit einem Umsatz von über 52 Mrd. Euro und insgesamt 330.000 Beschäftigten einer der führenden Handels- und Touristikkonzerne Europas. Deutschlandweit stehen über 3.300 REWE Märkte mit ihrem Namen für ein innovatives, sehr gut sortiertes und frischeorientiertes Lebensmittelsortiment. Mehr als 100.000 Mitarbeiter leisten dabei den wichtigsten Beitrag: Sie engagieren sich mit Herzblut, weil sie nicht nur gefordert, sondern auch bestens gefördert werden. Wir freuen uns auf Sie. 

Ausschreibungs-ID: RE-54081507A

Es dreht sich alles um die Abläufe im Markt hinsichtlich der Bestellungund des Verkaufs der Waren sowie um kaufmännische Verwaltung.
Abiturientenprogramm zur Führungskraft im EinzelhandelAusbildungsbeginn:  01.08.2017 
 Ausbildungsdauer: 18 - 22 Monate
Wir bieten:

-  Abwechslungsreiche und interessante Aufgabenfelder im gesamten Bereich des Einzelhandels
- Intensive Förderung in REWE-eigenen Abiturientenseminaren (kein Besuch der Berufsschule)
- Unterstützung und Entwicklung im Team - Einarbeitung in die Mitarbeiterführung - Qualifizierung zum/zur Marktmanager/-in bzw. selbständigen Partnerkaufmann/-frau als Zielsetzung


Deine Aufgaben:

-  Bedarfsermittlung und Beschaffung von Waren
- Steuerung des Warenflusses sowie Warenlagerung und -kontrolle
Beraten und Verkaufen im Markt
- Kontrolle und Steuerung der betriebswirtschaftlichen Leistungsfähigkeit des Marktes (Verkaufsstatistiken, Erfolgskontrollen, Abrechnungen)
- Projekte zu Kundenbindung und Qualitätssicherung



Dein Profil:

-  Gute allgemeine bzw. Fachhochschulreife
- Freude am Umgang mit Menschen und Lebensmitteln
- Interesse am Handel und seinen Kunden
- Teamgeist, Kontaktfreude und Dienstleistungsorientierung
- Flexibilität im Denken und Handeln
- Einsatzbereitschaft und Belastbarkeit



Ansprechpartner:
Kristina Gumberger - 08122/985500",0
3,,Azubi,"  Ausbildung Kaufmann/Kauffrau Groß- und Außenhandel


  Auszug der Stellenbeschreibung

  Ausbildung Kaufmann/Kauffrau Groß- und Außenhandel Job code:
  17000ED6 Date of publication:
  2017-06-29 10:
  11:
  03.0 Starting date 2018-08-01 00:
  00:
  00.0 Job function Other job functions Business unit BDK Location Hamburg Job type Apprenticeship Environment Die Bank Deutsches Kraftfahrzeuggewerbe GmbH (BDK) ist eine unabhängige Spezialbank für das Kfz-Gewerbe. Wir unterstützen den Autohandel und dessen Kunden mit Finanzdienstleistungen und Lösungen im Bereich Finanzierung, Leasing, Einkaufsfinanzierung, Versicherungen und Services. Als Tochtergesellschaft sind wir in den Konzern Société Générale Group eingebunden. Die Société Générale ist eine der wichtigsten Geschäftsbanken Frankreichs und zählt zu den führenden Kreditinstituten Europas. Starten Sie in unserer Zentrale in Hamburg Ihre Ausbildung als:
  Kaufmann/-frau im Groß- und Außenhandel (Schwerpunkt Großhandel) Ausbildungsbeginn:
  1. August 2018 Mission Unternehmensumfeld Eine kaufmännische Ausbildung ist eine ausgezeichnete Grundlagen für gute Berufsperspektiven. Bei der Bank Deutsches Kraftfahrzeuggewerbe GmbH (BDK) werden Sie systematisch mit der gesamten Bandbreite des Finanzierungs- und Leasinggeschäfts im Kraftfahrzeuggewerbe vertraut gemacht. Von Beginn an engagieren Sie sich in verschiedenen Abteilungen und beteiligen sich aktiv am Tagesgeschäft. Fakten
  * Während der Ausbildung durchlaufen Sie unterschiedliche Abteilungen bei uns im Unternehmen. Sie erlangen u.a. Einblicke in die Service Center, ins Rechnungswesen oder ins Marketing. So lernen Sie die gesamte Prozesskette kennen und bekommen einen umfassenden Überblick über die Arbeit bei der BDK.
  * Die theoretische Ausbildung erfolgt in der Regel im Blockunterricht an der Berufsschule Wendenstraße mit zwei Unterrichtsblöcken von zirka 13 Wochen pro Ausbildungsjahr und orientiert sich an den typischen betrieblichen Geschäftsprozessen eines Großhandelsbetriebs.
  * Bei sehr guten Leistungen und entsprechendem Engagement besteht im Rahmen der Ausbildung die Möglichkeit eines Arbeitseinsatzes bei unserer Schwesterfirmen im europäischen Ausland. Profile Voraussetzungen
  * Mindestens Mittlere Reife mit sehr guten Noten, guter Abschluss der Höheren Handelsschule, Fachhochschulreife oder Abitur
  * Gute Englischkenntnisse
  * Eigeninitiative und Teamgeist sowie Ausdauer sowie Belastbarkeit Evolution Bewerbungsablauf Auf die Auswahl Ihrer Bewerbung folgt ein kurzer Test in den Bereichen Allgemeinbildung, Mathematik, Rechtschreibung und Englisch sowie persönliche Gespräche bei uns im Haus. Die berufliche Karriere kann beginnen? Dann bevorzugt online unter bewerben. Bitte fügen Sie Ihrer Bewerbung Zeugniskopien der letzten zwei Jahre und Angaben zu außerschulischen Engagement (Nebenjobs, Praktika, Auslandsaufenthalte) bei. Alternativ die vollständigen Bewerbungsunterlagen per E-Mail an Julia Jurock hr@bdk-bank.de Bank Deutsches Kraftfahrzeuggewerbe GmbH Personalabteilung Nedderfeld 95 22529 Hamburg Telefon:
  040-48091-2916 / Wir freuen uns auf Sie!",0
4,,Azubi,"  Willkommen im Team! Bei WOM findest du eine Ausbildung, die Spaß macht und zu dir passt.

  Auszubildender zum Kaufmann für Büromanagement (m/w) - zum 01. September 2018

  Stellenangebot für Schüler/Auszubildende in Berlin

  WOM ist ein Wegbereiter und ein weltweit führender Hersteller in der Medizintechnik - einer Branche mit Zukunft. Wir bieten neben vielen Jobperspektiven vor allem tolle Kolleginnen und Kollegen und echten Teamgeist. Sichere dir jetzt deinen Startplatz!

  Das bieten wir dir

  * eine qualifizierte und fundierte Ausbildung
  * interessante Projektarbeiten
  * moderne Arbeitsplätze und Unterstützung durch ein kompetentes Team
  * internationale Teamarbeit und standortübergreifende Ausbildung
  * systematische Fortbildung durch die WOM ACADEMY
  * Raum für Innovation im WOM InnoHub
  * Zukunftsperspektiven in einem expandierenden Unternehmen

  * alle administrativen Bereiche des Unternehmens standortübergreifend kennen
  * kooperieren und kommunizieren mit internen und externen Partnern, auch in einer fremden Sprache
  * das Jonglieren mit Telefon, E-Mail, Terminkalender, Excel und PowerPoint
  * vielfältige Arbeitsprozesse kennen und kannst dich in Projektarbeiten aktiv einbringen

  * Fachober- oder Fachhochschulreife oder vergleichbarer Schulabschluss
  * problemlösendes Denken und eine schnelle Auffassungsgabe
  * Interesse an EDV und Computern
  * analytische Fähigkeiten und mathematisches Verständnis

  * du überzeugst mit deiner Persönlichkeit und bist ein Organisationstalent
  * Freude an serviceorientierter und verantwortungsbewusster Arbeit zeichnen dich aus
  * du bist kommunikativ und arbeitest gern im Team
  * selbstständiges und sorgfältiges Arbeiten liegen dir besonders",0
5,,Azubi,"  Ausbildungsplatzangebot

  Angebots-Nr. 107-127844-640387

  Label Content
  Ausbildungsberuf Kraftfahrzeugmechatroniker/-in
  Schwerpunkt: Personenkraftwagentechnik
  (zum Berufe-Steckbrief )
  Schulabschluss mindestens Mittlerer Abschluss oder vergleichbar
  Beginn 01. September 2016
  Angebotene Plätze 10
  www.ihk-lehrstellenboerse.de

  Unternehmen

  Autohaus Koch GmbH

  Marzahner Chaussee 219
  12681 Berlin

  Kontakt

  Autohaus Koch GmbH

  Marzahner Chaussee 219
  12681 Berlin

  Zur Homepage
  Kontakt aufnehmen

  Auf Deine Bewerbung freut sich:

  Jannie Philipp

  Tel. 030/ 549988-13

  Weitere Ausbildungsplatzangebote des Unternehmens (3)

  * Fachkraft für Lagerlogistik (4)
  * Automobilkaufmann/-frau (5)
  * Kaufmann/-frau für Büromanagement (1)",0
6,,Azubi,"  Auszubildender (m/w) Immobilienkauffrau/-mann

  Auszug der Stellenbeschreibung

  Für den Einsatzort Steinfurt suchen wir:
  Auszubildender (m/w) Immobilienkauffrau/-mann Zählt für Sie im Beruf Sicherheit oder Abwechslung? Mit TEMPTON verbinden Sie beides. Lassen Sie sich überraschen, was Ihnen unsere innovativen Personaldienstleistungen für eine flexiblere Arbeitswelt bieten können - gerade auch in Ihrer Region. Sie steigen schnell und unkompliziert bei uns ein, sammeln wertvolle, vielseitige Erfahrungen und arbeiten für namhafte Unternehmen, die häufig schon seit Jahren die besondere Qualität der TEMPTON Mitarbeiter schätzen. Wir freuen uns auf Sie im TEMPTON Team! Und das sind 6.000 Mitarbeiter in rund 80 Niederlassungen. Unsere Anforderungen:

  * Realschulabschluss oder Abitur
  * Engagierte, teamfähige Persönlichkeit
  * Fundierte Kenntnisse im Bereich EDV
  * Erfahrung in Bildungsbearbeitung und Graphik
  * Ein sicheres Auftreten gegebüber Kunden
  * Dynamisches und kreatives Denken
  * Interesse an der Immobilienbranche Erkennen Sie sich wieder? Dann freuen wir uns auf Ihre Bewerbung! Rufen Sie uns doch einfach an, dann können wir ganz unkompliziert den weiteren Bewerbungsverlauf besprechen. Alternativ nehmen wir Ihre Bewerbungsunterlagen gerne auch über unser Online-Formular oder postalisch entgegen. Referenznummer:
  ems.aus091216ind Einsatzort (Umkreis):
  48565 Steinfurt (50 km), Nordrhein-Westfalen Branche:
  Immobilien Tätigkeitsbereich:
  Verwaltung/Dienstleistung Beschäftigungs-Art:
  Direkte Personalvermittlung Beschäftigungs-Verhältnis:
  Vollzeit Anzahl offener Stellen:
  1 TEMPTON Personaldienstleistungen GmbH Frau Bianka Lüke Karlstraße 28 48282 Emsdetten 49 2572 8771515 emsdetten.bewerberpool@Tempton.de",0
7,795DCCA60A81337C401661F7756352AE,Auszubildende,"Wir sind ein seit 1945 bestehendes internationales familiengeführtes und mittelständiges Logistikunternehmen und suchen einen Auszubildenden zur

Fachkraft für Lagerlogistik (m/w/d)

zur Verstärkung unseres Lagerteams in Schramberg-Sulgen.

Fachkräfte für Lagerlogistik nehmen Güter an, kontrollieren sie und lagern sie sachgerecht. Sie stellen Lieferungen und Tourenpläne zusammen, verladen und versenden Güter. Außerdem wirken sie bei der Optimierung logistischer Prozesse mit.

Fachkraft für Lagerlogistik ist ein 3-jähriger anerkannter Ausbildungsberuf in Industrie und Handel. Die Ausbildung findet auch im Handwerk statt.

Anforderungsprofil
¿ Guter Hauptschul- oder Realschulabschluss
¿ Systematische Arbeitsweise
¿ Eigeninitiative und Engagement
¿ PC-Kenntnisse erwünscht
¿ Zuverlässigkeit, Teamfähigkeit und Pünktlichkeit
¿ Freundliches und ordentliches Auftreten

Wir bieten
¿ Einen sicheren Arbeitsplatz
¿ Qualitativ hochwertige Ausbildung
¿ Abwechslungsreiche Tätigkeiten
¿ 5 Tage Woche

Bewerbungsunterlagen bitte per Post oder per Mail an 
marco.renn@spedition-renn.de

Alfred Renn GmbH & Co.KG
Pfarrer-Sieger-Str. 30, 78730 Lauterbach 
www.spedition-renn.de",0
8,795E5028157ECB1240E942C3AFD7436A,Auszubildende,"Wir suchen zum neuen Ausbildungsjahr beginnend ab dem 01.08.2020

*** Auszubildende zur/zum Rechtsanwalts- und Notarfachangestellten ***
             mit dem Mindestausbildungsstand Mittlere Reife.

Unsere Kanzlei verfügt neben dem Notariat über vielfältige anwaltliche Themenschwerpunkte wie Arbeits-, Familien-, Arzthaftungs-, Verkehrs-, Verwaltungs-, Insolvenz- sowie Handels- und Gesellschaftsrecht wie auch der bundesweite Bereich der erneuerbaren Energien.

Die Tätigkeit:

Rechtsanwalts- und Notarfachangestellte unterstützen Anwaltsnotare und -notarinnen bei rechtlichen Dienstleistungen. Daneben führen sie allgemeine organisatorische und kaufmännische Arbeiten aus.

Wenn Sie also Interesse haben, Ihre Ausbildung in einer modernen und technisch sehr gut ausgestatteten Kanzlei mit einem breiten Tätigkeitsspektrum zu absolvieren, dann senden Sie uns Ihre vollständigen Bewerbungsunterlagen schriftlich oder per E-Mail.

Für weitere Informationen besuchen Sie gerne unsere Internetseite.
www.engemann-und-partner.de

Bitte informieren Sie sich vorab über die Ausbildung und die Tätigkeit unter www.arbeitsagentur.berufenet.de",0
9,,Azubi,"  Auszubildende Koch / Köchin

  Auszug der Stellenbeschreibung

  Faszinierende Dünenlandschaften, ein endloser Horizont und ein von höchster Exklusivität geprägtes Hotel, verbunden mit einem in Deutschland einzigartigen 18-Loch Golfplatz. Das BUDERSAND Hotel - Golf & Spa - Sylt in Hörnum, dem ruhigen Süden Sylts, bietet seinen Gästen einen beispiellosen Genuss und unzählige Entspannungsmöglichkeiten. Das 5-Sterne-Superior BUDERSAND Hotel - Golf & Spa - Sylt liegt direkt am Meer in Hörnum mit Blick zu den Nachbarinseln Föhr und Amrum. Unser exklusives, modernes Haus verfügt über 77 stilvoll eingerichtete Zimmer und Suiten, das regional inspirierte Gourmet Restaurant KAI3, einer Lounge Bar, Terrasse, Vinothek, eine Bibliothek mit über 1000 Bänden und einen großzügigen Spa-Bereich. Daran angrenzend liegt der dazugehörige, in Deutschland einzigartige 18-Loch Links-Golfplatz mit Golfclub und unser Restaurant Strönholt. Unsere Mitarbeiter machen uns zu dem was wir sind:
  ausgezeichnet als Hotel des Jahres 2014! Werde Teil unseres Teams und bewirb Dich zum 1. September 2017 als Auszubildende Koch / Köchin optional im Verbund mit anderen Luxus-Hotels auf Sylt Starte Deine Koch-Karriere in einem der besten Hotels in Deutschland! Unsere Ausbildung wurde dieses Jahr ausgezeichnet mit der chefs! Trophy Ausbildung 2016 denn wir /engagieren uns weit über das normale Maß hinaus für die Ausbildung angehender Köchinnen & Köche und verstehen es par excellence, Begeisterung und Leidenschaft für einen der schönsten Berufe der Welt zu wecken./ (chefs! Ausgabe 05/2016) Eine facetten- und abwechslungsreiche Ausbildung erwartet Dich! Deine Ausbildung bei uns:
  Im Ausbildungsberuf Koch/Köchin hast Du bei uns die Möglichkeit, in allen Abteilungen des Hotels Erfahrungen zu sammeln. Dies inkludiert:

  * Küche KAI3 Gourmet-Restaurant
  * Küche Strönholt Bistro-Restaurant
  * Patisserie
  * Frühstücksküche
  * Stewarding
  * Service
  * Einkauf
  * und viele mehr! Während Deiner Ausbildungszeit bist Du mitverantwortlich für den reibungslosen Ablauf in den unterschiedlichen Abteilungen und sammelst Erfahrung auf allen Posten in der Küche (Gardemanger, Entremetier, Saucier usw.). Du kannst selbständig arbeiten und bekommst Verantwortung für Deine Aufgaben übertragen. Wir bieten zahlreiche Schulungen und Trainings für unsere Koch-Auszubildenden an und führen mit den anderen Privathotels Sylt einen Auszubildenden-Austausch durch. Auch der Spaß kommt während der Ausbildung durch viele Mitarbeiterveranstaltungen und Azubi-Treffen nicht zu kurz. Die Ausbildung kann ebenfalls im Verbund mit anderen Luxus-Hotels auf Sylt durchgeführt werden, sodass du für einige Zeit in anderen Betrieben ebenfalls Erfahrungen in den Restaurant sammeln kannst und so deine Ausbildung noch interessanter gestaltest. Was wir Dir bieten:

  * regelmäßige 5-Tage-Woche
  * individuelle, persönliche Betreuung während der Ausbildungszeit
  * Übernahmemöglichkeit oder internationale Vermittlung nach deinem Ausbildungsabschluss
  * regelmäßige Azubi-Meetings & Azubi-Aktionen
  * sehr kostengünstiges Wohnen in unseren modernen, voll ausgestatteten Personalappartements
  * kostenfreie Verpflegung im Hotel an 7 Wochentagen
  * Fahrtkostenerstattung für die Fahrt zur Berufsschule
  * Auszubildenden-Austausch mit anderen Privathotels auf Sylt
  * starker Teamzusammenhalt
  * selbständiges Arbeiten
  * ausgezeichnete interne sowie externe Schulungsangebote für Azubis
  * Nutzung des Spa an Mitarbeiter-Spa-Tagen
  * Sportangebote für Mitarbeiter (Beachvolleyball, Nordic Walking, Fußball)
  * Regelmäßige Mitarbeiterveranstaltungen (Sommerparty, Season End Party, etc.)
  * Vergünstigungen im Hotel und den Restaurants für Familienmitglieder
  * zahlreiche Vergünstigungen als Auszubildender der Privathotels Sylt
  * Angebote in Partnerhotels in Deutschland und der Schweiz Was Du mitbringst:
  Du hast Deine mittlere Reife erfolgreich abgeschlossen und konntest bereits durch Praktika/Nebenjobs erste Erfahrungen in einer gastronomischen Küche sammeln. Du hast Freude am Kochen, bist kreativ und hast eine offene Persönlichkeit. Gute Umgangsformen runden Dein Profil ab. Sind wir das perfekte Hotel mit dem Team für Deine Ausbildung? Worauf wartest Du dann noch? Wir freuen wir uns auf Deine Bewerbung! Hier kannst Du Dir schon einmal einen ersten Eindruck zur Ausbildung in unserem Hause verschaffen:
  Falls Du Fragen zu der Ausbildung bei uns im Haus hast oder mehr Informationen benötigst, steht Dir das Personalbüro-Team gerne jederzeit telefonisch oder per E-Mail zur Verfügung. BUDERSAND Hotel - Golf & Spa - Sylt Am Kai 3, 25997 Hörnum/Sylt, Deutschland Telefon:
  04651 4607 451 E-Mail:
  j.nikolei@budersand.de Internet:
  www.budersand.de Ansprechpartner:
  Frau Janina Nikolei Position/Abteilung:
  Personalleiterin",0
