,id,label_class,text,label
0,,Azubi,"  * Position: Ausbildung
  * Beruf: Handelsfachwirt/in (Abi-Ausbildung)
  * Ort: Ingolstadt
  * Beginn: 01.08.2017
  * Anzahl Plätze: 1
  * Referenz-Nr: AZY-CF87EFCG
  * (in der Bewerbung bitte angeben)

  + Position: Ausbildung
  + Beruf: Handelsfachwirt/in (Abi-Ausbildung)
  + Ort: Ingolstadt
  + Beginn: 01.08.2017
  + Anzahl Plätze: 1
  + Referenz-Nr: AZY-CF87EFCG
  + (in der Bewerbung bitte angeben)",0
1,,Azubi,"  Bäcker/-in

  Adolphs-Brotladen GmbH Bäckerei

  Ausbildungsplatz für 2016 als Bäcker/-in in Völklingen bei Adolphs-Brotladen GmbH Bäckerei. Aussagekräftige Bewerbung bitte direkt über den Bewerben-Button versenden.
  Ausbildungsdetails
  Standort: Schaffhauser Straße 146
  66333 Völklingen
  Fachrichtungen: Technik
  Angeboten als: duale Ausbildung
  Ausbildungsstart: 01.08.2016
  Anzeige melden
  Anschrift

  Schaffhauser Straße 146
  66333 Völklingen

  Ein solides Handwerk im technischen Bereich kommt nicht aus der Mode. Die Fortschritte in der Technik entwickeln sich rasant und Fachkräfte mit Expertenwissen werden vielerorts gesucht. Egal welche Neuerungen auf den Markt kommen, in unserer Ausbildung als Bäcker/-in in Völklingen werden Innovationen aufgenommen und mit altbewährten Methoden ergänzt. Also starten Sie 2016 eine Ausbildung zur/zum Bäcker/-in in Völklingen und qualifizieren Sie sich für vielfältige Arbeitsstellen.

  Sie sind ein hoch motivierter Tüftler, nehmen technische Geräte sofort auseinander und arbeiten am liebsten mit Ihren Händen? Dann starten Sie in 2016 als Bäcker/-in mit uns durch. Denn wir möchten mit Ihnen in eine erfolgreiche, gemeinsame Zukunft schreiten. Weil gut ausgebildeter Nachwuchs von heute die qualifizierten Mitarbeiter von morgen sind, legen wir Wert auf eine fundierte Ausbildung als Bäcker/-in.
  Dieser Text wurde automatisch generiert und stammt nicht vom Unternehmen selbst.",0
2,,Azubi,"  Jobs per E-Mail

  Presented by HOTELCAREER

  Auszubildende Koch / Köchin

  * Goslar
  * Ausbildung, Studium
  * Vollzeit
  *

  Das Kloster Wöltingerode befindet sich in unmittelbarer Umgebung von Goslar im schönen Harz.

  Unser Klosterhotel mit 56 Zimmern, 12 Tagungsräumen und einer romantischen Nonnenempore für Hochzeitsfeiern und Familienfeste bietet eine gehobene regionale und saisonale Küche. Unser junges kreatives Kochteam besticht durch seine pfiffigen Ideen. Von der Hochzeit des Vizekanzlers bis zu Banketten für namhafte Gesellschaften aus Wirtschaft und Politik liefert unsere Küche erstklassige Speisen.

  Starte zum 01. August 2019 voll durch mit deiner Ausbildung.
  Auszubildende Koch / Köchin

  Kannst du dir vorstellen Koch/ Köchin in einem Hotel oder Restaurant zu sein? Dir macht es nichts aus, am Wochenende und an Feiertagen zu arbeiten? Du arbeitest gern im Team und verschiedenen Abteilungen? Du bist flexibel und möchtest einen Beruf, mit dem man überall auf der Welt rumkommen kann?

  Voraussetzungen:
  * abgeschlossene Schulbildung
  * handwerkliches Geschick und Kreativität
  * gute körperliche Verfassung
  * schnelle Auffassungsgabe
  * Teamgeist
  * Organisationstalent
  * gepflegtes Erscheinungsbild
  * idealerweise mit gültigem Führerschein

  Wir bieten:
  * eine umfassende und erstklassige Ausbildung in einer zukunftsorientierten Branche
  * höchste Qualität in allen Bereichen unserer gehobenen Gastronomie
  * ein abwechslungsreiches Arbeitsumfeld
  * gute Übernahmechancen
  * Spät und Nachtzuschläge
  * Sonn.- und Feiertagszuschläge
  * nach einjähriger Betriebszugehörigkeit zwei mal im Jahr Sonderzahlungen

  Wenn Du dich angesprochen fühlst und dich einer anspruchsvollen Ausbildung mit viel Engagement und positiver Ausstrahlung stellen willst, sende deine aussagekräftige Bewerbung bitte an folgende Anschrift.

  Wir freuen uns auf deine Bewerbung und darauf dich kennen zu lernen.

  Wir bevorzugen deine Onlinebewerbung.

  Kontakt

  Klosterhotel Wöltingerode
  Wöltingerode 3
  38690 Goslar / OT Vienenburg
  Deutschland

  Herr Andreas Triebsch
  bewerbung@klosterhotel-woeltingerode.de
  0049 (0)5324 - 774460
  www.klosterhotel-woeltingerode.de
  Karte anzeigen

  Standort


  Presented by HOTELCAREER
  Wöltingerode 3, 38690 Goslar, Deutschland

  Jetzt bewerben
  Merken
  Sie möchten sich dieses Stellenangebot per Email senden?",0
3,,Azubi,"  Ausbildung Kaufmann/-frau im Einzelhandel - Berlin

  ?% Eignung für diese Ausbildung Eignungs-Check JETZT BEWERBEN!
  __________________________________________________

  The North Face ist der weltweit führende Hersteller von authentischer und innovativer Outdoor-Ausrüstung. Mit der Erfahrung aus über 40 Jahren alpinem Bergsport fertigt die Marke ein technisch ausgereiftes Komplettsortiment aus Funktionsbekleidung, Equipment und Schuhen, das professionelle Athleten und Hobby-Sportler gleichermaßen überzeugt.

  Für unseren The North Face Store in Berlin suchen wir Auszubildende zum

  Kaufmann (w/m) im Einzelhandel

  Startdatum: 01.09.2017

  Referenzcode: AZY-AZUBI-12

  Du interessierst Dich für den Handel und Mode? Du bist serviceorientiert und hast Spaß an der Beratung von Kunden? Der Umgang mit Zahlen gehört ebenso zu Deinen Stärken wie Flexibilität, Teamfähigkeit und Einsatzbereitschaft?

  Dann bist Du bei uns genau richtig! Starte mit der VF Gruppe Deine Karriere im Einzelhandel.

  Die Ausbildungsinhalte:

  Die Ausbildung hält vielfältige und abwechslungsreiche Aufgaben für Dich bereit: von der Warenannahme und der Warenpräsentation im Store bis hin zur Kassiertätigkeit und der individuellen Kundenbetreuung und Beratung erhältst Du einen umfangreichen Einblick in alle Abläufe unseres Stores. Im Laufe Deiner Ausbildung wirst Du auch selbst Verantwortung übernehmen. Um Dein Wissen immer auf den neuesten Stand zu bringen, nimmst Du regelmäßig an Schulungen teil. Zudem legen wir großen Wert darauf, Dich in der Entwicklung Deiner Persönlichkeit zu begleiten und Deine individuellen Stärken zu fördern.

  Dein Profil:
  * Du hast die Mittlere Reife und gute Noten in Mathematik und Deutsch
  * Du bist verantwortungsbewusst, kommunikativ und flexibel
  * Du bist service- und kundenorientiert und bringst Eigeninitiative mit
  * Du arbeitest gerne im Team und hast eine Hands-on-Mentalität
  * Englischkenntnisse oder andere Fremdsprachenkenntnisse sind von Vorteil

  Deine Aussichten:

  Neben einer interessanten Aufgabe, einem motivierten Team und einer spannenden Produktwelt, erwarten Dich Sicherheiten eines Weltunternehmens mit sehr guten Übernahmechancen, internen Schulungen zu Verkaufstechniken und vielem mehr.

  Wir freuen uns auf Deine Bewerbung!

  Bitte sende uns Deine aussagefähigen und vollständigen Bewerbungsunterlagen ausschließlich online (Anschreiben, Lebenslauf, Zeugnisse/Zertifikate) an VF Germany Services GmbH / Sandra Sokol.
  JETZT BEWERBEN! Teilen",0
4,,Azubi,"  Auszubildender (m/w) ab 01.09.2017 Fachinformatiker für Systemintegration

  Auszug der Stellenbeschreibung

  Auszubildender (m/w) ab 01.09.2017 Fachinformatiker für Systemintegration di-soric GmbH & Co. KG Urbach 3,35 Beoordeeld door 19 werknemers Kununu
  * Gepubliceerd op 03-03-2017
  * Type baan Full-time
  * Carrière-niveau:
  Professional (junior)
  * Branche:
  Industrie en werktuigbouwkunde Die di-soric GmbH & Co. KG ist ein innovatives Familienunternehmen mit mehr als 35 Jahren Erfahrung in der Sensortechnik. Wir beschäftigen über 200 engagierte Mitarbeiter in der Entwicklung und Fertigung sowie dem weltweiten Vertrieb von hochwertigen Sensorprodukten für die Automatisierungstechnik, die durch Bildverarbeitungs- und Identifikationssysteme sowie hochwertige LED-Beleuchtungen komplettiert werden. Werden Sie Teil unseres Teams als Auszubildender (m/w) ab 01.09.2017 Fachinformatiker für Systemintegration Das lernen Sie:

  * Umsetzung fachspezifischer Anforderungen in komplexe Hard- und Softwaresysteme
  * Beratung und Betreuung unserer Anwender bei IT-Problemen
  * Installation von Arbeitsplatzrechnern und deren Bereitstellung
  * Administration von Servern, Telekommunikationssystemen und Netzwerken
  * Beteiligung an der Projektplanung Ihr Profil:

  * Sie haben ein gutes Abitur bzw. Fachabitur
  * Sie begeistern sich für IT-Themen und Technik, analysieren gerne und Sie können gut strukturieren und planen
  * Sie haben Spaß am Lernen, selbstständigem Arbeiten und einem abwechslungsreichen Aufgabenfeld
  * Sie arbeiten gerne mit anderen im Team, können sich mündlich gut ausdrücken und haben ein gutes Gespür für Ihre Mitmenschen
  * Sicherer und zukunftsorientierter Arbeitsplatz in einem erfolgreichen und wachsenden Familienunternehmen
  * Eine von Anfang an auf Sie abgestimmte Ausbildung
  * Individuelle Entwicklungs- und Weiterbildungsmaßnahmen
  * Fitnessraum
  * Betriebsrente Es erwartet Sie ein motiviertes und leistungsfähiges Team, Spitzenprodukte aus dem Haus di-soric und die Möglichkeit, sich entsprechend in den Verantwortungsbereich einbringen zu können und mit diesem zu wachsen.",0
5,,Azubi,"  AUSBILDUNG ZUM KAUFMANN (M/W) IM GROSS UND AUSSENHANDEL MIT ZUSATZQUALIFIKATION FACHHOCHSCHULREIFE


  Ausbildung und Fachhochschulreife in Einem?

  Im Beruf des Kaufmanns im Groß- und Außenhandel sammelst Du in Deiner Ausbildung umfassende Kenntnisse und Erfahrungen in fast allen Abteilungen des Unternehmens. Vom Einkauf der Ware bis hin zum Vertrieb bist Du für den reibungslosen Warenfluss verantwortlich. Dabei stehst Du sowohl mit Lieferanten als auch mit unseren Kunden im ständigen Kontakt. Während Deiner Ausbildung besuchst Du wöchentlich zweimal ganztägig und einmal innerhalb des Abendunterrichts die Kaufmännische Schule in Künzelsau.

  Parallel zu Deiner dreijährigen Ausbildung erwirbst Du innerhalb der ersten beiden Jahre die Fachhochschulreife.

  Ausbildungsschwerpunkte
  * Durchläufe unter anderem in den Bereichen Vertrieb, Einkauf, Logistik, Technik
  * Abteilungsspezifische Lernzielpläne und Aufgaben
  * Marketingmaßnahmen planen
  * Angebote einholen und Waren einkaufen
  * Ware kontrollieren, einlagern, überwachen
  * Verkaufsaufträge bearbeiten und Rechnungen erstellen
  * Service- und Kundendienstleistungen anbieten
  * Organisatorische Aufgaben abwickeln
  * Kontakt zu Kunden und Lieferanten
  * Technische Produktkenntnisse aufbauen
  * Diverse Projekte außerhalb des Tagesgeschäftes
  * Methoden- und Sozialkompetenzschulungen

  Voraussetzungen und Anforderungen
  * Mittlerer Bildungsabschluss
  * Organisationsfähigkeit, Teamfähigkeit, Höflichkeit, Sprachgewandtheit, Leistungs- und Lernbereitschaft sowie Ausdauer

  Standort: Bad Mergentheim (Praxis), Künzelsau (Theorie)

  Was wir bieten:

  Anspruchsvolle, spannende und verantwortungsvolle Aufgaben erwarten Dich in einem dynamischen, innovativen Großhandelsunternehmen

  Besonderheiten
  __________________________________________________

  Und danach?
  Deine Perspektiven bei der Würth Industrie Service
  * Ausgezeichnete Übernahmechancen aufgrund unseres starken Wachstums
  * Berufseinstieg im Vertriebsinnendienst der jeweiligen Vertriebsniederlassung
  * Berufsbegleitende Weiterbildungsmöglichkeiten (Fachwirt, Betriebswirt)

  Zu welchem Startdatum die jeweiligen Ausbildungs- und Studienangebote beginnen, kannst Du aktuell auf der Jobbörse entnehmen.

  Hast Du Fragen zu diesem Ausbildungsberuf? Gerne beantworten wir diese.
  Deine Ansprechpartnerin: Kerstin Bischof (T +49 7931 91-2111) und Torben Götz (T +49 7931 91-1298)",0
6,,Azubi,"  Ausbildung zur Zahnmedizinischen Fachangestellten in 13055 Berlin / Zahnarztpraxis

  Beschäftigungsart: Vollzeit

  Liebes Praxisteam aus Alt-Hohenschönhausen/Lichtenberg sucht einen Azubi, gerne auch Wechsler.

  Sie sind freundlich, motiviert, zielstrebig und zuverlässig? Dann freuen wir uns auf Ihre Bewerbung.

  Bei Interesse bitte die Bewerbungsunterlagen per Mail senden.
  drwsz@szumski.de

  Aktuell seit dem 13.01.2016 - Bezirk Lichtenberg - 144 mal angezeigt und 35 mal gelesen",0
7,,Azubi,"  plista GmbH

  Job-Übersicht

  Unternehmen
  plista GmbH

  Standort
  Berlin, Berlin 10019

  Branchen
  Werbung/Marketing/PR/Messen/Ausstellungen und Events

  Ausbildungsniveau
  Abitur oder gleichwertig

  Karrierestatus
  Schüler

  Auszubildender Fachinformatiker Systemintegration (m/w)

  Stellenbeschreibung

  Du suchst eine zukunftsträchtige Ausbildung mit kompetenter Betreuung, breitem Aufgabenspektrum und einem freundlichen Arbeitsumfeld? Dann bewirb dich bei uns als:

  Auszubildender Fachinformatiker (m/w) Systemintegration

  plista ist Pionier innovativer Lösungen für zielgerichtete digitale Werbung und Content Distribution in redaktionellen Umfeldern. Das Berliner Unternehmen bringt über seine datengetriebene Content- und Werbeplattform seit 2008 Werbetreibende und Medien erfolgreich zusammen. Durch seine eigens entwickelte Echtzeit-Empfehlungstechnologie ist plista in der Lage, sowohl Inhalte als auch Werbung passend zu den Interessen des einzelnen Nutzers auszuliefern - über alle Kanäle und Endgeräte hinweg. Durch die optimale Ausspielung von Content und Werbung profitieren Publisher von erhöhtem Traffic, längerer Nutzerverweildauer und der zusätzlichen Monetarisierung ihrer digitalen Angebote. Werbetreibenden Unternehmen ermöglicht plista eine lückenlose und wirkungsvolle Nutzeransprache entlang der gesamten Customer Journey. plista beschäftigt 180 Mitarbeiter und ist auf zehn internationalen Märkten tätig.

  Als Auszubildender Fachinformatiker (m/w) mit Schwerpunkt Systemintegration lernst Du, wie komplexe IT-Systeme geplant, konfiguriert und verwaltet werden. Du wirkst bei der Einrichtung, Verwaltung, Problembehandlung und der Erweiterung von Netzwerken mit und wirst im direkten Kontakt mit unseren (z.T. internationalen) Mitarbeitern Probleme mit Arbeitsplatz-Hardware, Software und Peripherie analysieren und lösen. Die Ausbildungsdauer beträgt drei Jahre, eine Verkürzung ist möglich. Eine anschließende Übernahme ist denkbar.

  Deine Aufgaben:
  * Einarbeitung in intern eingesetzte Software zur Verwaltung der Computer und Administration der IT-Systeme
  * Fehlerdokumentation und -analyse sowie Fehlerbehebung bei auftretenden Störungen des Netzwerks bzw. des Internets
  * Ermittlung von Ist-Zuständen und Umsetzung selbst erstellter Optimierungskonzepte
  * Planung und Bereitstellung von Arbeitsplätzen entsprechend der von Dir ermittelten Anforderungen
  * Fehleranalyse bei defekten PCs
  * Beratung und Schulung unserer Mitarbeiter
  * Dokumentation der Netzwerkstruktur

  Dein Profil:
  * Du verfügst über eine gute allgemeine Hochschulreife oder einen sehr guten Realschulabschluss
  * Idealerweise hast Du erste praktische Erfahrungen durch Schülerpraktika oder Ferienjobs gesammelt

  * Du hast viel Spaß an der Arbeit mit dem PC und bringst in diesem Bereich ein sehr gutes Grundwissen sowie ein hohes technisches Verständnis mit
  * Du hast eine schnelle Auffassungsgabe, besitzt logisches Denkvermögen und bist motiviert
  * Du arbeitest gern im Team, zeigst Eigeninitiative und arbeitest sorgfältig und strukturiert
  * Du gehst offen auf deine Mitmenschen zu und hast verfügst über gute Kommunikationsfähigkeiten in deutscher und englischer Sprache

  Was wir bieten:
  * Ein engagiertes und freundliches Team mit Leidenschaft für neue Technologien und Medien
  * Schnelle Entscheidungswege und eine offene Unternehmenskultur
  * Umfangreiche Weiterbildungsangebote wie etwa die plista Academy, den plista DeveloperDay sowie kontinuierliche Führungskräfteentwicklung
  * Organisationale Achtsamkeit und ein nachhaltiges Management
  * Gesunden Team-Lunch, täglich frisches Obst und Getränke
  * Sportangebote wie Cross Fit und Yoga
  * Ein familienfreundliches Unternehmen mit Betriebs-Kita
  * Regelmäßige Teamevents und Teamreisen
  * Ein schönes Büro im Herzen von Berlin-Mitte mit viel Platz für kreatives Arbeiten
  * Ausgezeichnete Entwicklungs- und Aufstiegsmöglichkeiten

  Haben wir Dein Interesse geweckt? Dann sende uns Deine aussagekräftigen Bewerbungsunterlagen mit relevanten Zeugnissen, ggf. Code-Beispielensowie Deinen Gehaltsvorstellungen an career@plista.com.

  Wir freuen uns auf Deine Bewerbung!

  Kontakt:

  Human Resources

  Vivien Prollius

  plista GmbH

  Torstraße 33-35

  10119 Berlin

  Tel.: +49 (0)30 / 47 37 53 70

  Erfahre hier mehr über plista:

  http://www.youtube.com/watch?v=FNyqhH33qwY

  Weitere Informationen findest du hier:

  http://www.plista.com

  http://www.plista.com/career

  http://blog.plista.com

  http://www.facebook.com/plista",0
8,,Azubi,"  Ausbildung zum/zur Kaufmann/frau Einzelhandel

  Pfarrkirchen

  FULL_TIME

  NORMA Lebensmittelfilialbetrieb Stiftung & Co. KG

  2018-10-23

  AUSBILDUNG 2018 - JETZT BEWERBEN! Starte Deine Zukunft mit einer Ausbildung bei NORMA und einer überdurchschnittlichen Ausbildungsvergütung: 1. Lehrjahr: 950 Euro, 2. Lehrjahr: 1.050 Euro, 3. Lehrjahr: 1.250 Euro Mit sicherem Gespür weißt Du, wann es an der Zeit ist, neue Ware zu bestellen und prüfst jede Lieferung mit geschultem Auge denn Du sorgst dafür, dass unsere Regale immer gut gefüllt sind und unser Tagesgeschäft seinen geregelten Gang gehen kann! Nebenbei behältst Du unsere Bilanzen im Blick, kümmerst Dich um Abrechnungen oder erstellst Zeitpläne. Infos zum allgemeinen Ausbildungsablauf: In Deiner Zeit bei uns beschäftigst Du Dich in der Filiale mit der Annahme und der Kontrolle unserer Produkte und lernst die Steuerung aller Geschäftsprozesse ebenso wie unseren Kundenservice von Grund auf kennen. Außerdem machen wir Dich in unseren Kassensystemen fit, zeigen Dir alle Tipps und Tricks zum Thema visuelle Verkaufsförderung und gehen mit Dir die Personal- bzw. Einsatzplanung im
  Detail durch. Im Anschluss an Deine dreijährige Ausbildung bist Du der Spezialist, wenn es um unsere Produkte und Zahlen geht! Mit dieser verantwortungsvollen Aufgabe hast Du die Aussicht auf viele interessante Karriereperspektiven auch auf Führungsebene. Das bringst Du mit: Gute Mittlere Reife oder überzeugender Hauptschulabschluss
  Spaß am Umgang mit Menschen und Zahlen
  Wirtschaftliches Denken und Interesse an kaufmännischen Zusammenhängen
  Gute Allgemeinbildung sowie ein höfliches, gepflegtes Auftreten
  Kommunikationstalent, Engagement und Sorgfältigkeit
  Teamgeist, Ehrlichkeit sowie Zuverlässigkeit Das Wichtigste in Kürze: Ausbildungsdauer: 3 JahreÜberdurchschnittliche Ausbildungsvergütung
  Ausbildungsform: Theoretischer Unterricht in der Berufsschule und praktische Arbeit in einer NORMA-Filiale in Deiner Nähe
  Regelmäßige Schulungen und optimale Prüfungsvorbereitung
  Vielfältige Aufstiegschancen, z.
  B. zum Abteilungsleiter oder Filialleiter
  Weiterbildungsmöglichkeit bei entsprechender Eignung: Handelsfachwirt oder Handelsbetriebswirt NORMA Lebensmittelfilialbetrieb Stiftung & Co. KG z. Hd. Frau Glaser, Kennziffer 350 Manfred-Roth-Straße 7, 90766 Fürth personalentwicklung@norma-online.de",0
9,,Azubi,"  Ausbildungsplatzangebot Kaufmann/-frau
  - Büromanagement Creditreform Krefeld Lienau KG

  Auszug der Stellenbeschreibung

  Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement Creditreform Krefeld Lienau KG Ausbildungsplatz für 2017 als Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement in Krefeld bei Creditreform Krefeld Lienau KG. Aussagekräftige Bewerbung bitte direkt über den Bewerben-Button versenden. Ausbildung als Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement bei Creditreform Krefeld Lienau KG in Krefeld Standort:
  Leyentalstraße 1 47799 Krefeld Fachrichtungen:
  Wirtschaft / Verwaltung / Verkauf Angeboten als:
  duale Ausbildung Ausbildungsstart:
  01.08.2017 Anzeige melden Anschrift Leyentalstraße 1 47799 Krefeld Sie wollen hoch motiviert in eine erfolgreiche Zukunft starten? Dann beginnen Sie 2017 Ihre Ausbildung als Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement in Krefeld. Durch profunde Lehrinhalte und praxisnahe Umsetzungen erlangen Sie qualifizierte Fähigkeiten, die ein/e Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement 2017 benötigt. Nach der Ausbildung stehen Ihnen die Türen zu zahlreichen Weiterbildungsmöglichkeiten und Studienfächern ebenso offen, wie zum direkten Berufseinstieg. Sie sind verantwortungsbewusst, geübt im Umgang mit dem Computer und besitzen einen erfolgreich absolvierten Schulabschluss der mittleren Reife oder Abitur? Sie arbeiten selbstständig und im Team? Sie sind ein Organisationstalent? Dann ist unsere vielseitige Ausbildung zum/zur Ausbildungsplatzangebot Kaufmann/-frau - Büromanagement in Krefeld genau das Richtige für Sie. Dieser Text wurde automatisch generiert und stammt nicht
  vom Unternehmen selbst.",0
