,id,label_class,text,label
0,0000009B7E8D9FC3090668CFA4086CCD,- nur Fachkräfte,"BKV-Bäder- und Kurverwaltung Baden-Württemberg Anstalt des öffentlichen Rechts Werderstraße 4, Villa Schott, 76530 Baden-Baden

Wir suchen zur Verstärkung unseres Teams im Kurhaus Baden-Baden in Vollzeit
(unbefristet mit sechsmonatiger Probezeit) zum nächstmöglichen Zeitpunkt eine

Fachkraft für Veranstaltungstechnik (m/w)

Voraussetzungen hierfür sind:
- eine abgeschlossene Ausbildung als Fachkraft für Veranstaltungstechnik
- eigenverantwortliche und strukturierte Arbeitsweise
- Belastbarkeit, Eigeninitiative und Flexibilität

Wir erwarten von Ihnen:
- Einsatzbereitschaft und Teamfähigkeit
- Interesse auch im Umgang mit Video-, Bühnen- und Tontechnik
- Bereitschaft zur Arbeit am Wochenende/Feiertag

Wir bieten Ihnen:
- einen interessanten und abwechslungsreichen Arbeitsplatz
- ein kompetentes und motiviertes Kollegenteam
- Leistungen nach den Tarifverträgen des öffentlichen Dienstes (39 Std./Woche, betriebliche Altersversorgung, Jahressonderzahlung)
- Gezielte Angebote zur Fort- und Weiterbildung erwarten Sie in einem Unternehmen,
das nachhaltig und langfristig plant

Haben wir Ihr Interesse geweckt?
Suchen Sie eine neue Herausforderung für Ihre berufliche Zukunft?
Dann senden Sie Ihre Bewerbung mit den üblichen Unterlagen bis spätestens 12.10.2018 an die

BKV-Bäder- und Kurverwaltung Baden-Württemberg
Personalverwaltung
Werderstraße 4, 76530 Baden-Baden
E-Mail: bewerbungseingang@kurhaus-badenbaden.de",1
1,00016F86075A5BABDA9EC96C65FBB88B,- nur Fachkräfte,"Schnoor Industrieelektronik entwickelt individuell zugeschnittene Funksysteme und Kommunika-tionslösungen für die Bereiche Gebäude- und Objektfunk, Küsten- und Binnenfunk, öffentliche Sicherheit, Transport und Verkehr sowie Industrie und Energie.
Zur Verstärkung unseres Teams in unserer Firmenzentrale in Büdelsdorf direkt am Nord-Ostsee Kanal, suchen wir ab sofort eine


Fachkraft für Lagerlogistik (w/m)

Ihre Aufgaben

¿ Warenannahme, deren Kontrolle und sachgerechte Lagerung
¿ Erfassung der Lagerartikel im ERP-System Alphaplan
¿ Zusammen- und Bereitstellung von Material
¿ innerbetrieblicher Transport (Gabelstapler, Hubwagen)
¿ Vorbereitung unserer Komponenten für den Transport und Versand
¿ Sicherstellung von Sauberkeit und Ordnung im Arbeitsumfeld

Ihr Profil

¿ erfolgreich abgeschlossene Berufsausbildung als Fachkraft für Lagerlogistik/-wirtschaft oder vergleichbare Qualifikation
¿ einschlägige Berufserfahrung in der Material- und Lagerwirtschaft
¿ Erfahrung im Umgang mit elektronischen Bauelementen und Modulen
¿ gültiger Gabelstaplerschein von Vorteil
¿ selbstständige und eigenverantwortliche Arbeitsweise
¿ strukturiertes und zuverlässiges Arbeiten
¿ MS-Office Kenntnisse
¿ gute Deutschkenntnisse


In einem motivierten und engagierten Team bringen Sie Ihre Ideen ein und gestalten so mit uns die gemeinsame Zukunft.
Bitte senden Sie ihre vollständigen und aussagekräftigen Unterlagen mit Angabe zu Ihrer Verfügbarkeit per Email an bewerbung@schnoor-ins.com.
Beachten Sie hierzu bitte auch unsere Hinweise für Bewerber auf unserer Homepage.

Schnoor Industrieelektronik GmbH & Co. KG
Fehmarnstraße 6, 24782 Büdelsdorf ¿ Telefon: (04331) 34 76 ¿ 0
bewerbung@SCHNOOR-INS.com ¿ www.SCHNOOR-INS.com",1
2,01C64E5F48F896AB5AF8733A8961946E,nur Führungskräfte,"Wir suchen ab sofort;;eine/n Werkstattleiter (m/w);;Ihre Aufgabe:;Selbstständiges arbeiten im Bereich Bauschlosserei, sowie Mitarbeiterführung und Werkstattleitung;;Wir freuen uns über Ihre Bewerbung.",1
3,01C086664FBE37A8FD7F4B50D7FF1A66,nur Führungskräfte,"Unsere Welt ist die Umformtechnik - eine technische Welt mit breitem Spektrum. Systemkompetenz und Innovationskraft sind Schrittmacher für die erfolgreiche Entwicklung unseres Unternehmens. Mit mehr als 5.000 Mitarbeitern im In- und Ausland sind wir der globale Marktführer in der Umformtechnik, Produktionsstandorte in Europa, Amerika und Asien sichern unsere führende Stellung auf dem Weltmarkt.

Für unser Werk in Gemmingen suchen wir qualifizierte Unterstützung: 
Industriemechaniker / Mechatroniker (m/w) für die Innen- & Außenmontage
 
Ihr Aufgabenschwerpunkt liegt in der mechanischen Montage, Montageüberwachung und Installation (Hydraulik und Pneumatik) unserer Automationsanlagen unter Einhaltung der Vorgaben für Qualität, Termine, Kosten und Arbeitssicherheit. Dies umfasst die Organisation und Leitung Ihrer zugeordneten Außenbaustelle, die Führung unserer eigenen Montageteams sowie die Supervision (Anleitung / Überwachung) externer Montagefirmen bis zur Übergabe an die Inbetriebnahme. Die Tätigkeit ist mit wechselnden und mehrwöchigen Baustelleneinsätzen im In- und Ausland verbunden.

Ihre Voraussetzungen: 
Sie verfügen über eine abgeschlossene Berufsausbildung im Bereich Maschinenbau oder Mechatronik und haben bereits mehrjährige Erfahrung in der Endmontage von Maschinen und Anlagen auf Außenbaustellen gesammelt. Installationskenntnisse in der Hydraulik und Pneumatik sind vorhanden. Sie sind engagiert, zuverlässig, flexibel und teamfähig. Ihre aufgeschlossene Art, Ihr sicheres Auftreten und Ihr Organisationsgeschick im Umgang mit Kunden, Montageteams, externen Montagefirmen und anderen Projektbegleitern zeichnen Sie aus. Sie haben Freude an der Arbeit in einem internationalen Team. Daher sind Englischkenntnisse Voraussetzung, eine weitere Fremdsprache (Spanisch, Französisch, Portugiesisch) von Vorteil. 

Bitte senden Sie Ihre Bewerbung schriftlich oder per E-Mail an: bewerbung-satg@schulergroup.com
Ihre Ansprechpartnerin ist Frau Reinhardt.",1
4,2D5789369B2FBE2225847A4CFDC99D21,Arbeitskräfte,"Herzlich willkommen im Geschäftsbereich Industrie der pluss-Unternehmensgruppe, dem Spezialisten im Personalmanagement für die Industrie. Als mittelständisches Unternehmen sind wir nun seit über 30 Jahren mit unseren Personallösungen für Menschen und Unternehmen an über 30 Standorten am Markt etabliert.

Seit 2007 unterhält die PLUSS Personal Service GmbH bei dem renommierten Lübecker Unternehmen STOREBEST GmbH & Co. KG
ein ON-Site Management (Büro vor Ort).


Wir suchen Sie als

Elektromechaniker (m/w/d)


Aufgabengebiete:

- Herstellung und Montage von elektromechanischen Anlagen und Geräten
- Fehlerdiagnosen, Instandsetzung von technischen Einrichtungen
- Wartung und Störungsbeseitigung sowie Modernisierung
- Anfertigung von Montageplatten, Baugruppen sowie Gehäusen


Sie bringen folgende Kompetenzen mit:

- eine abgeschlossene Berufsausbildung als Elektroniker (m/w/d) Betriebstechnik oder ähnliche Qualifikation
- Berufserfahrung wünschenswert
- Selbständige und zuverlässige Arbeitsweise
- körperliche Belastbarkeit
- Bereitschaft zum 3-Schicht-System


Das können Sie erwarten:

- dauerhafter Einsatz und fester Einsatzort beim gleichen Kundenbetrieb in Vollzeit
- sicherer Arbeitsplatz mit allen gesetzlichen Sozialleistungen
- gute Konditionen auf Basis des Tarifvertrags BAP/DGB (z.B. Urlaubs- und Weihnachtsgeld)
- attraktive Branchenzuschläge der Metall-und Elektroindustrie (TV BZ ME)
- individuelle Weiterbildungs- und Qualifizierungsmöglichkeiten
- sehr gutes Betriebsklima
- gute Option auf Übernahme durch den Kundenbetrieb


Haben wir Sie neugierig gemacht?
Dann bewerben Sie sich vorzugsweise per E-Mail: bewerbung-storebest@pluss.de oder rufen Sie uns an unter: 0451 ¿ 530 443 84

Wir freuen uns, Sie kennenzulernen!

Es wird zur besseren Lesbarkeit im Text nur die männliche Sprachform verwandt. Der Text gilt unter Berücksichtigung des AGG für alle Geschlechter.",1
5,00011447F324933CFE0EE195759FE1EB,- nur Fachkräfte,"Wir geben der Pflege ein Gesicht 
und Ihnen Zeit für Ihre Arbeit

Wir betreiben ambulante Alten- und Krankenpflege, 
Hausnotruf, Wohnen mit Service, ein stationäres Hospiz sowie 
den Ambulanten Palliativdienst Bremen.  


Zur Erweiterung unserer Pflegeteams suchen wir  
examinierte Pflegefachkräfte
in Festanstellung oder als Aushilfe.

Aktuell suchen wir Pflegefachkräfte zur Erweiterung des Teams im hospiz:brücke in Bremen-Walle, für unsere Zweigstellen in Arsten/Habenhausen (August-Hagedorn-Allee 1), in der Neustadt (Langemarckstraße 212) und in Hastedt (Hastedter Heerstraße 250) sowie längerfristig auch für unseren Ambulanten Palliativdienst zum Aufbau eines zweiten Teams.


Wir bieten Ihnen
Eine verantwortungsvolle Mitarbeit in einem netten Team.
Einen sicheren Arbeitsplatz.
 Eine gute Arbeitsatmosphäre mit ausreichend 
Zeit für die Betreuung unserer Kunden.
Eine leistungsgerechte Vergütung mit
Weihnachts- und Urlaubsgeld und 
zusätzlicher Altersversorgung.
Regelmäßige Fort- und Weiterbildungen.


Bei Interesse wenden Sie sich bitte an:          Zentrale für Private Fürsorge
Hrn. Dr. Vosteen
 Arberger Straße 8
Tel.: 0421/700055
Mail: k.vosteen@zfpf.de
 www.zfpf.de",1
6,00B78E60138FEA0C29B26965F3D050EA,nur Führungskräfte,"Die Firma SPOMA Parkett und Ausbau GmbH ist im Bereich Neubau und Bausanierung von öffentlichen und privaten Gebäuden bundesweit tätig. ;;Zur Ergänzung unseres Teams suchen wir Poliere bzw. Bauleiter (m/w) für die Bauvorhaben in Mecklenburg Vorpommern, Hamburg,;Schleswig Holstein. ;;Ihre Aufgaben: ;Koordination und Überwachung der Arbeitsabläufe und des Betriebsablaufs auf den Baustellen ;Qualitätskontrolle der ausgeführten Arbeiten, Personalplanung, Anleitung der gewerblichen Mitarbeiter/innen, Überwachung der Terminierung, Abrechnung der Subunternehmer. ;;Ihr Profil:;Sie haben ein abgeschlossenes Studium im Bauwesen ODER eine langjährige Berufserfahrung im Bereich Trockenbau. ;Sie sind im Besitz des Pkw-Führerscheins und haben PC-Kenntnisse (MS-Office).;Belastbarkeit, Flexibilität, Teamgeist und Durchsetzungsvermögen zeichnen Sie aus.;;***Haben wir Ihr Interesse geweckt, dann bewerben Sie sich bitte per E-Mail oder schriftlich mit Ihren aussagekräftigen Bewerbungsunterlagen***",1
7,3C44261E789AA34234D3637AF313C598,Auszubildende,"Die Bundesagentur für Arbeit erbringt als größte Dienstleisterin für den deutschen Arbeitsmarkt kompetent und kundenorientiert umfassende Dienstleistungen für Bürgerinnen und Bürger, Unternehmen und Institutionen. Unsere Mitarbeiterinnen und Mitarbeiter zeichnet dabei eines ganz besonders aus: ein starkes Interesse an der Arbeit mit Menschen.

Wir suchen für unsere Arbeitsagentur Göttingen 

Studierende/n für ein duales Studium ¿Beratung für Bildung, Beruf und Beschäftigung¿ (Bachelor of Arts) 

Einstellung zum:01.09.2019 
Anzahl: 3
Referenzcode: 2018_E_001669
Arbeitsort: Göttingen

Ihr Arbeitsumfeld

Studieren Sie praxisnah und finanziell unabhängig.
Sichern Sie sich Ihre Chance auf eine berufliche Karriere mit hervorragender Perspektive.
Werden Sie entweder mit dem Studiengang ¿Arbeitsmarktmanagement¿ eine Expertin bzw. ein Experte für alle Aufgabenfelder rund um den Arbeitsmarkt, insbesondere für die Vermittlung von Ausbildungs- und Arbeitsplatzsuchenden.
Oder werden Sie mit dem Studiengang ¿Beratung für Bildung, Beruf und Beschäftigung¿ eine Beratungsexpertin bzw. ein Beratungsexperte für die berufliche Beratung und Orientierung von Jugendlichen, Personen in besonders schwierigen Lebenslagen oder Menschen mit Behinderungen.
Sie studieren unter besten Rahmenbedingungen an unserer Hochschule der Bundesagentur für Arbeit entweder in Mannheim oder in Schwerin.

Ihre Aufgaben und Vorteile:

- vielseitiges Studienprogramm mit verschiedenen Bereichen der Wirtschafts-, Sozial- und Rechtswissenschaften
- einzigartig kombinierte Wissens- und Praxisvermittlung durch eine optimale Verbindung von fünf Studientrimestern und vier Praxissemestern
- attraktive Vergütung bereits während des Studiums (monatlich 1.570 Euro)
- zusätzliche Leistungen für Unterkunft und Verpflegung am Studienort und umfangreiche Sozialleistungen
- Möglichkeit eines Auslandspraktikums
- familienfreundliche Gestaltung der Studienbedingungen
- ein unbefristetes Arbeitsverhältnis nach erfolgreichem Abschluss und bundesweit vielfältige Karrierechancen

Sie überzeugen durch:

- vertieftes Interesse an betriebswirtschaftlichen, arbeitsmarkt- und gesellschaftspolitischen Zusammenhängen
- ausgeprägte Sozialkompetenz und Kommunikationsfähigkeit
- Bereitschaft, nach erfolgreichem Abschluss auch außerhalb Ihres Wohnortes zu arbeiten
- Fach- bzw. Hochschulreife oder einen vergleichbaren Bildungsabschluss

Unser Angebot

Informieren Sie sich im Internet über die Studiengänge unter www.arbeitsagentur.de/ba-studium.

Weitere Informationen finden Sie außerdem in unserem aktuellen Studienführer unter www.hdba.de/studium/.

Bitte beachten Sie, dass für eine Bewerbung eine Registrierung in unserem Bewerbungsportal erforderlich ist. Sobald Sie sich registriert haben, erhalten Sie Zugang zu Ihren persönlichen Karriereseiten, in denen Sie Ihr Profil bearbeiten können.

Interessiert?
Bitte senden Sie Ihre Bewerbung per E-Mail an braunschweig-goslar.is-ausbildung@arbeitsagentur.de oder
bewerben Sie sich online über die Ausschreibung

mit vollständigen Bewerbungsunterlagen inklusive Lebenslauf sowie der letzten Ausbildungs- und Arbeitszeugnisse..

Ansprechpartner/-in: Frau Sabrina Henniges, +495312078350

Bewerbungsende: 30.11.2018

Die Bundesagentur für Arbeit ist eine Arbeitgeberin, die Chancengleichheit und Vielfalt ihrer Mitarbeiterinnen und Mitarbeiter fördert. Hierbei unterstützen wir auch die Beschäftigung von Menschen mit Behinderung.",0
8,3C442D6D19B07C43DD867BDE45AE2A1A,Auszubildende,"Das Unternehmen:

Seit genau 87 Jahren ist sie eine feste Größe in Mannheim, die Mannheimer Transport-Gesellschaft Bayer GmbH, kurz MTG. 
Was 1927 als Einmannbetrieb begann, ist zu einem Unternehmen mit 150 Mitarbeitern herangewachsen, das Logistikdienstleistungen und Transporte durch ganz Europa anbietet. Ein Ende des Wachstums ist dabei nicht in Sicht: 
Gerade erst hat MTG auf dem Grundstück auf der Friesenheimer Insel angebaut. Die mit modernster Video- und Flurfördertechnik ausgestattete Umschlaganlage umfasst nun über 9.000 Quadratmeter und macht den Standort zu einem der größten Speditionsbetriebe im Rhein-Neckar-Dreieck. 
Mit der kontinuierlichen Erweiterung ist auch die Zahl der Mitarbeiter gestiegen. Pro Jahr werden mindestens fünf Jugendliche zu Speditions-, Logistik- und IT-Fachkräften ausgebildet, mit dem Ziel, diese nach erfolgreicher Ausbildung im Stammpersonal zu integrieren. 

Kurze Entscheidungswege und klar geordnete Kompetenzen sorgen in dem inhabergeführten Unternehmen dafür, dass die Mitarbeiter schnell und flexibel auf Kundenwünsche reagieren können. 

Um der Globalisierung Rechnung zu tragen, ist MTG seit 1995 Gesellschafter der  Stückgutkooperation CargoLine. Die europaweit rund 70 Partner des Verbunds ¿ davon 46 in Deutschland ¿ bieten einheitliche Produkte an, kurze Laufzeiten sowie tägliche Verkehre auch in Randgebiete Europas. Alle CargoLine-Partner arbeiten nach denselben Qualitätsstandards. Damit haben die Kunden die Gewissheit, dass ihre Sendungen stets gleich sorgfältig behandelt werden. Dank des kooperationsweit einheitlichen Sendungs­verfolgungs­­systems CEPRA III können sie zudem rund um die Uhr prüfen, wo sich ihre Fracht gerade befindet. 

Seit 2011 bedient die MTG auch die Sparten Luft- und Seefracht. Durch diese Vervollständigung des Transport-Produktportfolios kann die MTG den Kundenanforderungen noch besser entsprechen.

Ab 01.09.2016 bieten wir die Ausbildung zum/zur Kaufmann/-frau - Spedition und Logistikdienstleistung an.

Die Tätigkeit:

Kaufleute für Spedition und Logistikdienstleistung organisieren den Versand, den Umschlag sowie die Lagerung von Gütern und verkaufen Verkehrs- sowie logistische Dienstleistungen.

Kaufleute für Spedition und Logistikdienstleistung arbeiten in erster Linie bei Speditionen und Unternehmen im Bereich Umschlag/Lagerwirtschaft. Darüber hinaus gibt es auch bei Unternehmen, die z.B. in der Güterbeförderung im Straßen- oder Eisenbahnverkehr oder in der Schifffahrt aktiv sind, sowie bei Frachtfluggesellschaften oder Paket- und Kurierdiensten geeignete Tätigkeitsfelder

Die Berusfschule befindet sich in Ludwigshafen; Berufsbildende Schule Wirtschaft I

Die Voraussetzungen:

Sie verfügen über Organisationstalent und eine gute mittlere Reife? Dann freuen wir uns über Ihre aussagekräftigen Bewerbungsunterlagen per Mail.",0
9,0081A0EB4B657416F13A997E6D968C74,nur Führungskräfte,"Für unseren Kunden, einen internationalen Konzern, suchen wir am Standort Augsburg ab sofort einen 

Strategischen Einkäufer (m/w)


Ihre Aufgaben:

Auswahl der Zulieferer aus dem vorgegebenen Lieferantenportfolio 
Identifizieren potentieller Lieferanten und Unterstützung beim Ausschreibungsprozess 
Unterstützung der Commodity Buyer in den Vertragsverhandlungen und in der finalen Auswahl der Zulieferern 
Performanceüberwachung der Zulieferer während der Planungsphase anhand von definierten KPI¿s und Analyse der Kostenstruktur 
Einpflegen der Zuliefererreportings in das Program Management System 
Einbindung des Serieneinkaufs in die Projektplanung 
Führen von Nachverhandlungen mit den Zulieferen bei Änderungswünschen durch die Entwicklungsabteilung 


Ihr Profil:

Erfolgreich abgeschlossenes Studium im Bereich (Wirtschafts-)ingenieurwesen, Betriebswirtschaftslehre, oder eine vergleichbare Ausbildung 
Fundierte Berufserfahrung im Bereich strategischer Einkauf im Industrieumfeld, bevorzugt Automotive 
Projekterfahrung sowie Erfahrungen in der Prozessgestaltung 
Verhandlungssichere Deutsch- und Englischkenntnisse 
Team- und Kommunikationsfähigkeit, analytisches Denkvermögen, sicheres Auftreten und Eigeninitiative ",1
