,id,label_class,text,label
0,8CF840444A720E496E7B3F37C6A362E6,Auszubildende,"Wir bieten zum 01.09.2021 eine Ausbildungsstelle zum/r Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik (m/w/d)

Voraussetzungen:
- abgeschlossener Hauptschulabschluss
- Motivation und Freude am Ausbildungsberuf

Wir freuen uns auf Ihre Bewerbung.",0
1,,Azubi,"  MEIERHOFER AG

  * Position: Ausbildung
  * Beruf: Kaufmann/-frau - Büromanagement
  * Ort: München
  * Beginn: 01.09.2016
  * Anzahl Plätze: 1
  * Referenz-Nr: AZY-48BE51E8
  * (in der Bewerbung bitte angeben)

  * Merken
  * Mail

  Um alle Funktionen nutzen zu können, musst du dich einloggen.

  Noch nicht angemeldet? Hier Profil anlegen!
  STELLENANZEIGE EIGNUNGS-CHECK AUSBILDUNGSBETRIEB JETZT BEWERBEN!
  * Drucken
  * Merken
  Um alle Funktionen nutzen zu können, musst du dich einloggen.
  Noch nicht angemeldet? Hier Profil anlegen!
  * Mail

  Diese Seite empfehlen:
  * Teilen
  * Twittern

  Kauffrau /-mann Büromanagement - Ausbildungsstart 01.09.2016

  ?% Eignung für diese Ausbildung Eignungs-Check
  __________________________________________________

  Zur Verstärkung unserer Teams Shared Service Center suchen wir für den Start September 2016 eine/n Auszubildende/n zum/zur

  Kauffrau /-mann Büromanagement

  Im Rahmen Deiner Ausbildung lernst Du verschiedene Bereiche mit folgenden Aufgabenschwerpunkten kennen:
  * Bearbeitung der internen und externen Korrespondenz inkl. Übernahme der Telefonzentrale
  * Empfang und Betreuung von Gästen
  * Ansprechpartner für Kollegen
  * Reisemanagement
  * Vor- und Nachbereitung sowie Bewirtung unserer Besprechungsräume
  * Prüfung und Ablage von Rechnungen
  * Mitwirkung beim Betriebsmitteleinkauf
  * Unterstützung anderer Fachbereiche wie z.B. Marketing, Personal oder Vertrieb

  Dein Profil:
  * Mindestens Mittlere Reife
  * Gute Noten in Deutsch, Mathematik und Wirtschaftsfächern von Vorteil
  * Interesse an Organisations- und Verwaltungsaufgaben
  * Sympathisches Auftreten und Freude an Teamarbeit
  * Hohes Maß an Sorgfalt, Einsatzbereitschaft und Neugierde
  * Grundkenntnisse in MS Office (Word, Excel, PowerPoint)
  * Sichere Deutschkenntnisse in Wort und Schrift

  Unser Angebot:
  * ein offenes Betriebsklima, das durch Teamevents weiter gefördert wird
  * eine umfassende fachliche Ausbildung mit anspruchsvollen Aufgaben und einem Mentor an deiner Seite
  * eine individuelle Förderung mit Raum für eigene Ideen und vielseitigen Entwicklungsmöglichkeiten
  * eine gute Verkehrsanbindung

  JETZT BEWERBEN! Referenz-Nr: AZY-48BE51E8 (in der Bewerbung bitte angeben)
  Stelle zuschicken und später gleich bewerben!",0
2,8CF7269937D4C8AAD6B8DFE53E92E01A,Auszubildende,"Die HypoVereinsbank ist Teil der UniCredit, einer erfolgreichen paneuropäischen Geschäftsbank mit einem voll integrierten Corporate & Investment Banking. Sie bietet ihrem breit gefächerten Kundenstamm ein einzigartiges Netzwerk in Westeuropa sowie in Zentral- und Osteuropa. Unseren Mitarbeitern bieten wir europaweite berufliche Entwicklungsmöglichkeiten. Die UniCredit wurde bereits zum wiederholten Male als europäischer Top Employer für hervorragende Mitarbeiterangebote zertifiziert.


Als Auszubildende (m/w/d) mit Freude an Herausforderungen finden Sie bei uns eine der besten Bankausbildungen Deutschlands und die Möglichkeit, diese aktiv mitzugestalten.


Das erwartet Sie bei uns

Ihre praktische Ausbildung besteht aus zwei Abschnitten: 

In der Basisausbildung sind Sie von Beginn an in einer unserer Filialen ins Tagesgeschäft und den direkten Kundenkontakt eingebunden. Dort erfahren Sie alles rund um Themen wie Kundenberatung, Zahlungsverkehr, Kontoführung, Kreditgeschäft, Geldanlage, Vorsorge und Immobilienfinanzierung. Die Ausbildung dauert ca. 2 Jahre für Abiturienten (m/w/d) oder ca. 2,5 Jahre für Bewerber (m/w/d) mit mittlerer Reife. Abgeschlossen wird Ihre Ausbildung durch eine Prüfung zur Bankkauffrau oder zum Bankkaufmann (m/w/d) vor der Industrie- und Handelskammer (IHK). Besonderen Wert legen wir auf modernes, digitales Banking und ebenso auf eine persönliche Kundenbetreuung, welche vor Ort, telefonisch oder online stattfinden kann. Unser Ziel ist es, Sie kompetent in der Kundenberatung auszubilden, was neben dem Erlernen des Produktwissens auch die Förderung Ihrer Beratungskompetenz beinhaltet. 

In der Spezialisierungsphase werden die in der Basisausbildung erworbenen Fähigkeiten und Kompetenzen vertieft. Wir bieten Ihnen individuelle Gestaltungsmöglichkeiten an, damit Sie sich in dem Bereich spezialisieren können, der Ihnen für Ihre Ausbildung und Ihre spätere Karriere den größten Mehrwert bietet.

Ergänzend zur Berufsschule, unterstützen wir Sie zusätzlich in Form von Fach-, Vertriebs- und Persönlichkeitstrainings sowie eLearning. Diese dienen nicht nur einem optimalen Start in den jeweiligen Praxiseinsatz, sondern auch der Vertiefung des Praxiswissens und der Prüfungsvorbereitung. 

Ihr Ausbilder unterstützt Sie während der Ausbildung durch eine individuelle Lernprozess- und Entwicklungsbegleitung und berät Sie zu Ihren Karrieremöglichkeiten. 

Der Einstieg nach Ihrer Ausbildung ist in verschiedenen Bereichen der Bank (Privat- und Geschäftskundenberatung, Online-Filiale) oder in einem unserer Tochterunternehmen möglich.
Bei besonders herausragenden Leistungen bieten wir Ihnen die Möglichkeit, nach der Ausbildung in ein Förderprogramm mit weiterführendem berufsbegleitendem Studium zu wechseln.



Das bringen Sie mit

¿ (Fach-)Abitur oder Mittlere Reife
¿ Interesse an wirtschaftlichen Zusammenhängen 
¿ Engagement und Eigeninitiative 
¿ Freude am Anpacken innovativer Themen 
¿ Veränderungsbereitschaft und Flexibilität
¿ Spaß am Umgang mit verschiedenen Charakteren
¿ Kommunikations- und Kooperationsfähigkeit
¿ Teamfähigkeit 


Das bieten wir Ihnen

¿ Deutschlandweites einwöchiges Auftakt-Event ¿First Steps¿
¿ Abwechslungsreiche Tätigkeiten inkl. Spezialisierung bereits während der Ausbildung
¿ Ausbildung in top modernen Filialen mit innovativer technischer Ausstattung
¿ Selbständige Mitarbeit in verschiedenen Teams und Abteilungen
¿ Eine durch Offenheit, Dynamik und Internationalität geprägte Unternehmenskultur 
¿ Gute Übernahme- und Karrierechancen
¿ Aktive Begleitung des digitalen Wandels in der Finanzbranche
¿ Attraktive Ausbildungsvergütung mit vielen Zusatzleistungen


Ausbildungsbeginn: 01.09.2020

Bewerbungsadresse: Bitte bewerben Sie sich online!",0
3,,Azubi,"  Kaufmann/Kauffrau für Büromanagement

  Arbeitsort: D-12681 Berlin · Berlin
  Firmenname:
  perZukunft Arbeitsvermittlung GmbH & Co. KG
  Alter der Anzeige:
  08.01.2016 (15 Tage alt)
  Stellenbeschreibung
  Stellenbezeichnung
  Kaufmann/Kauffrau für Büromanagement
  Jobbeschreibung
  Sie sind auf Ausbildungsplatzsuche? Wir, von perZukunft, bilden auch wieder in diesem Jahr zum/zur Kaufmann/-frau aus.

  Neben den Schulbesuchen übernehmen Sie folgende praktische Tätigkeiten:

  # Bewerbungsgespräche terminieren
  # Am Empfang die Bewerber mit betreuen
  # Verfassen von Stelleninseraten, Bewerberprofilen und weiteren Schriftstücken für die Vermittlung
  # Unterstützung in der täglichen Arbeit der Personalvermittlung

  Wir erwarten folgende Qualifikation Ihrerseits:

  # Abschluss in der Schule: Mittlere Reife
  # Sprachkenntnisse: Sehr gute Deutschkenntnisse
  # Grundkenntnisse: MS Office Paket
  # Persönliche Eigenschaften: Zuverlässigkeit, Kommunikationsfähigkeit, Motivation und Teamfähigkeit

  Wir freuen uns über Deine aussagekräftigen Bewerbungsunterlagen!

  Bitte beachten Sie, dass die Bewerbungsunterlagen nur zurück gesandt werden, wenn ein
  entsprechend ausreichend frankierter Rückumschlag beigefügt wird.
  Des Weiteren beachten Sie bitte, dass im Falle eines Vorstellungsgespräches Fahrtkosten nicht übernommen werden.

  Bitte beachten Sie die folgenden Anforderungen:

  - soziale Kompetenzen:

  * Kommunikationsfaehigkeit
  * Teamfaehigkeit

  Unsere Kontaktadresse lautet:

  perZukunft Arbeitsvermittlung GmbH & Co. KG
  Frau Röber
  Allee der Kosmonauten 33G
  12681 Berlin
  Telefonnummer: +49 (030) 549878517
  Faxnummer: +49 (030) 549878520
  E-Mail: marzahn3@perzukunft.de

  Arbeitsort:
  12681 Berlin, DE

  Art der Anstellung: Ausbildungsplatz
  Arbeitszeitmodell:
  * Vollzeit

  Kontakt:

  Frau
  Allee der Kosmonauten 33G
  12681 Berlin

  Tel: +49 30 549878517
  Fax: +49 30 549878520

  E-Mail-Adresse: marzahn3@perzukunft.de
  Webseite: http://www.perzukunft.de

  Gewünschte Form der Bewerbung: per E-Mail, telefonisch, über Internet, persönlich, schriftlich
  Geforderte Anlagen: Lebenslauf, Bewerbungsanschreiben, Zeugnisse
  Inhalte: © BUNDESAGENTUR FÜR ARBEIT, 2016
  Darstellung: © NETZMARKT INTERNETSERVICE GMBH & CO. KG, 2016
  Arbeitsort
  Ort
  Berlin
  PLZ
  D-12681
  Bundesland
  Berlin
  Land
  Deutschland",0
4,,Azubi,"  * Stellensuche
  * Studienabbrechersuche

  » Zurück zur Suche

  Kfz-Mechatroniker (w/m) System- und Hochvolttechnik

  Stellenprofil
  * Beschäftigungsart:
  Ausbildung
  * Position:
  Berufseinsteiger
  * Stellenbeschreibung:
  Die Automobilindustrie gehört zu den Hightech-Branchen. Ohne elektrische und elektronische Komponenten geht nichts in modernen Fahrzeugen. Sicherheit, Fahrkomfort, Steuerung - alles hängt davon ab. Als Kraftfahrzeugmechatroniker (w/m) ist High-Tech für dich das Größte. Du kennst dich mit komplexen Zusammenhängen in der System- und Hochvolttechnik aus. Deine Leidenschaft ist es, diese Systeme am Laufen zu halten.
  Inhalte und Tätigkeiten:
  Wenn es dein Ziel ist, an der Weiterentwicklung der mobilen Zukunft teilzuhaben, dann bist du bei uns genau richtig. Die Technik von Hochvoltsystemen, also von Hybrid- und Elektrofahrzeugen, gehört zu deinen zentralen Ausbildungsinhalten. Darüber hinaus erfährst du alles, was du über die Fehlerdiagnose, den Einbau und die Wartung der gesamten Fahrzeugelektronik wissen musst.
  Das erwartet dich nach der Ausbildung:
  Du kannst deine Ausbildung entweder in einer BMW Niederlassung oder in einem der BMW Group Werke absolvieren. Bei einer Ausbildung in einer unserer Niederlassungen kannst du dich auf vielfältige Aufgaben in den Bereichen Service- und Qualitätssicherung freuen. Wohingegen bei einer Ausbildung im einem unserer Werke spannende Tätigkeiten im Bereich Fertigung und Qualitätssicherung auf dich warten. Du setzt fahrzeugtechnische Systeme in Betrieb bzw. außer Betrieb, aktualisierst die Software und führst Messungen und Funktionsprüfungen durch. Außerdem kümmerst du dich um das digitale Bordnetz und das Nachrüsten von Zubehör, Zusatzeinrichtungen und Sonderausstattungen. Natürlich kannst du dich auch nach der Ausbildung durch Lehrgänge, Kurse und Seminare zum Service- und Diagnosetechniker (w/m) oder Meister weiterbilden.
  Darauf kannst du dich freuen:
  - Eine sehr gute Ausbildungsvergütung
  - Sicherheit und herausragende Sozialleistungen
  - Flexible Arbeitszeiten und Freizeitausgleich
  - Abwechslungsreiche und spannende Aufgaben
  - Tolle Stimmung und ein super Team
  - Persönliche Förderung
  - Viele Entwicklungsmöglichkeiten während und nach der Ausbildung
  - Eine Ausbildung bei einem der erfolgreichsten Automobilhersteller der Welt
  Ausbildungsdauer:
  3,5 Jahre
  * Qualifikation:
  Das solltest du mitbringen:
  - Freude an technischen Aufgaben
  - Handwerkliches Geschick
  - Lust darauf, an der Zukunft der Mobilität mitzuarbeiten
  - Interesse an Mathematik und Physik
  - Qualifizierender Abschluss der Mittelschule/Hauptschule oder Mittlere Reife
  * Zu besetzen ab:
  2019

  Einsatzort
  * Land:
  Deutschland (EU)
  * Bundesland:
  Nierdersachsen
  * Stadt:
  Hannover
  * PLZ:
  30539

  Bewerbung
  * Unternehmen:
  BMW AG
  * Informationen zur Bewerbung:
  https://www.bmwgroup.com/de/karriere/was-die-bmw-group-schuelern-bietet/kfz-mechatroniker-system-hochvolttechnik.html

  » Zurück zur Suche",0
5,8CF89B150A888E7B8A807565D39295C6,Auszubildende,"Wir bieten zu sofort noch mehrere Ausbildungsstellen zum/zur Friseur/in.

Friseure und Friseurinnen waschen, pflegen, schneiden, färben und frisieren Haare. Sie beraten Kunden individuell in Fragen der Frisur, der Haarpflege sowie des Haarstylings, pflegen Hände, gestalten Fingernägel sowie Make-up und verkaufen kosmetische bzw. Haarpflegeartikel.


Friseur/in ist ein 3-jähriger anerkannter Ausbildungsberuf im Handwerk.



Bei Interesse freuen wir uns über Ihre Bewerbungsunterlagen.",0
6,,Azubi,"  * Standort
  * Neumarkt in der Oberpfalz, Regensburg, Bamberg, NÃ¼rnberg, Schwarzenbruck, FÃ¼rth, Erlangen, Herzogenaurach, Schwabach, RÃ¶ttenbach
  * Anstellungsart
  * Ausbildung
  * Branche
  * Nahrungs- & Genussmittel
  * Berufsfeld
  * Vertrieb / Verkauf: VerkÃ¤ufer oder Berater in einer Filiale; Handwerk / gewerblich-technische Lehrberufe: BÃ¤cker, Konditor; AusbildungsplÃ¤tze: Handwerk, Produktion, Gewerbe, Vertrieb, Verkauf, Handel, Gastronomie, Hotellerie, Hauswirtschaft, Tourismus
  * Online seit
  * 20.11.2018

  Die Bäckerei /Der Beck/ ist ein erfolgreiches inhabergeführtes Familienunternehmen, das mit über 150 Filialen in der Metropolregion Nürnberg sowie in Regensburg vertreten ist. Heute blicken wir auf über 100 Jahre Tradition als Bäckereibetrieb zurück und behaupten seit Jahren den Platz 1 als regionaler Marktführer.

  Für unsere Filialen suchen wir ganzjährig motivierte Auszubildende für eine Ausbildung als:

  FachverkÃ¤ufer/in im Lebensmittelhandwerk (BÃ¤ckerei)

  Deine Aufgaben:

  Als Bäckereifachverkäuferin übernimmst Du den Verkauf unseres vielfältigen Sortiments an Brot, Backwaren, Imbissprodukten sowie kleineren warmen Gerichten. Du berätst unsere Gäste souverän zu unseren Produkten und informierst über Inhaltsstoffe und Bestandteile. Hinter der Theke fühlst Du Dich richtig wohl und bereitest durch Dein freundliches und positives Auftreten unseren Gästen jeden Besuch bei uns so angenehm wie möglich. Dabei gehört auch die ansprechende Präsentation der Backwaren, das Verpacken der Produkte und die ordentliche Gestaltung der Filiale zu den Aufgaben.

  Deine Ausbildung bei uns:
  * Staatlich anerkannter Ausbildungsberuf
  * Ausbildungsdauer: 3 Jahre
  * Theorie: Berufsschule Fürth, betriebsinterner Unterricht und weitere interessante Schulungen
  * Praxis: Einsatz in einer unserer Beck-Filialen in der Nähe Deines Wohnorts
  * freie Verpflegung, Mitarbeiterrabatt für Dich und Deine engsten Familienangehörigen, ein super Sommerfest, Weihnachtsfeier und vieles mehr!
  * Nach Deiner erfolgreichen Übernahme und entsprechender Berufspraxis kannst Du Dich durch unser breites Schulungsangebot zur Filialleitung (m/w) oder zum Verkaufsleiter (m/w) weiterentwickeln.

  Das bringst Du mit:
  * Qualifizierender Hauptschulabschluss
  * Interesse an der Arbeit mit Lebensmitteln
  * Ein offenes und freundliches Auftreten
  * Freude am Zubereiten und Dekorieren

  Interesse?

  Wir freuen uns auf Deine Bewerbung über unser Online-Bewerbungsformular, schriftlich oder per E-Mail an (bitte gib in Deinem Anschreiben auch an über welchen Kanal Du auf uns aufmerksam wurdest):

  Der Beck GmbH
  Manuela Dietsch
  Am Weichselgarten 12
  91058 Erlangen-Tennenlohe
  Tel.: +49(0)9131 - 7783-708
  www.der-beck.de
  E-Mail: manuela.dietsch@der-beck.de

  www.facebook.com/
  derbeck.baeckerei

  * Standort
  * Neumarkt in der Oberpfalz, Regensburg, Bamberg, NÃ¼rnberg, Schwarzenbruck, FÃ¼rth, Erlangen, Herzogenaurach, Schwabach, RÃ¶ttenbach
  * Anstellungsart
  * Ausbildung
  * Branche
  * Nahrungs- & Genussmittel
  * Berufsfeld
  * Vertrieb / Verkauf: VerkÃ¤ufer oder Berater in einer Filiale; Handwerk / gewerblich-technische Lehrberufe: BÃ¤cker, Konditor; AusbildungsplÃ¤tze: Handwerk, Produktion, Gewerbe, Vertrieb, Verkauf, Handel, Gastronomie, Hotellerie, Hauswirtschaft, Tourismus
  * Online seit
  * 20.11.2018",0
7,8CF82C6CF15DCBB2D74B56EBFA73CECB,Auszubildende,"Willkommen bei Shell !

Wir suchen eine/n Auszubildende als Kaufmann/-frau im Einzelhandel zum nächstmöglichen Zeitpunkt.

Für unsere Shell Station in München Nord.


Kaufleute im Einzelhandel verkaufen Waren aller Art und beraten Kunden.
Kaufmann/-frau im Einzelhandel ist ein 3-jähriger anerkannter Ausbildungsberuf im Handel.


Interessiert? Dann Freuen wir uns auf Ihre Bewerbung unter:

S.Rebo@arcor.de


http://www.rebo-tankstellen.com",0
8,,Azubi,"  Ausbildung zum/zur Tourismusfachwirt / Tourismusfachwirtin

  Anzeige vom    14.01.2016
  Anzahl       15
  Ausbildungsform  Weiterbildung
  Ausbildungsberuf  Tourismusfachwirt / Tourismusfachwirtin
  Ausbildungsbeginn 24.10.2016
  Ausbildungsdauer  4 Monate, Vollzeit
  Ausbildungsort   10787 Berlin (Berlin)
  Schulabschluss   -
  Beschreibung

  GEPRÜFTER TOURISMUSFACHWIRT/IN(IHK) VOLLZEIT NACH NEUEM RAHMENLEHRPLAN

  Maßnahmenummer: 922-3268-12

  Termine

  24.10.2016 - 07.03.2017

  Teilnehmerkreis/Berufsaussichten

  Die Weiterbildung zum Tourismusfachwirt/in richtet sich an alle, die in der Tourismusbranche beruflich aufsteigen wollen. Die Anforderungen an Führungskräfte in der Tourismusindustrie sind vielschichtig. Insbesondere sollen Sie selbständig und eigenverantwortlich Führungsaufgaben wahrnehmen. Nach der erfolgreichen Prüfung zum/zur Tourismusfachwirt/in können Positionen im mittleren bis höheren Management bei Reiseveranstaltern, Agenturen, Reisebüros, Transportunternehmen usw. besetzt werden.

  Teilnehmervoraussetzungen

  Zulassungsvoraussetzungen IHK-Prüfung:

  Ihre persönlichen Voraussetzungen werden von der jeweils zuständigen IHK geprüft. Bitte wenden Sie sich an Frau Alpermann - IHK Berlin,Tel: 030/ 31510819.

  Inhalte

  Modul A: Wirtschaftsbezogene Qualifikation
  * Volks- und Betriebswirtschaft
  * Rechnungswesen
  * Recht und Steuern
  * Unternehmensführung

  Modul B: Handlungsspezifische Qualifikation
  * Grundlagen des Tourismus
  * Tourismus Management
  * Tourismus Marketing
  * Betriebsspezifisches Management

  Der Unterricht wird über eine Lernplattform mit regelmäßigen Erfolgskontrollen durchgeführt. Die Plattform können Sie über Ihren Internetzugang weltweit nutzen. Ergänzend erfolgt der Präsenzunterricht zum Austausch und als Prüfungsvorbereitung.

  Abschluss

  Prüfung vor der Industrie- und Handelkammer (IHK)

  Fördermöglichkeiten

  -Bildungsgutschein
  -WeGeBau
  -Meister-BAföG
  Bewerbungsart   schriftlich, per Email, online
  Online-Bewerbung  http://www.schule-tourismus.de/sft/weite[...]begleitend
  Bewerbungsschluß  24.10.2016

  Ausbilder: SFT Schule für Tourismus Berlin GmbH

  Adresse SFT Schule für Tourismus Berlin GmbH
  Kleiststr. 23-26
  10787 Berlin (Berlin)
  Ansprechpartner Frau Uhlig
  Telefon 03021473366
  Fax 03021473368
  Email it-service@schule-tourismus.de
  Web http://www.schule-tourismus.de
  Portfolio weitere Informationen zum Ausbilder »
  Seite 1 von 2",0
9,,Azubi,"  Mit den Dropdown-Menüs in der linken Spalte können Sie die Stellenangebote filtern. Selektieren Sie nach Berufsgruppe, Bundesland und Geschäftsfeld.

  Ausbildungsplatz Industriekaufleute (m/w) 2016 - Hennickendorf (bei Berlin) - Brandenburg

  Wir bieten am Standort Hennickendorf (bei Berlin) leistungsorientierten Menschen Ausbildungsplätze für 2016 als

  Industriekauffrau/-mann

  Mindestanforderungen:

  * Schulabschluss: Mittlere Reife, Abschluss der Höheren Berufsfachschule Wirtschaft, Abitur bzw. Fachabitur
  * Notendurchschnitt mindestens 3,0

  Ausbildungsschwerpunkte:

  Die Berufsausbildung für Industriekaufleute ist staatlich anerkannt. Die Ausbildungsinhalte sind breit gefächert und sehr abwechslungsreich. Sie umfassen viele Tätigkeiten aus den Arbeiten eines Unternehmens:
  * Beschaffung und Bevorratung, Bedarfsermittlung, Bestelldurchführung, Bestandsverwaltung
  * Personal, Personalplanung und Personaldienstleistungen
  * Buchhaltungsvorgänge, Kosten- und Leistungsrechnung
  * Erfolgsrechnung und Abschluss
  * Marketing- und Absatz, Auftragsvorbereitung, -bearbeitung

  Darüber hinaus werden während der Ausbildung arbeitsfeldübergreifende Inhalte vermittelt, wie z.B.
  * Informationsbeschaffung und -verarbeitung
  * Informations- und Kommunikationssysteme
  * Teamarbeit, Kommunikation, Präsentation
  * Planung und Organisation
  * Märkte, Kunden, Produkte und Dienstleistungen
  * Logistik
  * Finanzierung und Controlling

  Ausbildungsdauer:

  2 oder 3 Jahre

  Wir freuen uns auf Deine Bewerbung per E-Mail an:

  bewerbung@thomas-gruppe.de

  thomas beteiligungen GmbH
  Im Industriepark 13
  55469 Simmern

  Ihr Ansprechpartner

  M.Sc. Daniel Aßmann
  Personalgewinnung - Unternehmenskommunikation
  thomas beteiligungen GmbH
  Im Industriepark 13
  55469 Simmern
  Tel.:   +49 (6761) 901 141
  E-Mail: daniel.assmann@thomas-gruppe.de",0
