,id,label_class,text,label
0,,Azubi,"  HOFMANN NATURSTEIN GmbH + Co. KG

  Naturwerksteinmechaniker/in - Steinmetztechnik

  * 97956 Werbach
  * Duale Ausbildung

  Jetzt bewerben

  Auszug der Stellenbeschreibung

  Wir bieten zum 01.09.2019 Ausbildungsplätze zum/r Naturwerksteinmechaniker/in der Fachrichtung Steinmetztechnik

  ÜBER DIE AUSBILDUNG UND DIE EINSATZGEBIETE:
  Im Rahmen der dreijährigen Ausbildung erlernen Sie die Fertigkeiten eines Steinmetz zum Herstellen von Fassaden- und Bodenplatten, massiven Bauelementen oder gestalterischen Objekten wie Säulen und Massivstücken aus Naturstein.

  Ausbildungsorte sind unsere Produktionswerke Gamburg und Niklashausen und die Berufsschule. Sie fertigen nach vorgegebenen Werklisten und Zeichnungen Werkstücke aus Naturstein in Handarbeit oder an unseren hochmodernen CNC-gesteuerten Bearbeitungsmaschinen. Nach der abgeschlossenen Ausbildung können Sie entweder in unserer Steinmetzabteilung anspruchsvolle Werkstücke in Handarbeit herstellen oder unsere Bearbeitungsmaschinen bedienen.

  Nach 2-3 Jahren Berufserfahrung als Naturwerksteinmechaniker besteht die Möglichkeit der Weiterbildung zum Steinmetzmeister oder Natursteintechniker. Bei dieser Weiterbildung unterstützt Sie unser Unternehmen.

  VORAUSSETZUNGEN:
  Sie haben die mittlere Reife bzw. den Hauptschulabschluss erfolgreich gemeistert.
  Sie bringen handwerkliches und technisches Interesse, Lernbereitschaft und Flexibilität mit und arbeiten gerne im Team.

  ÜBER UNS:
  Seit über 70 Jahren sind wir als eigentümergeführtes Familienunternehmen im internationalen Natursteinfassadenbau tätig. Der Name HOFMANN NATURSTEIN steht für herausragende Qualität, kontinuierliches Wachstum und erstklassige Bonität.

  Wir setzen auf Komplettlösungen aus einer Hand. Mit jährlich rund 100 größeren Bauvorhaben für renommierte Architekten und Bauherren leisten wir unseren Beitrag zur zeitgenössischen Architektur.

  Unser Leistungsspektrum umfasst die Erschließung und Sicherung hochwertiger Natursteinvorkommen, die Planung durch eigene Ingenieurbüros für Steinbautechnik, werkseigene Verarbeitung, die Logistik der Fassadenelemente sowie die Montage mit Bauleitung durch Fachingenieure.
  Inspektionen, Wartungen und Fassadenerneuerungen bieten wir im Rahmen des Gebäudemanagements an.

  Durch diese Komplettlösungen aus einer Hand gewährleisten wir, dass alle Projekte im Terminplan, in der geforderten Präzision und entsprechend den vorgegebenen Anforderungen ausgeführt werden.

  Wir freuen uns auf Ihre Bewerbung (schriftlich oder per E-Mail).
  Jetzt bewerben

  Standort

  HOFMANN NATURSTEIN GmbH + Co. KG 97956 Werbach, DE
  https://www.azubi.de/ausbildungsplatz/331998-b-naturwerksteinmechaniker-in-steinmetztechnik",0
1,,Azubi,"  Die Schule liegt hinter dir - und jetzt? Wie wäre es mit einer Ausbildung bei einem starken Partner, der dir Sicherheit, Perspektiven und viel Abwechslung bieten kann - und das nicht irgendwo, sondern bei einem der erfolgreichsten Unternehmen im Lebensmitteleinzelhandel? Herzlich willkommen bei Lidl! Je nachdem, was dir liegt, machen wir dich während deiner Ausbildung fit für deine Zukunft bei uns. Erlebe, dass sich deine Ausbildung lohnt - in einer unserer Regionalgesellschaften bei dir vor Ort! Ausbildungsbeginn ist am 01. August.

  Aufgaben
  * Die interessante Welt des Handels lernst du im Abiturientenprogramm von der Pike auf kennen.
  * Dein theoretisches vermitteltes Fachwissen verknüpfst du mit praktischen Elementen des Filialalltags, z. B. die Warenverräumung und -präsentation, die Durchführung von Disposition, die Gewährleistung von Frische, Qualität und Sauberkeit oder das Erlernen von Personalführungselementen.
  * In drei Jahren erhältst du drei Abschlüsse: Nach der Ausbildung zum Kaufmann (w/m) im Einzelhandel (18 bzw. 24 Monate, unterschiedliche Regelungen je nach Bildungsträger möglich), folgt die Weiterbildung zum geprüften Handelsfachwirt (w/m) in weiteren 18 Monaten, inkl. der Weiterbildung zum Ausbilder (w/m).
  * Als zukünftige Führungskraft leitest du eine Filiale mit rund 15 Mitarbeitern und hast darüber hinaus ausgezeichnete Entwicklungsmöglichkeiten, z. B. zum Verkaufsleiter (w/m).

  Profil
  * Allgemeine Hochschulreife oder Fachhochschulreife
  * Begeisterungsfähigkeit, Zielstrebigkeit, Zuverlässigkeit
  * Freundlichkeit und Teamfähigkeit

  Wir bieten
  * Wir legen Wert darauf, dass sich dein Einstieg nach dem Abitur bei uns lohnt! Deshalb kannst du mit der Kombination aus Aus- und Weiterbildung gleich drei Abschlüsse in drei Jahren machen. Dabei wirst du intensiv betreut - von der Personalabteilung in unserer Gesellschaft, deinem Fachbereich und einem persönlichen Paten. Durch einen Mix aus praktischer Ausbildung und anspruchsvollen Seminar-Blöcken gehst du fachlich und persönlich schnell auf Wachstumskurs. Auch deine Vergütung kann sich sehen lassen (1. - 6. Monat: 1.050 ?, 7. - 18. bzw. 24. Monat: 1.200 ?). Danach profitierst du von einer übertariflichen Vergütung. Du siehst: Das Abiturientenprogramm bietet dir beste Voraussetzungen für eine berufliche Zukunft mit Perspektiven.

  Interessiert?
  Jetzt online bewerben",0
2,35299AE2C955C252E64A2BB6376DB277,Auszubildende,"Für das Ausbildungsjahr 2020 suchen wir eine/n engagierte/n und motivierte/n Auszubildende/n (m/w/d) zur/zum Maler/in und Lackierer/in - Gestaltung und Instandhaltung.

Maler/innen und Lackierer/innen der Fachrichtung Gestaltung und Instandhaltung gestalten, beschichten und bekleiden Innenwände, Decken, Böden und Fassaden von Gebäuden. Sie halten Objekte aus den unterschiedlichsten Materialien instand oder geben ihnen durch farbige Beschichtungen eine neue Oberfläche.

Vorausgesetzt werden ein erfolgreicher Abschluss der Mittelschule und handwerkliches Geschick.
Die Berufsschule ist in Schwandorf in vorm von Blockunterricht.

Gerne können Sie bei uns ein Praktikum absolvieren, um sich einen besseren Einblick in den Beruf des/der Maler/in und Lackierer/in - Gestaltung und Instandhaltung zu verschaffen und sich vorab kennen zu lernen.

Bei Interesse freuen wir uns auf Ihre Bewerbung.",0
3,,Azubi,"  Heiss GmbH das Radcenter

  Azubi Fahrradmonteur (m/w) 2019

  * 87700 Memmingen
  * Duale Ausbildung

  Jetzt bewerben

  Auszug der Stellenbeschreibung

  Wir suchen zum 01.09.2019 neue Auszubildende/n - Zweiradmonteur mit Schwerpunkt Fahrradtechnik (w/m)

  Deine Aufgaben:
  Du lernst dabei:
  - Reparatur und Instandhaltung von MTB Bikes, Rennrädern und E-Bikes
  - Service und Wartung der Räder entsprechend Kundenwunsch
  - Qualitätsprüfung

  Dein Profil:
  - Qualifizierender Mittel- bzw. Hauptschulabschluss oder höherer Schulabschluss
  - Zuverlässigkeit & Pünktlichkeit
  - Handwerkliches Geschick
  Du bist von Mechanik begeisterst, und fasziniert von der Welt der Fahrräder.

  Wir bieten:
  - Ein junges und dynamisches Team
  - Einen Arbeitsplatz mit Entwicklungsmöglichkeiten & flachen Hierarchien
  - Unterstützung bei Umzug und Wohnungssuche
  - Vergünstigte Mitarbeiterkonditionen

  Wann?
  Ab 01.09.2019
  Die Ausbildung dauert 2 Jahre.
  Gerne kannst du davor ein Praktikum bei uns machen!

  Interesse?
  Wir freuen uns auf deine aussagekräftige Bewerbung (Anschreiben, Lebenslauf und Zeugnisse), ausschließlich
  per Mail unter personal@rad-heiss.de

  Kontakt:
  Ansprechpartnerin: Silja Bonazzi
  HEISS GmbH - Das Radcenter
  Rudolf-Diesel-Strasse 18
  87700 Memmingen
  Jetzt bewerben

  Standort

  Heiss GmbH das Radcenter 87700 Memmingen, DE
  https://www.azubi.de/ausbildungsplatz/392302-b-azubi-fahrradmonteur-m-w-2019",0
4,,Azubi,"  Ausbildung z. Fleischer (m/w/d) - 2019

  Datum: 29.10.2018

  Standort: Baden-Württemberg, 76646 Bruchsal, DE
  Jetzt bewerben »
  Bitte warten...

  Jetzt bewerben

  Für Stelle bewerben

  Geben Sie Ihre E-Mail-Adresse ein, um sich zu bewerben.
  Deutschlandweit und direkt um die Ecke: Als Teil der REWE Group überzeugt REWE mit über 3.300 Märkten durch sein innovatives Sortiment, Regionalität und eine einzigartige Unternehmenskultur: Wir sind Gastgeber für unsere Kunden, die wir mit unserer Kompetenz beraten und begeistern. Unsere mehr als 120.000 Mitarbeiter unterstützen wir dabei, ihren Unternehmergeist einzubringen, ihre Ideen im Team zu verwirklichen und echt was zu erreichen. Gestalte mit uns deine ganz persönliche Karriere. Wir freuen uns auf dich!

  Ausschreibungs-ID: RE-55019810A

  Gestalte unsere Verkaufstheke und deine Karriere bei REWE mit einer

  Ausbildung z. Fleischer (m/w/d) - 2019

  Ausbildungsbeginn: 01.09.2019
  Ausbildungsdauer: 3 Jahre

  Deine Aufgaben:

  In deiner Ausbildung zum/zur Fleischer/in bei REWE befasst du dich schwerpunktmäßig mit der Vor- und Zubereitung, sowie der Veredelung von Fleisch und Fleischwaren für den Verkauf. Du berätst Kunden individuell mit deinem Expertenwissen rund um Fleisch und Wurst und planst die Arbeitsabläufe hinter der Frische-Theke. Du lernst auch:
  * aktiv zu verkaufen und die Qualität der Ware sicherzustellen
  * die Verkaufstheke zu bestücken und die Ware attraktiv zu präsentieren
  * Ware zu bestellen, zu disponieren und zu kontrollieren

  Wir bieten dir:

  Deine Ausbildung bei REWE ist geprägt von einer persönlichen Betreuung. Zusätzlich zur klassischen dualen Berufsausbildung erhältst du betriebsinterne Seminare und hast somit viel Kontakt mit anderen Auszubildenden. Des Weiteren bieten wir dir:
  * ein abwechslungsreiches und interessantes Arbeitsumfeld mit Kundenkontakt
  * Azubiprojekt (z.B. Azubis führen einen Markt)
  * ein eigenes Tablet für jeden Azubi und Übernahmegarantie bei guten Leistungen
  * Mitarbeiterrabatte
  * sehr gute und vielfältige Weiterbildungsmöglichkeiten speziell für den Bereich Frische-Theke (Service Berufe) und/oder zum Meister
  * eine Auftakt und Abschlussveranstaltung

  Dein Profil:

  * Guter Hauptschulabschluss oder mittlere Reife
  * Du hast Interesse am Handel und seinen Kunden
  * Du hast Teamgeist und bist kundenorientiert
  * Du bist kreativ und belastbar und zeigst gerne Einsatz- und Verantwortungsbereitschaft

  Um Dir den Lesefluss zu erleichtern, beschränken wir uns im Textverlauf auf männliche Bezeichnungen. Selbstverständlich sind uns weibliche Bewerber sowie Bewerber diversen Geschlechtes gleichermaßen willkommen.

  Ansprechpartner:
  Valentina Erlein - 06222/574-674

  Jetzt bewerben »
  Bitte warten...

  Jetzt bewerben

  Für Stelle bewerben

  Geben Sie Ihre E-Mail-Adresse ein, um sich zu bewerben.",0
5,,Azubi,"  Ausbildungsplatzangebot

  Angebots-Nr. 107-126329-638589

  Label Content
  Ausbildungsberuf Fachinformatiker/-in
  Fachrichtung: Systemintegration
  (zum Berufe-Steckbrief )
  Schulabschluss mindestens Hochschulreife
  gewünschte Vorqualifikation
  * Studiumsaussteiger
  * Berufsbezogenes Praktikum / vorherige Ausbildung
  * PC-Kenntnisse (Office)

  Beginn 01. August 2016
  Angebotene Plätze 1
  weitere Vorqualifikation

  Ein gutes Abitur mit mathematisch-technischem Schwerpunkt, sowie idealerweise erste entspre-chende Praktika. Außerdem überzeugst Du uns durch:
  * Erste Erfahrungen mit der Installation und Bedienung von Software
  * Grundkenntnisse in der ein oder anderen Programmiersprache
  * Einen sicheren Umgang mit MS-Office, sowie gute Englisch-Kenntnisse
  * Dein logisches Denkvermögen und eine schnelle Auffassungsgabe
  * Deine hohe Motivation sowie eine selbstständige und verantwortungsbewusste Arbeitsweise

  Stellenbeschreibung

  Wir vermitteln Dir während Deiner Ausbildung bei OPTIMAL SYSTEMS umfassende Kenntnisse und Fertigkeiten um Rechnernetzwerke einzurichten und einen reibungslosen Betriebsablauf zu gewährleisten. Hauptsächlich beschäftigst Du Dich mit folgenden Ausbildungsinhalten:
  * Du installierst, wartest und administrierst informationstechnische Systeme.
  * Du lernst verschiedene Betriebssysteme, neue Arbeitsmethoden mit Datenbanken und innovative Techniken im Bereich der Sicherheit kennen.
  * Bei auftretenden Problemen bist Du maßgeblich an der Fehleranalyse und -beseitigung beteiligt.
  * Mit Deinem erworbenen Wissen stehst Du dann unseren Nutzern für die fachliche Beratung und Betreuung zur Verfügung.
  * Neben einer fundierten technischen Ausbildung erhältst Du bei uns vielfältige Einblicke in die Abläufe und Prozesse eines erfolgreichen, mittelständischen Softwareherstellers.

  Dokumente PS-AZSI-1601-IHK.pdf (272.32 KB )
  www.ihk-lehrstellenboerse.de

  Unternehmen

  OPTIMAL SYSTEMS GmbH

  Cicerostr. 26
  10709 Berlin

  Zur Homepage
  Kontakt aufnehmen

  Auf Deine Bewerbung freut sich:

  Corina Mews

  Weitere Ausbildungsplatzangebote des Unternehmens (1)

  * Fachinformatiker/-in (1)",0
6,,Azubi,"  Grete Wolf Immobilien UG
  präsentiert von

  Ausbildung / Umschulung Büromanagement

  Es wird eine duale Ausbildung (Berufsschule und Betrieb) angeboten.

  Alternativ besteht die Möglichkeit einer Umschulung mit Ausbildungsabschlussprüfung bei der IHK unter Anrechnung von adäquaten Berufserfahrungen (§ 45 Abs. 2 BBiG).

  Kaufleute für Büromanagement führen organisatorische und kaufmännisch­verwaltende Tätigkeiten aus. Sie erledigen beispielsweise den internen und externen Schriftverkehr, entwerfen Präsentationen, beschaffen Büromaterial, planen und überwachen Termine, bereiten Sitzungen vor und organisieren Dienstreisen. Auch unterstützen sie die Personaleinsatzplanung, bestellen Material und kaufen exter­ne Dienstleistungen ein. Zudem betreuen sie Kunden, wirken an der Auftragsabwicklung mit, schrei­ben Rechnungen und überwachen Zahlungseingänge. Kaufleute für Büromanagement übernehmen ggf. auch Aufgaben in Marketing und Vertrieb, in der Öffentlichkeitsarbeit und im Veranstaltungsmanagement sowie in der Personal­ und in der Lagerwirtschaft. Im öffentlichen Dienst unterstützen sie Bürger/innen im Umgang mit der Verwaltung z.B. bei der Antragstellung, klären Anliegen und Zustän­digkeiten und wirken an der Aufstellung des Haushalts­ oder Wirtschaftsplanes mit.
  Jetzt bewerben Zur Jobsuche
  Grete Wolf Immobilien UG
  12357 Berlin
  //www.jobcluster.de/
  Ähnliche Jobs per
  E-Mail erhalten
  __________________________________________________

  Einsatzort:
  Berlin

  Position:
  Ausbildung

  Bildungsgrad Mindestvoraussetzung:
  Mittlere Reife

  Ähnliche Jobs
  __________________________________________________

  Ausbildung zum Kaufmann für Büromanagement(m/w)
  BASF Services Europe GmbH

  Kaufmann für Büromanagement (m/w)
  Mundipharma GmbH

  KAUFFRAU/-MANN FÜR BÜROMANAGEMENT
  WEMO-tec

  Ausbildungsplatz Kaufmann für Büromanagement (m/w)
  easySoft. GmbH

  Kaufmann/frau für Büromanagement
  Linde AG, Linde Engineering & Gases Division",0
7,3528FB7AC75E2107BC95315D0B135B26,Auszubildende,"Mit mehr als 700 Niederlassungen und über 17.000 Mitarbeitern ist Fielmann Marktführer der deutschen Augenoptik und größter Ausbildungsbetrieb der Branche. Aktuell suchen wir bundesweit engagierte Auszubildende (m/w) in der Hörgeräteakustik.

Es lohnt sich zu Fielmann zu kommen. Fielmann bietet Ihnen: 

- Umfassende Ausbildung in einem abwechslungsreichen Beruf
- Vielseitige Entwicklungsmöglichkeiten im In- und Ausland
- Höchsten Ausbildungsstandard
- Übertarifliche Ausbildungsvergütung
- Prämien für überdurchschnittliche Leistungen

Senden Sie Ihre Bewerbung unter Angabe des gewünschten Einsatzortes an die Fielmann AG, Bewerberservice Ausbildung, Weidestraße 118a, 22083 Hamburg, E-Mail: ausbildung@fielmann.com oder bewerben Sie sich über unser Online-Bewerbungsformular.

In Ihrem Anschreiben verwenden Sie bitte nachfolgende Kennziffer: P0029V061.",0
8,352990C3CCC2B1101D8DAE6C88923D7A,Auszubildende,"Jedes Jahr zum 01.08. suchen wir bundesweit motivierte und engagierte
AUSZUBILDENDE (m/w/d) im Vertrieb zum

Kaufmann für Versicherungen und Finanzen (m/w/d) ¿ Fachrichtung Versicherung.

Die R+V Versicherung setzt auf leistungsstarken Service und partnerschaftliches Handeln. Über 8 Mio. zufriedene Kunden machen uns und unsere Mitarbeiter zu dem, was wir heute sind ¿ zu einem der führenden Versicherer in ganz Deutschland.

 
Deine Ausbildung:
¿ Wir bieten dir eine praxisnahe, abwechslungsreiche dreijährige Ausbildung im Vertrieb mit IHK-Abschluss zum Kaufmann / zur Kauffrau für Versicherungen
und Finanzen in den Versicherungsabteilungen der Volks- und Raiffeisenbanken.
¿ Während der Ausbildung lernst du die ganzheitliche Kundenberatung und unsere Produktpalette kennen.
¿ Hierbei wirst du vom ersten Tag an von erfahrenen Ausbildern begleitet.
¿ Damit wirst du auf deine späteren Aufgaben im Vertrieb optimal vorbereitet.
¿ Trainings, Workshops und Praxisprojekte sorgen für die erfolgreiche Umsetzung des erworbenen Wissens in der Praxis.

Unsere Anforderungen:
¿ Du hast einen sehr guten Realschulabschluss oder deine (Fach-)Hochschulreife mit gutem Ergebnis abgeschlossen.
¿ Außerdem bringst du Freude an der Kundenberatung und -betreuung mit und arbeitest eigeninitiativ und zielorientiert.
¿ Du bist kundenorientiert, engagiert und trittst selbstbewusst auf.
¿ Zu Beginn der Ausbildung besitzt du eine gültige Fahrerlaubnis.


Unser Angebot:
¿ Dich erwartet eine hochwertige Ausbildung begleitet durch engagierte Ausbilder und Trainer.
¿ Die Vergütung erfolgt nach Tarifvertrag; vermögenswirksame Leistungen und attraktive Sonderleistungen runden unser Angebot ab.
¿ Selbstverständlich wirst du mit moderner Technik ausgestattet (z. B. Notebook, Smartphone).


Interessiert?
Dann werde Teil eines starken Teams.

Unsere Entwicklungsperspektiven werden dich überzeugen.

Hier direkt online bewerben.

Oder ruf uns an:
Tel. 0611 533-5400
Die Zukunft im Blick
Attraktivste Arbeitgeber
Für Schüler 2018/19",0
9,,Azubi,"  Auszubildender zum Informatikkaufmann (m/w)

  Auszug der Stellenbeschreibung

  Willkommen bei Dr. Oetker! Wir sind ein internationales Familienunternehmen, das mit seinen Qualitätsprodukten seit Generationen den Geschmack der Menschen trifft. Bei uns haben Sie die Chance, mit über 10.000 Kolleginnen und Kollegen in mehr als 40 Ländern Ihre und unsere Zukunft zu gestalten. Wachsen Sie in unserem Team in Bielefeld als Auszubildender zum Informatikkaufmann (m/w) Ihre Zukunft:
  Ihre Stärken:

  * Sie absolvieren eine 2,5-jährige Ausbildung, in der Sie schwerpunktmäßig die OEDIV KG (www.oediv.de) als Rechnzentrumsdienstleister der Oetker-Gruppe sowie vereinzelt die interne IT-Abteilung und kaufmännische Fachabteilungen von Dr. Oetker kennen lernen
  * Wir binden Sie in Projekte und das Tagesgeschäft ein und zeigen Ihnen wie Ihre Zukunft bei uns aussehen kann
  * Sie nehmen an einem Englisch-Sprachkurs teil
  * Mit interessanten Seminaren sorgen wir für Ihre persönliche Weiterentwicklung
  * Sie unterstützen ggf. für 2 bis 3 Monate eines unserer Teams im Ausland
  * Im Anschluss an die Ausbildung bieten wir Ihnen die Möglichkeit eines berufsbegleitenden Studiums der Wirtschaftsinformatik
  * Sie werden die Fachhochschulreife oder Allgemeine Hochschulreife mit einem befriedigenden Notendurchschnitt in den Fächern Mathematik, Englisch und Deutsch erwerben
  * Ihren Lebenslauf schmücken idealerweise Praktika, durch die Sie das Berufsbild bereits kennen gelernt haben
  * Ihr Interesse an Informatik und Wirtschaft verbinden Sie mit einem guten Zahlenverständnis und Freude an Teamarbeit
  * Schicken Sie uns Ihre aussagekräftige Bewerbung mit Anschreiben, Lebenslauf und den letzten zwei Zeugnissen bis zum 30.04.2017 Alles passt? Dann machen Sie sich startklar und finden Sie heraus, was es bedeutet, mit Qualität Zukunft zu gestalten! Wir freuen uns auf Ihre Bewerbung bis zum 16. September 2016 - am liebsten online über den Button /Bewerben/. Dr. August Oetker Nahrungsmittel KG Ina de Vries - 49 (0) 521 155-2550 www.oetker.de/karriere ]]> DE Apprentices 2925 EN Jetzt bewerben ]]> td { font-family:
  arial, helvetica, sans-serif; font-size:
  14px; } .compact li, .sfpanel ul li { line-height:
  100%; background:
  none; list-style-type:
  disc; padding:
  0 0 3px 0; } .sfpanel ul { padding-left:
  16px; padding-right:
  20px; margin:
  0; } ul, menu, dir { -webkit-padding-start:
  16px; } ul { padding-left:
  16px; padding-right:
  20px; margin:
  0; } Willkommen bei Dr. Oetker! Wir sind ein internationales Familienunternehmen, das mit seinen Qualitätsprodukten seit Generationen den Geschmack der Menschen trifft. Bei uns haben Sie die Chance, mit über 10.000 Kolleginnen und Kollegen in mehr als 40 Ländern Ihre und unsere Zukunft zu gestalten. Wachsen Sie in unserem Team in Bielefeld als Auszubildender zum Informatikkaufmann (m/w) Ihre Zukunft:
  Ihre Stärken:

  * Sie absolvieren eine 2,5-jährige Ausbildung, in der Sie schwerpunktmäßig die OEDIV KG (www.oediv.de) als Rechnzentrumsdienstleister der Oetker-Gruppe sowie vereinzelt die interne IT-Abteilung und kaufmännische Fachabteilungen von Dr. Oetker kennen lernen
  * Wir binden Sie in Projekte und das Tagesgeschäft ein und zeigen Ihnen wie Ihre Zukunft bei uns aussehen kann
  * Sie nehmen an einem Englisch-Sprachkurs teil
  * Mit interessanten Seminaren sorgen wir für Ihre persönliche Weiterentwicklung
  * Sie unterstützen ggf. für 2 bis 3 Monate eines unserer Teams im Ausland
  * Im Anschluss an die Ausbildung bieten wir Ihnen die Möglichkeit eines berufsbegleitenden Studiums der Wirtschaftsinformatik
  * Sie werden die Fachhochschulreife oder Allgemeine Hochschulreife mit einem befriedigenden Notendurchschnitt in den Fächern Mathematik, Englisch und Deutsch erwerben
  * Ihren Lebenslauf schmücken idealerweise Praktika, durch die Sie das Berufsbild bereits kennen gelernt haben
  * Ihr Interesse an Informatik und Wirtschaft verbinden Sie mit einem guten Zahlenverständnis und Freude an Teamarbeit
  * Schicken Sie uns Ihre aussagekräftige Bewerbung mit Anschreiben, Lebenslauf und den letzten zwei Zeugnissen bis zum 30.04.2017 ]]> ]]> Alles passt? Dann machen Sie sich startklar und finden Sie heraus, was es bedeutet, mit Qualität Zukunft zu gestalten! Wir freuen uns auf Ihre Bewerbung bis zum 16. September 2016 - am liebsten online über den Button /Bewerben/. Dr. August Oetker Nahrungsmittel KG Ina de Vries - 49 (0) 521 155-2550",0
