,id,label_class,text,label
0,027C03F7AF8B548BDA75D5E00AD70B34,- nur Führungskräfte,"Bei der Diakonie Mecklenburgische Seenplatte ist zum 01. Januar 2019 die Stelle eines/einer Einrichtungsleiters/in in Vollzeit
für unsere Pflegeeinrichtung zu besetzen.

Im Herzen von Neustrelitz, direkt zwischen Tiergarten und der Haupteinkaufsstraße, finden Sie unser Evangelisches Alten-und Pflegeheim ¿Kurt Winkelmann¿. 
Das Haus wurde 1995 fertig gestellt und bietet für 103 Bewohner auf drei Wohnebenen sehr gute
Bedingungen. 
Als Einrichtungsleiter/in obliegt Ihnen auch die Leitung des Mehrgenerationshauses und der Wohnanlage mit
Betreuungsangebot für Senioren in unmittelbarer Nähe der Pflegeheimes.

Zu Ihren Aufgaben zählen:
¿ die Vertretung der Einrichtung innerhalb des Geschäftsbereiches und nach außen,
¿ die Verantwortung für die konzeptionelle, organisatorische und fachliche Weiterentwicklung der Einrichtung,
¿ die personelle und wirtschaftliche Steuerung der Einrichtung,
¿ die Leitung und Steuerung der einrichtungsbezogenen Prozesse und Abläufe und
¿ Anwendung und Weiterentwicklung des Qualitätsmanagementsystems.

Wir erwarten:
¿ ein Studium im Gesundheitswesen oder eine gleichwertige Qualifikation gemäß. EPersVO M-V § 2,
¿ eine einschlägige abgeschlossene berufliche Ausbildung,
¿ mehrjährige Berufserfahrung in einer Leitungsfunktion,
¿ Leitungskompetenz und Teamfähigkeit in einer Dienstgemeinschaft,
¿ organisatorische und kommunikative Fähigkeiten,
¿ sichere betriebswirtschaftliche und EDV-Kenntnisse.

Wir bieten:
¿ ein anspruchsvolles, interessantes und abwechslungsreiches Aufgabenfeld mit Gestaltungs- und
Entwicklungsmöglichkeiten,
¿ ein gestandenes und zuverlässiges Mitarbeiterteam,
¿ eine intensive und fundierte Einarbeitung,
¿ ein unbefristetes Arbeitsverhältnis mit attraktiver tariflicher Vergütung nach den Arbeitsvertragsrichtlinien des DW M-V,
¿ Umfangreiche Fort- und Weiterbildungsmöglichkeiten und Möglichkeit der Supervision

Die Diakonie ist der Wohlfahrtsverband der Evangelischen Kirche. 
Zur Diakonie Mecklenburgische Seenplatte mit den Schwerpunkten stationäre und ambulante Pflege, Behindertenhilfe, Kitas, Jugendhilfe, Beratung und soziale Dienste gehören heute 60 Einrichtungen, in denen insgesamt mehr als 1000 Mitarbeitende tätig sind.

Wenn Ihr Interesse an dieser anspruchsvollen und interessanten Tätigkeit in einer Einrichtung einer christlichen Kirche geweckt worden ist, senden Sie Ihre Bewerbungsunterlagen bis zum 30.4.2018 - gerne per E-Mail - an die aufgeführte Adresse.
Wir freuen uns auf Ihre Bewerbung!",2
1,0536A0AC8496142BDD64E558D0DDB912,- nur Führungskräfte,"Die LVR-Klinik Düren des Landschaftsverbandes Rheinland (LVR) sucht ab dem 01.04.2017 eine/n

Chefärztin/Chefarzt als Abteilungsärztin/Abteilungsarzt für die Abteilung Allgemeine Psychiatrie I.

Die LVR-Klinik Düren ist eine moderne Fachklinik für Psychiatrie und Psychotherapie. Unser Angebot umfasst Abteilungen für Allgemeinpsychiatrie, Abhängigkeitserkrankungen, Gerontopsychiatrie, forensische Psychiatrie und soziale Rehabilitation. 
Mit etwa 1100 Mitarbeiterinnen und Mitarbeitern nehmen wir die Verantwortung für die psychiatrische Versorgung eines Bevölkerungsraums von 750.000 Einwohnern wahr. Die Klinik fühlt sich der kontinuierlichen innovativen Weiterentwicklung ihrer Leistungen sowie der Gewährleistung einer hohen Qualität verpflichtet. Die verkehrsgünstige Lage zwischen den Städten Köln und Aachen, die umfassende Modernisierung unseres Gebäudebestands, zeitgemäße Führungsgrundsätze sowie Schulen für Ergotherapie und Gesundheits- und Krankenpflege machen uns zu einem attraktiven Arbeitgeber und Ausbilder.

Der Abteilung Allgemeine Psychiatrie I, die über akutpsychiatrische, offene sowie tagesklinische Behandlungsangebote verfügt, ist zusätzlich eine psychiatrische Institutsambulanz angegliedert. In der Planung befindet sich die Erweiterung um einen Funktionsbereich für Psychosomatische Medizin. 

Ihre Aufgaben:
- Ärztliche Leitung der Abteilung Allgemeine Psychiatrie I mit derzeit noch 64 Betten und 20 tagesklinischen Plätzen
- Weiterentwicklung der Therapieangebote mit einem Schwerpunkt auf sektorenübergreifende innovative Behandlungsformen
- Neuschaffung einer psychosomatischen Therapieeinheit
- Mitwirkung bei der Facharzt-Weiterbildung und Nachwuchsförderung

Ihr Profil:
- Abgeschlossene Facharztausbildung für Psychiatrie und Psychotherapie und möglichst für Psychosomatische Medizin
- Mindestens dreijährige Führungserfahrung in chefärztlicher oder oberärztlicher Position
- Wünschenswerte Voraussetzungen
- Interesse an konzeptionellen Fragen und Bereitschaft, das bestehende Abteilungskonzept weiterzuentwickeln
- Hohe soziale und organisatorische Kompetenz
- Gute Kenntnisse und Erfahrungen in Qualitätsmanagement und Krankenhausbetriebswirtschaft

Wir bieten Ihnen:
Eine den Anforderungen entsprechende Bezahlung (Chefarztvertrag als Sondervertrag) inkl. kommunaler Zusatzversorgung
Einen interessanten, abwechslungsreichen und verantwortungsvollen Aufgabenbereich
Selbständiges und eigenverantwortliches Arbeiten mit Gestaltungsfreiraum
Ein kollegiales Betriebsklima, in dem Wert auf den interdisziplinären Austausch gelegt wird

Als Mitglied im Unternehmensnetzwerk ¿Erfolgsfaktor Familie¿ hat die Vereinbarkeit von Familie und Beruf für uns eine hohe Priorität. Wir bieten familienfreundliche Arbeitszeiten und unterstützen Sie durch unseren Eltern- und SeniorenService sowie die Möglichkeit der Kinderbetreuung in einer nahegelegenen Kooperations-Kindertagesstätte. Auch der mögliche Wunsch einer Teilzeitbeschäftigung sollte kein Hinderungsgrund sein.

Haben Sie noch Fragen?

Dann wenden Sie sich bitte an die Ärztliche Direktorin, Frau Dr. med. Beginn-Göbel, Telefon: 02421 40-2244. Sie
wird Ihnen gerne weiterhelfen.

Allgemeine Informationen über die LVR-Klinik Düren und über den Landschaftsverband Rheinland finden
Sie im Internet unter www.klinik-dueren.lvr.de und unter www.lvr.de.

Frauen werden gemäß Landesgleichstellungsgesetz NRW bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen. Der Bewerbung schwerbehinderter Frauen und Männer wird bei sonst gleicher Eignung der Vorzug gegeben. Wir freuen uns über Bewerbungen von Menschen mit Migrationshintergrund.

Ihre Bewerbung senden Sie bitte bis zum 15.10.2016 unter Angabe der Kennziffer E16/2016 an die
LVR-Klinik Düren
Allgemeine Verwaltung/Personal
Meckerstraße 15
52353 Düren",2
2,05B765A0C20A81D91E16C2E8A2977BD8,nur Führungskräfte,"Fasziniert Sie die Welt der Mode?;Wir sind seit über 70 Jahren international erfolgreicher Anbieter von women¿s fashion und präsentieren mit den Marken Betty Barclay, Gil Bret, Vera Mont und Cartoon einen unverwechselbaren Lifestyle. ;;Mit über 80 eigenen Stores sind wir national und international auf Expansionskurs. ;Für unsere Expansion im Raum Bad Hersfeld  suchen wir für unser Team Sie als;;Storeleitung (w/m);Sie haben mehrjährige Führungserfahrung im textilen Einzelhandel, identifizieren sich mit uns und lieben es, Kunden zu beraten. Mit einem hohen Maß an Selbständigkeit, Organisationstalent und Serviceorientierung, führen Sie Ihr Team zu hervorragenden Verkaufserfolgen. Spaß im Umgang mit Menschen, eine positive Ausstrahlung und Begeisterungsfähigkeit für Mode zeichnen Sie aus.;;Wollen Sie dabei sein? Willkommen in der Welt der Mode! ;;Wir freuen uns auf Ihre Bewerbung, bevorzugt online unter www.bettybarclay.com/karriere.;;Bitte geben Sie bei Ihrer Bewerbung die E-Mail Adresse an.;;UNTERNEHMENSGRUPPE BETTY BARCLAY;Personalwesen, Sina Ronellenfitsch",2
3,08817E9992375055139D7567BE00A142,nur Führungskräfte,"Die Apollo-Optik Holding ist mit über 750 Filialen der filialstärkste Optiker am deutschen Markt und Mitglied der GrandVision-Gruppe, einem der weltweit führenden Optikunternehmen.;Apollo-Optik ist ein stark wachsendes eigenständiges Unternehmen. Qualifizierte Mitarbeiter gewährleisten für unsere Kunden ein Höchstmaß an Qualität und Service - die Grundlage für die langfristige Zufriedenheit der Kunden und damit für unser weiteres Wachstum.;;Wir suchen Führungspersönlichkeiten, die mit ihrer Fachkompetenz, ihren Ideen und ihrem unternehmerischen Gespür unsere Fachgeschäfte bundesweit an die Spitze bringen. Unser Karrierenetzwerk bietet für Berufserfahrene und -starter/innen maßgeschneiderte Einstiegspositionen. Sie verfügen über Berufserfahrung als Augenoptikermeister/in, Führungserfahrung und verantworten den reibungslosen Geschäftsablauf ""Ihrer"" Filiale. Dabei sind für Sie Kundenorientierung, die Auswertung und Umsetzung von betriebswirtschaftlichen Kennzahlen ebenso selbstverständlich wie die Führung des Mitarbeiterteams. ;Weitere Informationen entnehmen Sie bitte unserer Homepage unter www.apollo.de/karriere;;Wir suchen Sie als Filialleiter/in.;;Voraussetzungen:;¿ abgeschlossene Ausbildung zum Augenoptikermeister/in ;¿ führungsstarke Persönlichkeit;¿ ca. 2 - 3 Jahre Berufserfahrung als Filialleiter/in;¿ betriebswirtschaftliche Kenntnisse;¿ Freude am Umgang mit Kunden und Personal;;;Unsere Rahmenbedingungen:;Beschäftigung in Vollzeit. Der Arbeitszeitrahmen richtet sich nach den Öffnungszeiten. Vergütung nach Vereinbarung.;Ihre vollständigen Bewerbungsunterlagen senden Sie bitte unter Angabe der Referenznummer und des gewünschten Einsatzortes an:;;Apollo-Optik Holding GmbH & Co. KG;PERSONALABTEILUNG;Wallenrodstrasse 3;91126 Schwabach;;Gerne auch per E-Mail an: bewerbung-filiale@apollo-optik.com ;Unvollständige Bewerbungsunterlagen oder Bewerbungen, die nicht zugeordnet werden können, werden unbearbeitet zurückgeschickt.",2
4,08AB88CC1840B10CD59B30A76E8ED972,nur Führungskräfte,"Gesucht wird ein Bauleiter (m/w) für den Einsatz in Hochbau-Bauvorhaben mit den hier üblicherweise anfallenden Aufgaben und Arbeiten. Es handelt sich um ein Vollzeitarbeitsverhältnis zu sofortigem Beginn.
Geeignete und interessierte Bewerberinnen und Bewerber können sich kurzfristig per e-mail oder mit den üblichen schriftlichen Unterlagen bewerben. Evtl. nötige Voranfragen richten Sie bitte telefonisch an den Firmeninhaber, Herr Bunjaku.",2
5,08B7411AF809B806E4FF4EAE889F170A,nur Führungskräfte,"Der Landesverband der Volkssolidarität Berlin e.V. sucht für das Wohnheim für geistig und mehrfach behinderte Menschen in Berlin-Treptow ab sofort eine kompetente und verantwortungsbewusste Gruppenleiterin bzw. Gruppenleiter.

Ihr Aufgabengebiet:
¿	Organisation und Kontrolle des Betreuungsablaufs auf der Wohngruppe
¿	Erstellung von Dienstplänen und Kontrolle der Qualitätssicherung
¿	Anleitung und Beratung der Mitarbeiter/-innen in enger Kooperation mit der Pädagogin und der Heimleitung
¿	Vorbereitung und Durchführung von Teamsitzungen und Fallkonferenzen
¿	Erstellung und Umsetzung von Hilfebedarfsplänen und Entwicklungsberichten 
¿	Förderung, Betreuung und Assistenz bei der Pflege der Heimbewohner/-innen
¿	Zusammenarbeit mit den Angehörigen, gesetzlichen Betreuern, Ärzten, Therapeuten und weiteren Dienstleistern

Wir erwarten:
¿	staatliche Anerkennung als Heilerziehungspfleger/-in oder Erzieher/-in, Krankenschwester/Krankenpfleger, Sozialarbeiter/-in, -Pädagoge/-in, Rehabilitationspädagoge/-in mit Leitungserfahrungen  
¿	Berufserfahrung mit schwer behinderten Menschen mit hohem Hilfebedarf und  Verhaltensauffälligkeiten sowie Erfahrung im Erstellen von Hilfebedarfsplänen und Entwicklungsberichten unter Anwendung des H.M.B.W.  
¿	Leitungserfahrung im Sozial- oder Pflegebereich 
¿	Bereitschaft zur interdisziplinären Zusammenarbeit und Gremienarbeit
¿	Bereitschaft zur Schichtarbeit (auch Nachtdienst)
¿	Organisationsgeschick, Durchsetzungsvermögen und Belastbarkeit 
¿	sichere Anwendung der MS-Office-Programme und Kenntnisse in computergestützter Dokumentation

Wir bieten:
- eine Vollzeitstelle mit 40 Wochenstunden (Schichtdienst)
- einen Arbeitsplatz mit großer Eigenverantwortung
- betriebliche Altersvorsorge und vermögenswirksame Leistungen
- eine leistungsgerechte Bezahlung gemäß Tarifvertrag
- ein angenehmes, freundliches Arbeitsumfeld
- Fort- und Weiterbildung, Supervision

Ihre aussagekräftige Bewerbung senden Sie bitte bis zum 02.11.2015 an:

Volkssolidarität Landesverband Berlin e.V.
-Personalabteilung-, z.Hd. Frau Marx, Alfred-Jung-Straße 17, 10367 Berlin 
oder per E-Mail an: bewerbung-berlin@volkssolidaritaet.de",2
6,0A037C7186519933920F47AD37DB645F,nur Führungskräfte,"The Max Planck Institute for Biology of Ageing was founded in 2008 for the purpose of understanding fundamental mechanisms of healthy ageing. It is part of a broad network of research institutions in the Cologne-Bonn area dedicated to research on ageing and age-related disease, constituting a vibrant and collaborative environment for research. Equipped with state-of-the-art technology and excellent core facilities, the institute provides outstanding research opportunities for its scientists. At the moment, we host employees from 28 different nations and we will grow to 350 employees. 

We seek talented, dynamic, independent and motivated scientists early in their career to establish a Max Planck Research Group at our Max Planck Institute in Cologne. Successful candidates will develop an independent research programme using their own budget, which will fund research positions, consumables, and equipment. The successful candidate should have an outstanding scientific track record with clear evidence of leadership, and a strong interest in one or more aspects of the biology of ageing.

The initial appointment of the group leader is for 5 years with the possibility of extension (2 x 2 years) after international review. For more general information please see also: http://www.mpg.de/918399/MPRGL. The start date is negotiable.

Applications should include
¿	a cover letter explaining why you would like to join our Institute
¿	your Curriculum Vitae including your publication list
¿	a statement of scientific achievements
¿	a two page summary of your future research plans
¿	up to three of your most important papers

And be uploaded as one single pdf-file using our application website http://www.age.mpg.de/career/open-positions/ (quoting job code 17-2015). Please also arrange for 3 academic references to be sent as pdf-files to references@age.mpg.de. Deadline for applications including references is October 15th 2015. Successful applicants should be prepared to join a selection symposium held on 16th -18th December 2015 in Cologne, Germany. The first day will be designed to meet members of the institute in a more informal setting; the second and third day will feature the selection symposium.
The Max Planck society seeks to employ more women in areas in which they are underrepresented. Hence we would particularly like to encourage qualified women to apply. Applications from disabled candidates or those with additional support are welcome. 
Inquiries can be sent to the above-mentioned e-mail address. For further information about the Institute see www.age.mpg.de.",2
7,0A10DF8FD903538A8D5EF28E6C2BBFE7,nur Führungskräfte,"¿ fachliche sowie disziplinarische Verantwortung für den Bereich Qualitätsplanung
¿ Pflege der produkt- und qualitätsrelevanten Dokumentation des prozessorientierten Managementsystems ISO 13485
¿ Mitwirken bei der Erstellung und Freigabe technischer Dokumentationen
¿ Koordinierung der Qualifizierungs- und Validierungsaktivitäten
¿ Operative Unterstützung der Leitung Qualitätssicherung
¿ Mitwirkung bei Korrektur- und kontinuierlichen Verbesserungsmaßnahmen
¿ Durchführen von Audits
¿ Planen und Überwachen der Qualitätsanforderungen an die Zulieferteile ",2
8,0020FEE71C7921DD64A5CBF33A04D4CE,- nur Führungskräfte,"Lass Dich vom Spirit eines Unternehmens begeistern, das visionär denkt und handelt: mit flachen Hierarchien und kurzen Entscheidungswegen, geprägt von einem modernen, dynamischen und facettenreichen Umfeld. Wir bieten Dir ein spannendes Arbeitsumfeld und tolle Projekte! Auf geht¿s: Werde auch Du Teil unserer Erfolgsgeschichte auf dem Weg zum Global Player! Wir suchen Dich ab sofort als Teamleiter (m/w) in Voll-/ Teilzeit für unseren BONITA men Store.


Deine Verantwortung:
 
- Du übernimmst eine Vorbildfunktion im Verkauf, führst Dein Team aktiv und kompetent und gewährleistest den Erfolg Deiner Filiale 
- Du erstellst die Personaleinsatzplanung und sorgst für eine reibungslose Abwicklung sämtlicher Abläufe in der Filiale 
- Du stellst die Umsetzung der Warenpräsentation sicher 


Unsere Anforderungen:

- Du verfügst über mehrjährige Berufserfahrung in ähnlicher Position im Einzelhandel 
- Du hast Spaß am beratenden Verkauf und an einer aktiven Kundenansprache 
- Du bist führungserfahren, kannst Deine Mitarbeiter motivieren und unsere Kunden begeistern 
- Du hast eine positive Ausstrahlung und arbeitest ziel- und teamorientiert


Link zur Bewerbung:
https://recruitingapp-2645.umantis.com/Vacancies/6115/Application/CheckLogin/1?lang=ger",2
9,00CC379B4342DA4F9D936EA889ED45D9,- nur Führungskräfte,"Aufgaben:
-Unternehmerisches und ergebnisverantwortliches Leiten der Filiale
-Führung und Motivation des Verkaufspersonals
-Zielgerichtete Personaleinsatzplanung
-Gestaltung eines ausgewogenen Sortimentes
-Organisation der Arbeit in der Filiale

Anforderungen:
-Qualifizierte kaufmännische Ausbildung
-Fähigkeit, Mitarbeiter zu motivieren und anzuleiten
-Erfahrungen im filialisierten Einzelhandel und Branchenkenntnisse im Pressehandel
-Hohes Maß an Kundenorientierung
-Selbstständiges und zielorientiertes Arbeiten
-Ehrlichkeit, Flexibilität und hohe Belastbarkeit (Arbeit im Mehr-Schicht-System entsprechend der Öffnungszeiten, auch an Wochenenden und Feiertagen)

Öffnungszeiten der Filiale:
Mo-Fr 5.15 Uhr bis 20.00 Uhr
Sa 6.15 Uhr bis 18.00 Uhr
So 9.00 Uhr bis 16.00 Uhr",2
