,id,label_class,text,label
0,,NoAz,"  18. Mai 2015

  Vollzeit Online Marketing Manager (m/w)

  nu3 GmbH - Berlin, Berlin, Deutschland

  Beachte: Diese Stellen-Anzeige ist abgelaufen und ist möglicherweise nicht mehr relevant!

  Stellenbeschreibung

  Start: Sofort | Ort: Berlin | Stelle: Vollzeit, unbefristet

  Zur Verstärkung unseres Teams suchen wir ab sofort eine/n:

  Online Marketing Manager (m/w)

  Hast Du LUST?

  ? auf spannende Themen rund um Ernährung und E-Commerce? Sind strategisches Denken und Kreativität kein Widerspruch für Dich? Dann komm zu uns!

  Wir sind Europas führender Anbieter für intelligente und gesunde Ernährung. Ganz gleich, ob Dein Ernährungsziel Abnehmen oder Gesundheit ist, ob Du Naturkost suchst oder Produkte für Schönheit oder Sport: Wir helfen Dir, Deine individuellen Ziele zu erreichen und nachhaltig gesünder zu leben.

  Deine Aufgaben
  * Operative Betreuung aller Performance Marketing-Kanäle in der Schweiz in Zusammenarbeit mit den globalen Kanalleitern, insbesondere:
  + Suchmaschinenmarketing/Google Adwords
  + Retargeting und Display Marketing
  + Affiliate und Partnermarketing
  + Kundenbindungsmanagement
  * Zusammenarbeit mit Bloggern und Medienpartnern
  * Entwicklung strategischer Partnerschaften in den Bereichen online und offline
  * Enge crossfunktionale Zusammenarbeit mit allen wichtigen Unternehmensbereichen

  Was Du mitbringen solltest
  * Wirtschaftswissenschaftliches Studium oder vergleichbare Ausbildung
  * Erste Berufserfahrung im Bereich Online Marketing (z.B. in den Bereichen SEM, SEO, Affiliate, etc.)
  * Kenntnisse der wichtigsten Tools und Techniken im Bereich Online Marketing (Z.B. Google Adwords und Google Analytics)
  * Gute analytische Fähigkeiten und hohe Affinität zu Zahlen
  * Sicherer Umgang mit MS Excel
  * Starkes Interesse an Ernährung und Nährstoffen
  * Sehr gute Deutsch- und Englischkenntnisse
  * Schweizerdeutsch- und Französisch-Kenntnisse sind von Vorteil

  Was wir Dir bieten
  * Einen einzigartigen Job in einem innovationsfreudigen Unternehmen
  * (Wirklich!) abwechslungsreiche und vielschichtige Aufgaben mit Verantwortung und Gestaltungsspielraum
  * Motivierendes Miteinander in einem engagierten Team mit kurzen Dienstwegen
  * Flexible Arbeitszeiten, tolle Team-Events und Kreativpausen, z.B. am Kicker
  * Ein Büro im Herzen Berlins, das Dir alles bietet, was Du brauchst

  Bewerbungsverfahren

  Hast Du Lust bekommen, unsere Zukunft mitzugestalten? Dann schicke und Deine vollständigen Bewerbungsunterlagen inklusive Gehaltsvorstellung und gewünschtem Eintrittstermin in einer PDF an: nu3 GmbH, Antje Wolff, Brückenstraße 5, 10179 Berlin, www.nu3.de/jobs, jobs [at] nu3.de Bitte teile uns kurz mit, wo Du auf die Stellenausschreibung aufmerksam geworden bist.",3
1,,Azubi,"  Ausbildungsplatz Kauffrau/mann für Büromanagement


  Kaufleute fu?r Bu?romanagement sind Fachleute fu?r Textgestaltung und Kommunikationsu?bermittlung. Am Rechner erledigen Sie den Schriftverkehr und erstellen Statistiken und Dateien. Weiterhin fu?hren sie Termin-kalender sowie Urlaubslisten und bereiten Reisen und Besprechungen vor. Auch die Bearbeitung des Postein- und ausgangs, die Kundenbetreuung und Bereiche der Personalverwaltung fallen in ihren Aufgabenbereich. Zudem sind sie mit Aufgaben des Rechnungswesens betraut, sie kontrollieren z. B. Rechnungen und begleichen diese.

  Berufstyp: Anerkannter Ausbildungsberuf
  Ausbildungsart: Duale Berufsausbildung, geregelt nach Berufsbildungsgesetz (BBiG)
  Ausbildungsdauer: 3 Jahre
  Lernorte: Betrieb und Berufsschule

  Ihre Qualifikation:

  * Abschluss: gute mittlere Reife oder Abitur
  * gute Noten in Deutsch, Englisch und Mathematik
  * gute Umgangsformen, Interesse an Technik
  * kommunikativ und teamfähig
  * erste Kenntnisse in PC (Word, Excel)
  * zuverlässig, sorgfältig, engagiert und flexibel

  Wir bieten Ihnen eine interessante, abwechslungsreiche und kreative Ausbildung mit hervorragenden Zukunftsperspektiven in einem innovativen internationalen Umfeld. Mit Interesse erwarten wir Ihre Bewerbung auch als E-Mail oder Ihren Anruf fu?r ein erstes Gespräch. Bitte senden Sie Ihre Bewerbungsunterlagen an:

  FRANK OPTIC PRODUCTS GmbH fiber optic and systems
  Geschäftsfu?hrung | Heidelberger Str. 63-64 | 12435 Berlin
  Tel. 030. 5302 49-0 | Fax 030. 5302 49-21
  E-Mail Adresse: info@fop-berlin.de",0
2,,NoAz,"  Mechatroniker (m/w) für Medizinprodukte

  Magnosco GmbH Berlin

  * Posted on 10 Oct 2018
  * Job type: Full time
  * Career level: Professional/Experienced
  * Industry: Industry and mechanical engineering

  * Sign up and apply
  * Create search alert

  Jobs to match your lifestyle:

  Enter a job title or keyword
  Location
  Radius
  For recruiters: Post a job",3
3,,NoAz,"  Dozent (m/w) - Öffentliches Baurecht

  * Freie Mitarbeit/Projektmitarbeit
  * Berlin, Deutschland
  * Mit Berufserfahrung
  * 31.07.17

  Die Internationale Hochschule Bad Honnef · Bonn (IUBH) mit ihren Bereichen IUBH School of Business and Management, IUBH Fernstudium und IUBH Duales Studium hat sich seit ihrer Gründung 1998 zu einer der erfolgreichsten privaten Hochschulen in Deutschland entwickelt. Das Studienangebot umfasst deutsch- und englischsprachige Bachelor-, Master- und MBA-Programme mit über 30 Spezialisierungen für verschiedenste Branchen und Aufgabenbereiche. Das Angebot erstreckt sich dabei von Studiengängen wie Marketing oder BWL, über Gesundheitsmanagement und Wirtschaftsinformatik bis hin zu Wirtschaftsrecht. Alle Studiengänge sind staatlich akkreditiert, zertifiziert und haben zahlreiche Auszeichnungen erhalten, z.B. durch das CHE Hochschulranking, fernstudiumcheck.de oder die Premiumsiegel der FIBAA.

  Unterstützen Sie unser Team ab 01.10.2016 für 50 Unterrichtseinheiten an unserem Standort in Berlin für das Wintersemester 2017/18 in folgendem Themengebiet:
  * Öffentliches Baurecht

  Ihr Profil:
  * Erfolgreicher Abschluss eines dem Themengebiet entsprechenden Studiums
  * Pädagogische Eignung, idealerweise nachgewiesen durch Erfahrungen in der akademischen Lehre
  * Umfangreiche Berufserfahrung, davon eine mindestens dreijährige einschlägige Praxiserfahrung außerhalb der Hochschule

  Neben Erfahrungen in der Lehre wird von dem/der Stelleninhaber/in die Bereitschaft zur Kooperation mit Unternehmen und individueller Betreuung von Studierenden erwartet.

  Das Vertragsverhältnis beruht auf Honorarbasis.

  Sie finden sich in diesem Profil wieder und suchen nach einer neuen Herausforderung? Dann bewerben Sie sich jetzt online über unser Karriereportal bis zum 04.09.2016.

  Weitere Informationen finden Sie unter: www.iubh.de",3
4,,NoAz,"  ++WIR suchen Unterstützung in der Küche+++ (Helfer/in - Küche)

  directhire

  Stellenangebotsbeschreibung: Stellenportal 24 gehört zu den führenden privaten Arbeitsvermittlungen in Deutschland und vermittelt Arbeitsplätze kleiner, mittelständischer und großer Unternehmen in ihrer Region. Wir suchen für verschiedene Kantinen in der Innenstadt einen fleißigen, unterstützenden Mitarbeiter (w/m) für die Küche. Ihre Aufgaben: -unterstützen der Fachkräfte bei der Herstellung von Speisen - schneiden und waschen von Gemüse, Obst und Salat - zubereiten von Saucen, Marinaden und Dressings - Lebensmittel aus dem Kühl- und Trockenlager bereitstellen - bedienen diverser Küchenmaschinen - Aufräum-, Spül- und Reinigungsarbeiten - leicht verderbliche Lebensmittel wie Obst und Fleisch fachgereicht einlagern Ihr Profil: -Erste Erfahrungen im Bereich Küche sind wünschenswert Wir bieten: - unbefristeten Arbeitsvertrag - ausführliche Anlernphase und Einarbeitungszeit - individuelle Dienstplangestaltung - Einstiegslohn je nach Qualifizierung - Stellung der Arbeitskleidung -
  positives Arbeitsklima und kollegiales Umfeld So bewerben Sie sich auf diese Stelle: - Nutzen Sie unser übersichtliches Bewerberportal unter: www.stellenportal24.de - Dadurch kann Ihre Bewerbung innerhalb weniger Minuten von uns bearbeitet werden Bitte entschuldigen Sie, dass wir aufgrund der hohen Anzahl an Bewerbungen leider nur Unterlagen mit frankiertem Rückumschlag zurücksenden können.

  fulltime

  Gewünschte Bewerbungsarten: über Internet Internetadresse: https://ssl.stellenportal24.de/bewerbung Geforderte Anlagen: http://www.stellenportal24.de Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1166192141-S

  10000-1166192141-S",3
5,,NoAz,"  Abgeschlossene Berufsausbildung zum/zur Bürokaufmann -/frau, Kaufmann-/frau für Bürokommunikati...

  4 Tagen - - Alle - anzeigen Workstation AG Berlin
  + Posted on 02 Mar 2018
  + Job type: Full time
  + Career level: Student/Intern
  + Industry: Other industries
  Dispo-Tf Education - Potsdam
  Abgeschlossene Ausbildung zum/r Kaufmann/-frau für Bürokommunikation oder gleichwertiger Abschluss. Die dispo-Tf Education GmbH ist eine bekannte Marke im...
  MSD Personal UG - Berlin
  > Erfolgreich abgeschlossene Ausbildung zum(r) Bürokaufmann /frau bzw. Die MSD Personal UG ist ein Unternehmen aus dem Bereich Arbeitsvermittlung....
  Abgeschlossene Ausbildung als Steuerfachangestellte(r) oder Bürokaufmann (-frau). Eine Persönlichkeit mit einer freundlichen und positiven Ausstrahlung....",3
6,,NoAz,"  Verkäufer / Helfer Verkauf in 16244 Schorfheide (Helfer/in - Verkauf)

  directhire

  Stellenangebotsbeschreibung: Wir suchen für eine Tankstelle mit angeschlossener Gastronomie: - Helfer Verkauf (m/w) zur sofortigen, unbefristeten Einstellung. Als Helfer im Bereich Verkauf arbeiten Sie der Tankstelle und beraten und kassieren freundlich unsere Kunden und Gäste. Sie sind freundlich gegenüber den Gästen und Kunden. Der Arbeitgeber bietet eine umfassende Einarbeitung / gern auch Quereinsteiger / sowie ansprechende Vergütung. Ein freundliches Team freut sich auf Ihre Verstärkung! ++WICHTIG: Um den Arbeitsort zu erreichen, benötigen Sie einen Führerschein und ein Fahrzeug.++ ***** Haben wir Ihr Interesse geweckt ? Unser freundliches Team steht Ihnen für Rückfragen unter: 03334 382804 oder 0173 8649218 zur Verfügung. Wir freuen uns auf Ihre Bewerbung, vorzugsweise per E-Mail an: bewerbung@luperamed.de oder postalisch an: Luperamed Arbeits- und Personalvermittlung Ulf Lubke Oderberger Straße 30 16244 Schorfheide OT Lichterfelde www.luperamed.de

  fulltime

  Gewünschte Bewerbungsarten: per E-Mail, persönlich, schriftlich, telefonisch, über die JOBBÖRSE, über Internet Internetadresse: http://www.luperamed.de Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1165896018-S

  10000-1165896018-S",3
7,,NoAz,"  13. Mai 2013

  Befristet JUNIOR AFFILIATE MARKETING MANAGER DACH (M/W)

  Zalando GmbH - Berlin, Berlin, Deutschland

  Beachte: Diese Stellen-Anzeige ist abgelaufen und ist möglicherweise nicht mehr relevant!

  Stellenbeschreibung

  * Planung und Pflege der existierenden Online Marketing Kampagnen und Kooperationen für die DACH Region
  * Management der Affiliate Programme und Optimierung der Kooperationen zur Steigerung des Umsatzes
  * Fortlaufende Überprüfung der Kampagnenresultate und regelmäßiges Reporting nach Vorgabe
  * Betreuung und Optimierung der nationalen Preisvergleicher
  * Konzeption, Planung und Durchführung von Marketing- und Vertriebsmaßnahmen, insbesondere Affiliate Marketing
  * Recherche, Akquisition und Betreuung von neuen Affiliate-Partnern und traffic-starken Partner-Webseiten
  * Beratung, Planung und Verhandlung von Online Auftritten

  DEIN PROFIL

  * Erfolgreicher Abschluss eines wirtschaftswissenschaftlichen Studiums
  * Erste Berufserfahrung im Bereich Affiliate / Online Marketing
  * Gute analytische Fähigkeiten und Interesse am Umgang mit Zahlen
  * Sehr gute Internet- und PC-Kenntnisse
  * Sehr gute Excel-Kenntnisse erforderlich
  * Ergebnisorientiertes und selbständiges Arbeiten in einem dynamischen Team sowie Verantwortungsbewusstsein
  * Sehr gute Englischkenntnisse in Wort und Schrift
  * Erste Führungserfahrungen von Vorteil

  UNSER ANGEBOT

  * Ein attraktiver Arbeitsplatz im Herzen von Berlin
  * Ein hochmotiviertes Team mit flachen Hierarchien
  * Anspruchsvolle Aufgaben und viel Gestaltungsspielraum
  * Festanstellung in Vollzeit, ab sofort

  Bewerbungsverfahren

  Wir freuen uns auf Deine aussagekräftige Bewerbung, inklusive Deines frühestmöglichen Eintrittstermins sowie Deiner Gehaltsvorstellung. Bitte bewirb Dich ausschließlich über unser Jobportal.

  www.zalando.de/career-apply",3
8,,NoAz,"  Berlin

  Wissenschaftliche/r Mitarbeiter/in (75%) Methoden und Evaluation (12-100/2017)

  Fachbereich Erziehungswissenschaft und Psychologie
  Wissenschaftsbereich Psychologie
  Methoden und Evaluation

  Wiss. Mitarbeiterin / Wiss. Mitarbeiter
  mit 3/4-Teilzeitbeschäftigung
  befristet auf 3 Jahre (Projektende)
  Entgeltgruppe 13 TV-L FU
  Kennung: 12-100/2017

  Aufgabengebiet:

  * Mitarbeit in dem durch die DFG-geförderten Forschungsprojekt /Die Auswirkungen der Arbeitslosigkeit auf verschiedene Indikatoren des Wohlbefindens«
  * im Rahmen des Forschungsprojekts wird Gelegenheit zur Promotion eingeräumt.
  * Eine interdisziplinäre Untersuchung von zeitvariierenden Effekten, Adaptionen und Bewältigungsstrategien auf Basis von Echtzeitdaten/.

  Einstellungsvoraussetzungen:

  Abgeschlossenes wiss. Hochschulstudium der Psychologie (Master oder Diplom)

  Erwünscht:

  * Hervorragende Kenntnisse in Methodenlehre, Statistik und Datenanalyse
  * Erfahrung in der Analyse von Planned-Missing-Designs sowie multimethodalen Daten
  * Erfahrung in der Anwendung von Statistikprogrammen für Modelle mit latenten Variablen wie z.B. Mplus und Lavaan sowie in der Durchführung von Monte-Carlo-Simulationsstudien
  * Erfahrung in der Depressionsforschung sowie im Bereich von M-Health
  * sehr gute Kenntnisse in Englisch
  * Vorerfahrungen in der Mitarbeit in psychologischen Forschungsprojekten
  * Erfahrungen in der Organisation und Durchführung von psychologischen Studien
  * Bereitschaft zur Promotion.

  Bewerbungen sind mit aussagekräftigen Unterlagen bis zum 21.08.2017 unter Angabe der Kennung im Format PDF elektronisch per E-Mail zu richten an

  Herrn Prof. Dr. Michael Eid: michael.eid@fu-berlin.de oder per Post an die


  Freie Universität Berlin
  Fachbereich Erziehungswissenschaft und Psychologie
  Wissenschaftsbereich Psychologie
  Herrn Prof. Dr. Michael Eid
  Habelschwerdter Allee 45
  14195 Berlin (Dahlem)

  Mit der Abgabe einer Onlinebewerbung geben Sie als Bewerber/in Ihr Einverständnis, dass Ihre Daten elektronisch verarbeitet und gespeichert werden. Wir weisen darauf hin, dass bei ungeschützter Übersendung Ihrer Bewerbung auf elektronischem Wege von Seiten der Freien Universität Berlin keine Gewähr für die Sicherheit übermittelter persönlicher Daten übernommen werden kann.

  Schwerbehinderte werden bei gleicher Qualifikation bevorzugt. Die Freie Universität fordert Frauen ausdrücklich zur Bewerbung auf. Bewerbungen von Menschen mit Migrationshintergrund, die die Einstellungsvoraussetzungen erfüllen, sind ausdrücklich erwünscht.

  Vorstellungskosten können von der Freien Universität Berlin leider nicht übernommen werden. Bewerbungsunterlagen werden nicht zurückgesandt. Bitte reichen Sie Ihre Unterlagen nur in Kopie ein.

  Die Ausschreibung ist auch im Internet unter http://www.fu-berlin.de/service/stellen/st-2017/st-20170731/index.html abrufbar.
  __________________________________________________

  PsychSpider Suche

  nur in zpid.de suchen
  __________________________________________________

  weiterführende Informationen

  Weitere Informationen

  Sie sehen ein Angebot der Freien Universität (FU) Berlin. Das ZPID ist nicht verantwortlich für Inhalt, Aktualität und Gültigkeit des Angebots.
  Weitere Informationen können Sie beim Stellenanbieter erfragen.

  ZPID auf Facebook

  ZPID bei Google+
  __________________________________________________

  Kontakt und Funktionen

  * E-Mail
  * Impressum
  * Datenschutz

  * Seite weiterempfehlen
  * Seite drucken

  nach oben

  URL der Seite: https://www.zpid.de/index.php?wahl=zpid&uwahl=stellenangebote&uuwahl=job291&RD=20170731",3
9,,NoAz,"  Seit seiner Gründung vor neun Jahren hat sich unser Unternehmen zu einem namhaften Personaldienstleister mit mehreren Standorten in Deutschland entwickelt. Unser Schwerpunkt liegt dabei in den Bereichen Gastronomie, Hotellerie und Veranstaltung.

  Für unsere Niederlassung in Berlin suchen wir zum sofortigen Zeitpunkt einen/e
  Projektleiter (m/w)
  in Vollzeit ab sofort gesucht!
  Ihr Aufgabengebiet umfasst sowohl Personalakquise und Kundenkontakt als auch die Planung des Veranstaltungspersonals.

  Für diese attraktive Aufgabe erwarten wir entweder eine kaufmännische Ausbildung und mehrjährige Gastronomieerfahrung (auch als Nebenjob) oder eine abgeschlossene gastronomische Ausbildung.

  Wir bieten Ihnen sehr gute Entwicklungsmöglichkeiten mit interessanten Perspektiven, in einem fachlich interessanten sowie dynamischen Umfeld. Es erwartet Sie die Möglichkeit mit Ihrer Zielstrebigkeit zum wachsenden Erfolg unseres Geschäftsfeldes maßgeblich beizutragen.

  Bitte senden Sie uns Ihre aussagekräftigen Bewerbungsunterlagen mit Angabe Ihrer Gehaltsvorstellung sowie des frühestmöglichen Eintrittstermins an bewerbung@baker-pommeroy.de.

  Baker & Pommeroy GmbH
  Elisabethkirchstraße 17
  10115 Berlin
  Deutschland

  Telefon: 030 400444 63
  Telefax: 030 400 444 61

  E-Mail: bewerbung.berlin@baker-pommeroy.de
  Internet: www.baker-pommeroy.de

  Ansprechpartner: Frau Luisa Kaletsch
  Position/Abteilung: Niederlassungsleitung",3
