,id,label_class,text,label
0,F9733ECE7532642332ED32013CA3FB53,Auszubildende,"WESO ist einer der führenden Hersteller von Teilen aus Gusseisen mit 
Lamellengrafit. 

Mehr als 400 Mitarbeiter fertigen Präzisionskomponenten für die Bereiche 
Heiztechnik, Maschinen- und Getriebebau, Pumpen und Armaturen, Kältemaschinen sowie Landtechnik und Traktorenbau.

Unsere Tradition als Gusshersteller reicht 120 Jahre zurück. 

Heute versteht sich Weso als Komplettdienstleister rund um den Guss. 
Von der Konstruktion bis zum Versand unterstützen wir unsere Kunden
auf jeder Stufe der Wertschöpfungskette.

Maschinen- und Anlagenführer/in

Die Tätigkeit im Überblick
Maschinen- und Anlagenführer/innen richten Fertigungsmaschinen und -anlagen ein, nehmen sie in Betrieb und bedienen sie. Sie rüsten die Maschinen auch um und halten sie instand.

Maschinen- und Anlagenführer/innen arbeiten in industriellen Produktionsbetrieben unterschiedlicher Branchen, vor allem in der Metall-, Kunststoff-, Pharma-, Nahrungsmittel-, Fahrzeugbau-, Druck- und Textilindustrie.",0
1,F972D813864FBBC54B6DE197640993BB,Auszubildende,"Das Bäder-Park-Hotel in Künzell verfügt über 119 Zimmer und 2 Restaurants mit insgesamt 150 Sitzplätzen.

Wir suchen zum 01.09.2017 mehrere Auszubildende zur/zum Hotelfachfrau/-mann.

Hotelfachleute können in allen Abteilungen eines Hotels mitarbeiten. Sie schenken Getränke aus, bedienen im Restaurant, richten Zimmer her oder bereiten Veranstaltungen vor. 

Der Abschluss der Mittleren Reife wird vorausgesetzt.

Freundlichkeit und Dienstleistungsbereitschaft runden das Profil ab.

Nutzen Sie die Möglichkeit auf einen Arbeitsplatz in einer von Deutschlands vielversprechendsten Regionen. Der Landkreis Fulda versteht sich als eigenständige Wirtschaftsregion in der Mitte der Wirtschaftsräume Rhein-Main, Kassel, Südthüringen und Würzburg und verfügt über eine hervorragende Anbindung an Straße und Schiene. Es besteht eine breite Auswahl an Bildungs- und Kulturangeboten. Für die Sicherheit der Arbeitsplätze spricht die seit Jahren niedrigste Arbeitslosenquote Hessens. Nutzen Sie die Informationen, die unter http://www.region-fulda.de für Sie bereit gestellt werden.",0
2,F973BFE70E03B4EFF8B3E5A5F8B23DA1,Auszubildende,"In unserem gepflegten Haus mit gehobenem Ambiente bieten wir ab 01.09.2018 eine Ausbildungsstelle zur/zum Koch/Köchin.
Köche und Köchinnen bereiten unterschiedliche Gerichte zu und richten sie an. Sie organisieren die Arbeitsabläufe in der Küche, stellen Speisepläne auf, kaufen Zutaten ein und lagern sie fachgerecht.

Geforderter Schulabschluss: mind. qualifizierter Hauptschulabschluss, bevorzugt mittlere Reife.
Sonstige Voraussetzungen sind ein gepflegtes Auftreten, gute Umgangsformen sowie sehr gute Deutschkenntnisse
Betriebspraktikum vor Einstellung ist erwünscht.
Wir freuen uns auf Ihre Bewerbung per Email und anschließend auf ein persönliches Vorstellungsgespräch.",0
3,,Azubi,"  Wuerth India Private Limited

  Ausbildung zum Elektroniker für Betriebstechnik (m/w/d) - Abteilung Betriebstechnik

  * Künzelsau
  * Duale Ausbildung
  * Alle Abschlüsse

  Zur Original-Stellenanzeige

  Auszug der Stellenbeschreibung

  Ausbildung zum Elektroniker für Betriebstechnik (m/w/d) - Abteilung Betriebstechnik Kunzelsau FULLTIME Wuerth India Private Limited 2018-10-28 Wir suchen Querdenker mit Herz und Verstand. Im Familienunternehmen Würth kannst du als Teamplayer etwas bewegen und dich nach deinen Vorstellungen weiterentwickeln. Ausbildung zum Elektroniker für Betriebstechnik (m/w/d) - Abteilung Betriebstechnik Das erwartet dich:
  Du bist ein Tüftler und löst gerne technische Probleme? Dann bist du bei uns genau richtig. Als Elektroniker für Betriebstechnik (m/w/d) bist du für einen reibungslosen Ablauf des betrieblichen Alltags verantwortlich. Zu deinen Aufgaben gehören unter anderem die Wartung und Instandhaltung elektronischer Anlagen. Du überwachst die Anlagen, installierst Leitungssysteme (Informations- und Energieleitungen) und führst Serviceleistungen aus. Ein weiteres wichtiges Aufgabenfeld ist die Reparatur und Wartung von Betriebsmitteln. In diesem Arbeitsumfeld kannst du dein technisches Interesse voll ausleben. Nach Abschluss der Ausbildung bist du im Team der Betriebs- und Haustechnik. Das erwarten wir:

  * Guter Hauptschulabschluss, mittlerer Bildungsabschluss
  * Verantwortungs- und Sicherheitsbewusstsein
  * Logisches und analytisches Denkvermögen
  * Gute mathematische Kenntnisse
  * Flexibilität
  * Selbstständige und sorgfältige Arbeitsweise Das bieten wir dir:
  Ausbildungszeit:
  3,5 Jahre. Standort:
  Künzelsau / Berufsschule:
  Gewerbliche Schule Öhringen (/) Überzeugt? Dann freuen wir uns auf deine Bewerbung über unser Online-Bewerbungsformular. Adolf Würth GmbH & Co. KG · 74650 Künzelsau T 49 7940 15-1680 · personal@wuerth.com · www.wuerth.de/karriere
  Zur Original-Stellenanzeige

  Standort

  Wuerth India Private Limited Künzelsau
  https://www.azubi.de/ausbildungsplatz/406647-b-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d-abteilung-betriebstechnik",0
4,F972CD3CD633F66D3ED30DB7A14D4B9B,Auszubildende,"Wir freuen uns auf Ihr Lächeln!

Für unser Pro Seniore Schloss Friedenweiler in Baden-Württemberg suchen wir zum Ausbildungsbeginn 01.04.2015 eine/n

>>> Altenpfleger/in <<<

Altenpfleger/innen betreuen und pflegen hilfsbedürftige ältere Menschen. Sie unterstützen diese bei der Alltagsbewältigung, beraten sie, motivieren sie zu sinnvoller Beschäftigung und Freizeitgestaltung und nehmen pflegerisch-medizinische Aufgaben wahr. 

Ihr Profil:
- Realschulabschluss",0
5,F972ACA07143247D1B47E4FA935C6755,Auszubildende,"Die ontec automation GmbH ist der Fachpartner für maßgeschneiderte Automatisierungssysteme und Sondermaschinen u. a. in den Bereichen Textil, Pharmazie, Nahrungsmittel, Luftfahrt, regenerative Energien oder Kunststoff. Individualität ist unsere Stärke.

Wir bieten interessierten Bewerberinnen und Bewerbern ab dem 01. September 2019 die Möglichkeit einer Ausbildung als Fachlagerist/in.

Du bringst gern Dinge auf den Weg? Und packst gern mit an? Prima!  

In dieser Ausbildung vermitteln wir Dir alle nötigen Kenntnisse für die professionelle Organisation und Betreuung einer wirtschaftlichen, vorausschauenden und warenbezogenen Lagerpolitik. Dazu gehören alle Stufen der Lagerung vom Wareneingang bis zum -ausgang.
 

Schulische Voraussetzungen: Hauptschulabschluss

Die Bewerber sollten möglichst aus der Region kommen
 
Weiterbildungsmöglichkeiten: Die Ausbildung zum Fachlagerist/zur Fachlageristin kann ggf. durch die darauf aufbauende Ausbildung Fachkraft für Lagerlogistik ergänzt werden. 

Es erwartet Dich eine abwechslungsreiche und praxisorientierte Ausbildung unter Anleitung unserer qualifizierten Ausbilder, die Dir einen umfassenden Einblick in unser Unternehmen und vielfältige Perspektiven nach der Ausbildung bietet.

Wir freuen uns auf Deine vollständige und aussagekräftige Bewerbung!",0
6,,Azubi,"  Ausbildungsstelle zum/zur Kaufmann/Kauffrau für Bürokommunikation


  Auszug der Stellenbeschreibung

  Jobs Die SCHAPFL OHG ist ein Familienunternehmen, das sich mit der Entwicklung und dem Vertrieb von Scannerkassen und Videoüberwachungssystemen befasst. Werden Sie ein Teil unseres Teams in einem innovativen Arbeitsumfeld mit angenehmem Arbeitsklima und herausfordernden Aufgaben. Hier werden ständig attraktive und interessante Stellengesuche veröffentlicht. Derzeit bieten wir folgende Arbeits- und Ausbildungsplätze zum nächstmöglichen Zeitpunkt an:
  Handelsvertreter oder Verkäufer (m/w) Ihr Aufgabengebiet Vertrieb von Scannerkassen/Touchkassen und Videoüberwachungssystemen in den Branchen Presse, Tabak, Schreibwaren und Lebensmitteleinzelhandel. Ihr Anforderungsprofil Als Vertriebsprofi sind Sie eine selbstständige und zielgerichtete Arbeitsweise gewöhnt. Sie vertreten die Schapfl OHG seriös und vertreiben unsere modernen Produkte erfolgreich. Sie haben mehrjährige Erfahrung im Vertrieb und sind den ständigen Umgang mit Kunden und Partnern gewöhnt. Wir erwarten von Ihnen eine hohe Präsentations- und Kommunikationsfähigkeit. Als Vertriebsprofi mit Biss wissen Sie, wie man Kunden gewinnt und profitable Abschlüsse tätigt. Gute Kenntnisse im Umgang mit PC und Microsoft Produkten ist von Vorteil. Es erwartet Sie eine leistungsgerechte Bezahlung mit guten Verdienstmöglichkeiten, sympathische Kollegen und ein abwechslungsreiches, spannendes Aufgabenfeld. Wenn Sie einen erfolgreichen Weg gemeinsam mit uns einschlagen wollen, möchten wir Sie
  gerne persönlich kennen lernen. Senden Sie einfach Ihre vollständige und aussagekräftige Bewerbung an:
  SCHAPFL OHG Scannerkassen & Videoüberwachung z.Hd. von Peter Schapfl Ittlinger Straße 86 94315 Straubing oder per E-Mail an peter.schapfl@schapfl.net Softwareentwickler/in Ihre Hauptaufgabe ist die Entwicklung der brandneuen Warenwirtschafts-Software. Sie verfügen über gute Kenntnisse als Softwareentwickler im .Net-Framework, bestenfalls mit C# unter Net 4.0. Der Umgang mit MS-SQL sollte Ihnen keine Probleme bereiten. Von Vorteil wären Kenntnisse in den Bereichen WCF und WPF. Servicetechniker/in für Scannerkassen Sie betreuen unsere Kunden sowohl im Innen- als auch im Außendienst. Sie nehmen IT-technische Installationen vor, befassen sich mit der Netzwerktechnik, arbeiten in der Hotline und sind mit dem Betriebssystem Windows gut vertraut. Führerschein Klasse B ist Voraussetzung. Ausbildungsstelle zum/zur IT System-Kaufmann/-frau IT-System-Kaufleute konzipieren und realisieren kundenspezifische Systemlösungen der IT-Technik. Sie beraten und schulen Kunden im Außendienst und helfen via
  Fernwartung und Hotline. Sie sollten mindestens über die Mittlere Reife, besser noch über das (Fach-)Abitur verfügen und bereits im Besitz eines Führerscheins Klasse B sein. Gerne nehmen wir auch Bewerbungen von Studienabbrechern oder Ausbildungsplatzwechslern m/w entgegen. Ausbildungsstelle zum/zur Kaufmann/Kauffrau für Bürokommunikation Sie lernen Arbeitsabläufe im Büro zu organisieren und mit moderner Bürotechnik, Scannerkassen und Videoüberwachungssystemen umzugehen. Sie schulen Kunden im Innen- und Außendienst und helfen via Fernwartung und Hotline. Sie sollten mindestens über die Mittlere Reife, besser noch über das (Fach-)Abitur verfügen und bereits im Besitz eines Führerscheins Klasse B sein. Gerne nehmen wir auch Bewerbungen von Studienabbrechern oder Ausbildungsplatzwechslern m/w entgegen. Praktikant/in Softwareentwicklung Ihre Hauptaufgabe ist die Unterstützung unserer Softwareentwicklungs-Abteilung und Umsetzung von speziellen Projekten. Sie verfügen über Kenntnisse im
  .Net-Framework, bestenfalls mit C# unter Net 4.0. Der Umgang mit MS-SQL sollte Ihnen keine Probleme bereiten. Von Vorteil wären Kenntnisse in den Bereichen WCF und WPF. Wenn Sie einen erfolgreichen Weg gemeinsam mit uns einschlagen wollen, möchten wir Sie gerne persönlich kennen lernen. Senden Sie einfach Ihre vollständige und aussagekräftige Bewerbung an:
  SCHAPFL OHG Scannerkassen & Videoüberwachung z.Hd. von Daniel Schapfl Ittlinger Straße 86 94315 Straubing oder per E-Mail an daniel.schapfl@schapfl.net Schapfl GmbH | Schapfl OHG Ittlinger Str. 86 94315 Straubing",0
7,F9734E799E663AF448ED8405D78202B7,Auszubildende,"Die clevere Alternative für Abiturienten

Die Abschlüsse: Nach 18 bzw. 24 Monaten* sind Sie Kaufmann (w/m) im Einzelhandel und nach weiteren 18 Monaten geprüfter Handelsfachwirt (w/m) IHK. Zusätzlich können Sie eine Fortbildung zum Ausbilder (w/m) absolvieren.

Das Besondere: Sie lernen von der Pike auf, wie eine Filiale erfolgreich geführt wird. Dabei vermitteln wir Ihnen nicht nur Fachwissen, sondern legen auch Wert auf Ihre persönliche Entwicklung. Denn als zukünftige Führungskraft bei Lidl sind Sie immer auch Vorbild für Ihre Mitarbeiter.

Warum Lidl? Mit diesem Programm starten Sie sofort durch und leiten schon bald eine Filiale mit rund 15 Mitarbeitern. Und Sie haben bei uns ausgezeichnete Entwicklungsmöglichkeiten, z. B. zum Verkaufsleiter (w/m). Kurzum: Das Abiturientenprogramm bietet erstklassige Berufsaussichten und einen sicheren Arbeitsplatz in einer spannenden Branche.

Voraussetzungen: Die Allgemeine Hochschulreife oder die Fachhochschulreife. Zudem: Interesse am Handel, Zielstrebigkeit, Leistungswillen, Lernbereitschaft und Freundlichkeit.

Die Vergütung: Vom 1. bis 6. Monat erhalten Sie 1.000 Euro und vom 7. bis 18. bzw. 24 Monat 1.200 Euro. Danach profitieren Sie von den übertariflichen Gehältern bei Lidl. Zusätzlich erhalten Sie die Sozialleistungen eines Großunternehmens. Selbstverständlich erstatten wir während der Theoriephasen alle Aus- und Weiterbildungskosten sowie Ihre Fahrt- und Übernachtungskosten.


* Unterschiedliche Regelungen, je nach Bildungsträger möglich.

Interesse geweckt?
Mit Lidl haben Sie einen verlässlichen Partner für eine Zukunft mit Perspektiven!
",0
8,F972ED2E9773DC781A5260011B117C43,Auszubildende,"Wir, die LSL Lohmöller Spedition & Logistik GmbH, mit Sitz in Rheine und unserer Niederlassung in Fürth, bieten professionellen Service in den Bereichen Spedition - Logistik - Transport;;Ein Partner, alle Leistungen aus einer Hand!;;Zur Verstärkung unseres Teams suchen wir eine;;Fachkraft für Lagerlogistik (m/w);;Voraussetzungen:;- Qualifizierender / erweiterter Haupt- oder Realschulabschluss;- Einsatzbereitschaft;- Zuverlässigkeit;;Wir haben Ihr Interesse geweckt? Dann zögern Sie nicht, sich bei uns zu bewerben. Am besten geben Sie Ihre Bewerbung direkt bei Herrn Philipp Lohmöller ab! ;;Wir freuen uns auf Sie!",0
9,,Azubi,"  Jobs per E-Mail

  Presented by HOTELCAREER

  Auszubildende Koch / Köchin

  * Rheinfelden (Baden)
  *

  Unser Ringhotel Schlosshotel Beuggen **/*** in Rheinfelden (ca. 30 Minuten von Basel/CH entfernt) verfügt über 55 Hotelzimmer, 11 Tagungsräume, das Restaurant /Beuggen 1/, eine Hotelbar und einen Veranstaltungsraum für ca. 250 Personen.

  Idyllisch -direkt am Rhein gelegen- nutzen vieler unserer Gäste das weitläufige Areal für Hochzeiten, Firmenevents, Großveranstaltungen, Tagungen etc.

  Ergänzen Sie unser Team und gestalten mit uns die Zukunft?.

  Sie suchen nicht irgendeine Ausbildungsstelle sondern möchten
  eine Kochausbildung in einem renommierten Hotel in Südbaden absolvieren?

  Sie sind ehrgeizig, innovativ und haben eine schnelle Auffassungsgabe?

  Sie haben die Bereitschaft zur Dienstleistung?

  Teamfähigkeit, Flexibilität und Kreativität runden ihr Profil ab.

  Sie haben die mittlere Reife oder einen sehr guten Hauptschulabschluss? Vielleicht schon ein Praktikum absolviert? Auszubildende Koch / Köchin Alle Fragen mit /JA/ beantwortet?

  Dann freuen wir uns auf Ihre Bewerbungsunterlagen, gerne auch per email an: https://www.hotelcareer.de/jobs/ringhotel-schlosshotel-beuggen-80115/auszubildende-koch-köchin-1595043?cid=partner_StepStone-H___All.

  Gerne sind wir bei der Wohnungssuche behilflich.

  Eintrittstermin: ab sofort

  Kontakt

  Ringhotel Schlosshotel Beuggen **/***
  Schlosshotel Beuggen GmbH
  Schloss Beuggen 1
  79618 Rheinfelden

  Telefon: 07623/7519-0
  E-Mail: c.herzog@schlosshotel-beuggen.de

  Standort


  Presented by HOTELCAREER

  Jetzt bewerben
  Merken
  Sie möchten sich dieses Stellenangebot per Email senden?",0
