,id,label_class,text,label
0,,Azubi,"  Ausbildung zur Fachkraft für Schutz und Sicherheit | 10117 Berlin, 07545 Gera, 60322 Frankfurt am Main


  Datum: sofort
  Arbeitsort: 10117 Berlin, 07545 Gera, 60322 Frankfurt am Main

  Beschreibung

  Wir sind ein Dienstleistungsunternehmen aus dem Bereich Sicherheit und Service mit Sitz in Berlin sowie zwei weiteren Standorten in Frankfurt am Main und Gera. Wir suchen Auszubildende für den Beruf Fachkraft für Schutz und Sicherheit. Die Fachkraft für Schutz und Sicherheit ist ein anerkannter Ausbildungsberuf und um einiges besser als ihr Ruf. Viele unterschiedliche Aufgabenbereiche lassen diesen verantwortungsvollen Beruf nicht langweilig werden. Wenn Sie an diesem verantwortungsvollen Berufsbild interessiert sind freuen wir uns über Ihre Bewerbung.

  Wir erwarten

  * Verantwortungsbewusstsein
  * Konfliktfähigkeit
  * Durchsetzungsvermögen
  * Interesse an Wirtschaft und Recht
  * Gute Kenntnisse der deutschen Sprache in Wort und Schrift
  * Teamfähigkeit & Serviceorientierung
  * Gute Umgangsformen
  * Einwandfreier Leumund
  * Gepflegtes Äußeres
  * Zuverlässigkeit
  * Wichtige Grundvoraussetzungen: Mindestalter 18 Jahre / ein polizeiliches Führungszeugnis ohne Eintrag

  Ausbildungsinhalte:

  * Analyse möglicher Gefährdungen
  * Richtige Einschätzung von Situationen und Gefährdungspotenzialen
  * Beratung von Kunden in den Bereichen Personen-, Veranstaltungs-, Objekt- und Werttransportschutz
  * Installation und Inbetriebnahme sicherheitstechnischer Einrichtungen
  * Kontrollgänge in Gebäuden und Geländen
  * Überprüfung betrieblicher und gesetzlicher Vorschriften (z.B. Brand- und Umweltschutz)
  * Erforderliche Maßnahmen bei Notfällen
  * Dokumentation von Routinekontrollen, Einsätzen und sicherheitsrelevanten Ereignissen am PC

  Kondition des Stellenangebots

  * Arbeitszeit: Mo. - So. flexibel
  * Ausbildungstarifvertrag
  * Vergütung / Zusatzleistungen: nach Ausbildungstarifvertrag zzgl. Fahrkosten und weitere Schulungen
  * Arbeitsverhältnis: nach Ausbildungstarifvertrag

  Für telefonische Informationen stehen wir Ihnen selbstverständlich gerne zur Verfügung.

  Bewerbung

  Ihre Bewerbung richten Sie bitte schriftlich an:

  CIBORIUS Sicherheits- und Servicedienstleistungen GmbH

  Friedrichstr. 95, 10117 Berlin, Tel.: 030 / 22 00 20 72

  Laasenerstr. 26, 07545 Gera, Tel.: 0365 / 20 55 871

  Eschersheimer Landstraße 23, 60322 Frankfurt am Main, Tel.: 069 / 95 41 25 00

  Oder bewerben Sie sich bequem online.",0
1,,Azubi,"  Kaufleute für Audiovisuelle Medien (m/w)

  Arbeitsort: D-10589 Berlin · Berlin
  Ortsteil: Charlottenburg

  Anbieter:
  MAGIX GmbH & Co. KGaA

  Arbeitsverhältnis:
  Lehrstelle

  Arbeitszeit:
  Vollzeit

  Vergütung:
  monatliches Festgehalt

  Anzeige vom:
  09.02.2016 (3 Stunden alt)

  Anbieter-Info:
  ungeprüftes Gigajob-Mitglied
  Arbeitgeber
  11 Stellenangebote
  *
  * Auf Merkliste
  * Drucken
  * Weiterempfehlen

  Anbieter
  Arbeitgeber:
  MAGIX GmbH & Co. KGaA
  Unternehmensbeschreibung
  Die MAGIX Software GmbH ist ein international tätiger Anbieter von Software, Online-Diensten und digitalen Inhalten. Diese werden in multimedialen Produkten und Anwendungen der persönlichen Kommunikation aufbereitet. So bietet die Gesellschaft privaten wie auch professionellen Anwendern technologisch anspruchsvolle Pakete mit Software, Online-Diensten und digitalen Inhalten für die Gestaltung, Bearbeitung, Präsentation und Archivierung von digitalen Videos und Musik. Das Angebot richtet sich hauptsächlich an private Nutzer, doch lizenziert MAGIX auch professionelle Software an gewerbliche Anwender, so z.B. Musikproduzenten wie auch Rundfunk- und Fernsehsender. In Deutschland und Europa hat MAGIX bei der Video- und Musiksoftware eine führende Stellung und gehört in den USA zu den drei Großen der Branche. Am Hauptsitz in Berlin sind ca. 130 Mitarbeiter beschäftigt.
  Anzahl der Mitarbeiter
  101 - 1.000 Vollzeit-Mitarbeiter sind im Unternehmen beschäftigt
  Stellenbeschreibung
  Stellenbezeichnung
  Kaufleute für Audiovisuelle Medien (m/w)
  Jobbeschreibung
  Zur Verstärkung unseres Teams suchen wir zum nächsten Ausbildungszyklus an unserem Standort Berlin

  Kaufleute für Audiovisuelle Medien (m/w)

  Ihre Aufgaben:

  Die Berufsausbildung dauert drei Jahre und findet teils in der Berufsschule und teils im Betrieb statt. Sie werden vorwiegend in der Abteilung Produktmanagement eingesetzt und lernen dort unterschiedliche Aufgabengebiete von Grund auf kennen. Dies umfasst beispielsweise die Produktplanung, -gestaltung, -lokalisierung, Online-Recherche, Projekt- und Mediaplanung, Erstellung von Werbemitteln und Infotexten, Erfolgskontrolle und Produktweiterentwicklung.

  Ihr Profil:

  - Sie haben die Schule mit der allgemeinen Hochschulreife abgeschlossen.
  - Sie begeistern sich für neue technische Trends im Bereich Audio-Software.
  - Sie haben Interesse an organisatorischen und kaufmännischen Aufgaben.
  - Sie haben Spaß an Teamarbeit und die Bereitschaft, Herausforderungen anzunehmen.
  - Ihre MS Office-Kenntnisse und Englischkenntnisse in Wort und Schrift sind gut.

  Wir bieten Ihnen einen praxisnahen und fundierten Einstieg in die Berufswelt sowie die Chance, sich in einem erfolgreichen, internationalen Unternehmen im Herzen Berlins zu beweisen. Dazu kommt die theoretische Ausbildung in der Berufsschule. Bei uns erwarten Sie flache Hierarchien mit kurzen Entscheidungswegen und ein aufgeschlossenes Team, das sich gegenseitig unterstützt.

  Um Ihnen die Möglichkeit zu geben, Ihre Arbeitsfelder, das Team und das Unternehmen kennen zu lernen, bieten wir vor der Ausbildung ein Praktikum an.

  Haben wir Ihr Interesse geweckt?

  Dann senden Sie uns bitte Ihre kompletten Bewerbungsunterlagen (Lebenslauf, Zeugnisse), möglichst in einer PDF-Datei.
  Arbeitsverhältnis
  Lehrstelle
  Befristung
  Das Beschäftigungsverhältnis endet nach 3 Jahren
  Arbeitszeit
  Vollzeit
  Vergütungsart
  monatliches Festgehalt
  Voraussetzungen für Bewerber
  Erforderlicher Bildungsabschluss
  mindestens Abitur
  Erwartete Berufserfahrung
  Keine Erfahrung erforderlich
  Erforderliche Sprachkenntnisse
  Deutsch (fließend/verhandlungssicher)
  Arbeitsort
  Ort
  Berlin
  Ortsteil
  Charlottenburg
  PLZ
  D-10589
  Bundesland
  Berlin
  Land
  Deutschland
  [INS: :INS]
  Statistik für diese Gigajob-Anzeige (154.530.157)
  Kurz-Link: http://de.gigajob.com/154530157.html
  782 Mal gefunden · 109 Mal angesehen · 0 Mal gemerkt » mehr",0
2,00003363659C3D1EC86A4D5788957FCA,Auszubildende,"Wir, die Firma Elektro Königs GmbH in 47495 Rheinberg,

sind aktiv in den Bereichen

- Hausinstallationen
- Computernetzwerke
- Beleuchtungstechnik
- Antennen- & Satellitenanlagen
- Elektroplanung
- Fotovoltaikanlagen
- Europäische Instabus (Bustechnik)
- Nachtspeicher
- Elektro-Fußbodenheizungen
- Installation von Regen- & Abwassertechnik

und bieten für das Ausbildungsjahr 2019 eine Ausbildungsstelle an zum/zur:


*** Elektroniker/in - Energie- und Gebäudetechnik ***


Ausbildungsbeginn ist der 01.08.2019


Die Tätigkeit im Überblick:
====================
Elektroniker/innen der Fachrichtung Energie- und Gebäudetechnik planen elektrotechnische Anlagen von Gebäuden sowie deren Energieversorgung und Infrastruktur. Sie installieren die Anlagen, nehmen sie in Betrieb und warten oder reparieren sie bei Bedarf.


Die Ausbildung im Überblick:
======================
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik ist ein 3,5-jähriger anerkannter Ausbildungsberuf im Handwerk.


Typische Branchen:
===============
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik finden Beschäftigung
 in Betrieben des Elektrotechnikerhandwerks 
 bei Firmen der Immobilienwirtschaft (z.B. im Facility-Management oder bei Hausmeisterdiensten) 


Ihr Profil:
=======
- Sie besitzen mindestens einen mittleren Bildungsabschluss (Mittlere Reife)
- Sie haben großes Interesse den handwerklichen Beruf ""Elektroniker/in - Energie- und Gebäudetechnik"" zu erlernen
- Sie haben in Ihrem Schulabschlusszeugnis im Fach Mathematik mindestens die Note ""gut"" (2) erreicht


Sollten wir Ihr Interesse geweckt haben, dann bewerben Sie sich bitte unter den angegebenen Kontaktdaten.

Ihr Ansprechpartner ist: Herr Königs.

Sie interessieren sich für eine Ausbildungsstelle und sind noch nicht in der Berufsberatung gemeldet? 
Ihr/e Berufsberater/in bietet Ihnen u. a. weitere Ausbildungsstellen und einen Bewerbungscheck für einen erfolgreichen Berufseinstieg an. Wenden Sie sich an Ihren Berufsberater/in in der Schulsprechstunde oder rufen Sie unter der kostenlosen Telefonnummer an und vereinbaren Sie einen Beratungstermin unter:0800- 4 5555 00.",0
3,,Azubi,"  Standort
  52.519171 13.4060912 Berlin
  Anstellungsart
  http://www.stepstone.de/stellenangebote--Auszubildenden-zum-Steuerfachangestellten-m-w-Berlin-Bernert-Partner-GmbH-Steuerberatungsgesellschaft--3614759-inline.html Ausbildung, Studium
  Arbeitszeit
  Vollzeit
  Online seit
  15.01.16
  15-01-16
  Website
  Klicken Sie hier

  Auszubildenden zum Steuerfachangestellten (m/w)

  Die ETL-Gruppe ist in Deutschland mit über 740 Kanzleien und weltweit in über 44 Ländern vertreten. Bundesweit ist ETL Marktführer im Bereich Steuerberatung und gehört mit einem Umsatz von über 600 Mio. Euro zu den Top 5 der Wirtschaftsprüfungs- und Steuer­beratungsgesellschaften. Insgesamt betreuen bundesweit über 7.000 Mitarbeiter - darunter mehr als 1.400 Steuerberater, Rechts­anwälte, Wirtschaftsprüfer und Unternehmensberater - über 148.000 Mandanten. Ein fachübergreifender Beratungsansatz und viel­fältige Branchenspezialisierungen machen ETL zu einem idealen Partner für Unternehmen, Freiberufler und Selbständige aller Branchen.

  Unsere Steuerberatungskanzlei in Berlin-Mitte heißt Sie zum 01.08.2016 herzlich willkommen als

  Auszubildenden zum Steuerfachangestellten (m/w)

  Im Rahmen Ihrer Ausbildung unterstützen Sie unser Team aus Steuerberatern bei der steuerlichen und betriebswirtschaftlichen Beratung unserer Mandanten. Dabei wirken Sie bei der Erstellung von Jahresabschlüssen, betriebswirtschaftlichen Analysen und Steuererklärungen unserer Mandanten mit.
  Das theoretische Wissen, das Ihnen in der Berufsschule vermittelt wird, können Sie in unseren Teams in die Praxis umsetzen. Sie beginnen Ihre Ausbildung ab 01. August 2016 und absolvieren diese in zweieinhalb bis drei Jahren.

  Ihr Profil
  * Spaß im Umgang mit Zahlen und Interesse an steuerlichen und rechtlichen Fragen
  * Abitur, Fachhochschulreife oder Abschluss der Höheren Handelsschule
  * Gute Noten in den Hauptfächern Mathematik und Deutsch
  * Gute Kenntnisse in den MS Office-Programmen und modernen Kommunikationsmedien
  * Serviceorientiert und teamfähig, analytische Fähigkeiten, bereit zur ständigen Weiterbildung

  Unser Angebot
  * Spannende und abwechslungsreiche Tätigkeiten
  * Umfassende Betreuung und regelmäßige Feedbackgespräche durch einen Ausbilder vor Ort
  * Gute Chancen bei der Übernahme nach der Ausbildung in ein festes Anstellungsverhältnis
  * Warm-up-Seminar in der ETL Akademie
  * Zeugnisprämien für gute Noten

  Haben wir Ihr Interesse geweckt? Dann bewerben Sie sich bei uns für eine Ausbildung zum Steuerfachangestellten (m/w). Es erwartet Sie eine interessante Ausbildung und eine spannende Berufstätigkeit mit glänzenden Zukunftsperspektiven.

  Bitte senden Sie Ihre ausführlichen Bewerbungsunterlagen vorzugsweise per E-Mail.
  Wir freuen uns auf Sie!
  Bernert & Partner GmbH Steuerberatungsgesellschaft
  Niederlassung Berlin-Mitte
  Ansprechpartnerin: Frau Grasse
  Spittelmarkt 12
  10117 Berlin
  Tel.: (030) 20 22 97-0
  Fax: (030) 20 22 97-97
  bp-berlin@etl.de
  http://www.etl.de/bp-berlin
  Jobs per E-Mail
  Schließen

  Kostenlos passende Jobs per E-Mail Starten Sie Ihren Job Agenten

  Ihre Suchkriterien:

  Region/Land: D-PLZ 1
  Berufsfeld: Anlagenbuchhaltung, Debitorenbuchhaltung, Kreditorenbuchhaltung, Finanzbuchhaltung, Bilanzbuchhaltung, Steuern Berufsfeld: Anlagenbuchhaltung, Debitorenbuchhaltung, Kreditorenbuchhaltung, Finanzbuchhaltung, ...
  Sie möchten passende Jobs per E-Mail erhalten? Führen Sie eine Jobsuche aus und wählen Sie Ihre gewünschten Kriterien wie Berufsfeld oder Arbeitsort.
  Geben Sie Ihre E-Mail-Adresse ein* Bitte geben Sie eine gültige E-Mail-Adresse ein
  * Sollten Sie noch nicht im Besitz eines StepStone Accounts sein, so wird dieser automatisch erstellt. Es gelten unsere Datenschutzerklärung und Nutzungsbedingungen. Sie können jederzeit der Zusendung von E-Mails zu ähnlichen StepStone Leistungen widersprechen und diese unter /Nutzerdaten/ in Ihrem Account deaktivieren, ohne dass Stepstone dafür Kosten geltend macht. \r\n

  Vielen Dank für Ihre Registrierung für den kostenlosen Job Agent.

  Ihre Suche wurde gespeichert und ein Job Agent erfolgreich erstellt.
  Sie erhalten nun eine Bestätigungsmail an diese E-Mail Adresse:
  Ihr Job Agent wird erst nach erfolgter Bestätigung aktiviert.
  Sie können Ihren Job Agenten ganz einfach in unserem Kandidatenbereich bearbeiten. Die Login Daten werden Ihnen per E-Mail zugeschickt.",0
4,,Azubi,"  artlogic Staffpool GmbH
  präsentiert von

  Ausbildung Veranstaltungskaufmann/-Frau Berlin

  artlogic bildet seit 2004 Veranstaltungskaufmänner und -frauen aus.

  Ihr durchlauft in Eurer Ausbildung verschiedene Bereiche im Unternehmen. Zum einen natürlich unseren Hauptgeschäftsbereich - der Disposition und Auftragsabwicklung im Personalbereich, zum anderen werdet Ihr in der Buchhaltung mitarbeiten. Außerdem werden wir Euch auf Produktionen schicken, damit Ihr wisst, was für Jobs Ihr vermittelt und wie Veranstaltungen, der technische Aufwand und das dazu gehörige Projektmanagement aussehen. Ihr werdet auch die praktische Seite der Theorie kennenlernen.

  Wer hier die Traumvorstellung des /Event Managers/ im schicken Dress neben Robbie Williams in der Künstlergarderobe vor Augen hat, ist fernab der Realität. Klein anfangen ist die Devise.

  Die Ausbildung basiert auf den auf crewpool.com/jobs.aspx beschriebenen Prinzipien, d.h. wir liefern die Plattform und was Ihr daraus macht, liegt in Eurer Hand. Frontalunterricht oder Kopieraufgaben sind also nicht zu erwarten.

  Bisher hat jeder unserer Azubis ein eigenes Projekt z.B. die Betreuung unseres Webshops oder auch die Verwaltung und der Verleih unseres Equipments - in diesen Projekten findest du Abwechslung vom Tagesgeschäft und kannst herausfinden, welcher Bereich Dir am besten liegt und wo Du noch etwas dazulernen könntest. Sei also mutig, engagiert und offen für Neues.

  In unserer Branche brauchen wir Menschen mit Biss und Ehrgeiz, die bereit sind dazuzulernen und sich weiterzuentwickeln. Du solltest einen guten Schulabschluss haben und mindestens 21 Jahre alt sein, außerdem ist es wichtig, dass du einen Führerschein besitzt.

  Fremdsprachen sind ebenfalls sehr wichtig für die Ausübung des Berufes, besinne Dich also auf mindestens eine, die Du richtig gut kannst.

  Erfahrungen sind besser?

  Du hast schon Erfahrungen in der Veranstaltungsbranche gesammelt oder auch schon selbst welche organisiert. Außerdem solltest Du Dir genau überlegen, warum Du diesen Beruf erlernen möchtest und was Du dir darunter vorstellst.

  Solltest Du diese Erwartungen nicht alle erfüllen, nicht gleich aufgeben.

  Schreib uns, warum wir uns dennoch für Dich entscheiden sollten.

  Bewerbungen ausschließlich über unser Online Portal unter www.crewpool.com/jobs/AusbildungVeranstaltungskauffrauMannBerlin.html
  Jetzt bewerben Zur Jobsuche
  artlogic Staffpool GmbH
  10245 Berlin
  //www.jobcluster.de/
  Ähnliche Jobs per
  E-Mail erhalten
  __________________________________________________

  Einsatzort:
  Berlin

  Position:
  Ausbildung

  Bildungsgrad Mindestvoraussetzung:
  Mittlere Reife

  Ähnliche Jobs
  __________________________________________________

  Veranstaltungskaufmann (m/w)
  Mundipharma GmbH

  Ausbildung zum/r Industriekaufmann/frau
  Berlin-Chemie AG

  Ausbildung zum/r Informatikkaufmann/frau
  Berlin-Chemie AG

  Ausbildung zum Kaufmann für Büromanagement(m/w)
  BASF Services Europe GmbH

  Ausbildungsplatz zur/zum Industriekauffrau/mann
  ALMO-Erzeugnisse Erwin Busch GmbH",0
5,000040A32158707B2C3601A488161839,Auszubildende,"Sie mögen Autos? Sie interessieren sich für Fahrzeugtechnik? Dann ist eine Ausbildung zum/zur Kfz-Mechatroniker/in PKW genau das Richtige für Sie. Bewerben Sie sich für einen Ausbildungsplatz in Senftenberg.

Die Ausbildung startet am 01.08.2019.

Ausbildung Kfz-Mechatroniker/in Pkw 

¿Sie lernen mechanische, elektrische und elektronische fahrzeugtechnische Systeme bzw. Anlagen zu analysieren, zu warten und zu reparieren.
¿Sie führen Fehlerdiagnosen durch und wenden Fehlersuchstrategien an.
¿Sie rüsten auf Kundenwunsch Zubehör und Sonderausstattungen nach und führen optisches und technisches Fahrzeugtuning durch.
¿Sie besitzen mindestens einen guten qualifizierten Hauptschulabschluss.
¿Sie sind gut in den Fächern Mathematik sowie Physik, verfügen über technisches Verständnis und mögen die Arbeit mit IT-Technik.
¿Sie beschreiben sich als teamorientiert, sorgfältig und verantwortungsbewusst.

Sie erwartet eine interessante und spannende Ausbildung mit Zukunftsperspektive. Sie lernen und arbeiten in einem kompetenten und hilfsbereiten Team und legen damit den Grundstein für ein erfolgreiches Berufsleben in der Automobilbranche.",0
6,0000186EA7EE028085640F2FFD7EAE02,Auszubildende,"Wir sind ein mittelständiges renommiertes Dienstleistungsunternehmen, spezialisiert auf die Installation, Instandsetzung und Wartung von Einbruchmelde, Brandmelde-/ und Rauchwärmeabzugsanlagen. Zu den weiteren Bereichen gehören Zutrittskontrollsysteme, EDV-Netzwerktechnik, IT, Telekommunikation und Hausnotrufsysteme. Das Herzstück bildet die eigene Notruf- u. Service- Leitstelle, über die sämtliche Systeme fernüberwacht werden. 
Durch die beiden Tochterunternehmen, die sich mit Spezialvideosystemen und personeller Sicherheit beschäftigen, schließt sich der Sicherheitsdienstleistungskreis. 

Zur Verstärkung unseres Teams suchen wir zum August 2021 eine/n Auszubildende/n zur/zum

Elektroniker/in - Informations- u. Telekommunikationstechnik

Wir erwarten:
Teamfähigkeit
Motivation
Eigeninitiative und Leistungsbereitschaft
Einen überdurchschnittlichen Realschulabschluss

Wir bieten:
Ein interessantes Aufgabenfeld
Ein tolles Arbeitsklima
Ein junges & dynamisches Team
Entwicklungsmöglichkeiten

Bei Interesse bewerben Sie sich bitte umgehend - bevorzugt per E-Mail!",0
7,,Praktikum,"  Jobs per E-Mail

  Daimler AG

  Praktikum ab Februar 2019 im Produktmanagement Mercedes me connect im Bereich Marketing PKW

  * Stuttgart
  * Praktikum
  * Vollzeit
  *

  Einleitung

  Die Daimler AG ist eines der erfolgreichsten Automobilunternehmen der Welt. Mit den Geschäftsfeldern Mercedes-Benz Cars, Daimler Trucks, Mercedes-Benz Vans, Daimler Buses und Daimler Financial Services gehört der Fahrzeughersteller zu den größten Anbietern von Premium-Pkw und ist der größte weltweit aufgestellte Nutzfahrzeug-Hersteller.

  Job-ID: 209617

  Aufgaben

  Das Produktmanagement Mercedes me connect gestaltet gemeinsam mit Vertrieb, Entwicklung und Marketing das zukünftige Produktportfolio rund um das vernetzte Fahrzeug und die zukünftige Kundenbeziehung zu Mercedes-Benz. Wir arbeiten daran, dass unsere Kunden die besten vernetzten Produkte erhalten, diese weltweit in zahlreichen neuen Märkten verfügbar sind und wir als Unternehmen dabei profitabel bleiben. Intern sind wir Ansprechpartner rund um unser aktuelles und zukünftiges Konnektivitäts- und Telematikdiensteportfolio und haben daher ein vielfältiges und interessantes Aufgabenspektrum.
  Wir freuen uns darauf mit Ihren Ideen und Ihrem Engagement gemeinsam das Beste in einem neuen Geschäftsfeld, das Automobil und IT vereint, zu gestalten.

  Ihre Aufgaben umfassen:
  * Erstellung von Wettbewerbsanalysen im Automobilbereich und der Konsumelektronikindustrie
  * Ausarbeitung von Präsentationen zu neuen Geschäftsmodellen und Berechnungen zu Monetarisierungspotenzialen, die neben dem vernetzten Fahrzeug auch den aktuellen Entwicklungen rund um das autonome Fahren, Elektromobilität und shared mobility gerecht werden
  * Mitarbeit bei der Erarbeitung des Produktportfolios, des Angebotskonzeptes und der Preisgestaltung für die Einführung von vernetzten Diensten in Nordamerika
  * Gestaltung von Konzepten für neue Vertriebskanäle und Vergütungsmodelle unabhängig vom Fahrzeugverkauf, z.B. die Einführung eines In-Car-Shops
  * Sammlung, Bewertung und Ausgestaltung von Ideen für neue Konnektivitätsdienste zur Einführung in 2019 bis 2022

  Qualifikationen

  * Studiengang: Betriebswirtschaftslehre, Wirtschaftsingenieurwesen, technische Betriebswirtschaftslehre, Automobilwirtschaft oder ein vergleichbarer Studiengang mit Schwerpunkt Marketing
  * Sprachkenntnisse: Sichere Deutsch- und Englischkenntnisse in Wort und Schrift
  * IT-Kenntnisse: Sicherer Umgang mit MS-Office
  * Persönliche Kompetenzen: Sicheres Auftreten, strukturierte Arbeitsweise, analytischem Denken, teamfähig, engagiert, Affinität zu Automobil- und Smartphone-Welt
  * Sonstiges: Führerscheinklasse B zwingend erforderlich

  Zusätzliche Informationen

  Die Tätigkeit ist in Vollzeit
  Ganz ohne Formalitäten geht es natürlich auch bei uns nicht. Daher bitten wir Sie sich ausschließlich online zu bewerben und Ihrer Bewerbung einen Lebenslauf, aktuelle Immatrikulationsbescheinigung mit Angabe des Fachsemesters, aktueller Notenspiegel, relevante Zeugnisse, ggf. Pflichtpraktikumsnachweis und Nachweis über die Regelstudienzeit (max. Gesamtgröße der Anhänge 6 MB) beizufügen. Weiterführende Informationen zu den Einstellkriterien finden Sie hier. Angehörige von Staaten außerhalb des europäischen Wirtschaftsraums schicken ggf. bitte Ihre Aufenthalts-/Arbeitsgenehmigung mit. Wir freuen uns insbesondere über Onlinebewerbungen schwerbehinderter und ihnen gleichgestellter behinderter Menschen. Bei Fragen können Sie sich unter sbv-zentrale@daimler.com zudem an die Schwerbehindertenvertretung des Standorts wenden, die Sie gerne nach Ihrer Bewerbung im weiteren Bewerbungsprozess unterstützt. Fragen zur Stelle beantwortet Ihnen gerne Herr Christian Gugel aus dem Fachbereich, unter der
  Telefonnummer +49 711/17-63189. Fragen zum Bewerbungsprozess beantwortet Ihnen gerne HR Services unter der Telefonnummer +49 711/17-99544.
  Karte anzeigen

  Standort


  Daimler AG
  Stuttgart, Deutschland

  Jetzt bewerben
  Merken
  Sie möchten sich dieses Stellenangebot per Email senden?",1
8,,Praktikum,"  23. Feb 2016

  Praktikum Praktikum Plattform Manager (m/w)

  Nero Commerce UG - Überall

  Beachte: Diese Stellen-Anzeige ist abgelaufen und ist möglicherweise nicht mehr relevant!

  Stellenbeschreibung

  Über Uns
  Gourmesso ist die führende Online Brand für Nespresso®-kompatible Kaffeekapseln. Unsere Qualitätsmarke ist bereits in über 20 Ländern weltweit erhältlich und wird in wenigen Jahren aufgrund unserer qualitativ hochwertigen Sorten- und Produktvielfalt global an die Spitze vorrücken. Daran arbeiten unsere Teams aus Spezialisten für Online-, Brand und Social Media Marketing sowie aus PR und Sales täglich mit viel Know-How, Kreativität und Leidenschaft. Um unsere Marktposition weiter zu auszubauen,suchen wir hoch motivierte und exzellent ausgebildete Spitzenkräfte. Wenn Du zu den Besten Deines Feldes gehörst, ein begeisterter Teamplayer bist und eigenverantwortliches Arbeiten zu Deinen Stärken zählst, bewirb dich noch heute!

  Deine Aufgaben

  Unterstützung bei allen Aufgaben rund um das Plattform Management. Dazu zählen:
  * Optimierung der Außendarstellung unserer Marke auf allen relevanten Portalen und Vergleichsseiten, mit dem Ziel, die Abverkäufe zu steigern
  * Eigenständige Planung, Durchführung, Analyse und Optimierung der Marketing Kampagnen auf diesen Plattformen
  * Ausbau der Markenreichweite auf diesen Portalen durch geeignete Maßnahmen
  * Aktive Zusammenarbeit mit unseren anderen Marketing Abteilungen mit dem Ziel größtmöglicher Synergien

  Wir wünschen uns von dir
  * Abgeschlossenes Studium oder Ausbildung (vorzugsweise Marketing oder Witschaftswissenschaften) mit überdurchschnittlichem Abschluss
  * Mindestens 2 Jahre Berufserfahrung im eCommerce idealerweise mit Erfahrung im Marktplatzmanagement oder SEA / SEO
  * Sehr gute analytische Fähigkeiten und eine ausgeprägte Begeisterung für den Umgang mit Zahlen
  * Strukturiertes, zielorientiertes und eigenverantwortliches Arbeiten mit einem Höchstmaß an Engagement, Selbstständigkeit und Liebe zum Detail
  * Sehr hohe Eigenmotivation und teamorientierte Leistungsbereitschaft
  * Sehr gute Englisch & Deutsch Kenntnisse in Wort und Schrift

  Wir bieten
  * Eine sehr abwechslungsreiche Tätigkeit und viel Raum für Kreativität
  * Ein erfahrenes Team, von dem du viel lernen kannst
  * Lifestyle Eigenmarken mit hochwertigen Produkten
  * Ein hervorragendes Arbeitsklima, flache Hierarchien, kurze Entscheidungswege und damit echten Impact auf die Wahrnehmung von Gourmesso
  * Eine marktübliche und deinen Fähigkeiten angemessene Vergütung

  Bewerbungsverfahren

  Wenn du Interesse an einer neuen Herausforderung in einem dynamischen und spannenden Arbeitsumfeld in Berlin-Mitte (Rosenthaler Platz) hast, freuen wir uns auf deine Bewerbung! Bitte sende diese vollständig (Anschreiben, Lebenslauf, Arbeitsproben) in einer PDF-Datei mit dem Stichwort /Plattform Manager (m/w)/ an jobs@gourmesso.de .",1
9,0008472D40F040F88BA9DC9C8E260951,nur Helfer,"Randstad Referenznummer: R_6480
 
Für ein namhaftes Unternehmen der IG Metall Branche in Velbert aus der Schloss- und Schlüsselindustrie suchen wir ab sofort  

Montierer (m/w) für die Zylinderschlossmontage
 
Aufgaben:
 
- Montage von Zylinderschlössern
- Montage von Kleinstteilen zum Teil mit Pinzette
- Verpacken und Etikettieren
 
Anforderungen:
 
- 3-Schichtbereitschaft
- Erfahrung in der Zylinderschlossmontage oder ähnlicher Kleinsteilmontage von Vorteil
- Fingerspitzengefühl, handwerkliches Geschick
 

Haben wir Ihr Interesse geweckt? Dann kommen Sie zu Randstad!
Randstad ist mit durchschnittlich rund 68.000 Mitarbeitern und 500 Niederlassungen in 300 Städten führender Personaldienstleister in Deutschland.
 
Bewerben Sie sich jetzt direkt hier online oder über NL-102@randstad.de.",1
