,id,label_class,text,label
0,,Azubi,"  Ausbildung zum Kaufmann (m/w) für Groß- und Außenhandel-Berlin


  Auszug der Stellenbeschreibung

  Sollten Sie ein passendes Stellenangebot gefunden haben, freuen wir uns auf Ihre vollständigen Bewerbungsunterlagen mit einem Anschreiben, Lebenslauf und relevanten Zeugnissen sowie Ihrem möglichen Eintrittsdatum. Ihre Bewerbung können Sie uns über das Formular unter /Jetzt bewerben/ zukommen lassen. Ausbildung zum Kaufmann (m/w) für Groß- und Außenhandel-Berlin Ort:
  Berlin-Siemensstadt Start Datum:
  01.08.2017 Tätigkeitsfelder:
  Baustellen- / Verkehrssicherung Abteilung:
  Baustellen- und Verkehrssicherung Gesellschaft:
  Zeppelin Rental GmbH & Co. KG Mit Zeppelin wachsen Der Zeppelin Konzern erwirtschaftet an weltweit 190 Standorten einen Umsatz von über 2,3 Mrd. Euro. Mit der Leidenschaft von 7.800 Mitarbeitern schaffen wir maßgeschneiderte Lösungen in den Bereichen Baumaschinen, Vermietung, Baulogistik, Antrieb und Energie sowie Anlagenbau. Zeppelin Rental ist Deutschlands führender Vermietdienstleister für Bau, Industrie, Handwerk und Event. Zu unserem Leistungsportfolio gehören die Maschinen- und Gerätevermietung, temporäre Raum- und Infrastrukturlösungen, Verkehrsleitführung sowie Lösungen im Bereich Flotten- und Projektmanagement. Zum 01. August bzw. 01. September 2017 suchen wir für unseren Produktbereich Baustellen- und Verkehrssicherung in Berlin eine/n Auszubildende/n für den Beruf Kaufmann (m/w) im Groß- und Außenhandel (Fachrichtung Großhandel). Ihre Aufgaben
  * Sie erfahren eine qualifizierte kaufmännische Berufsausbildung in einem modernen, zukunftsorientierten Unternehmen.
  * Sie erlernen sämtliche kaufmännische Abläufe, wie z.B. die komplette Auftragsabwicklung, Erstellung von Aufträgen, Angebotserstellung, Kundenbetreuung (telefonisch und persönlich) und Rechnungsstellung.
  * Sie unterstützen die kaufmännischen Mitarbeiter im Tagesgeschäft. Ihre Qualifikation
  * Sie haben mindestens einen Abschluss der Mittleren Reife.
  * Sie überzeugen durch Kontaktfreudigkeit, Teamfähigkeit und Kundenorientierung.
  * Sie zeigen Interesse an kaufmännischen und wirtschaftlichen Zusammenhängen
  * Sie sind zuverlässig, kommunikationsfähig und engagiert.
  * Führerschein der Klasse B ist wünschenswert.",0
1,,Azubi,"  Ausbildung zum Kaufmann (m/w) für Groß- und Außenhandel-Berlin


  Auszug der Stellenbeschreibung

  Sollten Sie ein passendes Stellenangebot gefunden haben, freuen wir uns auf Ihre vollständigen Bewerbungsunterlagen mit einem Anschreiben, Lebenslauf und relevanten Zeugnissen sowie Ihrem möglichen Eintrittsdatum. Ihre Bewerbung können Sie uns über das Formular unter /Jetzt bewerben/ zukommen lassen. Ausbildung zum Kaufmann (m/w) für Groß- und Außenhandel-Berlin Ort:
  Berlin-Siemensstadt Start Datum:
  01.08.2017 Tätigkeitsfelder:
  Baustellen- / Verkehrssicherung Abteilung:
  Baustellen- und Verkehrssicherung Gesellschaft:
  Zeppelin Rental GmbH & Co. KG Mit Zeppelin wachsen Der Zeppelin Konzern erwirtschaftet an weltweit 190 Standorten einen Umsatz von über 2,3 Mrd. Euro. Mit der Leidenschaft von 7.800 Mitarbeitern schaffen wir maßgeschneiderte Lösungen in den Bereichen Baumaschinen, Vermietung, Baulogistik, Antrieb und Energie sowie Anlagenbau. Zeppelin Rental ist Deutschlands führender Vermietdienstleister für Bau, Industrie, Handwerk und Event. Zu unserem Leistungsportfolio gehören die Maschinen- und Gerätevermietung, temporäre Raum- und Infrastrukturlösungen, Verkehrsleitführung sowie Lösungen im Bereich Flotten- und Projektmanagement. Zum 01. August bzw. 01. September 2017 suchen wir für unseren Produktbereich Baustellen- und Verkehrssicherung in Berlin eine/n Auszubildende/n für den Beruf Kaufmann (m/w) im Groß- und Außenhandel (Fachrichtung Großhandel). Ihre Aufgaben
  * Sie erfahren eine qualifizierte kaufmännische Berufsausbildung in einem modernen, zukunftsorientierten Unternehmen.
  * Sie erlernen sämtliche kaufmännische Abläufe, wie z.B. die komplette Auftragsabwicklung, Erstellung von Aufträgen, Angebotserstellung, Kundenbetreuung (telefonisch und persönlich) und Rechnungsstellung.
  * Sie unterstützen die kaufmännischen Mitarbeiter im Tagesgeschäft. Ihre Qualifikation
  * Sie haben mindestens einen Abschluss der Mittleren Reife.
  * Sie überzeugen durch Kontaktfreudigkeit, Teamfähigkeit und Kundenorientierung.
  * Sie zeigen Interesse an kaufmännischen und wirtschaftlichen Zusammenhängen
  * Sie sind zuverlässig, kommunikationsfähig und engagiert.
  * Führerschein der Klasse B ist wünschenswert.",0
2,41744205C5488228A513009E65F2E3F0,Auszubildende,"Jedes Jahr bilden wir junge Leute in verschiedenen Berufen aus. Wir sind stolz auf die erreichten Leistungen rund um das Thema Ausbildung. Erst kürzlich wurde ein ehemaliger Auszubildender im Beruf Medientechnologe Druck mit dem Ausbildungspreis 2020 der Kreishandwerkerschaft Region Meißen ausgezeichnet. 2017 wurden wir bei der Verleihung der 13. Druck & Medien Awards in Berlin mit Platz 3 in der Kategorie ¿Ausbildungsbetrieb des Jahres¿ ausgezeichnet. Bereits im Jahr 2008 erhielten wir von der Handwerkskammer Dresden die Auszeichnung ¿Vorbildlicher Ausbildungsbetrieb im Handwerk¿ mit der Medaille ¿Für besondere Verdienste um das Handwerk¿.
 
Für das im Sommer 2021 beginnende Ausbildungsjahr suchen wir Interessenten (m/w/d) für die Ausbildung zum 

Medientechnologe Druck (m/w/d).

Kurzbeschreibung:
In Theorie und Praxis lernst Du den vielfältigen Beruf des Medientechnologen Druck (m/w/d) umfassend kennen. Wir führen Dich in die Welt des Rollen- und Bogenoffsetdrucks ein. Während Deiner dreijährigen Ausbildung wirst Du mit der Bedienung und Funktionsweise der Maschinen vertraut gemacht, an die verantwortungsvolle Aufgabe des Druckens herangeführt und stellst z.B. Umschläge, Magazine & Mailings her.
Du planst Abläufe von Druckaufträgen und lernst, wie Du Druckmaschinen auftragsbezogen einrichtest und justierst, um anschließend unter Einhaltung der Qualitätsstandards den Druckprozess zu steuern, zu überwachen und zu korrigieren. Du arbeitest im Team, denkst kundenorientiert und berücksichtigst den Verwendungszweck des Druckproduktes und die technischen Bedingungen des Produktionsprozesses.

Voraussetzungen:
Du hast einen guten Realschulabschluss und willst in die Praxis, um selbstständig zu arbeiten und Verantwortung zu übernehmen. Du hast Spaß am Umgang mit Technik und verfügst über ein gutes Farbempfinden. Du arbeitest gern im Team und kannst Dir Deine berufliche Zukunft im Umfeld einer industriellen Produktion gut vorstellen. Internet und PC sind für Dich vertraute Kommunikationsmittel. Du hast Interesse an Mechanik, Elektrotechnik, Physik und Chemie.

Ausbildungsdauer:
Über eine Dauer von drei Jahren erlernst Du den Beruf des Medientechnologen Druck (m/w/d) und wechselst dabei zwischen Theorie an der Berufsschule in Dresden (Blockunterricht) und Praxis in unserer Druckerei in Radeburg.",0
3,,Azubi,"  Ausbildungsplatzangebot

  Angebots-Nr. 107-129039-592980

  Label Content
  Ausbildungsberuf Restaurantfachmann/-frau
  (zum Berufe-Steckbrief )
  Schulabschluss mindestens Keine Angabe
  Beginn 01. September 2016
  Angebotene Plätze 1
  Stellenbeschreibung

  Die heutige bcc Berlin Congress Center GmbH wurde 1996 gegründet und ist ein inhabergeführtes mittelständisches Unternehmen. Seit 2003 betreibt die bcc GmbH erfolgreich das heutige bcc und wurde ein stabiler Faktor auf dem Berliner Veranstaltungsmarkt. Insourcing aller Services ist ein wichtiger Teil der Unternehmensphilosophie, dies macht die bcc GmbH zu einem komplexen Dienstleister rund um die Veranstaltung. Ein dynamisches Team aus mehr als 60 festangestellten Mitarbeitern sichert die professionelle Organisation und den fließenden Ablauf von mehr als 100 Veranstaltungen im Jahr.

  Aufgaben
  * Unterstützung der Abteilung Catering Services bei der Betreuung der Gäste und Kunden
  * Servieren von Speisen und Getränken
  * Organisation von Serviceabläufen

  Profil
  * Ein guter Schulabschluss
  * Sehr gute sprachliche Ausdrucksweise und Englischkenntnisse
  * Eine offene und freundliche und serviceorientierte Art sowie Spaß am Umgang mit Gästen
  * Interesse an der Veranstaltungsgastronomie
  * Bereitschaft zu flexiblen Einsatzzeiten, bedingt durch den Veranstaltungsbetrieb

  www.ihk-lehrstellenboerse.de

  Unternehmen

  BCC Berlin Congress Center GmbH

  Alexanderstr. 11
  10178 Berlin

  Auf Deine Bewerbung freut sich:

  Ayline Wolf

  Tel. +49 30 23806559

  Weitere Ausbildungsplatzangebote des Unternehmens (2)

  * Kaufmann/-frau für Büromanagement (1)
  * Koch/Köchin (1)",0
4,,Azubi,"  Ausbildungsplatzangebot

  Angebots-Nr. 107-129039-592980

  Label Content
  Ausbildungsberuf Restaurantfachmann/-frau
  (zum Berufe-Steckbrief )
  Schulabschluss mindestens Keine Angabe
  Beginn 01. September 2016
  Angebotene Plätze 1
  Stellenbeschreibung

  Die heutige bcc Berlin Congress Center GmbH wurde 1996 gegründet und ist ein inhabergeführtes mittelständisches Unternehmen. Seit 2003 betreibt die bcc GmbH erfolgreich das heutige bcc und wurde ein stabiler Faktor auf dem Berliner Veranstaltungsmarkt. Insourcing aller Services ist ein wichtiger Teil der Unternehmensphilosophie, dies macht die bcc GmbH zu einem komplexen Dienstleister rund um die Veranstaltung. Ein dynamisches Team aus mehr als 60 festangestellten Mitarbeitern sichert die professionelle Organisation und den fließenden Ablauf von mehr als 100 Veranstaltungen im Jahr.

  Aufgaben
  * Unterstützung der Abteilung Catering Services bei der Betreuung der Gäste und Kunden
  * Servieren von Speisen und Getränken
  * Organisation von Serviceabläufen

  Profil
  * Ein guter Schulabschluss
  * Sehr gute sprachliche Ausdrucksweise und Englischkenntnisse
  * Eine offene und freundliche und serviceorientierte Art sowie Spaß am Umgang mit Gästen
  * Interesse an der Veranstaltungsgastronomie
  * Bereitschaft zu flexiblen Einsatzzeiten, bedingt durch den Veranstaltungsbetrieb

  www.ihk-lehrstellenboerse.de

  Unternehmen

  BCC Berlin Congress Center GmbH

  Alexanderstr. 11
  10178 Berlin

  Auf Deine Bewerbung freut sich:

  Ayline Wolf

  Tel. +49 30 23806559

  Weitere Ausbildungsplatzangebote des Unternehmens (2)

  * Kaufmann/-frau für Büromanagement (1)
  * Koch/Köchin (1)",0
5,41743363E9D1D67F2D38AA973136EAFD,Auszubildende,"Ausbildung z. Fachverkäufer im Lebensmittelhandwerk, Fleischerei (m/w/d)


Ort:  50674 Köln | Vertragsart: Vollzeit, befristet | Job-ID:  135339

Ausbildungsbeginn:  01.08.2021 | geplantes Ausbildungsende:  31.07.2024


Deine Aufgaben:

In deiner Ausbildung zum Fachverkäufer im Lebensmittelhandwerk (m/w/d), Fleischerei befasst du dich mit Expertenwissen rund um die Themen Fleisch, Wurst, Käse und Feinkost. Du bestellst die Waren und präsentierst sie ansprechend in unseren Verkaufstheken. Du führst Verkaufsgespräche mit Kunden und berätst sie mit deinem Fachwissen. Du lernst auch:

- die Verkaufstheken zu bestücken und attraktiv zu gestalten
- Ware zu bestellen und zu disponieren
- die Qualität der Ware zu kontrollieren und zu sichern


Wir bieten dir:

Deine Ausbildung bei REWE ist geprägt von einer persönlichen Betreuung. Zusätzlich zur klassischen dualen Berufsausbildung erhältst du betriebsinterne Seminare und hast somit viel Kontakt mit anderen Auszubildenden. Des Weiteren bieten wir dir:

- Azubiprojekte (z.B. Azubis führen einen Markt)
- eine Übernahmegarantie bei guten Leistungen
- eine Auftakt- und Abschlussveranstaltung
- Mitarbeiterrabatte und eine eigene Kantine am Standort
- sehr gute und vielfältige Weiterbildungsmöglichkeiten speziell für den Bereich Frische-Theke (Service Berufe)
- ein abwechslungsreiches und interessantes Arbeitsumfeld mit hohem Kundenkontakt


Dein Profil:

- Guter Hauptschulabschluss oder mittlere Reife
- Du hast Freude am Umgang mit Menschen und Lebensmitteln
- Du hast Interesse am Handel und seinen Kunden
- Du hast Teamgeist und bist kundenorientiert
- Du bist kreativ, belastbar und zuverlässig und zeigst gerne Einsatz- und Verantwortungsbereitschaft


Weitere Informationen erhälst Du auf unserer Website unterwww.rewe.de/karriere  .


Wir freuen uns auf Deine Bewerbung. Bitte nutze unser Onlineformular, so erreicht Deine Bewerbung direkt den richtigen Ansprechpartner. Bewerbungsunterlagen in Papierform können wir leider nicht zurücksenden.


Für Rückfragen zu dieser Stelle (Job-ID: 135339) steht Dir gerne Amelie Stuchtey unter der Telefonnummer +49 22339673759 zur Verfügung.


Um Dir den Lesefluss zu erleichtern, beschränken wir uns im Textverlauf auf männliche Bezeichnungen. Wir betonen ausdrücklich, dass bei uns alle Menschen - unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Religion/Weltanschauung, Behinderung, Alter sowie sexueller Orientierung - gleichermaßen willkommen sind.",0
6,,Azubi,"  Ausbildung zur Fachkraft für Lagerlogistik


  Auszug der Stellenbeschreibung

  Ausbildung zur Fachkraft für Lagerlogistik Fachkraft für Lagerlogistik Heiligengrabe SWISS KRONO GmbH Heiligengrabe
  * Gepubliceerd op 05-03-2017
  * Type baan Full-time
  * Carrière-niveau:
  Professional (junior)
  * Branche:
  Andere branches Das bieten wir Ihnen bei SWISS KRONO Auf ein Wort mit... de en Stellenangebote / Heiligengrabe / Arbeiten / Ausbildung zur Fachkraft für Lagerlogistik ID:
  99943 Ausbildung zur Fachkraft für Lagerlogistik (m/w) Wie wäre es mit einer Runde Tetris für Erwachsene? Genau die richtige Aufgabe für die Fachkraft für Lagerlogistik (m/w). Die Fachkraft für Lagerlogistik (m/w) beschäftigt sich mit der Lagerung und dem Versand von Waren sowie der Optimierung der Lagersysteme und logistischen Abläufe. Ihr liebstes Arbeitsgerät ist der Gabelstapler, mit dem sie zielstrebig die Waren platzsparend in Containern und Zügen verstaut. Die Fachkraft für Lagerlogistik fährt so sicher und kontrolliert durch die Hallen, wie Sebastian Vettel über die Rennstrecke. Ihr Ziel besteht darin, die Fracht in enger Zusammenarbeit mit den Frachtführern so schnell wie möglich zu verstauen. So vielfältig, wie die Aufgabenbereiche sind, so umfangreich und interessant gestaltet sich auch die Ausbildung. Ausbildungsdauer:
  3 Jahre Ausbildungsbeginn:
  01.09.2017 Schulabschluss:
  guter Abschluss der 10. Klasse Anforderungen:
  Interesse an Planung und Organisation Teamfähigkeit und räumliches Denken Sorgfalt und Umsicht Haben wir Dein Interesse geweckt? Dann sende uns bitte Deine vollständigen Bewerbungsunterlagen mit Lebenslauf und mindestens zwei Zeugnissen (Bewerber unter 18 Jahren legen bitte eine arztliche Bescheinigung bei) bis spätestens 31.März 2017 an die nachfolgende Adresse. Bewerbungen können sowohl online als auch per Post durchgeführt werden. SWISS KRONO GmbH Oder per E-Mail an:
  ausbildung@swisskrono.de place Heiligengrabe, Deutschland accesstime Vollzeit alarmon Beginn:
  01.09.2017 assignmentind Logistik & Supply Chain Management businesscenter Schüler Florian Voelz Auszubildender zum Elektroniker für Betriebstechnik Ich will nach meiner Ausbildung vom Unternehmen übernommen werden. Wenn ich gut bin, stehen mir hier alle Türen offen. Ich kann mir auch gut vorstellen, mich anschließend weiter zu qualifizieren. Das ermöglicht mir mein Ausbildungsbetrieb. ... weiterlesen Heiligengrabe Mit unseren Unternehmen SWISS KRONO GmbH und SWISS KRONOTEX GmbH & Co. KG in Heiligengrabe gehören wir zu der internationalen Firmengruppe SWISS KRONO GROUP. Mit der Produktion von hochwertigen Laminatböden, multifunktionalen Holzwerkstoffplatten und modernen sowie ökologisch einwandfreien Holzfaserdämmstoffen setzen wir Maßstäbe. Mehr Informationen Ihre Bewerbung als Ausbildung zur Fachkraft für Lagerlogistik",0
7,,Azubi,"  Kaufmann/-frau Groß- und Außenhandel

  * Position: Ausbildung
  * Beruf: Kaufmann/-frau - Groß- und Außenhandel
  * Ort: Marl
  * Beginn: 01.08.2016
  * Anzahl Plätze: 1
  * Referenz-Nr: AZY-48328B22
  * (in der Bewerbung bitte angeben)

  * Merken
  * Mail

  Um alle Funktionen nutzen zu können, musst du dich einloggen.

  Noch nicht angemeldet? Hier Profil anlegen!
  STELLENANZEIGE EIGNUNGS-CHECK JETZT BEWERBEN!
  * Drucken
  * Merken
  Um alle Funktionen nutzen zu können, musst du dich einloggen.
  Noch nicht angemeldet? Hier Profil anlegen!
  * Mail

  Diese Seite empfehlen:
  * Teilen
  * Twittern

  Ausbildung Kaufmann/-frau - Groß- und Außenhandel Marl 2016

  ?% Eignung für diese Ausbildung Eignungs-Check
  __________________________________________________

  Im Groß- und Außenhandel dreht sich alles um die Ware. So geht es um die Organisation, die Lagerung und die Verteilung der Ware an die Kunden. Darüber hinaus sorgt die Kauffrau oder der Kaufmann für eine kostengünstige Lagerhaltung und den reibungslosen Warenfluss.

  Das Unternehmen:

  Elbfrost ist ein Lebensmittelgroßhändler, der sich auf Tiefkühlprodukte spezialisiert hat. Die Firma ist, bis zum heutigen Tag, inhabergeführt. An drei Standorten in Deutschland, mit mehr als 130 Mitarbeitern, sorgen wir - als TK-Spezialist - für die deutschlandweite Auslieferung. Mit unserer nun mehr als 25-jährigen Erfahrung können wir fast jede Kundenanforderung erfüllen.

  Wir suchen DICH:
  Für unseren neuen Standort in Marl, benötigt unser Team noch einen zuverlässigen, höflichen, teamfähigen, motivierten und kommunikationsstarken Azubi für die Ausbildung zum Groß-und Außenhandelskaufmann/frau, beginnend am 01.08.2016.
  Welche Verantwortlichkeiten erwarten dich?
  * Du genießt eine dreijährige sehr abwechslungsreiche Ausbildung
  * Persönliche und telefonische Beratung und Betreuung der Kunden
  * Führen von Verkaufsgesprächen
  * Erstellen von Lieferscheinen und Kundenrechnungen
  * Abwicklung des Bestellwesens
  * Globale Warenbeschaffung
  * Du hast die Möglichkeit, bereits ab dem ersten Tag, Verantwortung zu übernehmen.
  * Du weißt immer wo du stehst, durch regelmäßige Feedback-Gespräche.
  * Du bekommst die Chance, deine Ausbildung bei uns selber mit zu gestalten.

  Anforderungen:
  * Guter Realschulabschluss oder Abitur
  * Zuverlässigkeit, Selbstständigkeit sowie Kontaktfreudigkeit
  * Leistungsbereitschaft, Motivation und Begeisterungsfähigkeit
  * Spaß am Verkauf

  JETZT BEWERBEN! Referenz-Nr: AZY-48328B22 (in der Bewerbung bitte angeben)
  Stelle zuschicken und später gleich bewerben!",0
8,417438FCA7794F7E8F64B58AD3CBC666,Auszubildende,"Mit acht Kliniken und zwei Heimen, rund 1700 Betten und circa 3000 Beschäftigten sind wir eines der größten Klinikunternehmen in der Region. Wir stehen für ein qualitativ hochwertiges Versorgungsspektrum in den Bereichen Psychiatrie, Neurologie und Geriatrische Rehabilitation.

Wir suchen für unsere Berufsfachschule für Krankenpflege am Klinikum am Europakanal Erlangen zum 1. September 2020 Sie als
Auszubildender zum Pflegefachmann (m/w/d). 

Wir bilden in unseren Berufsfachschulen für Krankenpflege am Bezirksklinikum Ansbach und am Klinikum am Europakanal Erlangen gezielt unseren eigenen qualifizierten Nachwuchs aus. Während der Ausbildung begleiten wir unsere Schülerinnen und Schüler individuell bei der Entdeckung und Entwicklung ihrer Fähigkeiten. Es handelt sich hierbei um dreijährige, generalistische Ausbildung.

Ihre Aufgaben
¿ Sie lernen eigenverantwortlich Patienten der verschiedenen Fachbereiche zu betreuen und zu pflegen.
¿ Sie leisten individuelle psychosoziale Hilfestellung und beraten sowohl Patienten in ihren persönlichen und sozialen Angelegenheiten, als auch deren Angehörige.
¿ Sie werden dazu angeleitet Pflegemaßnahmen zu planen, koordinieren und dokumentieren.

Ihr Profil
¿ Sie haben einen mittleren Bildungsabschluss oder eine andere gleichwertige Schulbildung abgeschlossen.
¿ Sie zeichnen sich durch Ihre sozialen Kompetenzen aus und haben Freude am Kontakt mit Menschen.
¿ Sie verfügen über Zuverlässigkeit und Eigenverantwortung.
¿ Sie haben Verständnis für Menschen mit gesundheitlichen Störungen.
¿ Sie bringen ein hohes Maß an Einfühlungsvermögen mit.

Unser Angebot
¿ Es erwarten Sie interessante Aufgabengebiete und ein angenehmes Betriebsklima im multiprofessionellen Team.
¿ Sie erhalten eine attraktive Vergütung nach dem TVAöD mit allen im öffentlichen Dienst üblichen Sozialleistungen und vielfältigen Entwicklungsmöglichkeiten.
¿ Gerne bieten wir Ihnen, je nach Verfügbarkeit, eine Wohnmöglichkeit in unserem Personalwohnheim.
¿ Sie werden als Teil unseres Teams herzlich aufgenommen und von Fachkräften der jeweiligen Bereiche und unseren Lehrkräften eng begleitet und betreut.
¿ Wir bieten Ihnen zudem ein breites Angebot an gesundheitsfördernden und familienfreundlichen Leistungen.

Für Rückfragen steht Ihnen der kommissarische Leiter der Berufsfachschule für Krankenpflege, Herr Andreas Parthum Tel.: 09131/753-2460 gerne zur Verfügung.
Konnten wir Ihr Interesse wecken?
Dann lassen Sie uns doch bitte Ihre vollständigen Bewerbungsunterlagen über unser Stellenportal (https://jobs.bezirkskliniken-mfr.de/) zukommen ¿ wir freuen uns darauf!",0
9,,Azubi,"  Ausbildung Fachinformatiker (m/w) für Systemintegration

  Helios ist Europas führender privater Krankenhausbetreiber mit mehr als 100.000 Mitarbeitern. Zum Unternehmen gehören die Helios Kliniken in Deutschland und Quirónsalud in Spanien. 15 Millionen Patienten entscheiden sich jährlich für eine medizinische Behandlung bei Helios.

  In Deutschland verfügt Helios über 111 Akut- und Rehabilitationskliniken, 89 Medizinische Versorgungszentren (MVZ), vier Rehazentren, 17 Präventionszentren und 12 Pflegeeinrichtungen. Jährlich werden in Deutschland rund 5,2 Millionen Patienten behandelt, davon 3,9 Millionen ambulant. Helios beschäftigt in Deutschland mehr als 73.000 Mitarbeiter und erwirtschaftete 2016 einen Umsatz von rund 5,8 Milliarden Euro. Helios ist Partner des Kliniknetzwerks /Wir für Gesundheit/. Sitz der Unternehmenszentrale ist Berlin.

  Quirónsalud betreibt in Spanien 43 Kliniken, 44 ambulante Gesundheitszentren sowie rund 300 Einrichtungen für Betriebliches Gesundheitsmanagement. Jährlich werden in Spanien über 9,7 Millionen Patienten behandelt, davon 9,4 Millionen ambulant. Quirónsalud beschäftigt mehr als 35.000 Mitarbeiter und erwirtschaftete 2016 einen Umsatz von rund 2,5 Milliarden Euro.

  Helios und Quirónsalud gehören zum Gesundheitskonzern Fresenius.

  Das Helios Klinikum Gifhorn ist ein Haus der Schwerpunktversorgung mit 370 Planbetten in elf Fachabteilungen. Im Neubau auf dem Sozial- und Gesundheitscampus bieten wir unseren Patienten eine moderne medizinische Versorgung in angenehmer räumlicher Atmosphäre. 2016 behandelten wir etwa 50.500 Patienten, davon etwa 21.300 stationär.

  Wir suchen zum 01.08.2018 einen

  Auszubildenden (m/w) zum Fachinformatiker der Fachrichtung Systemintegration.

  Ihre Aufgaben

  Mit einer Ausbildung zum Fachinformatiker qualifizieren Sie sich für die Planung, Installation und Konfiguration komplexer Informationssysteme, die Voraussetzung für die Kommunikation in einem modernen Gesundheitsunternehmen sind. Sie werden gleichermaßen in der Systemtechnik, der Netzwerktechnik sowie der Applikationsbetreuung ausgebildet und sorgen dafür, dass die vernetzten Systeme einschließlich Hard- und Software einsatzbereit sind und unterstützen alle Mitarbeiter bei ihren Fragen rund um die EDV.

  Ihr Profil

  * Abitur oder Fachhochschulreife mit gutem Ergebnis abgeschlossen
  * Affinität zu technischen Themen rund um PC und Programmierung
  * Sehr gute Deutsch- und Englischkenntnisse
  * Fähigkeit zur Abstraktion, logischem Denken und Überzeugung durch Initiative und Eigenverantwortung
  * freundliches Auftreten, Neugierde und Lernbereitschaft

  Unser Angebot

  Wir bieten Ihnen eine abwechslungsreiche und verantwortungsvolle Ausbildung in einem dynamischen und wachsenden Unternehmen der Gesundheitsbranche mit attraktivem Ausbildungsentgelt und Urlaub nach gültigem Tarifvertrag. Sofern ein Krankenhausaufenthalt für Sie erforderlich wird, bieten wir Ihnen mit der für Sie kostenfreien Helios plus Zusatzversicherung ein komfortables Zweibettzimmer in einem unserer Akutkrankenhäuser sowie Wahl- oder Chefarztbehandlung.

  Kontaktmöglichkeit

  Für weitere Auskünfte steht Ihnen Herr Edgar Wendt, Leiter der IT-Abteilung, gern unter der Telefonnummer (05371) 87- 1016 oder unter der E-Mail-Adresse Edgar.Wendt[at]helios-gesundheit.de zur Verfügung.

  Bitte senden Sie uns Ihre Bewerbungsunterlagen über unser Karriere-Portal.",0
